Sample	Deduplicated reads (remaining)	Duplicate reads (removed)
IV23122_WT_23122_1_val_1	18801639.0	6797756.0
IV23123_WT_23123_1_val_1	20720385.0	8401681.0
gDNA10_HET_26268_1_val_1	7426630.0	2486409.0
gDNA11_HET_26271_1_val_1	2084314.0	336076.0
gDNA20_KO_26252_1_val_1	2782077.0	412192.0
gDNA26_KO_26249_1_val_1	6618300.0	2035225.0
gDNA27_HET_26269_1_val_1	5206653.0	1584391.0
gDNA29_KO_26248_1_val_1	7755444.0	2182561.0
gDNA30_HET_26253_1_val_1	6667645.0	2007339.0
gDNA33_KO_26250_1_val_1	7863046.0	2396353.0
gDNA34_KO_26251_1_val_1	7754837.0	2188690.0
gDNA44_WT_26346_1_val_1	26417975.0	14386894.0
gDNA47_WT_26347_1_val_1	18876136.0	5415534.0
gDNA48_WT_26348_1_val_1	22472350.0	7317439.0
gDNA49_WT_26349_1_val_1	27718913.0	14282764.0
gDNA50_WT_26350_1_val_1	27406602.0	9518215.0
