Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133
IV23122_WT_23122_1_val_1	3.62	3.86	3.9	4.05	4.12	4.22	4.33	4.33	4.3	4.29	4.17	4.24	4.31	4.23	4.27	4.34	4.32	4.26	4.31	4.29	4.3	4.34	4.34	4.37	4.56	4.4	4.42	4.47	4.36	4.42	4.56	4.46	4.46	4.49	4.51	4.44	4.52	4.57	4.5	4.56	4.59	4.53	4.54	4.6	4.61	4.52	4.55	4.56	4.57	4.53	4.5	4.54	4.47	4.5	4.48	4.46	4.43	4.53	4.58	4.43	4.46	4.44	4.36	4.47	4.44	4.44	4.47	4.51	4.47	4.51	4.59	4.56	4.54	4.58	4.5	4.59	4.58	4.56	4.63	4.59	4.64	4.62	4.51	4.55	4.57	4.56	4.54	4.63	4.59	4.56	4.69	4.61	4.52	4.58	4.6	4.55	4.58	4.55	4.53	4.55	4.49	4.53	4.58	4.52	4.58	4.64	4.56	4.63	4.62	4.62	4.58	4.62	4.56	4.55	4.64	4.67	4.62	4.61	4.58	4.62	4.6	4.59	4.59	4.64	4.58	4.65	4.74	4.74	4.66	4.74	4.7	4.79	5.15
IV23123_WT_23123_1_val_1	4.06	4.34	4.37	4.55	4.65	4.8	4.86	4.86	4.84	4.91	4.73	4.78	4.84	4.78	4.87	4.91	4.84	4.8	4.86	4.85	4.87	4.89	4.91	4.94	5.14	4.93	5.0	5.04	4.97	5.0	5.15	5.02	5.06	5.06	5.13	4.98	5.16	5.17	5.1	5.15	5.16	5.09	5.11	5.14	5.13	5.17	5.15	5.14	5.2	5.1	5.14	5.14	5.03	5.08	5.0	5.09	5.06	5.12	5.14	4.99	5.01	5.01	4.96	5.02	5.0	5.05	5.06	5.11	5.06	5.04	5.16	5.11	5.09	5.12	5.06	5.21	5.22	5.15	5.24	5.21	5.19	5.22	5.09	5.15	5.16	5.11	5.13	5.25	5.23	5.14	5.22	5.19	5.12	5.14	5.12	5.14	5.14	5.04	5.06	5.07	5.05	5.11	5.18	5.13	5.13	5.23	5.15	5.21	5.16	5.15	5.21	5.19	5.13	5.07	5.16	5.22	5.19	5.22	5.1	5.16	5.14	5.13	5.12	5.2	5.16	5.2	5.26	5.29	5.21	5.26	5.27	5.38	5.74
gDNA10_HET_26268_1_val_1	3.93	4.36	4.36	4.66	4.71	4.82	4.96	4.98	4.85	4.97	4.78	4.97	4.99	4.93	5.0	5.09	4.92	4.87	4.94	4.92	4.96	4.97	5.08	5.03	5.4	5.04	5.01	5.26	5.07	5.17	5.29	5.16	5.16	5.26	5.28	5.09	5.26	5.35	5.14	5.32	5.33	5.25	5.28	5.46	5.36	5.29	5.23	5.28	5.4	5.24	5.23	5.27	5.11	5.2	5.05	5.16	5.19	5.25	5.39	5.08	5.15	5.11	4.97	5.19	5.09	5.14	5.33	5.36	5.24	5.22	5.22	5.18	5.24	5.26	5.25	5.35	5.42	5.25	5.39	5.29	5.31	5.3	5.19	5.27	5.38	5.2	5.22	5.29	5.21	5.25	5.42	5.31	5.16	5.33	5.23	5.3	5.31	5.15	5.18	5.22	5.04	5.19	5.25	5.15	5.1	5.44	5.23	5.41	5.28	5.31	5.3	5.29	5.26	5.18	5.37	5.35	5.31	5.29	5.24	5.31	5.21	5.29	5.25	5.4	5.29	5.41	5.49	5.65	5.36	5.69	5.51	5.55	6.73
gDNA11_HET_26271_1_val_1	2.84	3.2	3.16	3.4	3.37	3.44	3.78	3.68	3.48	3.62	3.51	3.57	3.45	3.6	3.77	3.86	3.89	3.77	3.72	3.86	3.86	3.93	4.11	3.99	4.56	3.94	3.96	4.23	4.02	4.23	4.22	4.14	4.1	4.32	4.33	4.2	4.18	4.32	4.17	4.23	4.4	4.34	4.33	4.54	4.45	4.23	4.06	4.26	4.24	4.17	4.15	4.22	4.28	4.29	4.15	4.18	4.21	4.21	4.37	4.13	4.07	4.12	3.9	4.14	4.28	4.28	4.32	4.6	4.24	4.03	4.34	4.12	4.48	4.23	4.33	4.42	4.4	4.24	4.46	4.26	4.34	4.38	4.16	4.47	4.42	4.21	4.46	4.45	4.28	4.18	4.53	4.38	4.07	4.49	4.2	4.21	4.06	4.16	4.12	4.25	4.08	4.26	4.13	4.27	4.11	4.66	4.37	4.55	4.24	4.45	4.32	4.3	4.28	4.2	4.58	4.55	4.51	4.35	4.33	4.3	4.27	4.51	4.43	4.5	4.37	4.68	4.69	4.74	4.55	4.93	4.57	4.89	5.86
gDNA20_KO_26252_1_val_1	2.92	3.21	3.35	3.36	3.42	3.47	3.81	3.62	3.6	3.68	3.58	3.68	3.61	3.65	3.79	3.77	3.83	3.86	3.84	3.95	3.91	3.94	4.08	4.11	4.56	4.06	4.1	4.33	4.32	4.25	4.32	4.23	4.31	4.4	4.52	4.21	4.36	4.47	4.27	4.39	4.44	4.57	4.47	4.61	4.6	4.45	4.35	4.47	4.45	4.47	4.38	4.44	4.5	4.5	4.32	4.36	4.36	4.41	4.65	4.21	4.36	4.36	4.28	4.39	4.39	4.34	4.43	4.56	4.41	4.29	4.5	4.43	4.65	4.42	4.37	4.51	4.52	4.5	4.51	4.38	4.65	4.52	4.55	4.56	4.78	4.44	4.61	4.44	4.53	4.43	4.63	4.5	4.41	4.51	4.29	4.45	4.44	4.32	4.27	4.53	4.27	4.48	4.44	4.51	4.43	4.74	4.5	4.77	4.45	4.55	4.48	4.37	4.54	4.37	4.87	4.61	4.71	4.45	4.48	4.52	4.5	4.58	4.58	4.7	4.42	4.78	4.86	4.85	4.73	5.04	4.86	5.19	6.06
gDNA26_KO_26249_1_val_1	3.43	3.8	3.8	4.05	4.1	4.21	4.36	4.28	4.27	4.39	4.17	4.23	4.32	4.27	4.33	4.44	4.44	4.32	4.33	4.35	4.37	4.38	4.44	4.42	4.72	4.4	4.45	4.67	4.51	4.56	4.67	4.49	4.54	4.67	4.63	4.47	4.63	4.7	4.61	4.62	4.76	4.7	4.69	4.95	4.81	4.75	4.6	4.7	4.69	4.63	4.55	4.66	4.61	4.63	4.58	4.54	4.55	4.62	4.78	4.44	4.46	4.51	4.43	4.56	4.52	4.57	4.56	4.82	4.65	4.54	4.74	4.65	4.7	4.68	4.7	4.78	4.83	4.7	4.77	4.78	4.8	4.74	4.67	4.71	4.78	4.7	4.67	4.72	4.68	4.7	4.81	4.83	4.64	4.72	4.57	4.6	4.67	4.57	4.53	4.57	4.47	4.61	4.69	4.66	4.55	4.83	4.75	4.79	4.68	4.75	4.56	4.68	4.7	4.51	4.83	4.82	4.83	4.69	4.61	4.75	4.64	4.73	4.7	4.76	4.68	4.89	4.87	4.95	4.78	5.09	4.9	5.02	5.93
gDNA27_HET_26269_1_val_1	3.58	3.84	3.86	4.21	4.13	4.22	4.42	4.38	4.29	4.38	4.22	4.24	4.34	4.26	4.34	4.43	4.32	4.29	4.34	4.3	4.27	4.41	4.45	4.48	4.79	4.43	4.46	4.61	4.44	4.49	4.73	4.42	4.49	4.6	4.62	4.39	4.61	4.71	4.5	4.67	4.69	4.64	4.63	4.81	4.61	4.68	4.65	4.55	4.78	4.66	4.57	4.61	4.51	4.45	4.48	4.45	4.54	4.6	4.69	4.43	4.43	4.59	4.31	4.56	4.45	4.52	4.6	4.63	4.62	4.64	4.74	4.54	4.68	4.64	4.55	4.72	4.71	4.66	4.71	4.67	4.75	4.68	4.59	4.62	4.61	4.63	4.64	4.7	4.6	4.64	4.84	4.71	4.59	4.67	4.6	4.62	4.68	4.51	4.43	4.59	4.39	4.62	4.66	4.54	4.57	4.81	4.61	4.74	4.64	4.75	4.65	4.59	4.62	4.61	4.83	4.74	4.65	4.65	4.61	4.67	4.62	4.64	4.63	4.73	4.62	4.8	4.8	5.03	4.69	4.93	4.95	4.97	5.8
gDNA29_KO_26248_1_val_1	3.25	3.66	3.58	3.83	3.93	4.04	4.16	4.14	4.11	4.15	4.02	4.03	4.09	4.09	4.06	4.22	4.13	4.09	4.11	4.16	4.13	4.14	4.26	4.22	4.49	4.19	4.29	4.44	4.28	4.33	4.42	4.26	4.34	4.42	4.45	4.26	4.41	4.5	4.29	4.43	4.43	4.44	4.36	4.57	4.5	4.43	4.36	4.48	4.45	4.42	4.38	4.41	4.32	4.35	4.32	4.26	4.38	4.39	4.5	4.23	4.32	4.32	4.24	4.29	4.32	4.34	4.33	4.49	4.41	4.33	4.45	4.43	4.44	4.4	4.36	4.54	4.55	4.43	4.52	4.48	4.54	4.51	4.41	4.49	4.55	4.47	4.44	4.47	4.45	4.48	4.59	4.63	4.36	4.49	4.4	4.42	4.41	4.36	4.34	4.43	4.31	4.42	4.47	4.4	4.41	4.57	4.61	4.57	4.5	4.56	4.48	4.55	4.51	4.4	4.55	4.61	4.61	4.57	4.49	4.51	4.51	4.56	4.54	4.62	4.46	4.68	4.75	4.77	4.71	4.93	4.81	5.09	6.01
gDNA30_HET_26253_1_val_1	3.17	3.5	3.5	3.76	3.73	3.81	3.98	3.97	3.89	3.98	3.85	3.94	4.02	3.92	4.02	4.07	4.01	3.9	3.94	3.98	3.96	4.03	4.07	4.06	4.34	4.07	4.05	4.15	4.15	4.12	4.21	4.14	4.21	4.22	4.28	4.01	4.19	4.28	4.16	4.21	4.39	4.27	4.25	4.47	4.34	4.34	4.24	4.25	4.32	4.25	4.15	4.21	4.18	4.18	4.11	4.1	4.13	4.16	4.4	4.09	4.09	4.04	3.99	4.1	4.09	4.13	4.21	4.42	4.2	4.14	4.33	4.18	4.26	4.23	4.23	4.34	4.41	4.26	4.32	4.29	4.33	4.32	4.25	4.25	4.36	4.22	4.19	4.29	4.25	4.22	4.38	4.35	4.17	4.29	4.13	4.18	4.25	4.12	4.18	4.2	4.08	4.31	4.28	4.22	4.16	4.43	4.4	4.52	4.33	4.4	4.23	4.24	4.31	4.19	4.44	4.43	4.37	4.35	4.28	4.38	4.31	4.33	4.37	4.47	4.34	4.51	4.58	4.67	4.43	4.77	4.67	4.78	5.65
gDNA33_KO_26250_1_val_1	3.13	3.48	3.5	3.73	3.73	3.78	4.03	3.97	3.89	3.93	3.78	3.95	3.92	3.92	3.99	4.06	4.0	3.91	4.02	4.0	3.89	3.97	4.09	4.11	4.26	4.05	4.13	4.19	4.05	4.14	4.29	4.1	4.17	4.22	4.27	4.1	4.28	4.32	4.13	4.3	4.36	4.3	4.33	4.44	4.39	4.28	4.29	4.26	4.32	4.25	4.24	4.26	4.2	4.17	4.16	4.22	4.21	4.25	4.36	4.1	4.14	4.15	4.08	4.16	4.11	4.13	4.23	4.43	4.21	4.22	4.33	4.26	4.28	4.32	4.26	4.31	4.44	4.26	4.4	4.37	4.4	4.39	4.28	4.31	4.34	4.27	4.32	4.33	4.32	4.26	4.35	4.44	4.3	4.32	4.22	4.23	4.26	4.17	4.2	4.21	4.08	4.19	4.32	4.28	4.17	4.32	4.3	4.45	4.32	4.28	4.35	4.34	4.25	4.2	4.4	4.4	4.38	4.4	4.29	4.34	4.2	4.26	4.33	4.3	4.29	4.36	4.51	4.5	4.43	4.59	4.49	4.67	5.37
