Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133
IV23122_WT_23122_1_val_1	3.3	3.58	3.71	3.81	3.96	4.15	4.17	4.21	4.32	4.35	4.3	4.41	4.38	4.44	4.42	4.46	4.48	4.44	4.45	4.47	4.45	4.49	4.44	4.5	4.46	4.44	4.46	4.51	4.42	4.49	4.49	4.54	4.5	4.52	4.49	4.53	4.59	4.68	4.62	4.56	4.63	4.62	4.67	4.69	4.65	4.64	4.58	4.68	4.65	4.66	4.66	4.58	4.53	4.55	4.51	4.55	4.58	4.64	4.53	4.57	4.58	4.6	4.55	4.57	4.6	4.61	4.66	4.7	4.63	4.63	4.66	4.66	4.67	4.7	4.68	4.7	4.79	4.76	4.73	4.7	4.74	4.75	4.77	4.72	4.66	4.65	4.62	4.61	4.67	4.67	4.67	4.62	4.63	4.64	4.67	4.66	4.66	4.63	4.65	4.69	4.68	4.65	4.72	4.7	4.79	4.7	4.7	4.73	4.76	4.74	4.77	4.75	4.7	4.73	4.7	4.72	4.73	4.78	4.78	4.76	4.74	4.74	4.77	4.77	4.78	4.8	4.8	4.82	4.85	4.8	4.72	4.86	5.16
IV23123_WT_23123_1_val_1	3.69	3.98	4.12	4.24	4.41	4.59	4.68	4.68	4.8	4.86	4.78	4.91	4.86	4.91	4.9	4.98	4.96	4.96	4.94	4.95	4.92	4.99	4.94	5.0	4.95	4.91	4.94	5.03	4.92	4.98	5.01	5.02	5.0	5.0	5.0	5.02	5.09	5.18	5.14	5.08	5.16	5.14	5.17	5.21	5.18	5.18	5.1	5.2	5.15	5.2	5.15	5.1	5.03	5.04	5.04	5.04	5.07	5.12	5.03	5.07	5.09	5.11	5.03	5.05	5.06	5.12	5.15	5.21	5.14	5.13	5.15	5.17	5.17	5.22	5.18	5.22	5.27	5.25	5.2	5.21	5.24	5.27	5.25	5.22	5.17	5.17	5.11	5.1	5.15	5.19	5.17	5.1	5.15	5.1	5.15	5.17	5.15	5.11	5.12	5.16	5.16	5.12	5.17	5.19	5.23	5.16	5.17	5.21	5.21	5.23	5.24	5.25	5.2	5.17	5.18	5.2	5.19	5.23	5.26	5.25	5.19	5.22	5.23	5.22	5.23	5.27	5.26	5.23	5.29	5.24	5.18	5.26	5.64
gDNA10_HET_26268_1_val_1	4.14	4.47	4.63	4.74	4.9	5.13	5.2	5.18	5.37	5.41	5.2	5.46	5.37	5.41	5.4	5.52	5.53	5.48	5.4	5.4	5.42	5.46	5.43	5.5	5.4	5.43	5.46	5.46	5.34	5.39	5.45	5.54	5.43	5.49	5.43	5.55	5.52	5.69	5.6	5.51	5.7	5.62	5.69	5.73	5.71	5.72	5.62	5.75	5.69	5.73	5.68	5.6	5.44	5.48	5.43	5.44	5.57	5.56	5.42	5.51	5.56	5.56	5.48	5.43	5.54	5.6	5.6	5.68	5.56	5.56	5.59	5.58	5.56	5.65	5.6	5.66	5.79	5.72	5.66	5.59	5.63	5.72	5.74	5.67	5.51	5.53	5.49	5.38	5.45	5.45	5.45	5.37	5.48	5.39	5.53	5.5	5.5	5.44	5.45	5.5	5.46	5.43	5.6	5.46	5.49	5.46	5.39	5.56	5.47	5.48	5.52	5.57	5.39	5.44	5.32	5.46	5.54	5.46	5.45	5.44	5.39	5.44	5.55	5.42	5.34	5.43	5.45	5.49	5.59	5.49	5.42	5.47	6.48
gDNA11_HET_26271_1_val_1	3.34	3.5	3.75	3.74	3.89	4.04	4.1	4.18	4.31	4.27	4.1	4.36	4.3	4.34	4.35	4.46	4.55	4.45	4.43	4.34	4.36	4.52	4.5	4.55	4.43	4.51	4.51	4.5	4.35	4.4	4.46	4.55	4.49	4.54	4.47	4.62	4.63	4.67	4.62	4.55	4.69	4.62	4.73	4.74	4.73	4.8	4.65	4.8	4.7	4.84	4.72	4.65	4.36	4.53	4.37	4.37	4.6	4.64	4.33	4.49	4.58	4.58	4.6	4.48	4.58	4.76	4.77	4.79	4.67	4.62	4.65	4.65	4.79	4.72	4.73	4.82	4.95	4.8	4.84	4.66	4.72	4.79	4.8	4.7	4.54	4.66	4.59	4.41	4.4	4.5	4.47	4.5	4.56	4.6	4.65	4.59	4.59	4.43	4.51	4.59	4.57	4.43	4.73	4.63	4.52	4.59	4.58	4.74	4.63	4.66	4.71	4.76	4.47	4.63	4.54	4.62	4.75	4.67	4.64	4.66	4.56	4.7	4.72	4.63	4.57	4.68	4.57	4.65	4.8	4.72	4.64	4.82	5.59
gDNA20_KO_26252_1_val_1	2.85	3.09	3.29	3.36	3.44	3.59	3.73	3.77	3.79	3.88	3.77	3.97	3.96	4.02	4.06	4.13	4.14	4.14	4.17	4.09	4.2	4.2	4.25	4.28	4.21	4.22	4.22	4.27	4.15	4.24	4.26	4.34	4.3	4.25	4.24	4.39	4.39	4.5	4.41	4.36	4.54	4.52	4.5	4.53	4.53	4.56	4.4	4.53	4.52	4.56	4.55	4.41	4.2	4.38	4.26	4.25	4.4	4.48	4.28	4.27	4.29	4.36	4.32	4.27	4.44	4.51	4.52	4.47	4.37	4.39	4.46	4.42	4.47	4.44	4.44	4.57	4.71	4.53	4.57	4.41	4.42	4.54	4.52	4.51	4.3	4.38	4.4	4.24	4.27	4.33	4.29	4.32	4.38	4.31	4.42	4.33	4.38	4.36	4.31	4.36	4.33	4.28	4.45	4.36	4.38	4.38	4.39	4.54	4.41	4.41	4.47	4.47	4.29	4.43	4.32	4.4	4.46	4.47	4.41	4.4	4.34	4.44	4.42	4.28	4.3	4.45	4.38	4.47	4.54	4.55	4.44	4.57	5.4
gDNA26_KO_26249_1_val_1	3.47	3.7	3.9	3.97	4.07	4.32	4.35	4.34	4.5	4.57	4.4	4.6	4.52	4.59	4.57	4.62	4.69	4.61	4.6	4.54	4.6	4.62	4.61	4.65	4.6	4.58	4.59	4.59	4.54	4.6	4.63	4.72	4.65	4.64	4.65	4.7	4.74	4.89	4.83	4.79	4.92	4.83	4.85	4.91	4.92	4.98	4.8	4.95	4.87	4.89	4.9	4.78	4.68	4.69	4.64	4.69	4.77	4.8	4.62	4.71	4.76	4.75	4.69	4.66	4.75	4.85	4.87	4.92	4.75	4.77	4.81	4.74	4.85	4.89	4.84	4.86	5.02	4.92	4.91	4.83	4.86	4.94	4.97	4.89	4.76	4.76	4.75	4.6	4.69	4.73	4.71	4.65	4.72	4.67	4.77	4.72	4.77	4.66	4.64	4.71	4.69	4.64	4.75	4.7	4.74	4.69	4.65	4.74	4.72	4.72	4.78	4.77	4.62	4.7	4.56	4.66	4.71	4.65	4.67	4.66	4.61	4.71	4.7	4.67	4.62	4.68	4.65	4.72	4.78	4.74	4.64	4.73	5.47
gDNA27_HET_26269_1_val_1	3.69	3.99	4.2	4.27	4.37	4.62	4.66	4.66	4.84	4.84	4.66	4.94	4.82	4.89	4.87	4.97	4.97	4.91	4.85	4.82	4.91	4.93	4.92	4.93	4.8	4.86	4.9	4.89	4.79	4.85	4.86	4.93	4.87	4.96	4.91	4.96	5.02	5.1	5.08	4.97	5.17	5.09	5.14	5.2	5.17	5.19	5.08	5.2	5.08	5.17	5.11	5.05	4.91	4.95	4.84	4.86	5.01	5.02	4.89	4.98	5.01	5.03	4.98	4.94	4.98	5.1	5.13	5.13	5.02	5.05	5.03	5.04	5.09	5.1	5.07	5.11	5.24	5.22	5.14	5.04	5.08	5.19	5.15	5.09	4.99	5.03	4.96	4.89	4.93	4.93	4.92	4.83	4.94	4.89	5.0	4.93	4.99	4.88	4.88	4.94	4.91	4.86	5.06	4.97	4.95	4.92	4.91	5.07	4.96	4.93	5.05	5.02	4.85	4.95	4.83	4.89	5.03	4.97	4.94	4.95	4.93	5.0	5.03	4.96	4.9	4.97	4.93	4.94	5.09	5.03	4.93	4.95	5.83
gDNA29_KO_26248_1_val_1	3.16	3.43	3.61	3.63	3.8	3.99	4.03	4.06	4.14	4.24	4.11	4.26	4.23	4.3	4.25	4.37	4.36	4.32	4.29	4.27	4.27	4.3	4.3	4.35	4.3	4.27	4.28	4.34	4.21	4.32	4.29	4.35	4.35	4.34	4.32	4.39	4.42	4.55	4.45	4.42	4.55	4.54	4.56	4.61	4.56	4.54	4.47	4.56	4.52	4.55	4.52	4.47	4.32	4.38	4.3	4.35	4.45	4.49	4.33	4.39	4.45	4.43	4.39	4.34	4.39	4.5	4.51	4.56	4.44	4.42	4.5	4.48	4.51	4.51	4.53	4.55	4.68	4.6	4.57	4.52	4.58	4.61	4.6	4.56	4.44	4.44	4.45	4.34	4.42	4.43	4.38	4.35	4.41	4.38	4.47	4.43	4.48	4.37	4.42	4.45	4.35	4.36	4.52	4.45	4.45	4.43	4.45	4.5	4.5	4.44	4.48	4.53	4.38	4.42	4.31	4.42	4.5	4.41	4.47	4.41	4.4	4.45	4.5	4.47	4.44	4.5	4.45	4.56	4.62	4.58	4.53	4.59	5.34
gDNA30_HET_26253_1_val_1	3.36	3.66	3.83	3.9	4.02	4.2	4.29	4.26	4.42	4.47	4.32	4.54	4.45	4.52	4.51	4.62	4.64	4.55	4.53	4.52	4.49	4.56	4.55	4.62	4.52	4.5	4.54	4.55	4.47	4.56	4.55	4.61	4.55	4.56	4.61	4.61	4.69	4.77	4.77	4.66	4.83	4.78	4.79	4.79	4.84	4.8	4.73	4.83	4.77	4.81	4.82	4.68	4.59	4.59	4.55	4.57	4.69	4.72	4.55	4.62	4.67	4.66	4.65	4.56	4.65	4.75	4.83	4.85	4.68	4.74	4.81	4.73	4.75	4.82	4.77	4.84	4.96	4.89	4.81	4.78	4.8	4.86	4.84	4.76	4.69	4.69	4.63	4.52	4.64	4.65	4.64	4.59	4.66	4.57	4.75	4.69	4.72	4.6	4.64	4.66	4.66	4.61	4.75	4.65	4.68	4.7	4.67	4.72	4.69	4.65	4.76	4.76	4.6	4.64	4.56	4.66	4.73	4.71	4.71	4.66	4.6	4.74	4.73	4.68	4.66	4.7	4.73	4.79	4.9	4.76	4.74	4.78	5.62
gDNA33_KO_26250_1_val_1	3.01	3.26	3.45	3.51	3.67	3.87	3.92	3.9	4.03	4.07	3.95	4.1	4.05	4.1	4.08	4.15	4.19	4.15	4.09	4.11	4.12	4.17	4.12	4.2	4.08	4.12	4.14	4.14	4.11	4.14	4.17	4.19	4.15	4.2	4.15	4.23	4.26	4.35	4.34	4.26	4.39	4.35	4.35	4.43	4.4	4.41	4.32	4.41	4.37	4.4	4.36	4.3	4.2	4.26	4.15	4.18	4.28	4.31	4.17	4.25	4.29	4.28	4.25	4.21	4.29	4.34	4.38	4.37	4.27	4.3	4.31	4.34	4.35	4.37	4.34	4.35	4.51	4.41	4.4	4.37	4.37	4.43	4.44	4.38	4.28	4.27	4.22	4.16	4.22	4.25	4.25	4.23	4.23	4.16	4.28	4.28	4.28	4.22	4.2	4.24	4.2	4.18	4.34	4.24	4.25	4.21	4.21	4.29	4.21	4.24	4.26	4.3	4.17	4.21	4.14	4.19	4.25	4.21	4.23	4.21	4.18	4.2	4.27	4.19	4.17	4.23	4.25	4.3	4.31	4.31	4.23	4.28	4.95
