Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133
IV23122_WT_23122_1_val_1	41.31	42.81	44.05	45.34	46.2	46.76	46.81	47.31	46.9	47.37	47.34	47.37	47.29	47.75	47.75	48.19	48.06	48.36	48.08	47.91	47.85	48.09	48.0	48.08	47.8	47.68	47.7	47.93	47.67	47.83	47.87	48.0	47.68	47.98	47.87	47.92	47.98	47.8	47.68	48.05	48.25	47.86	47.84	47.99	48.23	47.79	48.0	47.58	47.82	47.9	47.79	47.78	47.56	47.59	47.68	47.81	47.52	47.86	47.6	47.98	47.79	47.78	47.71	47.86	47.66	48.11	47.98	47.82	47.63	48.01	47.69	48.0	47.71	48.04	47.98	48.05	48.16	47.95	48.23	47.97	47.89	47.91	47.95	47.96	47.64	47.68	48.11	47.94	47.83	48.14	48.13	48.07	47.77	47.75	47.86	48.11	47.86	47.92	47.66	47.8	47.83	47.63	48.19	47.85	47.8	47.94	47.78	47.79	47.99	48.02	48.11	48.05	47.91	48.11	47.92	48.0	48.02	48.06	48.24	48.12	47.85	47.97	48.21	47.98	48.18	48.21	48.07	48.11	48.01	48.11	48.38	49.13	49.94
IV23123_WT_23123_1_val_1	36.97	38.21	39.28	40.8	41.44	42.25	42.41	42.57	42.53	42.46	42.78	42.9	42.75	42.68	43.06	43.2	43.3	43.61	43.27	43.04	43.14	43.62	43.37	43.42	43.09	42.92	43.07	43.28	43.03	43.18	43.13	43.32	43.12	43.48	43.03	43.45	43.3	43.04	43.28	43.3	43.53	43.14	42.99	43.32	43.27	43.39	43.41	43.13	42.91	43.28	43.05	43.07	42.73	42.77	42.84	43.02	42.8	43.25	42.93	43.26	43.4	43.08	43.18	43.38	43.22	43.5	43.16	43.01	42.93	43.53	43.29	43.38	43.36	43.4	43.24	43.24	43.63	43.24	43.86	43.42	43.36	43.21	43.14	43.21	42.74	43.12	43.3	43.25	43.24	43.24	43.43	43.43	43.26	43.17	43.53	43.52	43.23	43.31	42.87	42.8	43.14	43.19	43.09	43.12	43.36	43.37	43.26	43.23	43.23	43.43	43.39	43.44	43.12	43.38	43.33	42.97	43.31	43.41	43.2	43.58	43.32	43.45	43.45	43.21	43.47	43.61	43.13	43.2	43.24	43.45	43.65	44.42	45.65
gDNA10_HET_26268_1_val_1	34.78	35.94	37.11	38.78	39.51	39.84	40.47	40.33	40.17	40.47	40.73	41.08	40.6	40.72	41.04	41.34	41.21	41.45	41.3	41.1	41.11	41.28	41.45	41.34	41.02	40.83	41.14	41.29	40.97	41.31	41.15	41.46	41.73	41.35	40.9	41.31	41.59	40.71	41.07	41.33	41.31	40.76	41.25	41.41	41.51	41.25	41.16	41.41	41.43	41.06	40.64	40.3	40.62	40.35	40.95	40.65	40.74	41.3	40.81	41.16	40.94	40.98	41.16	40.95	40.88	41.21	40.82	41.13	40.9	41.08	41.07	41.17	41.1	40.87	41.24	41.17	41.01	41.27	41.67	41.05	40.53	40.49	40.71	40.76	40.19	40.18	40.98	40.59	40.63	41.1	41.1	41.29	40.8	40.59	41.18	40.69	40.39	40.72	40.23	39.73	40.65	40.42	40.97	40.44	40.64	40.79	40.62	40.46	40.28	40.82	41.02	40.59	40.24	40.61	40.0	39.64	40.56	40.67	40.47	40.57	40.46	40.24	40.4	40.13	40.46	40.26	40.27	39.8	40.65	40.46	40.24	40.92	42.54
gDNA11_HET_26271_1_val_1	29.74	30.7	31.24	32.24	33.32	33.86	33.59	33.87	33.0	33.65	33.58	34.2	33.73	33.58	34.49	34.81	35.4	35.21	35.21	35.04	36.36	35.79	35.8	35.93	36.14	35.18	36.16	36.63	35.54	36.62	36.56	37.36	37.41	37.2	36.99	36.94	36.85	36.72	36.89	37.08	36.76	37.01	36.69	37.39	37.46	36.92	36.44	36.79	37.28	37.2	36.46	36.35	36.91	35.73	36.48	36.56	36.55	37.17	36.01	36.93	36.78	36.53	37.02	37.32	36.86	36.6	36.0	37.18	36.37	37.24	36.52	37.02	36.87	36.86	36.6	37.27	37.62	36.47	36.97	36.72	36.26	37.1	36.22	36.78	35.34	36.58	36.08	35.71	36.23	37.19	37.0	36.65	36.33	36.27	36.94	36.52	36.35	36.06	35.92	35.2	36.25	36.39	36.35	36.38	36.48	36.42	36.08	36.93	35.85	36.79	36.47	36.62	36.38	35.74	35.91	35.75	36.28	36.37	36.88	36.25	36.48	35.65	36.55	35.8	36.62	35.69	36.41	35.74	36.63	35.64	36.84	36.87	38.11
gDNA20_KO_26252_1_val_1	27.88	29.31	29.48	31.05	31.16	31.49	31.87	32.24	31.32	31.41	31.63	32.58	31.82	32.74	33.27	33.44	33.77	34.22	34.01	34.58	34.97	35.22	35.04	35.33	34.91	34.7	35.54	35.57	35.24	36.17	36.26	36.59	36.26	35.99	35.49	35.97	36.36	35.59	36.24	36.26	36.74	36.31	36.06	36.48	36.8	36.6	36.67	36.9	37.42	36.34	36.69	35.85	36.04	36.8	36.27	36.13	36.09	36.67	35.81	36.77	36.32	35.64	36.22	36.7	35.71	36.36	36.41	37.0	36.36	36.54	36.81	36.79	36.43	36.56	36.74	37.07	36.57	36.35	36.33	36.1	36.91	36.29	35.92	36.48	35.58	35.98	35.84	36.06	36.8	37.17	36.07	36.17	36.22	36.03	37.01	36.1	35.73	36.62	35.89	36.05	35.99	36.31	36.79	36.79	36.68	36.28	35.59	36.9	36.42	36.72	36.98	36.7	35.46	36.8	36.34	35.48	36.77	35.65	36.2	36.5	36.06	36.18	36.27	35.56	35.58	36.16	35.76	35.75	36.09	36.0	36.11	36.02	38.73
gDNA26_KO_26249_1_val_1	36.79	38.05	38.9	40.7	41.33	42.14	41.94	42.31	41.79	42.38	42.42	43.03	42.79	43.05	43.38	43.48	43.7	43.89	43.76	43.4	43.42	43.67	43.28	44.03	43.33	43.22	43.45	43.79	42.84	43.78	43.7	44.16	43.58	43.73	43.43	43.71	43.69	43.47	43.21	43.85	43.37	43.27	43.66	43.67	43.56	42.92	43.43	43.77	43.76	43.88	43.35	43.06	43.12	42.71	43.29	43.56	43.15	43.56	42.93	43.66	43.48	43.6	43.49	43.5	43.45	43.77	43.33	43.06	43.37	43.87	43.4	43.76	43.67	43.42	43.53	43.82	43.8	43.6	44.06	43.15	43.17	43.26	42.62	43.07	42.55	43.13	43.36	42.97	42.77	43.4	43.61	43.44	42.95	43.0	43.03	42.8	43.19	43.03	42.78	42.64	42.85	43.23	43.52	42.85	42.68	42.92	42.7	43.1	42.84	42.7	43.33	43.24	42.53	43.04	42.73	42.5	43.36	42.83	42.97	42.8	43.14	42.58	42.94	42.66	42.78	43.25	42.87	42.69	42.81	43.09	42.78	43.73	44.75
gDNA27_HET_26269_1_val_1	35.5	36.27	37.68	39.1	39.96	40.45	40.83	41.24	40.88	40.87	41.4	41.55	41.19	41.58	41.53	41.91	41.41	42.19	41.5	41.76	41.69	41.4	41.86	42.12	41.37	41.59	41.47	41.94	41.89	42.0	41.85	41.92	41.86	42.05	41.4	42.15	41.55	41.56	41.7	41.82	41.98	42.11	41.22	41.8	42.17	41.69	41.73	41.84	41.3	42.11	41.69	41.41	41.22	41.58	41.75	41.27	41.3	41.98	41.25	41.62	41.66	41.64	41.57	41.64	41.54	41.6	41.54	41.36	41.58	41.74	41.46	41.75	41.04	41.29	41.63	42.07	41.85	41.63	41.8	41.81	41.17	41.22	41.36	41.44	40.67	41.25	41.22	40.98	41.91	41.71	41.42	41.6	41.82	41.0	41.47	41.21	41.27	41.73	40.97	40.87	40.45	41.08	40.91	41.55	41.2	41.39	41.23	41.25	41.07	40.9	40.86	40.99	40.71	41.07	40.96	40.74	41.42	41.06	41.73	41.07	40.88	40.46	41.39	40.74	41.0	41.3	40.71	40.74	40.47	40.77	41.34	41.33	43.1
gDNA29_KO_26248_1_val_1	36.65	37.56	38.81	40.21	40.79	41.59	42.02	42.2	41.75	42.21	42.56	42.47	42.25	42.94	42.92	43.12	42.99	43.45	43.02	42.7	42.99	43.26	43.2	43.24	42.66	42.91	43.01	43.14	43.05	42.97	43.14	43.4	43.11	43.04	42.88	43.16	43.33	43.0	42.69	43.27	43.42	43.16	42.82	43.25	43.27	42.83	43.15	42.91	43.03	43.52	42.82	42.98	42.87	42.59	43.04	42.69	42.71	43.2	42.67	43.27	42.87	42.94	42.85	43.02	43.13	43.51	42.73	43.22	42.89	43.04	42.86	43.43	43.11	42.85	43.02	43.2	43.45	42.9	43.05	42.83	42.78	42.94	42.29	42.69	42.11	42.45	42.86	42.57	42.62	43.05	42.82	42.86	42.94	42.65	42.98	42.72	42.71	42.89	42.43	42.6	42.84	42.59	43.37	42.84	42.63	43.07	42.53	42.63	42.19	42.74	43.06	42.29	42.59	42.46	42.56	42.49	42.93	42.68	42.63	42.78	42.51	42.21	42.78	42.87	42.68	42.92	42.35	42.59	43.04	42.67	42.79	43.01	45.66
gDNA30_HET_26253_1_val_1	41.45	42.68	44.08	45.36	46.35	47.18	47.1	47.51	47.34	47.45	47.58	47.75	47.43	47.79	47.97	48.71	48.1	48.63	48.16	48.04	48.09	48.13	48.19	48.61	48.32	47.9	47.85	48.05	47.82	48.22	48.51	48.48	48.46	48.09	47.93	48.06	48.33	47.95	47.99	48.09	48.03	47.72	48.17	48.7	48.49	48.17	47.99	48.33	48.39	47.96	47.7	48.13	47.86	48.06	47.44	47.77	47.91	48.18	47.55	47.88	47.98	47.75	48.26	47.91	48.21	48.11	48.0	47.79	48.04	48.34	48.0	47.96	48.12	47.69	47.93	48.44	48.36	48.23	48.42	47.73	47.49	47.68	47.32	47.61	47.08	47.14	47.82	47.41	47.73	47.81	47.9	47.99	47.76	47.48	47.42	47.52	47.41	47.34	47.66	47.15	47.23	48.05	47.71	47.4	47.39	47.71	47.4	47.44	47.31	47.59	47.34	47.5	47.5	47.4	47.46	47.45	47.3	46.89	47.45	47.22	47.32	47.62	47.2	46.9	47.1	47.57	46.92	47.24	47.4	46.83	47.34	47.89	49.2
gDNA33_KO_26250_1_val_1	37.12	38.03	39.4	40.58	41.31	42.18	42.65	42.8	42.34	42.67	42.85	43.05	42.96	43.45	43.14	44.07	43.56	44.19	43.2	43.51	43.8	43.78	43.82	44.14	43.54	43.54	43.25	44.01	43.52	43.45	43.74	43.81	43.87	43.83	43.65	43.75	43.8	43.66	43.55	43.92	43.81	43.39	43.67	43.81	44.08	43.63	43.7	43.61	43.68	43.92	43.5	43.04	43.48	43.41	43.13	43.13	43.49	43.75	43.33	43.46	43.56	43.86	43.73	43.46	43.55	43.29	43.5	43.2	43.51	44.24	43.44	43.47	43.59	43.41	43.74	43.64	43.83	43.53	43.96	43.31	43.09	43.55	42.94	43.26	42.65	43.39	43.5	42.75	43.43	43.72	43.54	43.63	43.66	43.1	43.55	43.18	43.34	43.49	43.05	42.8	43.19	43.69	43.2	43.38	43.04	43.7	42.94	43.32	43.18	42.96	43.55	43.32	42.74	43.03	42.48	42.56	43.03	42.93	43.05	43.0	43.25	42.92	42.82	42.8	42.72	43.16	42.6	43.3	42.89	42.66	43.27	43.12	45.35
gDNA34_KO_26251_1_val_1	32.28	33.34	34.15	35.97	36.55	37.19	37.39	37.59	37.29	37.63	37.85	38.12	37.62	37.7	37.98	38.04	38.75	38.45	38.29	38.02	38.41	38.35	38.5	38.64	38.37	38.06	38.29	38.55	38.28	38.51	38.26	38.72	38.82	38.64	38.24	38.56	38.68	38.42	38.32	38.6	38.67	38.0	38.24	38.66	38.67	38.32	38.31	38.51	38.51	38.37	38.0	37.89	38.16	38.07	38.14	37.81	38.09	38.69	37.73	38.39	38.15	38.01	38.37	38.62	38.35	38.53	38.1	38.03	38.69	38.58	38.13	38.35	38.51	38.28	38.51	38.58	38.46	38.32	38.39	38.46	37.95	38.17	37.98	38.17	37.17	37.96	38.33	37.86	38.13	38.54	38.12	38.35	38.36	37.49	38.01	38.3	38.03	37.99	38.24	37.2	37.65	38.32	38.37	38.38	38.09	38.33	37.91	38.42	37.66	38.41	38.52	38.26	38.16	37.9	37.61	37.58	37.76	37.86	38.15	37.93	38.04	37.6	38.05	38.13	37.69	38.34	38.18	38.13	38.24	37.87	38.08	38.19	40.52
gDNA44_WT_26346_1_val_1	35.69	36.4	37.7	39.32	39.98	40.67	40.91	41.23	40.81	41.27	41.31	41.55	41.19	41.6	41.7	41.71	41.92	41.99	41.65	41.59	41.75	41.87	42.03	42.03	41.62	41.49	41.62	41.7	41.7	41.73	41.6	41.82	41.94	41.81	41.59	41.92	41.88	41.53	41.52	41.8	42.13	41.71	41.45	42.05	41.73	41.68	41.72	41.69	41.6	41.73	41.51	41.48	41.45	41.31	41.4	41.32	41.44	41.58	41.33	41.72	41.7	41.62	41.42	41.65	41.4	41.85	41.71	41.72	41.62	42.03	41.49	41.62	41.73	41.67	41.58	41.84	41.7	41.85	41.75	41.71	41.49	41.54	41.43	41.46	40.69	41.26	41.47	41.23	41.54	41.39	41.53	41.54	41.61	41.31	41.68	41.44	41.29	41.45	41.37	41.28	41.1	41.37	41.57	41.24	41.41	41.63	41.17	41.41	41.3	41.27	41.32	41.5	41.02	41.21	41.04	40.84	41.2	41.11	41.29	41.15	41.2	41.02	41.23	40.92	41.05	41.15	40.9	41.1	41.22	40.8	41.27	41.35	43.45
