Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131
IV23122_WT_23122_1_val_1	45.02	45.09	45.79	45.64	46.37	45.92	45.97	46.73	46.58	46.84	47.19	47.0	47.15	47.13	47.23	47.24	47.64	47.54	47.87	47.92	48.3	48.1	48.18	48.4	48.68	48.15	48.09	48.48	48.28	48.82	48.26	48.24	48.44	48.36	48.64	48.31	48.75	48.54	49.15	48.53	49.19	49.14	49.28	49.48	49.56	49.13	49.27	49.17	49.11	49.34	49.23	48.95	49.43	49.73	49.57	49.54	49.43	49.59	49.66	49.98	49.9	49.72	49.89	49.58	50.16	49.84	49.53	49.93	49.86	49.72	50.35	50.49	50.87	50.61	50.56	50.93	50.94	50.61	50.24	50.26	50.65	50.48	50.09	50.86	50.51	51.0	50.87	51.12	50.67	51.57	50.65	51.09	51.04	51.39	51.48	51.15	51.01	51.74	51.35	51.66	51.79	51.49	51.45	51.89	52.21	51.6	52.04	52.34	52.14	52.07	52.21	52.07	52.56	52.36	52.24	52.25	52.19	52.42	52.35	52.73	52.42	52.25	52.3	52.51	51.8	52.6	51.93	52.31	51.79	52.09	51.95
IV23123_WT_23123_1_val_1	40.46	40.71	41.17	41.15	41.8	41.18	41.56	41.62	41.89	41.83	42.39	42.31	42.32	42.4	42.72	42.67	43.06	42.64	43.04	42.91	43.1	43.13	43.41	43.84	43.73	43.26	43.84	43.59	43.69	44.15	43.72	43.36	44.01	43.46	43.86	43.55	44.09	44.05	44.25	43.92	44.17	44.25	44.14	44.58	44.56	44.24	44.19	44.61	44.3	44.07	44.24	43.96	44.2	44.22	44.81	44.27	44.48	44.66	44.51	44.67	45.04	44.99	44.75	44.82	44.8	45.12	44.79	45.04	45.02	45.25	45.11	45.74	45.48	45.95	45.77	45.66	45.66	45.19	45.32	45.38	45.63	44.87	45.08	45.35	45.5	45.83	45.98	45.63	45.99	45.79	45.62	46.1	46.12	46.28	46.18	45.96	45.54	46.35	46.09	46.28	46.32	46.62	46.52	46.5	46.86	46.6	46.85	46.77	46.47	46.75	46.8	46.72	46.6	47.16	46.61	46.37	46.53	46.97	46.9	47.05	46.65	46.8	46.83	46.72	46.91	46.7	46.98	47.08	46.47	46.38	45.81
gDNA10_HET_26268_1_val_1	38.1	39.01	39.69	39.21	39.87	39.63	39.51	40.1	40.27	39.35	40.53	40.49	40.66	40.14	40.84	40.27	40.71	40.63	40.85	40.84	41.45	40.65	40.52	41.74	41.59	41.19	41.22	41.3	41.48	42.63	41.2	41.07	42.11	41.33	41.94	41.49	41.9	42.25	41.75	41.41	41.86	42.24	41.71	41.95	43.61	41.39	41.7	42.52	41.48	41.77	42.45	41.07	42.59	41.98	42.12	42.52	42.49	42.3	41.59	42.41	42.58	42.56	42.23	42.61	42.82	43.29	42.36	42.5	42.47	42.75	42.85	43.1	43.4	42.98	44.05	43.62	43.33	44.05	42.9	43.82	43.4	42.72	43.25	43.27	43.33	43.58	43.97	43.49	43.91	44.14	43.22	44.42	44.34	44.07	43.76	43.67	43.53	43.49	44.45	43.58	44.17	44.32	45.23	45.57	45.87	44.51	45.68	45.16	44.53	45.1	44.9	44.79	44.48	45.3	44.38	44.43	44.25	45.21	44.73	45.34	44.38	45.18	45.46	45.14	43.62	45.18	44.61	44.3	44.06	45.36	44.51
gDNA11_HET_26271_1_val_1	34.16	35.39	35.62	35.19	36.05	35.61	35.48	36.71	35.36	36.02	36.87	37.34	36.37	36.46	37.24	35.97	38.26	37.32	36.85	37.21	38.18	36.42	37.45	38.55	37.64	37.31	37.66	37.34	38.47	39.08	37.66	37.73	38.23	36.97	38.78	37.99	39.18	38.82	38.01	38.39	38.29	38.26	37.98	39.0	39.94	38.2	39.11	38.55	38.7	38.74	38.79	37.19	38.01	37.97	38.6	37.58	38.71	38.95	38.29	40.01	39.8	38.81	38.68	38.68	39.58	39.86	39.64	40.67	39.79	38.65	39.35	39.5	38.76	39.75	40.87	40.94	39.97	38.99	39.69	40.04	40.86	38.87	40.4	41.16	39.42	41.22	41.78	39.98	40.83	40.22	39.52	41.41	42.28	40.41	40.51	39.56	39.88	41.33	41.15	41.09	42.51	42.12	42.11	42.24	41.88	42.37	43.15	41.77	40.83	41.33	42.57	41.34	42.67	42.43	41.97	42.08	42.63	42.44	42.43	43.86	41.17	42.93	41.63	41.59	39.38	41.76	40.98	40.09	40.82	41.49	43.92
gDNA20_KO_26252_1_val_1	35.34	35.7	36.99	36.15	36.22	36.01	35.95	36.0	36.5	36.07	37.69	37.48	37.44	36.72	37.86	37.66	37.77	38.09	38.19	37.5	38.93	38.71	36.85	38.91	38.56	37.93	38.52	37.95	37.93	39.52	37.7	37.54	38.05	38.69	38.22	38.24	38.58	38.83	38.77	39.05	38.97	38.82	38.46	38.89	40.55	38.4	38.64	39.06	38.52	38.33	38.98	38.19	39.46	39.73	38.86	38.89	38.97	39.29	39.16	39.68	39.44	39.48	39.62	40.0	39.92	40.94	40.06	40.94	40.66	39.56	39.79	39.49	40.62	41.22	40.6	40.96	40.96	39.98	39.92	39.81	41.28	39.2	39.96	41.35	39.85	40.67	41.35	40.35	40.61	41.22	40.07	41.8	42.69	41.57	41.07	40.42	39.36	41.29	40.83	41.45	41.89	42.16	40.96	43.08	41.99	40.51	42.76	42.43	41.62	44.3	42.99	41.5	42.48	42.64	41.99	41.81	41.49	42.39	42.03	43.77	41.19	43.27	41.66	41.58	40.0	42.96	42.64	41.17	42.23	40.39	42.73
gDNA26_KO_26249_1_val_1	41.15	41.0	41.73	41.45	41.85	41.46	41.61	41.92	42.02	42.16	42.35	42.8	42.49	42.68	42.86	42.77	42.97	43.03	43.43	42.89	43.76	43.47	43.2	44.37	43.59	43.16	43.45	43.54	43.85	44.22	43.72	43.12	44.17	43.46	43.87	44.18	43.9	44.73	44.11	43.96	43.66	43.99	44.04	44.49	45.06	44.21	44.5	44.35	44.19	43.65	44.11	43.73	44.25	44.61	44.47	44.45	44.37	44.82	44.52	44.86	45.03	44.68	44.38	44.34	44.7	45.17	44.68	44.82	44.59	44.18	45.39	45.29	45.48	45.95	45.93	45.59	45.64	45.92	45.1	45.3	45.99	45.04	45.1	45.24	45.22	46.03	46.29	45.75	45.75	46.48	45.43	46.28	46.38	46.08	46.27	46.21	45.56	46.2	46.62	45.73	46.25	46.57	46.43	47.15	48.14	46.75	46.39	47.02	46.62	48.01	46.79	46.79	47.27	46.88	46.19	46.14	46.9	46.98	46.31	47.96	46.38	47.66	47.28	47.42	46.56	47.08	45.95	46.87	45.56	46.8	47.58
gDNA27_HET_26269_1_val_1	38.54	38.87	39.64	39.53	39.85	39.69	39.26	40.38	40.37	39.85	40.25	40.52	40.37	40.05	41.17	40.99	41.41	41.04	41.26	41.51	41.95	41.74	41.59	42.2	41.95	41.85	41.91	41.52	42.28	42.87	41.83	41.58	42.84	41.93	42.55	41.86	42.55	42.5	42.79	42.23	42.88	42.69	42.35	43.37	43.7	42.56	42.9	43.03	42.0	42.53	42.17	42.19	42.63	43.37	42.67	42.91	43.42	42.91	43.17	43.23	43.76	43.47	43.07	43.26	42.88	43.8	43.4	43.61	43.92	43.49	43.81	44.37	43.62	44.22	44.28	44.5	44.22	44.66	43.66	44.36	45.21	43.46	43.19	44.97	43.98	45.17	45.22	44.38	43.96	44.4	44.11	44.79	45.04	45.14	45.26	45.17	44.81	45.09	44.7	44.96	45.38	45.12	45.93	46.59	45.97	44.69	45.58	46.14	45.35	46.56	45.24	45.56	46.17	46.13	45.44	45.73	46.43	45.73	45.6	47.32	45.77	46.2	46.34	44.68	45.34	46.31	46.15	46.1	45.37	46.14	45.79
gDNA29_KO_26248_1_val_1	40.68	41.36	42.12	41.37	42.13	41.52	41.9	42.23	42.55	42.03	42.81	42.72	42.9	42.5	43.19	42.95	43.31	43.02	43.8	43.81	44.39	43.71	43.28	44.16	44.09	43.59	44.17	43.87	43.78	44.2	44.32	43.76	44.15	43.95	44.27	44.63	44.13	44.54	44.37	44.55	44.14	44.58	44.66	45.4	45.54	44.61	44.85	44.86	44.97	44.66	44.58	44.71	44.95	45.01	45.39	45.34	45.13	44.72	44.79	45.45	45.88	45.24	45.36	45.22	45.99	45.78	45.02	45.74	45.25	45.36	45.69	45.59	46.24	46.14	46.29	46.3	46.72	46.18	46.61	46.06	46.73	46.08	45.8	46.09	45.49	46.8	46.92	46.15	46.32	46.49	46.13	46.77	47.29	46.73	46.64	47.11	46.23	47.13	46.52	46.63	46.96	47.42	47.3	48.22	48.0	48.2	48.25	48.38	47.14	47.77	48.06	47.84	48.22	48.87	47.36	47.96	48.28	48.4	47.26	48.73	47.81	47.93	48.76	47.66	47.2	48.17	47.55	48.24	47.27	48.08	47.54
gDNA30_HET_26253_1_val_1	45.84	46.06	46.8	46.52	46.91	46.7	46.45	47.32	47.08	46.5	47.29	47.84	47.64	47.01	47.6	47.48	47.65	47.16	47.73	48.22	48.08	47.45	48.17	48.77	48.58	48.06	48.56	48.63	48.37	49.17	49.16	47.85	49.14	48.66	48.79	48.69	49.16	49.7	49.56	48.51	49.25	49.78	48.24	49.72	50.11	48.96	49.57	50.11	48.91	49.2	49.41	48.65	49.64	50.21	49.86	49.51	49.94	49.53	49.65	49.9	50.15	49.98	49.99	49.46	50.22	50.85	49.83	50.42	50.72	50.18	51.0	50.3	50.8	50.86	51.25	51.65	52.0	50.78	50.42	51.09	51.18	50.33	51.01	51.0	50.6	52.01	52.19	51.84	51.11	52.34	51.73	52.02	52.75	52.18	52.4	52.13	50.45	52.38	52.82	52.13	52.67	52.32	52.95	54.46	53.9	52.7	54.24	53.85	53.03	54.01	53.43	52.85	53.42	54.82	53.33	53.1	53.29	53.64	53.26	54.19	53.74	53.2	54.06	53.18	52.58	53.45	53.13	53.27	54.0	53.85	54.79
gDNA33_KO_26250_1_val_1	41.09	41.19	41.96	41.43	41.88	41.31	41.6	42.04	42.67	42.1	42.3	42.39	42.75	42.32	42.94	42.99	43.3	42.97	43.1	43.09	43.77	43.27	43.32	44.03	44.03	43.85	43.93	43.89	43.69	44.36	43.81	43.34	44.52	43.81	44.2	43.86	44.13	44.7	44.62	44.17	44.4	44.49	44.67	44.8	45.15	44.61	44.51	44.82	44.34	44.23	44.38	43.91	44.5	44.75	44.71	44.56	45.03	45.33	44.54	45.06	45.47	45.12	45.0	44.37	45.01	45.45	44.83	45.4	45.24	45.44	45.29	45.7	45.54	46.23	46.08	45.79	46.01	45.91	46.13	45.79	46.36	45.46	45.9	46.48	45.44	46.12	46.65	46.0	46.44	46.62	45.65	46.47	46.63	46.39	46.14	46.57	45.89	46.44	47.15	46.72	46.58	46.85	47.34	47.39	47.57	47.43	47.3	48.07	46.48	48.05	47.68	46.98	47.49	47.32	47.31	46.91	47.13	47.99	47.33	48.26	47.2	47.74	47.98	47.35	47.23	47.77	47.52	47.44	47.28	48.05	46.94
gDNA34_KO_26251_1_val_1	35.93	36.95	37.67	37.22	37.08	37.26	36.89	37.51	37.85	37.67	38.57	38.66	38.56	38.89	38.68	38.48	39.04	39.01	38.88	39.23	39.75	39.02	38.92	39.48	40.19	39.19	39.91	39.56	39.5	40.95	39.74	39.93	40.38	39.88	39.94	40.27	40.47	40.45	40.49	40.11	40.14	40.63	40.51	40.77	41.72	40.24	41.06	40.8	39.85	40.44	40.08	40.15	40.52	41.33	41.15	41.25	41.17	41.08	40.69	41.53	41.54	41.17	41.19	41.01	40.82	41.86	40.96	41.53	41.55	41.78	41.83	41.91	41.49	42.43	42.92	42.89	42.67	42.26	41.57	42.14	42.95	42.08	42.17	43.14	42.19	42.89	43.87	42.58	43.04	43.54	42.71	42.64	42.99	42.69	42.56	42.9	42.54	44.37	43.72	43.93	43.15	43.96	44.26	45.43	45.29	43.84	44.73	44.47	44.19	45.23	44.74	44.29	44.82	44.84	44.08	45.03	44.94	45.06	43.86	45.29	44.31	45.62	44.44	44.96	45.05	45.13	44.9	44.64	44.25	45.75	44.96
gDNA44_WT_26346_1_val_1	39.45	39.68	40.39	40.32	40.7	40.36	40.3	40.7	40.91	40.83	41.32	41.01	41.22	40.84	41.19	41.18	41.79	41.28	41.5	41.79	42.03	41.94	41.85	42.15	42.46	41.89	42.35	42.15	42.17	42.81	42.33	41.86	42.38	42.02	42.16	42.39	42.44	42.7	42.6	42.32	42.56	42.76	42.54	42.84	43.35	42.32	42.68	42.98	42.51	42.46	42.91	42.25	42.7	42.94	42.97	42.9	43.0	43.1	42.98	43.01	43.48	43.17	43.4	43.13	43.5	43.8	43.24	43.33	43.67	43.27	43.68	43.71	44.24	44.64	44.4	44.27	44.15	44.21	43.63	43.91	44.1	43.71	43.66	44.05	43.83	44.38	44.67	44.11	44.42	44.56	43.93	44.84	44.87	44.67	44.76	44.92	44.53	45.04	45.09	44.91	44.87	45.13	45.02	45.7	45.72	45.02	45.49	45.72	45.14	45.76	45.87	45.39	45.41	45.88	45.36	45.73	45.61	45.77	45.23	46.21	45.41	45.89	46.2	45.51	45.09	45.83	45.25	45.93	45.68	45.98	45.43
gDNA47_WT_26347_1_val_1	50.39	50.62	51.26	51.02	51.31	51.43	51.26	51.86	52.27	52.08	52.16	52.22	52.5	52.21	52.33	52.36	52.61	52.68	52.93	52.95	53.42	53.15	53.26	53.61	53.96	53.42	53.07	53.32	53.06	53.92	53.45	53.2	53.61	53.36	53.47	53.35	53.1	53.58	53.44	53.78	53.78	54.41	53.89	54.28	54.1	54.34	54.07	54.45	53.69	53.55	53.71	53.07	53.83	54.31	54.09	54.25	54.21	54.17	53.71	53.91	54.46	54.48	53.94	54.21	54.39	54.33	53.92	54.32	53.99	54.32	54.46	54.63	55.01	54.75	55.09	54.94	54.82	54.86	54.78	54.46	54.83	54.74	54.59	54.76	54.62	55.18	55.25	54.71	54.56	55.18	54.75	55.22	55.2	55.56	55.2	55.74	55.0	55.02	55.4	55.05	55.4	55.08	55.16	55.78	55.83	55.41	55.8	55.93	55.56	55.85	55.37	55.78	55.85	56.27	55.98	55.31	55.78	56.16	55.49	56.52	55.64	55.28	55.79	55.2	55.41	55.46	55.23	55.29	56.24	56.1	55.78
gDNA48_WT_26348_1_val_1	48.36	48.63	49.22	49.36	49.39	49.51	49.24	49.81	49.89	49.69	50.16	50.29	50.45	50.15	50.32	50.56	50.41	50.69	50.88	51.01	51.35	50.99	51.3	51.69	51.44	50.97	51.19	51.03	50.98	51.95	51.44	51.04	51.24	51.24	51.39	51.41	51.42	51.37	51.64	51.49	51.61	52.14	51.9	52.22	52.4	51.83	51.83	52.0	51.42	51.57	51.84	51.39	51.86	51.84	51.91	52.22	51.8	52.17	52.13	52.4	52.28	52.4	52.55	52.1	52.34	52.25	52.38	51.98	52.28	52.11	52.7	52.82	52.8	52.99	53.08	53.0	53.3	52.61	52.37	52.66	53.0	52.67	52.53	52.88	52.49	53.03	52.98	53.02	52.81	53.06	52.86	53.34	53.75	53.22	53.41	53.73	53.31	53.66	53.52	53.07	53.36	53.68	53.47	53.66	53.83	53.41	53.48	53.62	53.35	53.82	53.96	53.65	53.91	53.94	53.7	53.86	53.79	54.15	53.65	54.0	53.73	53.77	53.83	53.84	53.18	53.48	53.61	54.06	53.73	54.08	53.33
gDNA49_WT_26349_1_val_1	36.64	36.99	37.54	37.67	37.75	37.55	37.66	38.12	38.29	38.09	38.54	38.47	38.89	38.47	39.05	38.94	39.28	38.93	39.18	39.32	39.8	39.52	39.42	40.05	39.91	39.57	39.79	39.66	39.61	40.33	39.8	39.48	39.84	39.71	39.98	39.71	40.13	39.99	40.23	40.13	40.18	40.25	39.96	40.55	40.73	40.22	40.3	40.46	39.92	40.03	39.93	39.78	40.06	40.77	40.17	40.31	40.62	40.58	40.48	40.79	40.68	40.63	40.6	40.76	40.84	40.79	40.96	40.55	40.65	40.72	40.77	41.27	41.49	41.54	41.38	41.41	41.65	41.3	40.87	41.2	41.39	41.17	40.69	41.04	41.48	41.67	41.78	41.63	41.56	42.07	41.34	41.79	41.96	42.27	41.78	41.87	41.83	41.98	41.69	41.67	42.24	42.06	42.39	42.51	43.19	41.93	42.89	42.41	42.36	42.32	42.42	42.19	42.46	42.95	42.2	42.22	42.13	42.54	42.4	42.79	41.95	42.69	42.89	42.37	42.22	42.34	42.48	42.65	42.56	42.92	41.74
gDNA50_WT_26350_1_val_1	49.27	49.32	49.86	50.16	50.21	50.2	50.25	50.36	50.7	50.7	51.09	51.07	51.19	51.28	51.38	51.33	51.51	51.5	51.65	51.8	52.16	52.1	52.04	52.5	52.68	52.18	52.11	51.87	51.93	52.54	52.48	51.93	52.29	52.25	52.36	52.15	52.26	52.24	52.44	52.38	52.63	53.1	52.84	53.09	52.95	53.02	52.9	52.79	52.56	52.71	52.59	52.43	52.94	52.74	52.91	53.16	52.86	52.94	52.97	52.97	53.43	53.32	53.2	53.1	53.45	53.19	53.17	53.37	53.28	52.99	53.6	53.53	53.81	53.97	54.14	53.8	54.16	54.02	53.86	53.76	53.81	53.57	53.58	53.62	53.86	54.07	54.5	53.99	54.0	54.46	53.94	54.53	54.48	54.72	54.3	54.35	54.39	54.73	54.72	54.1	54.14	54.45	54.68	55.02	55.08	54.43	54.96	55.08	54.52	54.89	54.88	54.55	54.87	55.23	54.93	54.8	54.6	55.14	54.75	55.14	54.81	55.16	54.93	54.97	54.92	55.06	54.73	55.1	54.85	55.58	54.71
gDNA9_HET_26270_1_val_1	38.17	38.26	38.95	39.38	39.52	39.65	39.03	38.99	39.61	39.02	39.89	40.41	39.98	39.59	40.63	40.16	40.44	40.19	41.01	40.77	41.26	40.38	40.16	41.21	41.28	40.75	41.18	41.22	41.44	41.93	40.78	40.61	41.79	41.09	41.82	41.73	41.52	42.0	41.44	41.35	40.82	41.62	41.38	41.54	42.94	41.42	41.97	42.04	41.34	41.6	41.35	40.95	42.11	42.34	42.04	42.63	41.81	41.95	41.98	42.66	42.19	42.27	42.18	42.47	42.39	42.59	41.89	42.97	41.81	42.37	42.43	42.87	43.13	42.81	44.13	43.27	43.41	43.51	42.45	43.04	43.68	42.12	42.4	43.36	42.49	44.17	44.21	42.65	43.21	44.35	42.96	43.78	43.85	43.5	43.18	43.46	42.78	43.84	44.3	43.91	43.39	44.03	44.22	45.81	45.58	44.27	44.67	45.76	44.06	46.08	44.55	44.22	44.49	44.8	44.03	45.18	44.95	44.74	43.84	45.91	43.78	44.48	44.92	45.12	43.57	45.1	43.82	43.85	43.89	44.71	45.76
