#Duplication rate	Coverage
1.0	2.5282829E7
2.0	4855856.0
3.0	303050.0
4.0	70130.0
5.0	9954.0
6.0	3646.0
7.0	1608.0
8.0	1200.0
9.0	878.0
10.0	740.0
11.0	642.0
12.0	537.0
13.0	486.0
14.0	458.0
15.0	392.0
16.0	383.0
17.0	335.0
18.0	342.0
19.0	291.0
20.0	289.0
21.0	257.0
22.0	269.0
23.0	214.0
24.0	237.0
25.0	231.0
26.0	182.0
27.0	194.0
28.0	191.0
29.0	160.0
30.0	181.0
31.0	172.0
32.0	154.0
33.0	166.0
34.0	171.0
35.0	166.0
36.0	147.0
37.0	133.0
38.0	129.0
39.0	130.0
40.0	125.0
41.0	110.0
42.0	139.0
43.0	106.0
44.0	123.0
45.0	123.0
46.0	119.0
47.0	100.0
48.0	109.0
49.0	101.0
50.0	7508.0
