#GC Content (%)	Sample	MOUSE (mm9)
1.0	0.0	0.0
2.0	2.1290371067748302E-7	0.0
3.0	4.2580742135496603E-7	0.0
4.0	1.277422264064898E-6	0.0
5.0	6.38711132032449E-7	0.0
6.0	1.4903259747423811E-6	0.0
7.0	5.109689056259592E-6	0.0
8.0	7.2387261630344225E-6	0.0
9.0	8.729052137776803E-6	0.0
10.0	1.2135511508616531E-5	0.0
11.0	2.0225852514360887E-5	0.0
12.0	1.1326477408042097E-4	0.0
13.0	4.7051720059723755E-4	0.0
14.0	0.0012397383072749839	0.0
15.0	0.0026570383092549884	0.0
16.0	0.0058082261309924145	0.0
17.0	0.012495744587082833	1.0E-6
18.0	0.023740466970224774	2.0E-6
19.0	0.03983428426775707	2.0E-6
20.0	0.05833519091820899	2.0E-6
21.0	0.07624784461605903	4.0E-6
22.0	0.08979022384483237	8.0E-6
23.0	0.0973067893503009	2.6999999999999996E-5
24.0	0.09854972121323606	8.4E-5
25.0	0.10243776877762825	2.02E-4
26.0	0.07513670015003326	4.7000000000000004E-4
27.0	0.07195570580880098	0.0010370000000000002
28.0	0.05905246351948143	0.0019590000000000002
29.0	0.04720245588688341	0.0036130000000000003
30.0	0.03666265768979462	0.006123000000000001
31.0	0.02770452115932883	0.009387000000000001
32.0	0.02069424067785135	0.013797000000000002
33.0	0.015121273147157553	0.019358999999999998
34.0	0.01108163814076299	0.026201000000000002
35.0	0.008103753939517037	0.033898000000000005
36.0	0.00583228425029897	0.043239
37.0	0.0042003773079560625	0.053165000000000004
38.0	0.002840348404148301	0.062416
39.0	0.0019306108484234163	0.06324300000000001
40.0	0.0013093578206665208	0.06277999999999999
41.0	8.15847019316115E-4	0.066053
42.0	4.941495124824381E-4	0.06889200000000001
43.0	3.0104584689796105E-4	0.06796100000000001
44.0	1.854391320000877E-4	0.065021
45.0	1.0709056647077397E-4	0.060319000000000005
46.0	6.536143917798728E-5	0.05297399999999999
47.0	4.343235697820654E-5	0.045395
48.0	2.3632311885200615E-5	0.038111000000000006
49.0	1.1922607797939049E-5	0.030882999999999997
50.0	1.5541970879456256E-5	0.024474000000000003
51.0	5.109689056259592E-6	0.019307
52.0	1.7032296854198641E-6	0.015138000000000002
53.0	3.4064593708397283E-6	0.011592000000000003
54.0	1.277422264064898E-6	0.008714
55.0	1.064518553387415E-6	0.006492
56.0	1.916133396097347E-6	0.004682
57.0	4.2580742135496603E-7	0.003338
58.0	4.2580742135496603E-7	0.00227
59.0	0.0	0.001632
60.0	8.516148427099321E-7	0.0011810000000000002
61.0	2.1290371067748302E-7	8.43E-4
62.0	4.2580742135496603E-7	6.61E-4
63.0	4.2580742135496603E-7	5.82E-4
64.0	0.0	4.5900000000000004E-4
65.0	4.2580742135496603E-7	3.8599999999999995E-4
66.0	0.0	3.0299999999999994E-4
67.0	1.916133396097347E-6	2.64E-4
68.0	0.0	2.01E-4
69.0	0.0	1.85E-4
70.0	0.0	1.46E-4
71.0	0.0	1.1699999999999997E-4
72.0	4.2580742135496603E-7	1.05E-4
73.0	2.1290371067748302E-7	7.699999999999999E-5
74.0	0.0	6.3E-5
75.0	4.2580742135496603E-7	5.2E-5
76.0	0.0	3.2E-5
77.0	0.0	2.5000000000000005E-5
78.0	0.0	1.7E-5
79.0	0.0	1.7E-5
80.0	2.1290371067748302E-7	4.9999999999999996E-6
81.0	0.0	0.0
82.0	0.0	0.0
83.0	0.0	0.0
84.0	0.0	0.0
85.0	0.0	0.0
86.0	0.0	0.0
87.0	0.0	0.0
88.0	0.0	0.0
89.0	0.0	0.0
90.0	0.0	0.0
91.0	0.0	0.0
92.0	0.0	0.0
93.0	0.0	0.0
94.0	0.0	0.0
95.0	0.0	0.0
96.0	0.0	0.0
97.0	0.0	0.0
98.0	0.0	0.0
99.0	0.0	0.0
100.0	2.9806519494847622E-6	0.0
