#Coverage	Number of genomic locations
0.0	1.008366204E9
1.0	4.87556713E8
2.0	4.37052336E8
3.0	2.80345441E8
4.0	1.9840427E8
5.0	1.22434147E8
6.0	7.8223383E7
7.0	4.6675087E7
8.0	2.8161958E7
9.0	1.6251051E7
10.0	9430716.0
11.0	5345462.0
12.0	3040603.0
13.0	1693493.0
14.0	957622.0
15.0	535421.0
16.0	304042.0
17.0	179767.0
18.0	108202.0
19.0	67193.0
20.0	45364.0
21.0	33245.0
22.0	25320.0
23.0	20004.0
24.0	15844.0
25.0	14397.0
26.0	12259.0
27.0	10596.0
28.0	9432.0
29.0	8468.0
30.0	8351.0
31.0	6800.0
32.0	6206.0
33.0	5451.0
34.0	5273.0
35.0	4677.0
36.0	4571.0
37.0	4000.0
38.0	3886.0
39.0	3506.0
40.0	3234.0
41.0	3012.0
42.0	3144.0
43.0	2800.0
44.0	2564.0
45.0	2495.0
46.0	2406.0
47.0	2396.0
48.0	2265.0
49.0	2030.0
50.0	2025.0
51.0	1937.0
52.0	1789.0
53.0	1633.0
54.0	1557.0
55.0	1533.0
56.0	1616.0
57.0	1490.0
58.0	1687.0
59.0	1532.0
60.0	1391.0
61.0	1394.0
62.0	1165.0
63.0	1218.0
64.0	1229.0
65.0	1156.0
66.0	1244.0
67.0	1133.0
68.0	1210.0
69.0	1178.0
70.0	1007.0
71.0	1054.0
72.0	1036.0
73.0	994.0
74.0	1014.0
75.0	942.0
76.0	862.0
77.0	1011.0
78.0	989.0
79.0	949.0
80.0	927.0
81.0	934.0
82.0	835.0
83.0	827.0
84.0	832.0
85.0	856.0
86.0	782.0
87.0	718.0
88.0	776.0
89.0	819.0
90.0	754.0
91.0	671.0
92.0	678.0
93.0	710.0
94.0	735.0
95.0	663.0
96.0	774.0
97.0	669.0
98.0	615.0
99.0	675.0
100.0	678.0
101.0	779.0
102.0	675.0
103.0	809.0
104.0	654.0
105.0	614.0
106.0	611.0
107.0	631.0
108.0	708.0
109.0	643.0
110.0	528.0
111.0	559.0
112.0	527.0
113.0	510.0
114.0	542.0
115.0	431.0
116.0	515.0
117.0	461.0
118.0	493.0
119.0	517.0
120.0	528.0
121.0	457.0
122.0	399.0
123.0	426.0
124.0	404.0
125.0	380.0
126.0	389.0
127.0	406.0
128.0	349.0
129.0	365.0
130.0	445.0
131.0	413.0
132.0	458.0
133.0	430.0
134.0	435.0
135.0	399.0
136.0	440.0
137.0	434.0
138.0	405.0
139.0	406.0
140.0	348.0
141.0	302.0
142.0	340.0
143.0	339.0
144.0	258.0
145.0	293.0
146.0	271.0
147.0	307.0
148.0	281.0
149.0	294.0
150.0	282.0
151.0	241.0
152.0	266.0
153.0	313.0
154.0	252.0
155.0	259.0
156.0	298.0
157.0	265.0
158.0	279.0
159.0	244.0
160.0	249.0
161.0	274.0
162.0	271.0
163.0	267.0
164.0	221.0
165.0	231.0
166.0	261.0
167.0	210.0
168.0	234.0
169.0	272.0
170.0	217.0
171.0	221.0
172.0	238.0
173.0	229.0
174.0	183.0
175.0	207.0
176.0	198.0
177.0	192.0
178.0	229.0
179.0	210.0
180.0	207.0
181.0	215.0
182.0	237.0
183.0	199.0
184.0	240.0
185.0	235.0
186.0	227.0
187.0	190.0
188.0	212.0
189.0	128.0
190.0	179.0
191.0	138.0
192.0	181.0
193.0	136.0
194.0	162.0
195.0	159.0
196.0	138.0
197.0	142.0
198.0	171.0
