#Insert size (bp)	insert size
20.0	592.0
21.0	1084.0
22.0	1752.0
23.0	2252.0
24.0	2732.0
25.0	3249.0
26.0	3720.0
27.0	4084.0
28.0	4268.0
29.0	4650.0
30.0	5223.0
31.0	5372.0
32.0	5594.0
33.0	5836.0
34.0	5844.0
35.0	6113.0
36.0	6393.0
37.0	6572.0
38.0	6848.0
39.0	7033.0
40.0	7442.0
41.0	7559.0
42.0	8075.0
43.0	8148.0
44.0	8348.0
45.0	8718.0
46.0	9063.0
47.0	9344.0
48.0	9625.0
49.0	10134.0
50.0	10378.0
51.0	10825.0
52.0	11163.0
53.0	11189.0
54.0	11578.0
55.0	12087.0
56.0	12336.0
57.0	12726.0
58.0	13063.0
59.0	13731.0
60.0	14384.0
61.0	15039.0
62.0	15541.0
63.0	16019.0
64.0	16311.0
65.0	16985.0
66.0	17633.0
67.0	18250.0
68.0	18475.0
69.0	19100.0
70.0	19819.0
71.0	20616.0
72.0	21226.0
73.0	21883.0
74.0	22498.0
75.0	23391.0
76.0	24084.0
77.0	24516.0
78.0	25353.0
79.0	25828.0
80.0	26946.0
81.0	27359.0
82.0	28097.0
83.0	28819.0
84.0	29803.0
85.0	30231.0
86.0	31399.0
87.0	32269.0
88.0	33176.0
89.0	33880.0
90.0	35695.0
91.0	36578.0
92.0	37666.0
93.0	38824.0
94.0	39702.0
95.0	40262.0
96.0	41744.0
97.0	42565.0
98.0	43339.0
99.0	44243.0
100.0	45647.0
101.0	46688.0
102.0	47390.0
103.0	48532.0
104.0	50199.0
105.0	50781.0
106.0	52218.0
107.0	53172.0
108.0	54221.0
109.0	55093.0
110.0	56324.0
111.0	57881.0
112.0	58440.0
113.0	59405.0
114.0	61051.0
115.0	61775.0
116.0	63147.0
117.0	64395.0
118.0	65469.0
119.0	67319.0
120.0	68919.0
121.0	69916.0
122.0	71502.0
123.0	71260.0
124.0	71599.0
125.0	72503.0
126.0	75046.0
127.0	77735.0
128.0	79751.0
129.0	83351.0
130.0	88066.0
131.0	96986.0
132.0	109393.0
133.0	109994.0
134.0	90012.0
135.0	90960.0
136.0	90819.0
137.0	91987.0
138.0	92924.0
139.0	94835.0
140.0	94705.0
141.0	95148.0
142.0	95569.0
143.0	97420.0
144.0	97491.0
145.0	98703.0
146.0	99352.0
147.0	100371.0
148.0	100595.0
149.0	101142.0
150.0	102592.0
151.0	103525.0
152.0	103512.0
153.0	103697.0
154.0	103743.0
155.0	105039.0
156.0	106250.0
157.0	106190.0
158.0	107047.0
159.0	106322.0
160.0	107372.0
161.0	107737.0
162.0	108420.0
163.0	108931.0
164.0	109494.0
165.0	109703.0
