#Mapping quality	mapping quality
0.0	6333674.0
1.0	114945.0
2.0	380562.0
3.0	5461524.0
4.0	416957.0
5.0	322043.0
6.0	590053.0
7.0	2683162.0
8.0	8323682.0
9.0	470240.0
10.0	550906.0
11.0	2184119.0
12.0	2638919.0
13.0	1319869.0
14.0	2447218.0
15.0	2579747.0
16.0	3106899.0
17.0	2506096.0
18.0	3026216.0
19.0	3507588.0
20.0	2127904.0
21.0	6146785.0
22.0	6112648.0
23.0	2.8037995E7
24.0	4.2874458E7
25.0	8504798.0
26.0	4337328.0
27.0	4755550.0
28.0	8660815.0
29.0	1.3009073E7
30.0	2.596086E7
31.0	1.7272634E7
32.0	3.4010578E7
33.0	3.4834841E7
34.0	2.4802294E7
35.0	2.7169512E7
36.0	3.640948E7
37.0	3.1840113E7
38.0	2.7544253E7
39.0	1.9396689E7
40.0	9.4312904E7
41.0	1.60735937E8
42.0	1.009349597E9
