#Insert size (bp)	insert size
20.0	155.0
21.0	246.0
22.0	412.0
23.0	496.0
24.0	664.0
25.0	750.0
26.0	847.0
27.0	1009.0
28.0	1005.0
29.0	1104.0
30.0	1309.0
31.0	1341.0
32.0	1431.0
33.0	1499.0
34.0	1572.0
35.0	1581.0
36.0	1695.0
37.0	1811.0
38.0	1843.0
39.0	1928.0
40.0	1908.0
41.0	2061.0
42.0	2144.0
43.0	2234.0
44.0	2229.0
45.0	2430.0
46.0	2439.0
47.0	2499.0
48.0	2704.0
49.0	2716.0
50.0	2855.0
51.0	2924.0
52.0	3029.0
53.0	3044.0
54.0	3224.0
55.0	3270.0
56.0	3418.0
57.0	3409.0
58.0	3458.0
59.0	3502.0
60.0	3759.0
61.0	3928.0
62.0	4057.0
63.0	4090.0
64.0	4301.0
65.0	4386.0
66.0	4514.0
67.0	4566.0
68.0	4722.0
69.0	4867.0
70.0	4859.0
71.0	5043.0
72.0	5340.0
73.0	5205.0
74.0	5445.0
75.0	5623.0
76.0	5703.0
77.0	5739.0
78.0	6051.0
79.0	5886.0
80.0	6156.0
81.0	6312.0
82.0	6522.0
83.0	6539.0
84.0	6705.0
85.0	6810.0
86.0	6976.0
87.0	7255.0
88.0	7334.0
89.0	7602.0
90.0	7771.0
91.0	7879.0
92.0	8278.0
93.0	8346.0
94.0	8253.0
95.0	8570.0
96.0	8454.0
97.0	8639.0
98.0	8799.0
99.0	8787.0
100.0	9124.0
101.0	9204.0
102.0	9353.0
103.0	9395.0
104.0	9460.0
105.0	9843.0
106.0	9720.0
107.0	9774.0
108.0	9983.0
109.0	10343.0
110.0	10397.0
111.0	10352.0
112.0	10015.0
113.0	10188.0
114.0	10259.0
115.0	10225.0
116.0	10264.0
117.0	10413.0
118.0	10348.0
119.0	10575.0
120.0	11131.0
121.0	11873.0
122.0	11317.0
123.0	10532.0
124.0	8502.0
125.0	8597.0
126.0	9368.0
127.0	9768.0
128.0	10395.0
129.0	12431.0
130.0	15608.0
131.0	22839.0
132.0	34197.0
133.0	36533.0
134.0	18558.0
135.0	17107.0
136.0	16566.0
137.0	17328.0
138.0	16979.0
139.0	18511.0
140.0	17990.0
141.0	16484.0
142.0	16243.0
143.0	16344.0
144.0	16331.0
145.0	16406.0
146.0	16161.0
147.0	16052.0
148.0	16216.0
149.0	16262.0
150.0	16304.0
151.0	16035.0
152.0	16338.0
153.0	16068.0
154.0	15976.0
155.0	15955.0
156.0	16021.0
157.0	15993.0
158.0	15981.0
159.0	15895.0
160.0	15815.0
161.0	15840.0
162.0	15857.0
163.0	15849.0
164.0	15591.0
165.0	15552.0
166.0	15609.0
167.0	15561.0
168.0	15447.0
169.0	15522.0
170.0	15500.0
171.0	15384.0
172.0	15495.0
173.0	15211.0
174.0	14881.0
175.0	15125.0
176.0	14923.0
177.0	14718.0
178.0	14952.0
179.0	15108.0
180.0	14678.0
181.0	14651.0
182.0	14832.0
183.0	14608.0
184.0	14459.0
185.0	14225.0
186.0	14164.0
187.0	13896.0
188.0	14066.0
189.0	13715.0
190.0	13684.0
191.0	13689.0
192.0	13561.0
193.0	13457.0
194.0	13635.0
195.0	13164.0
196.0	13158.0
197.0	13006.0
198.0	13169.0
199.0	12812.0
200.0	12903.0
201.0	12737.0
202.0	12481.0
203.0	12555.0
204.0	12286.0
205.0	12290.0
206.0	12104.0
207.0	12112.0
208.0	11928.0
209.0	12219.0
210.0	11842.0
211.0	11657.0
212.0	11414.0
213.0	11440.0
214.0	10991.0
215.0	11079.0
216.0	11069.0
217.0	10803.0
218.0	10792.0
219.0	10507.0
220.0	10586.0
221.0	10412.0
222.0	10446.0
223.0	10223.0
224.0	10197.0
225.0	9991.0
226.0	9847.0
227.0	9881.0
228.0	9696.0
229.0	9672.0
230.0	9474.0
231.0	9559.0
232.0	9298.0
233.0	9026.0
234.0	9222.0
235.0	8793.0
236.0	8810.0
237.0	8657.0
238.0	8602.0
239.0	8832.0
240.0	8507.0
241.0	8382.0
242.0	8154.0
243.0	8126.0
244.0	8005.0
245.0	7975.0
246.0	7993.0
247.0	7663.0
248.0	7689.0
249.0	7481.0
250.0	7466.0
251.0	7286.0
252.0	7260.0
253.0	7073.0
254.0	7043.0
255.0	6982.0
256.0	7001.0
257.0	6813.0
258.0	6775.0
259.0	6655.0
260.0	6552.0
261.0	6540.0
262.0	6355.0
263.0	6365.0
264.0	6342.0
265.0	6282.0
266.0	6060.0
267.0	5962.0
268.0	5889.0
269.0	5850.0
270.0	5711.0
271.0	5643.0
272.0	5614.0
273.0	5489.0
274.0	5414.0
275.0	5412.0
276.0	5325.0
277.0	5167.0
278.0	5121.0
279.0	5096.0
280.0	4953.0
281.0	5030.0
282.0	4862.0
283.0	4775.0
284.0	4651.0
285.0	4730.0
286.0	4738.0
287.0	4569.0
288.0	4485.0
289.0	4515.0
290.0	4320.0
291.0	4356.0
292.0	4363.0
293.0	4309.0
294.0	4279.0
295.0	4142.0
296.0	4173.0
297.0	4167.0
298.0	3891.0
299.0	3845.0
300.0	3781.0
301.0	3875.0
302.0	3725.0
303.0	3643.0
304.0	3536.0
305.0	3640.0
306.0	3505.0
307.0	3386.0
308.0	3327.0
309.0	3389.0
310.0	3364.0
311.0	3238.0
312.0	3245.0
313.0	3206.0
314.0	3115.0
315.0	3082.0
316.0	2935.0
317.0	2915.0
318.0	2984.0
319.0	2899.0
320.0	2863.0
321.0	2893.0
322.0	2726.0
323.0	2708.0
324.0	2745.0
325.0	2611.0
326.0	2595.0
327.0	2592.0
328.0	2544.0
329.0	2522.0
330.0	2569.0
331.0	2339.0
332.0	2434.0
333.0	2458.0
334.0	2302.0
335.0	2357.0
336.0	2258.0
337.0	2215.0
338.0	2208.0
339.0	2216.0
340.0	2192.0
341.0	2103.0
342.0	2102.0
343.0	2012.0
344.0	1994.0
345.0	1980.0
346.0	1945.0
347.0	1887.0
348.0	1861.0
349.0	1860.0
350.0	1825.0
351.0	1813.0
352.0	1827.0
353.0	1699.0
354.0	1766.0
355.0	1684.0
356.0	1646.0
357.0	1679.0
358.0	1612.0
359.0	1621.0
360.0	1601.0
361.0	1534.0
362.0	1534.0
363.0	1534.0
364.0	1506.0
365.0	1416.0
366.0	1432.0
367.0	1415.0
368.0	1440.0
369.0	1364.0
370.0	1421.0
371.0	1355.0
372.0	1312.0
373.0	1259.0
374.0	1284.0
375.0	1235.0
376.0	1278.0
377.0	1265.0
378.0	1171.0
379.0	1160.0
380.0	1183.0
381.0	1154.0
382.0	1077.0
383.0	1101.0
384.0	1046.0
385.0	1101.0
386.0	1033.0
387.0	1003.0
388.0	985.0
389.0	998.0
390.0	934.0
391.0	1011.0
392.0	968.0
393.0	972.0
394.0	958.0
395.0	893.0
396.0	919.0
397.0	897.0
398.0	876.0
399.0	843.0
400.0	834.0
401.0	860.0
402.0	800.0
403.0	824.0
404.0	845.0
405.0	757.0
406.0	789.0
407.0	793.0
408.0	763.0
409.0	790.0
410.0	771.0
411.0	722.0
412.0	726.0
413.0	675.0
414.0	709.0
415.0	696.0
416.0	658.0
417.0	658.0
418.0	659.0
419.0	643.0
420.0	627.0
421.0	635.0
422.0	588.0
423.0	586.0
424.0	570.0
425.0	590.0
426.0	573.0
427.0	541.0
428.0	551.0
429.0	504.0
430.0	514.0
431.0	524.0
432.0	533.0
433.0	525.0
434.0	495.0
435.0	500.0
436.0	486.0
437.0	484.0
438.0	519.0
439.0	465.0
440.0	481.0
441.0	442.0
442.0	460.0
443.0	391.0
444.0	417.0
445.0	407.0
446.0	407.0
447.0	382.0
448.0	411.0
449.0	410.0
450.0	364.0
451.0	382.0
452.0	368.0
453.0	355.0
454.0	379.0
455.0	369.0
456.0	362.0
457.0	387.0
458.0	313.0
