#Duplication rate	Coverage
1.0	8203939.0
2.0	785916.0
3.0	19081.0
4.0	3603.0
5.0	1145.0
6.0	847.0
7.0	644.0
8.0	617.0
9.0	531.0
10.0	491.0
11.0	377.0
12.0	384.0
13.0	350.0
14.0	323.0
15.0	314.0
16.0	274.0
17.0	266.0
18.0	258.0
19.0	226.0
20.0	224.0
21.0	195.0
22.0	213.0
23.0	196.0
24.0	187.0
25.0	150.0
26.0	141.0
27.0	171.0
28.0	147.0
29.0	141.0
30.0	143.0
31.0	133.0
32.0	125.0
33.0	118.0
34.0	132.0
35.0	120.0
36.0	101.0
37.0	92.0
38.0	119.0
39.0	90.0
40.0	105.0
41.0	87.0
42.0	74.0
43.0	75.0
44.0	71.0
45.0	81.0
46.0	76.0
47.0	77.0
48.0	48.0
49.0	81.0
50.0	3340.0
