#Insert size (bp)	insert size
20.0	166.0
21.0	298.0
22.0	416.0
23.0	528.0
24.0	604.0
25.0	701.0
26.0	805.0
27.0	956.0
28.0	1011.0
29.0	1046.0
30.0	1204.0
31.0	1224.0
32.0	1270.0
33.0	1288.0
34.0	1357.0
35.0	1451.0
36.0	1472.0
37.0	1422.0
38.0	1573.0
39.0	1609.0
40.0	1637.0
41.0	1762.0
42.0	1714.0
43.0	1837.0
44.0	1838.0
45.0	1945.0
46.0	1994.0
47.0	2061.0
48.0	2110.0
49.0	2161.0
50.0	2155.0
51.0	2280.0
52.0	2424.0
53.0	2491.0
54.0	2626.0
55.0	2511.0
56.0	2586.0
57.0	2772.0
58.0	2832.0
59.0	2866.0
60.0	3118.0
61.0	3227.0
62.0	3331.0
63.0	3351.0
64.0	3607.0
65.0	3569.0
66.0	3751.0
67.0	3733.0
68.0	3993.0
69.0	4124.0
70.0	4185.0
71.0	4116.0
72.0	4512.0
73.0	4453.0
74.0	4860.0
75.0	4764.0
76.0	4961.0
77.0	5071.0
78.0	5155.0
79.0	5202.0
80.0	5478.0
81.0	5554.0
82.0	5793.0
83.0	5771.0
84.0	6115.0
85.0	6150.0
86.0	6513.0
87.0	6652.0
88.0	6671.0
89.0	6829.0
90.0	7231.0
91.0	7488.0
92.0	7939.0
93.0	8007.0
94.0	7905.0
95.0	8190.0
96.0	8327.0
97.0	8716.0
98.0	8742.0
99.0	9021.0
100.0	9219.0
101.0	9322.0
102.0	9785.0
103.0	9964.0
104.0	9961.0
105.0	10311.0
106.0	10300.0
107.0	10709.0
108.0	10813.0
109.0	11280.0
110.0	11390.0
111.0	11525.0
112.0	11703.0
113.0	11697.0
114.0	11858.0
115.0	12041.0
116.0	12126.0
117.0	12379.0
118.0	12657.0
119.0	12941.0
120.0	13563.0
121.0	14125.0
122.0	14019.0
123.0	13432.0
124.0	10725.0
125.0	10751.0
126.0	11773.0
127.0	12431.0
128.0	13765.0
129.0	16325.0
130.0	20506.0
131.0	30074.0
132.0	44544.0
133.0	51168.0
134.0	25912.0
135.0	24423.0
136.0	23731.0
137.0	25372.0
138.0	24813.0
139.0	27508.0
140.0	26727.0
141.0	25656.0
142.0	24850.0
143.0	25150.0
144.0	25386.0
145.0	25653.0
146.0	25661.0
147.0	26330.0
148.0	26234.0
149.0	26380.0
150.0	26794.0
151.0	26975.0
152.0	27346.0
153.0	26822.0
154.0	27325.0
155.0	27472.0
156.0	27774.0
157.0	27776.0
158.0	27962.0
159.0	28073.0
160.0	28024.0
161.0	28145.0
162.0	28780.0
163.0	28606.0
164.0	28826.0
165.0	28877.0
166.0	29072.0
167.0	29147.0
168.0	28979.0
169.0	29487.0
170.0	29652.0
171.0	29764.0
172.0	29674.0
173.0	29549.0
174.0	29394.0
175.0	29846.0
176.0	29700.0
177.0	30196.0
178.0	30109.0
179.0	30033.0
180.0	30099.0
181.0	30230.0
182.0	29725.0
183.0	29855.0
184.0	29774.0
185.0	29908.0
186.0	29655.0
187.0	29790.0
188.0	29496.0
189.0	29715.0
190.0	29533.0
191.0	29310.0
192.0	29264.0
193.0	28960.0
194.0	28967.0
195.0	28861.0
196.0	28444.0
197.0	28911.0
198.0	28604.0
199.0	28661.0
200.0	28144.0
201.0	28252.0
202.0	28224.0
203.0	27761.0
204.0	27982.0
205.0	27544.0
206.0	27644.0
207.0	27201.0
208.0	27153.0
209.0	27445.0
210.0	27122.0
211.0	26830.0
212.0	26386.0
213.0	26113.0
214.0	25781.0
215.0	25592.0
216.0	25667.0
217.0	25253.0
218.0	24989.0
219.0	25171.0
220.0	24890.0
221.0	24726.0
222.0	24784.0
223.0	24375.0
224.0	24075.0
225.0	23558.0
226.0	23549.0
227.0	23116.0
228.0	23284.0
229.0	23178.0
230.0	22620.0
231.0	22634.0
232.0	22707.0
233.0	22322.0
234.0	21900.0
235.0	21527.0
236.0	21243.0
237.0	21282.0
238.0	21073.0
239.0	20961.0
240.0	20743.0
241.0	20333.0
242.0	20426.0
243.0	20033.0
244.0	19925.0
245.0	19677.0
246.0	19577.0
247.0	19150.0
248.0	19051.0
249.0	18674.0
250.0	18503.0
251.0	18554.0
252.0	18482.0
253.0	18119.0
254.0	18296.0
255.0	18015.0
256.0	17916.0
257.0	17581.0
258.0	17174.0
259.0	17179.0
260.0	17069.0
261.0	16723.0
262.0	16614.0
263.0	16524.0
264.0	16222.0
265.0	15843.0
266.0	15660.0
267.0	15428.0
268.0	14995.0
269.0	15096.0
270.0	14959.0
271.0	14560.0
272.0	14526.0
273.0	14404.0
274.0	14151.0
275.0	14075.0
276.0	13842.0
277.0	13590.0
278.0	13405.0
279.0	13002.0
280.0	13049.0
281.0	12900.0
282.0	12677.0
283.0	12898.0
284.0	12595.0
285.0	12492.0
286.0	12080.0
287.0	12370.0
288.0	11900.0
289.0	11780.0
290.0	11596.0
291.0	11457.0
292.0	11279.0
293.0	11180.0
294.0	11115.0
295.0	10964.0
296.0	10852.0
297.0	10697.0
298.0	10603.0
299.0	10375.0
300.0	10326.0
301.0	10065.0
302.0	9811.0
303.0	9846.0
304.0	9687.0
305.0	9388.0
306.0	9385.0
307.0	9250.0
308.0	9170.0
309.0	8879.0
310.0	8945.0
311.0	8687.0
312.0	8735.0
313.0	8483.0
314.0	8444.0
315.0	8333.0
316.0	8145.0
317.0	8134.0
318.0	7886.0
319.0	7874.0
320.0	7722.0
321.0	7868.0
322.0	7460.0
323.0	7357.0
324.0	7302.0
325.0	7306.0
326.0	7051.0
327.0	6870.0
328.0	6797.0
329.0	6755.0
330.0	6741.0
331.0	6535.0
332.0	6494.0
333.0	6265.0
334.0	6182.0
335.0	6160.0
336.0	5965.0
337.0	6063.0
338.0	5897.0
339.0	5862.0
340.0	5809.0
341.0	5736.0
342.0	5636.0
343.0	5535.0
344.0	5349.0
345.0	5310.0
346.0	5347.0
347.0	5069.0
348.0	5270.0
349.0	5107.0
350.0	4972.0
351.0	4912.0
352.0	4792.0
353.0	4588.0
354.0	4589.0
355.0	4518.0
356.0	4504.0
357.0	4428.0
358.0	4346.0
359.0	4258.0
360.0	4170.0
361.0	4207.0
362.0	4059.0
363.0	4129.0
364.0	4008.0
365.0	3967.0
366.0	3846.0
367.0	3822.0
368.0	3622.0
369.0	3713.0
370.0	3555.0
371.0	3551.0
372.0	3560.0
373.0	3479.0
374.0	3395.0
375.0	3412.0
376.0	3310.0
377.0	3176.0
378.0	3249.0
379.0	3124.0
380.0	3010.0
381.0	2926.0
382.0	2963.0
383.0	2962.0
384.0	2961.0
385.0	2918.0
386.0	2793.0
387.0	2846.0
388.0	2577.0
389.0	2710.0
390.0	2602.0
391.0	2557.0
392.0	2561.0
393.0	2504.0
394.0	2409.0
395.0	2373.0
396.0	2383.0
397.0	2397.0
398.0	2283.0
399.0	2233.0
400.0	2232.0
401.0	2249.0
402.0	2159.0
403.0	2177.0
404.0	2127.0
405.0	2080.0
406.0	2048.0
407.0	2010.0
408.0	2035.0
409.0	1925.0
410.0	1916.0
411.0	1859.0
412.0	1842.0
413.0	1808.0
414.0	1797.0
415.0	1784.0
416.0	1738.0
417.0	1714.0
418.0	1688.0
419.0	1554.0
420.0	1545.0
421.0	1555.0
422.0	1498.0
423.0	1525.0
424.0	1438.0
425.0	1458.0
426.0	1481.0
427.0	1403.0
428.0	1385.0
429.0	1325.0
430.0	1318.0
431.0	1333.0
432.0	1277.0
433.0	1309.0
434.0	1239.0
435.0	1291.0
436.0	1310.0
437.0	1155.0
438.0	1177.0
439.0	1177.0
