#GC Content (%)	Sample	MOUSE (mm9)
1.0	0.0	0.0
2.0	0.0	0.0
3.0	0.0	0.0
4.0	3.0965696201747705E-6	0.0
5.0	5.160949366957951E-7	0.0
6.0	5.16094936695795E-6	0.0
7.0	4.128759493566361E-6	0.0
8.0	5.677044303653745E-6	0.0
9.0	1.1870183544003287E-5	0.0
10.0	1.857941772104862E-5	0.0
11.0	6.657624683375756E-5	0.0
12.0	3.3184904429539624E-4	0.0
13.0	9.8677351896236E-4	0.0
14.0	0.0017856884809674509	0.0
15.0	0.0033809379302941534	0.0
16.0	0.0074358958479130155	0.0
17.0	0.015361049695813644	1.0E-6
18.0	0.02822316770814625	2.0E-6
19.0	0.0459892198089623	2.0E-6
20.0	0.06578094453630934	2.0E-6
21.0	0.08390052166876201	4.0E-6
22.0	0.09630331518743536	8.0E-6
23.0	0.10136259385186425	2.6999999999999996E-5
24.0	0.09906029433926429	8.4E-5
25.0	0.09917486741521077	2.02E-4
26.0	0.07047018313112734	4.7000000000000004E-4
27.0	0.06609060149832682	0.0010370000000000002
28.0	0.05296011411891241	0.0019590000000000002
29.0	0.04120708412553906	0.0036130000000000003
30.0	0.03129651305616971	0.006123000000000001
31.0	0.023251625182955652	0.009387000000000001
32.0	0.017311372461587052	0.013797000000000002
33.0	0.012626262626262628	0.019358999999999998
34.0	0.00935628510735807	0.026201000000000002
35.0	0.006948702227672186	0.033898000000000005
36.0	0.0052631361644237176	0.043239
37.0	0.004053409632808774	0.053165000000000004
38.0	0.003039799177138233	0.062416
39.0	0.0022909454239926344	0.06324300000000001
40.0	0.0016035069683138353	0.06277999999999999
41.0	0.0011003144050354351	0.066053
42.0	6.719556075779252E-4	0.06889200000000001
43.0	4.262944177107267E-4	0.06796100000000001
44.0	2.9469020885329903E-4	0.065021
45.0	1.88890746830661E-4	0.060319000000000005
46.0	1.2128231012351184E-4	0.05297399999999999
47.0	9.650975316211367E-5	0.045395
48.0	5.315777847966689E-5	0.038111000000000006
49.0	2.5288651898093953E-5	0.030882999999999997
50.0	2.2708177214614982E-5	0.024474000000000003
51.0	8.773613923828514E-6	0.019307
52.0	4.644854430262155E-6	0.015138000000000002
53.0	3.0965696201747705E-6	0.011592000000000003
54.0	4.644854430262155E-6	0.008714
55.0	3.6126645568705655E-6	0.006492
56.0	1.0321898733915902E-6	0.004682
57.0	1.5482848100873852E-6	0.003338
58.0	5.160949366957951E-7	0.00227
59.0	1.5482848100873852E-6	0.001632
60.0	5.160949366957951E-7	0.0011810000000000002
61.0	0.0	8.43E-4
62.0	0.0	6.61E-4
63.0	1.5482848100873852E-6	5.82E-4
64.0	0.0	4.5900000000000004E-4
65.0	0.0	3.8599999999999995E-4
66.0	0.0	3.0299999999999994E-4
67.0	1.0321898733915902E-6	2.64E-4
68.0	0.0	2.01E-4
69.0	0.0	1.85E-4
70.0	0.0	1.46E-4
71.0	0.0	1.1699999999999997E-4
72.0	0.0	1.05E-4
73.0	0.0	7.699999999999999E-5
74.0	0.0	6.3E-5
75.0	5.160949366957951E-7	5.2E-5
76.0	0.0	3.2E-5
77.0	0.0	2.5000000000000005E-5
78.0	0.0	1.7E-5
79.0	0.0	1.7E-5
80.0	0.0	4.9999999999999996E-6
81.0	0.0	0.0
82.0	0.0	0.0
83.0	0.0	0.0
84.0	0.0	0.0
85.0	0.0	0.0
86.0	0.0	0.0
87.0	0.0	0.0
88.0	0.0	0.0
89.0	0.0	0.0
90.0	0.0	0.0
91.0	0.0	0.0
92.0	0.0	0.0
93.0	0.0	0.0
94.0	0.0	0.0
95.0	0.0	0.0
96.0	0.0	0.0
97.0	0.0	0.0
98.0	0.0	0.0
99.0	0.0	0.0
100.0	3.6126645568705655E-6	0.0
