#Mapping quality	mapping quality
0.0	2.0881883E7
1.0	388351.0
2.0	518925.0
3.0	2.0625871E7
4.0	1005059.0
5.0	782617.0
6.0	497643.0
7.0	2150293.0
8.0	2.9596492E7
9.0	558463.0
10.0	721620.0
11.0	2521999.0
12.0	2674258.0
13.0	2985373.0
14.0	2209265.0
15.0	3307757.0
16.0	4060599.0
17.0	2600833.0
18.0	3264640.0
19.0	2836100.0
20.0	1978145.0
21.0	6388777.0
22.0	6257931.0
23.0	6.185798E7
24.0	7.5531411E7
25.0	7138492.0
26.0	2310049.0
27.0	2818826.0
28.0	5672787.0
29.0	9839119.0
30.0	1.2604214E7
31.0	8714344.0
32.0	2.041113E7
33.0	1.6925528E7
34.0	8817890.0
35.0	1.0720748E7
36.0	1.1647915E7
37.0	6221228.0
38.0	3596154.0
39.0	1901607.0
40.0	1.03663572E8
41.0	3.6808359E7
42.0	4.22568918E8
