#Mapping quality	mapping quality
0.0	2.0006611E7
1.0	358901.0
2.0	477778.0
3.0	1.9828875E7
4.0	950720.0
5.0	750160.0
6.0	454702.0
7.0	1947708.0
8.0	2.842475E7
9.0	518262.0
10.0	665325.0
11.0	2249857.0
12.0	2436827.0
13.0	2699069.0
14.0	1982882.0
15.0	2968853.0
16.0	3614960.0
17.0	2325197.0
18.0	2944561.0
19.0	2431728.0
20.0	1733787.0
21.0	5439889.0
22.0	5307909.0
23.0	5.724468E7
24.0	6.9388806E7
25.0	5975781.0
26.0	1972679.0
27.0	2347718.0
28.0	4762289.0
29.0	8313011.0
30.0	1.0506314E7
31.0	7402493.0
32.0	1.6651151E7
33.0	1.3441831E7
34.0	7385967.0
35.0	8588424.0
36.0	9292197.0
37.0	4746770.0
38.0	2703008.0
39.0	1506009.0
40.0	9.4113397E7
41.0	2.8586511E7
42.0	3.55985383E8
