#Duplication rate	Coverage
1.0	1.0943016E7
2.0	1831313.0
3.0	50809.0
4.0	11383.0
5.0	1891.0
6.0	1145.0
7.0	792.0
8.0	668.0
9.0	586.0
10.0	529.0
11.0	437.0
12.0	399.0
13.0	370.0
14.0	340.0
15.0	318.0
16.0	278.0
17.0	285.0
18.0	243.0
19.0	242.0
20.0	222.0
21.0	209.0
22.0	188.0
23.0	188.0
24.0	193.0
25.0	179.0
26.0	166.0
27.0	150.0
28.0	152.0
29.0	164.0
30.0	144.0
31.0	151.0
32.0	136.0
33.0	135.0
34.0	102.0
35.0	124.0
36.0	120.0
37.0	106.0
38.0	83.0
39.0	110.0
40.0	107.0
41.0	104.0
42.0	87.0
43.0	83.0
44.0	76.0
45.0	91.0
46.0	79.0
47.0	78.0
48.0	68.0
49.0	64.0
50.0	4036.0
