#Coverage	Number of genomic locations
0.0	8.28146825E8
1.0	4.39348797E8
2.0	4.30681413E8
3.0	3.09605391E8
4.0	2.39395156E8
5.0	1.62925992E8
6.0	1.13360951E8
7.0	7.378559E7
8.0	4.8396108E7
9.0	3.0449388E7
10.0	1.9172531E7
11.0	1.1784245E7
12.0	7218024.0
13.0	4344139.0
14.0	2606256.0
15.0	1557231.0
16.0	932913.0
17.0	553543.0
18.0	337476.0
19.0	206032.0
20.0	131778.0
21.0	86382.0
22.0	60839.0
23.0	43480.0
24.0	31901.0
25.0	26572.0
26.0	20861.0
27.0	18192.0
28.0	15445.0
29.0	13588.0
30.0	12465.0
31.0	11343.0
32.0	10385.0
33.0	9106.0
34.0	8421.0
35.0	7853.0
36.0	7558.0
37.0	7183.0
38.0	6228.0
39.0	5561.0
40.0	4939.0
41.0	4534.0
42.0	3954.0
43.0	3875.0
44.0	3825.0
45.0	3681.0
46.0	3524.0
47.0	3368.0
48.0	3305.0
49.0	3088.0
50.0	2750.0
51.0	2682.0
52.0	2760.0
53.0	2713.0
54.0	2459.0
55.0	2270.0
56.0	2116.0
57.0	2116.0
58.0	1923.0
59.0	1653.0
60.0	1774.0
61.0	1598.0
62.0	1414.0
63.0	1514.0
64.0	1545.0
65.0	1407.0
66.0	1453.0
67.0	1454.0
68.0	1408.0
69.0	1304.0
70.0	1294.0
71.0	1245.0
72.0	1184.0
73.0	1200.0
74.0	1283.0
75.0	1158.0
76.0	1111.0
77.0	1005.0
78.0	991.0
79.0	1098.0
80.0	931.0
81.0	1014.0
82.0	1027.0
83.0	985.0
84.0	961.0
85.0	1001.0
86.0	1018.0
87.0	927.0
88.0	934.0
89.0	826.0
90.0	822.0
91.0	707.0
92.0	755.0
93.0	666.0
94.0	715.0
95.0	770.0
96.0	762.0
97.0	757.0
98.0	667.0
99.0	635.0
100.0	732.0
101.0	674.0
102.0	697.0
103.0	655.0
104.0	665.0
105.0	674.0
106.0	603.0
107.0	687.0
108.0	623.0
109.0	599.0
110.0	648.0
111.0	733.0
112.0	641.0
113.0	622.0
114.0	624.0
115.0	575.0
116.0	529.0
117.0	573.0
118.0	657.0
119.0	604.0
120.0	505.0
121.0	534.0
122.0	464.0
123.0	489.0
124.0	494.0
125.0	470.0
126.0	479.0
127.0	477.0
128.0	480.0
129.0	516.0
130.0	475.0
131.0	457.0
132.0	530.0
133.0	481.0
134.0	443.0
135.0	447.0
136.0	463.0
137.0	463.0
138.0	438.0
139.0	373.0
140.0	393.0
141.0	399.0
142.0	387.0
143.0	394.0
144.0	366.0
145.0	435.0
146.0	421.0
147.0	415.0
148.0	417.0
149.0	439.0
150.0	356.0
151.0	358.0
152.0	345.0
153.0	347.0
154.0	346.0
155.0	345.0
156.0	306.0
157.0	316.0
158.0	309.0
159.0	318.0
160.0	278.0
161.0	297.0
162.0	278.0
163.0	312.0
164.0	287.0
165.0	302.0
166.0	321.0
167.0	308.0
168.0	300.0
169.0	256.0
170.0	302.0
171.0	286.0
172.0	270.0
173.0	278.0
174.0	350.0
175.0	279.0
176.0	283.0
177.0	296.0
178.0	261.0
179.0	266.0
180.0	249.0
181.0	285.0
182.0	279.0
183.0	254.0
184.0	248.0
185.0	257.0
186.0	250.0
187.0	263.0
188.0	288.0
189.0	244.0
190.0	225.0
191.0	225.0
192.0	247.0
193.0	216.0
194.0	216.0
195.0	233.0
196.0	195.0
197.0	209.0
198.0	219.0
199.0	227.0
200.0	235.0
201.0	232.0
202.0	212.0
203.0	197.0
204.0	215.0
205.0	192.0
206.0	190.0
207.0	192.0
208.0	163.0
209.0	202.0
210.0	213.0
211.0	157.0
212.0	170.0
213.0	186.0
214.0	128.0
215.0	158.0
216.0	147.0
217.0	141.0
218.0	145.0
219.0	187.0
220.0	179.0
221.0	159.0
222.0	145.0
223.0	140.0
224.0	137.0
225.0	147.0
226.0	145.0
227.0	145.0
228.0	132.0
229.0	108.0
230.0	112.0
231.0	109.0
232.0	109.0
233.0	96.0
234.0	112.0
235.0	114.0
236.0	158.0
237.0	148.0
238.0	126.0
239.0	108.0
240.0	153.0
241.0	125.0
242.0	126.0
243.0	116.0
244.0	139.0
245.0	126.0
246.0	107.0
247.0	104.0
248.0	105.0
249.0	108.0
250.0	126.0
251.0	112.0
252.0	104.0
253.0	109.0
254.0	116.0
255.0	103.0
256.0	88.0
257.0	93.0
258.0	118.0
259.0	87.0
260.0	107.0
261.0	100.0
262.0	92.0
263.0	94.0
264.0	101.0
265.0	98.0
266.0	90.0
267.0	89.0
268.0	72.0
269.0	55.0
270.0	75.0
271.0	94.0
272.0	83.0
273.0	73.0
274.0	57.0
275.0	70.0
276.0	65.0
277.0	68.0
278.0	83.0
279.0	80.0
280.0	90.0
281.0	74.0
282.0	100.0
283.0	65.0
284.0	83.0
285.0	73.0
286.0	59.0
287.0	83.0
288.0	59.0
289.0	58.0
290.0	76.0
291.0	64.0
292.0	67.0
293.0	53.0
294.0	66.0
295.0	81.0
296.0	64.0
297.0	77.0
298.0	62.0
299.0	59.0
300.0	70.0
301.0	32.0
302.0	45.0
303.0	37.0
304.0	48.0
305.0	38.0
306.0	39.0
307.0	44.0
308.0	62.0
309.0	64.0
310.0	43.0
311.0	42.0
312.0	41.0
313.0	48.0
314.0	40.0
315.0	35.0
316.0	28.0
317.0	27.0
318.0	42.0
319.0	45.0
320.0	51.0
321.0	37.0
322.0	42.0
323.0	57.0
324.0	63.0
325.0	43.0
326.0	53.0
327.0	42.0
328.0	53.0
329.0	47.0
330.0	68.0
331.0	60.0
332.0	54.0
333.0	37.0
334.0	39.0
335.0	53.0
336.0	39.0
337.0	36.0
338.0	49.0
339.0	64.0
340.0	53.0
341.0	67.0
342.0	60.0
343.0	51.0
344.0	61.0
345.0	46.0
346.0	49.0
347.0	58.0
348.0	39.0
349.0	41.0
350.0	54.0
351.0	49.0
352.0	68.0
353.0	49.0
354.0	50.0
355.0	56.0
356.0	48.0
357.0	52.0
358.0	35.0
359.0	52.0
360.0	36.0
361.0	37.0
362.0	46.0
363.0	48.0
364.0	54.0
365.0	52.0
366.0	35.0
367.0	39.0
368.0	30.0
369.0	46.0
370.0	44.0
371.0	36.0
372.0	48.0
373.0	56.0
374.0	31.0
375.0	37.0
376.0	40.0
377.0	42.0
378.0	27.0
379.0	40.0
380.0	35.0
381.0	38.0
382.0	40.0
383.0	40.0
384.0	34.0
385.0	58.0
386.0	38.0
387.0	44.0
388.0	35.0
389.0	40.0
390.0	43.0
391.0	40.0
392.0	37.0
393.0	40.0
394.0	33.0
395.0	29.0
396.0	29.0
397.0	27.0
398.0	30.0
399.0	27.0
400.0	44.0
401.0	52.0
402.0	56.0
403.0	50.0
404.0	33.0
405.0	42.0
406.0	37.0
407.0	36.0
408.0	52.0
409.0	45.0
410.0	47.0
411.0	36.0
412.0	65.0
413.0	61.0
414.0	40.0
415.0	40.0
416.0	49.0
417.0	48.0
418.0	48.0
419.0	43.0
420.0	43.0
421.0	60.0
422.0	38.0
423.0	28.0
424.0	40.0
425.0	39.0
426.0	33.0
427.0	37.0
428.0	28.0
429.0	43.0
430.0	38.0
431.0	51.0
432.0	52.0
433.0	34.0
434.0	33.0
435.0	39.0
436.0	42.0
437.0	36.0
438.0	27.0
439.0	31.0
440.0	24.0
441.0	44.0
442.0	32.0
443.0	32.0
444.0	46.0
445.0	48.0
446.0	31.0
447.0	19.0
448.0	39.0
449.0	19.0
450.0	33.0
451.0	39.0
452.0	33.0
453.0	29.0
454.0	32.0
455.0	23.0
456.0	29.0
457.0	36.0
458.0	30.0
459.0	33.0
460.0	37.0
461.0	36.0
462.0	48.0
463.0	53.0
464.0	42.0
465.0	35.0
466.0	44.0
467.0	38.0
468.0	36.0
469.0	28.0
470.0	38.0
471.0	36.0
472.0	22.0
473.0	34.0
474.0	31.0
475.0	34.0
476.0	24.0
477.0	27.0
478.0	35.0
479.0	31.0
480.0	32.0
481.0	47.0
482.0	23.0
483.0	34.0
484.0	36.0
485.0	41.0
486.0	34.0
487.0	31.0
488.0	35.0
489.0	25.0
490.0	30.0
491.0	24.0
492.0	33.0
493.0	15.0
494.0	31.0
495.0	35.0
496.0	20.0
497.0	33.0
498.0	33.0
499.0	28.0
500.0	35.0
501.0	32.0
502.0	34.0
503.0	38.0
504.0	23.0
505.0	30.0
506.0	30.0
507.0	26.0
508.0	30.0
509.0	45.0
510.0	48.0
511.0	40.0
512.0	37.0
513.0	34.0
514.0	37.0
515.0	30.0
516.0	40.0
517.0	21.0
518.0	25.0
519.0	25.0
520.0	27.0
521.0	41.0
522.0	33.0
523.0	40.0
524.0	43.0
525.0	38.0
526.0	33.0
527.0	31.0
528.0	24.0
529.0	31.0
530.0	34.0
531.0	23.0
532.0	33.0
533.0	28.0
534.0	24.0
535.0	28.0
536.0	37.0
537.0	25.0
538.0	26.0
539.0	39.0
540.0	21.0
541.0	32.0
542.0	35.0
543.0	26.0
544.0	41.0
545.0	42.0
546.0	29.0
547.0	42.0
548.0	37.0
549.0	30.0
550.0	20.0
551.0	38.0
552.0	25.0
553.0	19.0
554.0	15.0
555.0	29.0
556.0	18.0
557.0	24.0
558.0	26.0
559.0	25.0
560.0	36.0
561.0	18.0
562.0	28.0
563.0	31.0
564.0	29.0
565.0	19.0
566.0	17.0
567.0	20.0
568.0	30.0
569.0	21.0
570.0	29.0
571.0	22.0
572.0	22.0
573.0	17.0
574.0	20.0
575.0	22.0
576.0	29.0
577.0	28.0
578.0	28.0
579.0	34.0
580.0	20.0
581.0	21.0
582.0	29.0
583.0	24.0
584.0	34.0
585.0	28.0
586.0	28.0
587.0	26.0
588.0	28.0
589.0	31.0
590.0	28.0
591.0	26.0
592.0	25.0
593.0	25.0
594.0	18.0
595.0	31.0
596.0	17.0
597.0	33.0
598.0	29.0
599.0	23.0
600.0	32.0
601.0	18.0
602.0	20.0
603.0	22.0
604.0	24.0
605.0	32.0
606.0	38.0
607.0	28.0
608.0	23.0
609.0	22.0
610.0	26.0
611.0	25.0
612.0	18.0
613.0	17.0
614.0	16.0
615.0	20.0
616.0	15.0
617.0	23.0
618.0	23.0
619.0	34.0
620.0	36.0
621.0	24.0
622.0	24.0
623.0	19.0
624.0	25.0
625.0	22.0
626.0	30.0
627.0	27.0
628.0	24.0
629.0	24.0
630.0	25.0
631.0	28.0
632.0	34.0
633.0	21.0
634.0	26.0
635.0	18.0
636.0	20.0
637.0	17.0
638.0	19.0
639.0	19.0
640.0	26.0
641.0	20.0
642.0	18.0
643.0	24.0
644.0	23.0
645.0	27.0
646.0	22.0
647.0	14.0
648.0	24.0
649.0	28.0
650.0	23.0
651.0	21.0
652.0	28.0
653.0	34.0
654.0	28.0
655.0	26.0
656.0	18.0
657.0	22.0
658.0	18.0
659.0	12.0
660.0	24.0
661.0	22.0
662.0	23.0
663.0	17.0
664.0	16.0
665.0	12.0
666.0	27.0
667.0	16.0
668.0	25.0
669.0	19.0
670.0	18.0
671.0	16.0
672.0	8.0
673.0	18.0
674.0	18.0
675.0	12.0
676.0	19.0
677.0	14.0
678.0	21.0
679.0	20.0
680.0	15.0
681.0	16.0
682.0	17.0
683.0	19.0
684.0	16.0
685.0	18.0
686.0	11.0
687.0	15.0
688.0	20.0
689.0	10.0
690.0	17.0
691.0	16.0
692.0	11.0
693.0	18.0
694.0	12.0
695.0	23.0
696.0	14.0
697.0	14.0
698.0	18.0
699.0	17.0
700.0	18.0
701.0	9.0
