#Insert size (bp)	insert size
20.0	1031.0
21.0	1760.0
22.0	2559.0
23.0	3413.0
24.0	4140.0
25.0	4750.0
26.0	5331.0
27.0	5788.0
28.0	6404.0
29.0	6541.0
30.0	7569.0
31.0	8003.0
32.0	8105.0
33.0	8295.0
34.0	8641.0
35.0	8719.0
36.0	8978.0
37.0	9040.0
38.0	9342.0
39.0	9598.0
40.0	9999.0
41.0	10103.0
42.0	10496.0
43.0	10720.0
44.0	11091.0
45.0	11140.0
46.0	11674.0
47.0	11587.0
48.0	11977.0
49.0	12377.0
50.0	12646.0
51.0	13003.0
52.0	13471.0
53.0	13460.0
54.0	13817.0
55.0	14146.0
56.0	14439.0
57.0	14710.0
58.0	15211.0
59.0	15256.0
60.0	16574.0
61.0	17081.0
62.0	17348.0
63.0	17868.0
64.0	18256.0
65.0	18600.0
66.0	19218.0
67.0	19661.0
68.0	20728.0
69.0	20537.0
70.0	21073.0
71.0	21718.0
72.0	22512.0
73.0	23060.0
74.0	23662.0
75.0	24231.0
76.0	24924.0
77.0	25205.0
78.0	26330.0
79.0	26294.0
80.0	27117.0
81.0	27527.0
82.0	29082.0
83.0	28936.0
84.0	30317.0
85.0	30691.0
86.0	31354.0
87.0	31982.0
88.0	33128.0
89.0	33625.0
90.0	36124.0
91.0	37060.0
92.0	38699.0
93.0	39217.0
94.0	39642.0
95.0	40636.0
96.0	41006.0
97.0	42421.0
98.0	43521.0
99.0	44287.0
100.0	45509.0
101.0	46380.0
102.0	47617.0
103.0	48459.0
104.0	49000.0
105.0	50415.0
106.0	50602.0
107.0	52091.0
108.0	52806.0
109.0	54900.0
110.0	56322.0
111.0	56798.0
112.0	57326.0
113.0	57748.0
114.0	58385.0
115.0	59171.0
116.0	59916.0
117.0	60559.0
118.0	61252.0
119.0	62254.0
120.0	65872.0
121.0	69259.0
122.0	68939.0
123.0	64538.0
124.0	52757.0
125.0	52602.0
126.0	57608.0
127.0	61395.0
128.0	67668.0
129.0	80276.0
130.0	100800.0
131.0	150426.0
132.0	222373.0
133.0	251358.0
134.0	129723.0
135.0	122780.0
136.0	119090.0
137.0	125764.0
138.0	125631.0
139.0	137505.0
140.0	132489.0
141.0	125361.0
142.0	124035.0
143.0	124976.0
144.0	125155.0
145.0	127077.0
146.0	128105.0
147.0	128963.0
148.0	130266.0
149.0	130931.0
150.0	132806.0
151.0	133304.0
152.0	132960.0
153.0	133835.0
154.0	134701.0
155.0	135701.0
156.0	136320.0
157.0	137595.0
158.0	138152.0
159.0	139163.0
160.0	139818.0
161.0	141124.0
162.0	141339.0
163.0	142166.0
164.0	142213.0
165.0	141766.0
166.0	142744.0
167.0	143404.0
168.0	144162.0
169.0	145268.0
170.0	145622.0
171.0	145233.0
172.0	147157.0
173.0	145857.0
174.0	146192.0
175.0	147731.0
176.0	147173.0
177.0	147524.0
178.0	148177.0
179.0	148833.0
180.0	148212.0
181.0	149691.0
182.0	149116.0
183.0	149236.0
184.0	148862.0
185.0	147877.0
186.0	147636.0
187.0	147804.0
188.0	147638.0
189.0	147558.0
190.0	146337.0
191.0	147220.0
192.0	145981.0
193.0	145887.0
194.0	145917.0
195.0	144345.0
196.0	145333.0
197.0	144355.0
198.0	143962.0
199.0	144487.0
200.0	143737.0
201.0	143599.0
202.0	142598.0
203.0	141404.0
204.0	141079.0
205.0	140404.0
206.0	139994.0
207.0	140152.0
208.0	139708.0
209.0	139744.0
210.0	137706.0
211.0	136675.0
212.0	136140.0
213.0	134208.0
214.0	133406.0
215.0	133334.0
216.0	132435.0
217.0	130939.0
218.0	130454.0
219.0	130434.0
220.0	129028.0
221.0	127878.0
222.0	127286.0
223.0	127116.0
224.0	126004.0
225.0	124932.0
226.0	123226.0
227.0	122862.0
228.0	122173.0
229.0	121035.0
230.0	121167.0
231.0	119832.0
232.0	119630.0
233.0	118399.0
234.0	117319.0
235.0	115773.0
236.0	115459.0
237.0	114158.0
238.0	112654.0
239.0	111969.0
240.0	111472.0
241.0	110392.0
242.0	109093.0
243.0	108191.0
244.0	107504.0
245.0	107086.0
246.0	105904.0
247.0	105385.0
248.0	104171.0
249.0	102639.0
250.0	101469.0
251.0	100453.0
252.0	99787.0
253.0	98905.0
254.0	98687.0
255.0	97980.0
256.0	97438.0
257.0	96381.0
258.0	95117.0
259.0	94165.0
260.0	93794.0
261.0	92802.0
262.0	91172.0
263.0	90415.0
264.0	89335.0
265.0	88170.0
266.0	87573.0
267.0	85534.0
268.0	84219.0
269.0	83358.0
270.0	82551.0
271.0	81901.0
272.0	80962.0
273.0	79752.0
274.0	79049.0
275.0	78061.0
276.0	77801.0
277.0	76711.0
278.0	75798.0
279.0	74892.0
280.0	73969.0
281.0	73398.0
282.0	72436.0
283.0	72003.0
284.0	71240.0
285.0	70447.0
286.0	69452.0
287.0	69562.0
288.0	68411.0
289.0	67802.0
290.0	67086.0
291.0	66707.0
292.0	65704.0
293.0	64785.0
294.0	64347.0
295.0	63387.0
296.0	62720.0
297.0	61873.0
298.0	61518.0
299.0	60437.0
300.0	59992.0
301.0	59304.0
302.0	58406.0
303.0	57842.0
304.0	56930.0
305.0	56258.0
306.0	56353.0
307.0	54922.0
308.0	54084.0
309.0	53434.0
310.0	52802.0
311.0	52153.0
312.0	51374.0
313.0	50968.0
314.0	50236.0
315.0	50064.0
316.0	48803.0
317.0	48341.0
318.0	48030.0
319.0	47288.0
320.0	46723.0
321.0	46271.0
322.0	46063.0
323.0	44864.0
324.0	44298.0
325.0	43668.0
326.0	43301.0
327.0	42987.0
328.0	42234.0
329.0	41736.0
330.0	41537.0
331.0	40965.0
332.0	40301.0
333.0	40220.0
334.0	39447.0
335.0	38582.0
336.0	38634.0
337.0	38009.0
338.0	37551.0
339.0	36732.0
340.0	36310.0
341.0	36067.0
342.0	34920.0
343.0	35115.0
344.0	34696.0
345.0	34316.0
346.0	33832.0
347.0	33475.0
348.0	32931.0
349.0	32864.0
350.0	32206.0
351.0	31575.0
352.0	31273.0
353.0	30821.0
354.0	30203.0
355.0	29954.0
356.0	29551.0
357.0	29078.0
358.0	28644.0
359.0	28635.0
360.0	28534.0
361.0	27708.0
362.0	27286.0
363.0	26972.0
364.0	26701.0
365.0	26209.0
366.0	25948.0
367.0	25469.0
368.0	25244.0
369.0	24567.0
370.0	24473.0
371.0	24003.0
372.0	23970.0
373.0	23911.0
374.0	22909.0
375.0	23114.0
376.0	22598.0
377.0	22122.0
378.0	22295.0
379.0	21713.0
380.0	21204.0
381.0	21060.0
382.0	21013.0
383.0	20460.0
384.0	20482.0
385.0	19962.0
386.0	19779.0
387.0	19436.0
388.0	19117.0
389.0	19200.0
390.0	18613.0
391.0	18135.0
392.0	18091.0
393.0	17953.0
394.0	17555.0
395.0	17470.0
396.0	17096.0
397.0	17148.0
398.0	16681.0
399.0	16556.0
400.0	16243.0
401.0	16130.0
402.0	15956.0
403.0	15591.0
404.0	15323.0
405.0	15188.0
406.0	14882.0
407.0	14736.0
408.0	14472.0
409.0	14672.0
410.0	14053.0
411.0	13819.0
412.0	13872.0
413.0	13681.0
414.0	13542.0
415.0	13158.0
416.0	13022.0
417.0	12776.0
418.0	12481.0
419.0	12212.0
420.0	12278.0
421.0	11920.0
422.0	11814.0
423.0	11678.0
424.0	11511.0
425.0	11257.0
426.0	11142.0
427.0	10886.0
428.0	11012.0
429.0	10641.0
430.0	10626.0
431.0	10232.0
432.0	10235.0
433.0	10196.0
434.0	9819.0
435.0	9708.0
436.0	9625.0
437.0	9736.0
438.0	9337.0
439.0	9297.0
440.0	9189.0
441.0	9039.0
442.0	8801.0
443.0	8725.0
444.0	8647.0
445.0	8541.0
446.0	8522.0
447.0	8220.0
448.0	8103.0
449.0	8162.0
450.0	8140.0
451.0	7786.0
452.0	7734.0
453.0	7509.0
454.0	7432.0
455.0	7447.0
456.0	7281.0
457.0	7167.0
458.0	7052.0
459.0	6966.0
460.0	6896.0
461.0	6691.0
462.0	6681.0
463.0	6555.0
464.0	6631.0
465.0	6329.0
466.0	6254.0
467.0	6202.0
468.0	6135.0
469.0	5957.0
470.0	5828.0
471.0	5968.0
472.0	5841.0
473.0	5731.0
474.0	5534.0
475.0	5458.0
476.0	5403.0
477.0	5401.0
478.0	5230.0
479.0	5186.0
480.0	5122.0
481.0	4778.0
482.0	5007.0
483.0	4877.0
484.0	4910.0
485.0	4775.0
486.0	4596.0
487.0	4533.0
488.0	4464.0
489.0	4448.0
490.0	4363.0
491.0	4340.0
492.0	4199.0
493.0	4117.0
494.0	4079.0
495.0	4005.0
496.0	3916.0
497.0	3916.0
498.0	3931.0
499.0	3890.0
500.0	3873.0
