#Duplication rate	Coverage
1.0	4.1185356E7
2.0	5307241.0
3.0	445579.0
4.0	78699.0
5.0	14278.0
6.0	4651.0
7.0	2162.0
8.0	1535.0
9.0	1108.0
10.0	964.0
11.0	760.0
12.0	696.0
13.0	600.0
14.0	530.0
15.0	488.0
16.0	478.0
17.0	390.0
18.0	378.0
19.0	376.0
20.0	329.0
21.0	326.0
22.0	291.0
23.0	271.0
24.0	259.0
25.0	243.0
26.0	249.0
27.0	226.0
28.0	200.0
29.0	193.0
30.0	202.0
31.0	193.0
32.0	155.0
33.0	157.0
34.0	179.0
35.0	145.0
36.0	176.0
37.0	140.0
38.0	158.0
39.0	149.0
40.0	141.0
41.0	140.0
42.0	143.0
43.0	115.0
44.0	116.0
45.0	116.0
46.0	122.0
47.0	120.0
48.0	116.0
49.0	119.0
50.0	6848.0
