#GC Content (%)	Sample	MOUSE (mm9)
1.0	0.0	0.0
2.0	0.0	0.0
3.0	1.4268133906436713E-6	0.0
4.0	1.7121760687724054E-6	0.0
5.0	2.7109454422229755E-6	0.0
6.0	4.137758832866646E-6	0.0
7.0	5.8499349016390524E-6	0.0
8.0	1.1414507125149367E-5	0.0
9.0	1.526690327988728E-5	0.0
10.0	2.7537498439422854E-5	0.0
11.0	9.645258520751216E-5	0.0
12.0	4.006492000927428E-4	0.0
13.0	0.0013429167632738235	0.0
14.0	0.003520519360074194	0.0
15.0	0.0077620075264406355	0.0
16.0	0.015346804829763328	0.0
17.0	0.027043963687599207	1.0E-6
18.0	0.042297740284292576	2.0E-6
19.0	0.05895892560951684	2.0E-6
20.0	0.0746748470634397	2.0E-6
21.0	0.08585407266047193	4.0E-6
22.0	0.09218184736663752	8.0E-6
23.0	0.09350892650127521	2.6999999999999996E-5
24.0	0.08968035813016106	8.4E-5
25.0	0.08966823021634057	2.02E-4
26.0	0.0637477393925342	4.7000000000000004E-4
27.0	0.0595041110060818	0.0010370000000000002
28.0	0.047894558490431435	0.0019590000000000002
29.0	0.03744743084413847	0.0036130000000000003
30.0	0.028525424031104533	0.006123000000000001
31.0	0.021430166402111688	0.009387000000000001
32.0	0.01593037150653659	0.013797000000000002
33.0	0.011677468833044997	0.019358999999999998
34.0	0.008596693359967184	0.026201000000000002
35.0	0.006306372505305963	0.033898000000000005
36.0	0.004697212363338031	0.043239
37.0	0.0034585956589202587	0.053165000000000004
38.0	0.002612495318268562	0.062416
39.0	0.0018541440011414507	0.06324300000000001
40.0	0.0013437728513082095	0.06277999999999999
41.0	8.926144571866807E-4	0.066053
42.0	5.978348106796982E-4	0.06889200000000001
43.0	3.732543829923844E-4	0.06796100000000001
44.0	2.4013269364532984E-4	0.065021
45.0	1.556653409192245E-4	0.060319000000000005
46.0	1.0458542153418113E-4	0.05297399999999999
47.0	7.219675756656976E-5	0.045395
48.0	4.5372665822468746E-5	0.038111000000000006
49.0	2.482655299719988E-5	0.030882999999999997
50.0	2.1544882198719437E-5	0.024474000000000003
51.0	1.141450712514937E-5	0.019307
52.0	4.708484189124114E-6	0.015138000000000002
53.0	3.709714815673545E-6	0.011592000000000003
54.0	3.424352137544811E-6	0.008714
55.0	2.9963081203517095E-6	0.006492
56.0	1.7121760687724056E-6	0.004682
57.0	5.707253562574684E-7	0.003338
58.0	1.2841320515793043E-6	0.00227
59.0	5.707253562574684E-7	0.001632
60.0	7.134066953218355E-7	0.0011810000000000002
61.0	0.0	8.43E-4
62.0	1.426813390643671E-7	6.61E-4
63.0	1.426813390643671E-7	5.82E-4
64.0	0.0	4.5900000000000004E-4
65.0	0.0	3.8599999999999995E-4
66.0	0.0	3.0299999999999994E-4
67.0	2.568264103158608E-6	2.64E-4
68.0	0.0	2.01E-4
69.0	0.0	1.85E-4
70.0	1.426813390643671E-7	1.46E-4
71.0	0.0	1.1699999999999997E-4
72.0	0.0	1.05E-4
73.0	0.0	7.699999999999999E-5
74.0	0.0	6.3E-5
75.0	8.560880343862027E-7	5.2E-5
76.0	0.0	3.2E-5
77.0	0.0	2.5000000000000005E-5
78.0	0.0	1.7E-5
79.0	0.0	1.7E-5
80.0	0.0	4.9999999999999996E-6
81.0	0.0	0.0
82.0	0.0	0.0
83.0	0.0	0.0
84.0	0.0	0.0
85.0	0.0	0.0
86.0	0.0	0.0
87.0	0.0	0.0
88.0	0.0	0.0
89.0	0.0	0.0
90.0	0.0	0.0
91.0	0.0	0.0
92.0	0.0	0.0
93.0	0.0	0.0
94.0	0.0	0.0
95.0	0.0	0.0
96.0	0.0	0.0
97.0	0.0	0.0
98.0	0.0	0.0
99.0	0.0	0.0
100.0	2.1402200859655068E-6	0.0
