#Mapping quality	mapping quality
0.0	2.5187049E7
1.0	1371662.0
2.0	1481831.0
3.0	2.2698409E7
4.0	2540023.0
5.0	2535419.0
6.0	1974723.0
7.0	5081508.0
8.0	3.19583E7
9.0	2719601.0
10.0	3511983.0
11.0	6516327.0
12.0	7929703.0
13.0	1.0371843E7
14.0	7166316.0
15.0	1.0929562E7
16.0	1.4641025E7
17.0	9653295.0
18.0	1.2566745E7
19.0	1.1416743E7
20.0	1.1971849E7
21.0	2.4430696E7
22.0	2.7880103E7
23.0	8.5641687E7
24.0	1.00818479E8
25.0	2.7800819E7
26.0	2.1107263E7
27.0	2.8560782E7
28.0	3.8414709E7
29.0	4.9430963E7
30.0	5.6601262E7
31.0	4.462238E7
32.0	8.580591E7
33.0	7.5313041E7
34.0	5.4923544E7
35.0	6.6385535E7
36.0	6.6559982E7
37.0	5.7404184E7
38.0	4.2503228E7
39.0	2.2033533E7
40.0	1.29477987E8
41.0	1.51762221E8
42.0	4.81758271E8
