#GC Content (%)	Sample	MOUSE (mm9)
1.0	0.0	0.0
2.0	0.0	0.0
3.0	5.702951505522168E-7	0.0
4.0	2.8514757527610844E-6	0.0
5.0	2.2811806022088673E-6	0.0
6.0	4.562361204417735E-6	0.0
7.0	7.984132107731035E-6	0.0
8.0	6.843541806626601E-6	0.0
9.0	6.273246656074386E-6	0.0
10.0	2.7374167226506404E-5	0.0
11.0	1.3573024583142762E-4	0.0
12.0	5.794198729610523E-4	0.0
13.0	0.001438284369692691	0.0
14.0	0.002613662674980809	0.0
15.0	0.005391000058170105	0.0
16.0	0.011419019799507036	0.0
17.0	0.021800672720159585	1.0E-6
18.0	0.03732353642304038	2.0E-6
19.0	0.05625562453592232	2.0E-6
20.0	0.07540670598661632	2.0E-6
21.0	0.09038550811587028	4.0E-6
22.0	0.09856753264084295	8.0E-6
23.0	0.0996864517262264	2.6999999999999996E-5
24.0	0.09398578140130644	8.4E-5
25.0	0.09201313047554632	2.02E-4
26.0	0.06437719777493645	4.7000000000000004E-4
27.0	0.059006158047035656	0.0010370000000000002
28.0	0.04668550161450557	0.0019590000000000002
29.0	0.03605120794215839	0.0036130000000000003
30.0	0.027371886045904195	0.006123000000000001
31.0	0.020267149060324677	0.009387000000000001
32.0	0.015235434947002469	0.013797000000000002
33.0	0.011154402849650807	0.019358999999999998
34.0	0.008375354581009856	0.026201000000000002
35.0	0.0061694529386738806	0.033898000000000005
36.0	0.004705505287206341	0.043239
37.0	0.003790181570570033	0.053165000000000004
38.0	0.0028725766733315164	0.062416
39.0	0.0021733948187544977	0.06324300000000001
40.0	0.0015842799282340583	0.06277999999999999
41.0	0.0010767172442425852	0.066053
42.0	7.356807442123597E-4	0.06889200000000001
43.0	4.972973712815331E-4	0.06796100000000001
44.0	2.686090159100941E-4	0.065021
45.0	1.9561123663941037E-4	0.060319000000000005
46.0	1.1006696405657784E-4	0.05297399999999999
47.0	8.953633863669803E-5	0.045395
48.0	5.075626839914729E-5	0.038111000000000006
49.0	3.193652843092414E-5	0.030882999999999997
50.0	2.566328177484976E-5	0.024474000000000003
51.0	1.0265312709939903E-5	0.019307
52.0	4.562361204417735E-6	0.015138000000000002
53.0	5.702951505522169E-6	0.011592000000000003
54.0	2.8514757527610844E-6	0.008714
55.0	1.1405903011044337E-6	0.006492
56.0	1.1405903011044337E-6	0.004682
57.0	1.7108854516566505E-6	0.003338
58.0	1.1405903011044337E-6	0.00227
59.0	1.1405903011044337E-6	0.001632
60.0	3.4217709033133006E-6	0.0011810000000000002
61.0	5.702951505522168E-7	8.43E-4
62.0	0.0	6.61E-4
63.0	1.1405903011044337E-6	5.82E-4
64.0	0.0	4.5900000000000004E-4
65.0	0.0	3.8599999999999995E-4
66.0	0.0	3.0299999999999994E-4
67.0	1.1405903011044337E-6	2.64E-4
68.0	0.0	2.01E-4
69.0	0.0	1.85E-4
70.0	0.0	1.46E-4
71.0	0.0	1.1699999999999997E-4
72.0	0.0	1.05E-4
73.0	0.0	7.699999999999999E-5
74.0	0.0	6.3E-5
75.0	0.0	5.2E-5
76.0	0.0	3.2E-5
77.0	0.0	2.5000000000000005E-5
78.0	0.0	1.7E-5
79.0	0.0	1.7E-5
80.0	0.0	4.9999999999999996E-6
81.0	0.0	0.0
82.0	0.0	0.0
83.0	0.0	0.0
84.0	0.0	0.0
85.0	0.0	0.0
86.0	0.0	0.0
87.0	0.0	0.0
88.0	0.0	0.0
89.0	0.0	0.0
90.0	0.0	0.0
91.0	0.0	0.0
92.0	0.0	0.0
93.0	0.0	0.0
94.0	0.0	0.0
95.0	0.0	0.0
96.0	0.0	0.0
97.0	0.0	0.0
98.0	0.0	0.0
99.0	0.0	0.0
100.0	1.7108854516566503E-6	0.0
