Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131
IV23122_WT_23122_1_val_1	4.22	4.17	4.32	4.18	4.15	4.21	4.17	4.29	4.42	4.5	4.46	4.51	4.39	4.38	4.44	4.56	4.63	4.61	4.75	4.79	4.93	4.75	4.75	4.83	4.82	4.76	4.88	4.71	4.85	5.02	5.02	4.97	4.96	5.01	4.89	4.98	5.03	4.92	5.03	5.1	4.99	5.05	4.97	4.95	4.99	4.91	4.68	4.81	4.8	4.92	5.08	5.0	5.08	5.04	5.09	4.92	4.93	4.87	4.99	5.15	4.97	5.15	5.3	5.33	5.38	5.41	5.3	5.38	5.32	5.26	5.3	5.51	5.58	5.45	5.56	5.35	5.3	5.16	5.27	5.33	5.45	5.52	5.52	5.6	5.61	5.4	5.58	5.53	5.46	5.64	5.78	5.89	5.99	5.81	5.77	5.91	5.77	5.59	5.92	5.64	5.74	5.93	6.03	6.19	5.99	5.93	5.89	5.74	5.81	5.9	6.09	6.24	6.28	6.3	6.14	6.18	5.94	6.0	6.17	6.31	6.27	6.69	6.65	6.56	6.36	6.59	6.24	6.31	6.59	6.7	6.07
IV23123_WT_23123_1_val_1	4.7	4.6	4.79	4.55	4.56	4.69	4.62	4.72	4.91	4.97	4.95	4.91	4.85	4.91	4.92	5.07	5.04	5.14	5.17	5.19	5.31	5.21	5.25	5.24	5.2	5.21	5.31	5.1	5.28	5.46	5.46	5.45	5.41	5.44	5.33	5.37	5.38	5.28	5.48	5.54	5.41	5.43	5.37	5.38	5.47	5.3	5.11	5.17	5.14	5.29	5.42	5.39	5.43	5.56	5.47	5.32	5.22	5.23	5.24	5.48	5.36	5.53	5.65	5.65	5.73	5.74	5.62	5.64	5.56	5.63	5.61	5.85	5.86	5.78	5.81	5.62	5.67	5.45	5.48	5.65	5.73	5.72	5.82	5.91	5.88	5.71	5.69	5.81	5.66	5.83	5.91	6.04	6.02	5.94	5.86	6.02	5.89	5.86	6.03	5.76	5.92	6.19	6.21	6.26	6.06	6.08	5.93	5.91	5.94	5.95	6.09	6.2	6.3	6.27	6.19	6.22	6.1	6.04	6.24	6.19	6.23	6.61	6.52	6.42	6.34	6.47	6.24	6.26	6.37	6.4	5.88
gDNA10_HET_26268_1_val_1	4.71	4.64	4.96	4.86	4.64	4.77	4.71	4.89	5.05	5.09	5.16	5.14	4.95	5.12	5.1	5.28	5.31	5.46	5.36	5.4	5.66	5.37	5.43	5.61	5.45	5.41	5.64	5.36	5.5	5.7	5.7	5.79	5.72	5.79	5.59	5.9	5.74	5.42	5.66	5.91	5.67	5.5	5.4	5.59	5.73	5.6	5.23	5.39	5.34	5.44	5.76	5.69	5.75	5.77	5.68	5.51	5.48	5.53	5.45	5.8	5.65	5.69	5.93	6.05	6.16	6.28	5.99	6.05	6.07	6.08	5.88	6.31	6.23	6.18	6.33	5.97	6.03	5.64	5.71	5.83	6.12	6.05	6.15	6.17	6.18	5.98	5.92	6.22	5.95	6.25	6.63	6.68	6.63	6.42	6.31	6.61	6.23	5.96	6.44	6.2	6.2	6.67	6.7	6.81	6.4	6.27	6.26	6.33	6.21	6.32	6.72	6.81	6.66	6.98	6.78	6.46	6.39	6.33	6.61	6.5	6.71	7.3	7.28	6.99	6.79	7.11	6.49	6.56	6.79	7.33	6.82
gDNA11_HET_26271_1_val_1	3.83	3.87	4.23	4.11	3.86	3.92	3.82	4.21	4.15	4.3	4.37	4.35	4.14	4.24	4.15	4.52	4.59	4.56	4.57	4.73	4.94	4.56	4.9	5.09	4.71	4.67	4.91	4.5	4.79	5.03	4.9	4.82	4.91	4.91	5.06	5.4	4.9	4.49	5.05	5.44	5.16	4.93	4.58	4.88	5.05	4.8	4.27	4.76	4.52	4.57	5.1	4.86	5.29	5.1	5.1	4.81	5.01	4.84	4.72	5.27	4.95	4.99	5.43	5.32	5.44	6.06	5.53	5.44	5.17	5.23	5.17	5.52	5.36	5.41	5.74	5.38	5.91	5.04	4.92	5.2	5.32	5.75	5.3	5.56	5.81	5.09	5.12	5.94	5.57	5.38	6.19	6.59	6.2	5.58	5.96	6.19	5.77	5.07	6.26	5.12	5.63	6.35	6.46	6.6	5.83	5.66	5.4	5.61	5.43	5.44	6.53	6.12	5.97	6.55	6.24	6.03	5.78	6.39	6.07	5.95	6.77	7.22	7.38	6.8	6.16	6.84	6.05	6.16	6.67	7.67	6.21
gDNA20_KO_26252_1_val_1	4.08	4.23	4.65	4.29	4.19	4.23	4.05	4.32	4.66	4.69	4.57	4.58	4.35	4.65	4.58	4.8	4.75	5.04	4.89	5.07	5.32	4.77	5.24	5.21	4.85	4.91	5.18	4.71	4.8	5.14	5.1	5.16	5.18	5.19	5.06	5.42	5.35	4.78	5.16	5.46	5.45	5.27	4.85	5.06	5.14	5.0	4.56	4.94	4.85	4.85	5.33	5.03	5.17	5.36	5.14	4.83	5.34	5.13	4.8	5.59	5.02	5.0	5.48	5.32	5.73	6.08	5.66	5.56	5.35	5.36	5.53	5.64	5.5	5.37	5.83	5.35	5.97	5.22	5.22	5.71	5.45	6.11	5.55	6.28	5.8	5.77	5.5	6.05	5.81	5.88	6.12	6.61	6.25	5.87	5.96	6.3	6.05	5.5	6.07	5.68	6.01	6.8	6.65	6.95	6.32	5.89	5.66	5.85	5.81	5.54	6.45	6.17	6.19	6.35	6.25	6.22	6.07	6.02	6.28	6.45	6.81	7.15	7.27	6.87	6.12	6.36	5.8	6.02	6.62	7.28	6.21
gDNA26_KO_26249_1_val_1	4.15	4.15	4.32	4.16	4.1	4.14	3.96	4.23	4.44	4.5	4.53	4.63	4.33	4.45	4.48	4.66	4.53	4.77	4.78	4.83	5.01	4.71	4.84	4.92	4.8	4.71	4.94	4.62	4.75	5.07	5.02	4.95	4.98	5.11	5.01	5.13	5.0	4.75	5.07	5.18	5.0	4.96	4.79	4.88	5.02	4.9	4.49	4.78	4.7	4.66	5.04	4.94	5.06	5.12	4.98	4.75	4.87	4.8	4.8	5.11	4.84	4.97	5.23	5.27	5.37	5.51	5.33	5.24	5.09	5.23	5.22	5.58	5.47	5.35	5.51	5.22	5.37	4.99	5.12	5.08	5.34	5.45	5.36	5.5	5.42	5.24	5.34	5.43	5.29	5.4	5.81	5.8	5.88	5.69	5.52	5.88	5.55	5.33	5.72	5.3	5.72	5.83	5.84	6.06	5.87	5.76	5.58	5.64	5.46	5.66	5.93	6.15	5.96	6.14	5.71	5.88	5.68	5.81	6.01	6.02	6.06	6.55	6.54	6.32	6.11	6.45	5.94	5.99	6.23	6.51	6.14
gDNA27_HET_26269_1_val_1	4.16	4.13	4.33	4.14	4.09	4.12	4.0	4.26	4.46	4.51	4.57	4.57	4.35	4.45	4.46	4.7	4.66	4.87	4.69	4.71	5.09	4.6	4.74	5.03	4.96	4.83	5.06	4.65	4.89	5.07	5.09	5.1	5.05	5.18	5.02	5.27	5.18	4.9	5.11	5.35	5.09	5.1	4.95	4.97	5.04	4.86	4.61	4.71	4.68	4.8	5.15	4.98	4.96	5.15	5.1	4.81	4.89	4.96	4.88	5.28	4.98	5.05	5.39	5.34	5.52	5.7	5.43	5.44	5.34	5.4	5.26	5.69	5.59	5.65	5.64	5.35	5.54	5.18	5.18	5.45	5.56	5.57	5.45	5.49	5.51	5.33	5.51	5.54	5.39	5.65	5.88	6.08	5.99	5.71	5.53	6.22	5.79	5.59	5.94	5.47	5.74	6.07	6.29	6.23	5.88	5.81	5.58	5.73	5.67	5.84	6.11	6.21	6.28	6.45	6.22	6.16	6.02	6.05	6.19	6.05	6.23	6.64	6.58	6.49	6.15	6.75	5.91	6.18	6.42	7.1	6.31
gDNA29_KO_26248_1_val_1	4.06	4.04	4.3	4.11	3.96	4.04	4.05	4.18	4.42	4.49	4.44	4.52	4.25	4.41	4.41	4.63	4.68	4.81	4.83	4.74	5.04	4.7	4.76	4.98	4.78	4.73	4.96	4.7	4.88	5.09	4.94	5.04	4.97	5.12	4.96	5.1	5.03	4.8	5.02	5.25	5.07	5.01	4.87	4.88	5.13	4.89	4.59	4.84	4.75	4.83	5.15	5.13	5.12	5.11	5.04	4.86	4.94	4.89	4.74	5.18	4.98	5.1	5.43	5.31	5.43	5.59	5.49	5.57	5.19	5.37	5.33	5.62	5.52	5.55	5.66	5.33	5.48	5.13	5.25	5.34	5.45	5.69	5.5	5.59	5.55	5.44	5.52	5.53	5.37	5.55	6.09	6.2	6.09	5.77	5.81	6.15	5.85	5.7	5.98	5.6	5.76	6.09	6.09	6.24	5.95	5.9	5.78	5.8	5.82	5.9	6.32	6.26	6.28	6.3	6.1	6.21	6.02	5.91	6.26	6.28	6.32	6.81	7.02	6.64	6.43	6.42	6.03	6.13	6.46	6.97	6.23
gDNA30_HET_26253_1_val_1	3.9	3.9	4.32	4.12	3.96	3.99	3.86	4.13	4.28	4.39	4.32	4.4	4.21	4.27	4.33	4.38	4.43	4.66	4.65	4.7	4.82	4.59	4.78	4.89	4.68	4.6	4.84	4.52	4.72	5.04	5.03	4.76	4.82	5.0	4.86	5.2	5.03	4.65	4.98	5.26	5.06	4.9	4.79	4.91	5.08	4.96	4.58	4.86	4.59	4.76	5.16	5.04	5.14	5.35	5.21	4.79	5.03	4.99	4.87	5.4	5.03	5.28	5.47	5.58	5.55	5.84	5.66	5.7	5.55	5.63	5.58	5.99	5.8	5.69	6.01	5.59	5.66	5.35	5.38	5.52	5.99	5.95	5.84	5.98	5.98	5.7	5.94	6.07	5.82	6.21	6.69	6.91	6.75	6.31	6.33	6.86	6.28	6.17	6.72	6.0	6.51	6.97	6.98	7.37	6.59	6.39	6.29	6.68	6.69	6.37	7.2	7.6	7.21	7.89	7.13	7.23	7.2	7.11	7.4	7.42	7.47	8.34	8.3	8.16	7.62	8.07	7.26	7.39	7.85	8.75	7.39
gDNA33_KO_26250_1_val_1	3.82	3.82	3.94	3.83	3.74	3.81	3.75	3.93	4.14	4.23	4.1	4.18	4.04	4.13	4.15	4.3	4.3	4.4	4.33	4.45	4.57	4.3	4.45	4.55	4.4	4.41	4.58	4.33	4.45	4.66	4.61	4.65	4.55	4.68	4.61	4.7	4.66	4.49	4.67	4.84	4.66	4.66	4.5	4.55	4.71	4.55	4.3	4.44	4.38	4.49	4.63	4.61	4.74	4.72	4.73	4.52	4.59	4.5	4.55	4.84	4.54	4.74	4.97	4.95	5.03	5.26	5.03	4.87	4.81	4.97	4.84	5.14	5.12	5.01	5.17	4.91	5.0	4.7	4.84	4.96	5.18	5.09	5.12	5.11	5.16	5.02	5.03	5.11	5.03	5.19	5.47	5.67	5.5	5.27	5.31	5.55	5.27	5.2	5.51	5.16	5.44	5.59	5.66	5.84	5.48	5.45	5.29	5.36	5.36	5.36	5.73	5.68	5.79	5.9	5.54	5.64	5.58	5.48	5.72	5.81	6.05	6.17	6.06	6.01	5.81	5.98	5.68	5.72	6.1	6.47	5.82
