Sample	Reads passing filters
CONTROL_0hr_1_1	23871025.0
CONTROL_0hr_1_2	23871025.0
CONTROL_0hr_2_1	27194359.0
CONTROL_0hr_2_2	27194359.0
CONTROL_0hr_3_1	32152715.0
CONTROL_0hr_3_2	32152715.0
CONTROL_0hr_4_1	31444371.0
CONTROL_0hr_4_2	31444371.0
CONTROL_0hr_5_1	35490822.0
CONTROL_0hr_5_2	35490822.0
CONTROL_1hr_1_1	35943388.0
CONTROL_1hr_1_2	35943388.0
CONTROL_1hr_2_1	22770158.0
CONTROL_1hr_2_2	22770158.0
CONTROL_1hr_4_1	42508065.0
CONTROL_1hr_4_2	42508065.0
CONTROL_1hr_5_1	39175232.0
CONTROL_1hr_5_2	39175232.0
CONTROL_24hr_1_1	31859591.0
CONTROL_24hr_1_2	31859591.0
CONTROL_24hr_2_1	35160675.0
CONTROL_24hr_2_2	35160675.0
CONTROL_24hr_3_1	34876566.0
CONTROL_24hr_3_2	34876566.0
CONTROL_24hr_4_1	43546472.0
CONTROL_24hr_4_2	43546472.0
CONTROL_24hr_5_1	26144011.0
CONTROL_24hr_5_2	26144011.0
LIF_1hr_1_1	40207371.0
LIF_1hr_1_2	40207371.0
LIF_1hr_2_1	30564263.0
LIF_1hr_2_2	30564263.0
LIF_1hr_3_1	34916198.0
LIF_1hr_3_2	34916198.0
LIF_1hr_4_1	38566942.0
LIF_1hr_4_2	38566942.0
LIF_1hr_5_1	52145308.0
LIF_1hr_5_2	52145308.0
LIF_24hr_1_1	32692864.0
LIF_24hr_1_2	32692864.0
LIF_24hr_2_1	27292859.0
LIF_24hr_2_2	27292859.0
LIF_24hr_3_1	33560422.0
LIF_24hr_3_2	33560422.0
LIF_24hr_4_1	43901194.0
LIF_24hr_4_2	43901194.0
LIF_24hr_5_1	23426336.0
LIF_24hr_5_2	23426336.0
control_1hr_3_1	34999963.0
control_1hr_3_2	34999963.0
