Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
CONTROL_0hr_1_1 - illumina_universal_adapter	(1, 2.6158742659772676)	(2, 2.623205329473703)	(3, 2.637117593400367)	(4, 2.647938243121106)	(5, 2.6571795723057554)	(6, 2.6646488787138383)	(7, 2.672465886990609)	(8, 2.677333713152242)	(9, 2.685330856132068)	(10, 2.729520831216925)	(15, 2.7904968471190488)	(20, 2.837649409692294)	(25, 2.8835804076280764)	(30, 2.932830911115045)	(35, 2.9607769251634566)	(40, 2.994324709558974)	(45, 3.0360020149951668)	(50, 3.0914759630137376)	(55, 3.163493817295236)	(60, 3.2570306469872996)	(65, 3.3998431152411763)	(70, 3.5981010450954662)	(75, 3.922055295070069)	(80, 4.494952353323747)	(85, 5.232807556441334)	(90, 6.250577007061908)	(95, 7.775219539169349)	(100, 9.867484952992173)	(105, 12.160303966838459)	(110, 14.738871916895064)	(115, 17.772243127389796)	(120, 21.091840840516902)	(125, 24.488227045131076)	(130, 27.70723083738549)	(135, 30.516691260639202)	(140, 32.152410715501325)
CONTROL_0hr_1_1 - polya	(1, 0.0048426910867882715)	(2, 0.007469306408082603)	(3, 0.009274842617776153)	(4, 0.011553756070382398)	(5, 0.013166590039598216)	(6, 0.01445685721497087)	(7, 0.016312663574354264)	(8, 0.0192702240477734)	(9, 0.023471970726016166)	(10, 0.03190730184397193)	(15, 0.04178119707888538)	(20, 0.05324530471565423)	(25, 0.06680232625117691)	(30, 0.07811981261801704)	(35, 0.08956213652325361)	(40, 0.10161775625470629)	(45, 0.11083897737947994)	(50, 0.12115273642417952)	(55, 0.13080963217959848)	(60, 0.14017328539516002)	(65, 0.15090177317480086)	(70, 0.1611225324425742)	(75, 0.170298510432627)	(80, 0.18038437813206595)	(85, 0.1901258953061295)	(90, 0.19964789949321404)	(95, 0.20755623187525463)	(100, 0.2149727546261629)	(105, 0.22183798140213923)	(110, 0.22883474840313728)	(115, 0.23610297421246046)	(120, 0.24336617300681476)	(125, 0.2498108061970527)	(130, 0.2554117387083294)	(135, 0.26151537271650466)	(140, 0.26447544669740825)
CONTROL_0hr_1_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0008168899324599593)	(4, 0.001185537696852146)	(5, 0.0012986455336542943)	(6, 0.001390807474752341)	(7, 0.001462023520146286)	(8, 0.001583509715230075)	(9, 0.001818103747116012)	(10, 0.0026601287544208933)	(15, 0.003867450182805305)	(20, 0.004889609893165459)	(25, 0.005998904529654675)	(30, 0.007031118269952797)	(35, 0.008225872160914749)	(40, 0.009295788513480254)	(45, 0.010361515686904941)	(50, 0.012025457641638765)	(55, 0.015419530581531376)	(60, 0.01769676836248129)	(65, 0.08277063930015573)	(70, 6.429592361450754)	(75, 7.139606279998449)	(80, 7.219176386435019)	(85, 7.2915989154215195)	(90, 7.3531103084178415)	(95, 7.410878250933925)	(100, 7.472189401167316)	(105, 7.513171302866132)	(110, 7.568584088869247)	(115, 7.644342880123498)	(120, 7.731980507749458)	(125, 7.84737731203415)	(130, 7.969419830107839)	(135, 8.121351303515455)	(140, 8.229009856091224)
CONTROL_0hr_1_2 - illumina_universal_adapter	(1, 2.637632862434688)	(2, 2.6450351419765177)	(3, 2.658892946574351)	(4, 2.6698350824901738)	(5, 2.6791643844367807)	(6, 2.686637880024004)	(7, 2.694517725987887)	(8, 2.6994316331200694)	(9, 2.7074203977416134)	(10, 2.751923723426204)	(15, 2.8129910634335977)	(20, 2.8590510880869173)	(25, 2.904109061089752)	(30, 2.953333591666047)	(35, 2.980849795934611)	(40, 3.014604525779685)	(45, 3.0549924018763335)	(50, 3.108329030697257)	(55, 3.1764903266617166)	(60, 3.2661806520666787)	(65, 3.4076735288911975)	(70, 3.606073053000448)	(75, 3.931294110747234)	(80, 4.504135871836253)	(85, 5.239345189408498)	(90, 6.252228381479219)	(95, 7.770179118827113)	(100, 9.850682155458344)	(105, 12.12534610474414)	(110, 14.677633658378724)	(115, 17.683743366696653)	(120, 20.961471072147088)	(125, 24.32602286663434)	(130, 27.513435221152)	(135, 30.300048699207515)	(140, 31.936818800198147)
CONTROL_0hr_1_2 - polya	(1, 0.00977335493553377)	(2, 0.010720109421359158)	(3, 0.011402945621312869)	(4, 0.012006187417590991)	(5, 0.012986455336542942)	(6, 0.013970912434635715)	(7, 0.0146076676640404)	(8, 0.01650117663569118)	(9, 0.01819360500858258)	(10, 0.021986487802681285)	(15, 0.028318013156117094)	(20, 0.03643831800268317)	(25, 0.04757985884560885)	(30, 0.05417278897743184)	(35, 0.06110839396297394)	(40, 0.06843024126529967)	(45, 0.0765656271567727)	(50, 0.08393942028044461)	(55, 0.09188461743892437)	(60, 0.10304961768503866)	(65, 0.14045647390507948)	(70, 0.1746460405449703)	(75, 0.18236418419401762)	(80, 0.18957041015205672)	(85, 0.1972902294727604)	(90, 0.20543483155834324)	(95, 0.21427232387381773)	(100, 0.2232296267127197)	(105, 0.2312007967818726)	(110, 0.23847823878530558)	(115, 0.24579505907266236)	(120, 0.25262761025134034)	(125, 0.25932359419002743)	(130, 0.26518844498717586)	(135, 0.2706762696616504)	(140, 0.27380474864401505)
CONTROL_0hr_1_2 - polyg	(1, 4.102768942682603)	(2, 4.104507452026044)	(3, 4.104855153894732)	(4, 4.105307585241941)	(5, 4.105722313976882)	(6, 4.106099340099556)	(7, 4.106388393460272)	(8, 4.107222040109296)	(9, 4.113040809935895)	(10, 4.179213083644293)	(15, 4.251436207703691)	(20, 4.2543225521317165)	(25, 4.256047656101906)	(30, 4.258122137612441)	(35, 4.260122889570097)	(40, 4.262012209362606)	(45, 4.264065744977436)	(50, 4.267151494332564)	(55, 4.273751964986841)	(60, 4.278333251295242)	(65, 4.282937159171004)	(70, 4.288845577431216)	(75, 6.079366093412411)	(80, 7.067885857435949)	(85, 7.214464397737425)	(90, 7.330995631733451)	(95, 7.422042413344211)	(100, 7.492162569474918)	(105, 7.5666528772853265)	(110, 7.613884196426421)	(115, 7.665576153516659)	(120, 7.724115742830482)	(125, 7.79574567912354)	(130, 7.884256331682448)	(135, 7.992476234263087)	(140, 8.076377114095436)
CONTROL_0hr_2_1 - illumina_universal_adapter	(1, 1.9770681118095117)	(2, 1.9815800769564011)	(3, 1.989122082267135)	(4, 1.9916262780821568)	(5, 1.9947556035426317)	(6, 1.997109032796103)	(7, 1.9996830960420873)	(8, 2.001867372567965)	(9, 2.005349712416461)	(10, 2.0255818495298974)	(15, 2.0699336947048463)	(20, 2.1190902127900864)	(25, 2.142225893244993)	(30, 2.1680819908275835)	(35, 2.185451769611485)	(40, 2.2078328818119966)	(45, 2.2370227590214578)	(50, 2.2770619450894207)	(55, 2.331798296845313)	(60, 2.4102873687885054)	(65, 2.5393332492227523)	(70, 2.7141136145183635)	(75, 3.0144163353877915)	(80, 3.598366117031845)	(85, 4.309172354457776)	(90, 5.274996921236496)	(95, 6.787664309351802)	(100, 8.945672887527888)	(105, 11.167619725840936)	(110, 13.63331270282929)	(115, 16.67905980060056)	(120, 20.132240660645834)	(125, 23.710473925860875)	(130, 27.13321391395914)	(135, 30.00600014142639)	(140, 31.686185359250423)
CONTROL_0hr_2_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00038978672010618083)	(4, 0.0004964264831540982)	(5, 0.0005368760484481358)	(6, 0.000709706009249933)	(7, 0.0007611872741696173)	(8, 0.0008016368394636549)	(9, 0.0009854984998910988)	(10, 0.0013723434334304405)	(15, 0.0017356540744350693)	(20, 0.0020099756717928156)	(25, 0.0023821116724979615)	(30, 0.003235965223523011)	(35, 0.004398706364066166)	(40, 0.006201286082896825)	(45, 0.008975390815426096)	(50, 0.01193703444159136)	(55, 0.017918421978616962)	(60, 0.023332044708242617)	(65, 0.061909162852487175)	(70, 4.0502532161173574)	(75, 4.652550185132144)	(80, 4.695023699584167)	(85, 4.746143860202772)	(90, 4.808432513522382)	(95, 4.837907008582184)	(100, 4.870982985846441)	(105, 4.895811664470561)	(110, 4.930903500979744)	(115, 4.978190513701756)	(120, 5.0353663419682)	(125, 5.114289327430002)	(130, 5.207771950057731)	(135, 5.341784301663443)	(140, 5.434060791798769)
CONTROL_0hr_2_2 - illumina_universal_adapter	(1, 1.984393160360941)	(2, 1.9888793848753707)	(3, 1.9963772633876018)	(4, 1.998870427502998)	(5, 2.0019960757302644)	(6, 2.0043274415844845)	(7, 2.006938277162554)	(8, 2.0091151992220153)	(9, 2.0125754756712597)	(10, 2.032856152263048)	(15, 2.0771285692006933)	(20, 2.125225308675229)	(25, 2.147525521745153)	(30, 2.1732124666001504)	(35, 2.1904123572098166)	(40, 2.212625052129377)	(45, 2.2409022400564766)	(50, 2.279585997963769)	(55, 2.3317732916594944)	(60, 2.407007276766479)	(65, 2.5343219158061423)	(70, 2.7068974120699076)	(75, 3.00429438325794)	(80, 3.5812574218057507)	(85, 4.279859657659149)	(90, 5.224864465457708)	(95, 6.7029974856182495)	(100, 8.815062712086725)	(105, 10.985119377147296)	(110, 13.383349833691614)	(115, 16.34794039455021)	(120, 19.69509338315347)	(125, 23.160820227459674)	(130, 26.474072803113323)	(135, 29.230231902138236)	(140, 30.843271577020808)
CONTROL_0hr_2_2 - polya	(1, 0.004703181273734012)	(2, 0.005162835424802622)	(3, 0.005563653844534449)	(4, 0.005890927600095299)	(5, 0.006203492422821953)	(6, 0.006585924676511036)	(7, 0.006946293530948827)	(8, 0.007542005310733744)	(9, 0.008009013928219452)	(10, 0.009379151021724761)	(15, 0.011793622346457954)	(20, 0.01449124062824941)	(25, 0.01759556090290637)	(30, 0.019943842029885684)	(35, 0.022985649339997315)	(40, 0.026124535606814638)	(45, 0.029295781525867183)	(50, 0.031725697230076275)	(55, 0.03418944347980403)	(60, 0.038227045542790695)	(65, 0.05149744474580188)	(70, 0.06320501983517979)	(75, 0.06627183233110955)	(80, 0.06883192209090128)	(85, 0.07158469887082096)	(90, 0.07412493157128652)	(95, 0.07687917924448964)	(100, 0.08003203899749944)	(105, 0.08346583936764237)	(110, 0.08678343916839518)	(115, 0.08986643149044256)	(120, 0.09321492005014717)	(125, 0.0958581152804521)	(130, 0.09803283099998791)	(135, 0.10011267410274313)	(140, 0.10128571149627023)
