Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
CONTROL_0hr_1_1	3.4650837155086553	33.33013559325584
CONTROL_0hr_1_2	2.4693032661982466	31.318303256772595
CONTROL_0hr_2_1	5.671782887031829	55.05172598478971
CONTROL_0hr_2_2	4.447106107557086	55.051038342179716
CONTROL_0hr_3_1	5.458248238134789	47.28138199215836
CONTROL_0hr_3_2	3.611474178774639	49.15692189602029
CONTROL_0hr_4_1	4.086397530419673	16.417555307434835
CONTROL_0hr_4_2	1.5764888411983182	14.103599019360255
CONTROL_0hr_5_1	4.408041042272845	34.345637303075144
CONTROL_0hr_5_2	3.0209359478909787	35.406083296690056
CONTROL_1hr_1_1	1.912910936498251	14.815445333088801
CONTROL_1hr_1_2	1.4409270489470831	14.70189176379255
CONTROL_1hr_2_1	3.734335088935264	36.04421629397565
CONTROL_1hr_2_2	2.500918087612743	34.54446385484018
CONTROL_1hr_4_1	0.5550687851822942	2.003121054792779
CONTROL_1hr_4_2	0.38414357369595625	2.030438223899394
CONTROL_1hr_5_1	2.4700479119051546	18.199136638169747
CONTROL_1hr_5_2	1.8009516829408947	17.815899596969842
CONTROL_24hr_1_1	4.64372879111976	32.2699811180878
CONTROL_24hr_1_2	2.9074258988447155	29.01556708621903
CONTROL_24hr_2_1	4.2793603933940405	35.463793001698626
CONTROL_24hr_2_2	2.6298528114150255	35.22602737291022
CONTROL_24hr_3_1	2.910280788538642	26.31555526424247
CONTROL_24hr_3_2	2.0283074887590713	24.43990041909516
CONTROL_24hr_4_1	2.8726437356394796	22.932273365337153
CONTROL_24hr_4_2	1.8706681909845646	22.491994299790807
CONTROL_24hr_5_1	4.522328268604232	40.09661333144329
CONTROL_24hr_5_2	3.0891166623208655	39.69785661427392
LIF_1hr_1_1	2.3748406728706537	18.24690801097142
LIF_1hr_1_2	1.5891737860702206	17.315767797899547
LIF_1hr_2_1	7.201531409411049	46.332185402278476
LIF_1hr_2_2	3.4852435342543675	42.791995344366725
LIF_1hr_3_1	3.8170249807839904	30.353937733999558
LIF_1hr_3_2	2.658273389330648	30.824710640030165
LIF_1hr_4_1	2.454809613891607	20.189202452193385
LIF_1hr_4_2	2.0035267509671884	19.971850503470044
LIF_1hr_5_1	2.4775287548402245	21.6398951944056
LIF_1hr_5_2	1.9625562476301799	20.23494040921189
LIF_24hr_1_1	3.204671820737394	28.10138322540356
LIF_24hr_1_2	2.197436725029658	27.55119588176796
LIF_24hr_2_1	4.164594848784438	34.828051542713055
LIF_24hr_2_2	2.933030944101532	32.94753766910238
LIF_24hr_3_1	3.8541678647545012	39.174805370444986
LIF_24hr_3_2	3.0624704301990007	35.6043079553648
LIF_24hr_4_1	1.0335755332759287	6.488465894572252
LIF_24hr_4_2	0.8983081416874447	5.848271461591682
LIF_24hr_5_1	3.007427196468112	34.369958665324354
LIF_24hr_5_2	2.568553614188749	30.29315382482348
control_1hr_3_1	2.863943027596915	23.91446813815203
control_1hr_3_2	2.1048565108483115	23.520402007282122
