Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
CONTROL_0hr_1_1	(1, 0.03261694879042688)	(2, 0.0)	(3, 0.01826482105397653)	(4, 0.0002010805987593746)	(5, 0.0176406333619943)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0004021611975187492)	(10, 0.00012902671753726536)	(15, 5.0270149689843645e-06)	(20, 0.0)	(25, 4.189179140820305e-06)	(30, 8.043223950374983e-05)	(35, 0.0001047294785205076)	(40, 0.0)	(45, 3.351343312656243e-06)	(50, 0.00010137813520785136)	(55, 0.00019689141961855432)	(60, 2.0108059875937458e-05)	(65, 0.0)	(70, 0.0)	(75, 3.518910478289055e-05)	(80, 8.37835828164061e-06)	(85, 8.881059778539045e-05)	(90, 0.0)	(95, 0.0)	(100, 1.089186576613279e-05)	(105, 0.00037953963015831954)	(110, 8.378358281640607e-07)	(115, 8.378358281640607e-07)	(120, 2.5135074844921822e-06)	(125, 9.216194109804669e-06)	(130, 0.0002949182115137494)	(135, 2.597291067308589e-05)	(140, 0.0)	(145, 0.0)	(150, 2.0945895704101523e-06)
CONTROL_0hr_1_2	(1, 0.001143645905443943)	(2, 0.0032298571175724544)	(3, 0.001143645905443943)	(4, 0.0010012138146560526)	(5, 0.00017175634477363245)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 1.7594552391445277e-05)	(20, 0.0005462689599629677)	(25, 0.0004180800782538663)	(30, 0.0)	(35, 1.2567537422460912e-05)	(40, 6.702686625312486e-06)	(45, 0.0003669720927358586)	(50, 0.00011729701594296852)	(55, 0.0)	(60, 0.0)	(65, 1.089186576613279e-05)	(70, 0.0005462689599629677)	(75, 0.00019772925544671836)	(80, 4.189179140820305e-06)	(85, 5.0270149689843645e-06)	(90, 2.764858232941401e-05)	(95, 0.0007465117228941783)	(100, 0.0002789993307786323)	(105, 1.675671656328122e-05)	(110, 1.6756716563281215e-06)	(115, 8.378358281640609e-05)	(120, 0.0007758359768799204)	(125, 0.00035608022696972583)	(130, 2.6810746501249944e-05)	(135, 8.37835828164061e-06)	(140, 7.28917170502733e-05)	(145, 0.0010682406809091776)	(150, 0.0007372955287843735)
CONTROL_0hr_2_1	(1, 0.032304493737101876)	(2, 3.677233208548876e-06)	(3, 0.018106696318894663)	(4, 0.00017282996080179717)	(5, 0.01773161853162268)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0004228818189831207)	(10, 0.00014341209513340616)	(15, 4.412679850258651e-06)	(20, 7.354466417097752e-07)	(25, 3.677233208548876e-06)	(30, 8.898904364688279e-05)	(35, 0.00010737520968962717)	(40, 1.4708932834195503e-06)	(45, 3.677233208548876e-06)	(50, 0.00011105244289817607)	(55, 0.00019709969997821973)	(60, 1.9121612684454154e-05)	(65, 0.0)	(70, 0.0)	(75, 3.162420559352033e-05)	(80, 6.6190197753879774e-06)	(85, 9.413717013885122e-05)	(90, 0.0)	(95, 7.354466417097752e-07)	(100, 1.1767146267356402e-05)	(105, 0.0003655169809297583)	(110, 2.2063399251293257e-06)	(115, 0.0)	(120, 5.148126491968426e-06)	(125, 8.089913058807526e-06)	(130, 0.00028755963690852213)	(135, 2.2063399251293252e-05)	(140, 1.4708932834195503e-06)	(145, 7.354466417097752e-07)	(150, 0.0)
CONTROL_0hr_2_2	(1, 0.0011987780259869335)	(2, 0.003254351389565755)	(3, 0.0011068471957732117)	(4, 0.0009634351006398054)	(5, 0.0001654754943846994)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 1.3238039550775955e-05)	(20, 0.0005383469417315555)	(25, 0.00041699824584944255)	(30, 0.0)	(35, 1.691527275932483e-05)	(40, 7.354466417097752e-06)	(45, 0.0003839031469725026)	(50, 0.00014047030856656706)	(55, 1.4708932834195503e-06)	(60, 1.4708932834195503e-06)	(65, 1.3238039550775955e-05)	(70, 0.0005442305148652336)	(75, 0.00021769220594609345)	(80, 6.6190197753879774e-06)	(85, 6.6190197753879774e-06)	(90, 3.383054551864966e-05)	(95, 0.0007442720014102925)	(100, 0.00030594580295126647)	(105, 2.3534292534712805e-05)	(110, 5.148126491968426e-06)	(115, 8.01636839463655e-05)	(120, 0.0007641290607364563)	(125, 0.0004081728861489252)	(130, 2.7946972384971455e-05)	(135, 9.560806342227077e-06)	(140, 8.31054705132046e-05)	(145, 0.001138471401366732)	(150, 0.0007483169579396963)
CONTROL_0hr_3_1	(1, 0.031928874435642525)	(2, 3.1101572604366377e-06)	(3, 0.01829705516314874)	(4, 0.00015239770576139526)	(5, 0.017224050908298105)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00041365091563807285)	(10, 0.0001262723847737275)	(15, 1.2440629041746552e-06)	(20, 1.2440629041746552e-06)	(25, 8.708440329222586e-06)	(30, 9.392674926518647e-05)	(35, 9.952503233397241e-05)	(40, 0.0)	(45, 3.1101572604366377e-06)	(50, 0.00012191816460911622)	(55, 0.0001984280332158575)	(60, 2.301516372723112e-05)	(65, 0.0)	(70, 0.0)	(75, 3.110157260436638e-05)	(80, 1.3684691945921208e-05)	(85, 8.33522145797019e-05)	(90, 0.0)	(95, 1.866094356261983e-06)	(100, 1.4928754850095863e-05)	(105, 0.00038130528012953184)	(110, 3.1101572604366377e-06)	(115, 6.220314520873276e-07)	(120, 6.220314520873276e-07)	(125, 7.464377425047932e-06)	(130, 0.0002842683736039087)	(135, 3.4211729864803017e-05)	(140, 0.0)	(145, 0.0)	(150, 0.0)
CONTROL_0hr_3_2	(1, 0.0012533933759559651)	(2, 0.00322834323633323)	(3, 0.0010450128395067104)	(4, 0.0008552932466200754)	(5, 0.00017727896384488838)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 1.617281775427052e-05)	(20, 0.0005486317407410229)	(25, 0.00040805263256928694)	(30, 0.0)	(35, 1.4306723398008535e-05)	(40, 6.842345972960604e-06)	(45, 0.00038441543738996847)	(50, 0.0001306266049383388)	(55, 0.0)	(60, 1.2440629041746552e-06)	(65, 1.617281775427052e-05)	(70, 0.0005629384641390315)	(75, 0.00022144319694308861)	(80, 3.732188712523966e-06)	(85, 3.1101572604366377e-06)	(90, 3.6699855673152324e-05)	(95, 0.0007339971134630466)	(100, 0.00029111071957686936)	(105, 1.2440629041746551e-05)	(110, 2.4881258083493104e-06)	(115, 9.579284362144846e-05)	(120, 0.0007955782272196921)	(125, 0.00036948668253987264)	(130, 2.7369383891842416e-05)	(135, 5.5982830687859486e-06)	(140, 8.895049764848784e-05)	(145, 0.0011215227081134518)	(150, 0.0007837596296300328)
CONTROL_0hr_4_1	(1, 0.03313788658707786)	(2, 3.18021944213799e-06)	(3, 0.018588382639296554)	(4, 0.00023851645816034926)	(5, 0.01724951025415646)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00039434721082511076)	(10, 0.00012212042657809883)	(15, 3.18021944213799e-06)	(20, 0.0)	(25, 1.0176702214841568e-05)	(30, 8.841010049143614e-05)	(35, 0.00011067163658640207)	(40, 0.0)	(45, 1.908131665282794e-06)	(50, 0.00011130768047482965)	(55, 0.0002003538248546934)	(60, 1.971736054125554e-05)	(65, 0.0)	(70, 0.0)	(75, 2.8621974979241916e-05)	(80, 1.3356921656979559e-05)	(85, 9.73147149294225e-05)	(90, 0.0)	(95, 6.36043888427598e-07)	(100, 1.4629009433834754e-05)	(105, 0.0003593647969615929)	(110, 3.816263330565588e-06)	(115, 1.272087776855196e-06)	(120, 3.816263330565588e-06)	(125, 8.268570549558775e-06)	(130, 0.0002957604081188331)	(135, 3.116615053295231e-05)	(140, 0.0)	(145, 0.0)	(150, 0.0)
CONTROL_0hr_4_2	(1, 0.0010780943908847787)	(2, 0.0032056611976750944)	(3, 0.0010908152686533307)	(4, 0.0009318042965464311)	(5, 0.00017491206931758948)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 2.0353404429683136e-05)	(20, 0.0005457256562708792)	(25, 0.0003968913863788212)	(30, 0.0)	(35, 2.0353404429683136e-05)	(40, 6.996482772703579e-06)	(45, 0.0003733577625070001)	(50, 0.0001322971287929404)	(55, 6.36043888427598e-07)	(60, 2.544175553710392e-06)	(65, 1.908131665282794e-05)	(70, 0.0005616267534815691)	(75, 0.0002232514048380869)	(80, 4.452307218993186e-06)	(85, 7.632526661131177e-06)	(90, 3.879867719408348e-05)	(95, 0.0007441713494602898)	(100, 0.0002976685397841159)	(105, 1.653714109911755e-05)	(110, 3.18021944213799e-06)	(115, 8.077757383030496e-05)	(120, 0.0007804258511006628)	(125, 0.0003663612797342965)	(130, 3.752658941722829e-05)	(135, 1.0176702214841568e-05)	(140, 8.586592493772574e-05)	(145, 0.001114348892525152)	(150, 0.0007441713494602898)
CONTROL_0hr_5_1	(1, 0.03307615698503687)	(2, 0.0)	(3, 0.019114801004045497)	(4, 0.00016342253216902104)	(5, 0.016984672826118256)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0005240791548868606)	(10, 0.00012453924003225398)	(15, 2.8176298649831218e-06)	(20, 0.0)	(25, 6.198785702962868e-06)	(30, 9.185473359844976e-05)	(35, 9.692646735541938e-05)	(40, 0.0)	(45, 3.94468181097637e-06)	(50, 0.00010030762319339913)	(55, 0.00019892466846780835)	(60, 2.2541038919864974e-05)	(65, 0.0)	(70, 0.0)	(75, 2.8176298649831217e-05)	(80, 8.452889594949364e-06)	(85, 8.058421413851727e-05)	(90, 0.0)	(95, 2.2541038919864973e-06)	(100, 1.4651675297912232e-05)	(105, 0.00040066696680059985)	(110, 2.2541038919864973e-06)	(115, 1.1270519459932487e-06)	(120, 2.2541038919864973e-06)	(125, 7.88936362195274e-06)	(130, 0.00029979581763420416)	(135, 3.155745448781096e-05)	(140, 0.0)	(145, 0.0)	(150, 0.0)
CONTROL_0hr_5_2	(1, 0.001115781426533316)	(2, 0.003302262201760218)	(3, 0.0010735169785585693)	(4, 0.0009410883749043626)	(5, 0.00015778727243905482)	(6, 2.8176298649831218e-06)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 1.4651675297912232e-05)	(20, 0.0005128086354269281)	(25, 0.00040799280444955605)	(30, 5.635259729966243e-07)	(35, 1.183404543292911e-05)	(40, 9.579941540942613e-06)	(45, 0.00037418124606975855)	(50, 0.00013862738935716958)	(55, 1.1270519459932487e-06)	(60, 0.0)	(65, 1.6342253216902104e-05)	(70, 0.0005308414665628202)	(75, 0.0002023058243057881)	(80, 6.198785702962868e-06)	(85, 6.198785702962868e-06)	(90, 4.339149992074007e-05)	(95, 0.0007162415116787094)	(100, 0.0002823265124713088)	(105, 1.4651675297912232e-05)	(110, 2.8176298649831218e-06)	(115, 8.002068816552064e-05)	(120, 0.0007483624921395171)	(125, 0.0003685459863397923)	(130, 3.268450643380421e-05)	(135, 7.88936362195274e-06)	(140, 7.382190246255778e-05)	(145, 0.0010825333941265152)	(150, 0.000753715988882985)
CONTROL_1hr_1_1	(1, 0.031744364220757375)	(2, 0.0)	(3, 0.018409505525745096)	(4, 0.0001752756306667585)	(5, 0.01739123757615726)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00043958015310075946)	(10, 0.0001229711567535036)	(15, 5.564305735452651e-06)	(20, 0.0)	(25, 6.120736308997916e-06)	(30, 8.958532234078769e-05)	(35, 0.00010349608667941931)	(40, 1.1128611470905302e-06)	(45, 3.895014014816856e-06)	(50, 9.793178094396666e-05)	(55, 0.00019363783959375227)	(60, 2.39265146624464e-05)	(65, 0.0)	(70, 0.0)	(75, 3.116011211853485e-05)	(80, 6.120736308997916e-06)	(85, 9.40367669291498e-05)	(90, 0.0)	(95, 2.2257222941810604e-06)	(100, 1.6692917206357955e-05)	(105, 0.0003444305250245191)	(110, 5.564305735452651e-07)	(115, 5.564305735452651e-07)	(120, 5.007875161907386e-06)	(125, 1.0015750323814771e-05)	(130, 0.0002809974396403589)	(135, 3.0047250971444316e-05)	(140, 0.0)	(145, 0.0)	(150, 1.3910764338631629e-06)
CONTROL_1hr_1_2	(1, 0.0011212076056937093)	(2, 0.0033107619125943275)	(3, 0.0010961682298841723)	(4, 0.0008847246119369715)	(5, 0.00016692917206357952)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 1.8918639500539015e-05)	(20, 0.000524714030853185)	(25, 0.0004345722779388521)	(30, 0.0)	(35, 1.4467194912176894e-05)	(40, 7.790028029633712e-06)	(45, 0.00035778485878960544)	(50, 0.00013187404593022783)	(55, 5.564305735452651e-07)	(60, 5.564305735452651e-07)	(65, 1.613648663281269e-05)	(70, 0.0005358426423240903)	(75, 0.00021979007655037973)	(80, 3.895014014816856e-06)	(85, 1.0015750323814771e-05)	(90, 4.284515416298542e-05)	(95, 0.0007116747035643942)	(100, 0.00031939114921498215)	(105, 2.39265146624464e-05)	(110, 1.6692917206357955e-06)	(115, 7.845671086988239e-05)	(120, 0.0007406090933887479)	(125, 0.00038727567918750454)	(130, 2.5595806383082193e-05)	(135, 9.459319750269507e-06)	(140, 8.29081554582445e-05)	(145, 0.0010944989381635364)	(150, 0.0007024935991008971)
