Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
CONTROL_0hr_1_1	(1, 36.4263044004185)	(2, 36.527688651827894)	(3, 36.604875115333336)	(4, 36.62399478028279)	(5, 36.60522520503414)	(6, 36.636795990117726)	(7, 36.60782940824703)	(8, 36.660661324765066)	(9, 36.68341124857437)	(10, 36.68400398390936)	(15, 36.69073994937377)	(20, 36.66580801620374)	(25, 36.638136167173386)	(30, 36.62464326521379)	(35, 36.543397512255964)	(40, 36.43282825936465)	(45, 35.97826286051814)	(50, 36.47566431688627)	(55, 36.293314794819246)	(60, 36.03352837173937)	(65, 35.5958253573108)	(70, 35.47500477252233)	(75, 36.34109751885392)	(80, 36.370301208263996)	(85, 36.37148130002796)	(90, 36.38549579668238)	(95, 36.36714142773509)	(100, 36.32785895033833)	(105, 36.32375749260872)	(110, 36.31647812358288)	(115, 36.283321340411646)	(120, 36.254938813896764)	(125, 36.19891388828087)	(130, 36.14563965309408)	(135, 36.092862472390685)	(140, 35.92012127673613)	(145, 35.864428636809684)	(150, 35.62623873503547)
CONTROL_0hr_1_2	(1, 36.436246621165196)	(2, 36.53339251247066)	(3, 36.56931899656592)	(4, 36.46835307658552)	(5, 36.511790758880274)	(6, 36.559381970401354)	(7, 36.28462745106253)	(8, 35.96410263069977)	(9, 36.01403714335685)	(10, 35.77403511579415)	(15, 35.76805915958783)	(20, 35.69057292680142)	(25, 35.47170407638549)	(30, 35.44049216990054)	(35, 35.3982240477734)	(40, 35.33761276694235)	(45, 35.316371349784944)	(50, 35.29306872243651)	(55, 35.224473511296644)	(60, 35.226448977369)	(65, 35.096004448908246)	(70, 35.16802666831441)	(75, 34.879199221650524)	(80, 35.1943739491706)	(85, 35.627503628352784)	(90, 35.90847119468059)	(95, 35.95997440411545)	(100, 35.92006813280954)	(105, 35.84532232696334)	(110, 35.82677170335165)	(115, 35.80201710651302)	(120, 35.621061341102866)	(125, 35.58702733544119)	(130, 35.489258052387775)	(135, 35.459886795812075)	(140, 35.207596439616644)	(145, 35.1030684438561)	(150, 34.768584675354326)
CONTROL_0hr_2_1	(1, 36.43528372924694)	(2, 36.54942798982686)	(3, 36.61704638818661)	(4, 36.64298275977014)	(5, 36.62216222857101)	(6, 36.64974324270706)	(7, 36.62440901806143)	(8, 36.66904842287329)	(9, 36.70180782713062)	(10, 36.69764631701744)	(15, 36.70554513897533)	(20, 36.67519120417584)	(25, 36.64596131866907)	(30, 36.64720645925134)	(35, 36.575396132705315)	(40, 36.44336614810446)	(45, 36.11835709015977)	(50, 36.26833470867984)	(55, 36.06230210463868)	(60, 35.855980889271926)	(65, 35.8712825332636)	(70, 35.741544538703785)	(75, 36.414781168403344)	(80, 36.45780347313941)	(85, 36.455772206287335)	(90, 36.480357025514)	(95, 36.47395520519531)	(100, 36.43623203621015)	(105, 36.43288024549503)	(110, 36.41284016291761)	(115, 36.38047485509771)	(120, 36.34635302122768)	(125, 36.26098756731129)	(130, 36.20905338493178)	(135, 36.11257114756778)	(140, 35.81664820266585)	(145, 35.768701678167886)	(150, 35.544786255120044)
CONTROL_0hr_2_2	(1, 36.34370565601491)	(2, 36.454170219640034)	(3, 36.50426141686223)	(4, 36.4241702111824)	(5, 36.47211644150171)	(6, 36.51790031160507)	(7, 36.2744151829429)	(8, 36.15645138022926)	(9, 36.187051182195546)	(10, 36.08785337429722)	(15, 36.05554379126936)	(20, 35.985660901218516)	(25, 35.818159067474255)	(30, 35.803536365758795)	(35, 35.75233954953673)	(40, 35.70072816204273)	(45, 35.650114018131475)	(50, 35.67408710019604)	(55, 35.62052380789707)	(60, 35.62930774724273)	(65, 35.501068916535225)	(70, 35.48284960862655)	(75, 35.27452209482121)	(80, 35.5906742571134)	(85, 35.84739789601218)	(90, 35.97002721777704)	(95, 35.990417064068325)	(100, 35.89999725310679)	(105, 35.763333042709334)	(110, 35.762546636969816)	(115, 35.780833635387395)	(120, 35.5585993109821)	(125, 35.580757038619666)	(130, 35.49408349724294)	(135, 35.44937740948408)	(140, 35.18980687134416)	(145, 35.12461250511549)	(150, 34.7612545859235)
CONTROL_0hr_3_1	(1, 36.36763741413439)	(2, 36.4981524577318)	(3, 36.56610752777798)	(4, 36.59472439574699)	(5, 36.57423825639608)	(6, 36.61318464086159)	(7, 36.56951398972062)	(8, 36.62855547346468)	(9, 36.66752720571186)	(10, 36.66327525995861)	(15, 36.664406753830896)	(20, 36.62872069745898)	(25, 36.58926328927433)	(30, 36.5962787030582)	(35, 36.52340667965365)	(40, 36.3737964834385)	(45, 36.29518768788266)	(50, 36.435801014004575)	(55, 36.29267399658163)	(60, 36.16956727915512)	(65, 36.14294135347513)	(70, 36.06420543335143)	(75, 36.34200857377052)	(80, 36.35572287441356)	(85, 36.3422325175339)	(90, 36.37507389966912)	(95, 36.37113841241712)	(100, 36.30864940021395)	(105, 36.31361518304131)	(110, 36.290774710627076)	(115, 36.25930582845025)	(120, 36.22821499210875)	(125, 36.15535944009705)	(130, 36.112254383494516)	(135, 36.02174572193981)	(140, 35.757563795156955)	(145, 35.734275708909806)	(150, 35.49957224452119)
CONTROL_0hr_3_2	(1, 36.51205654017087)	(2, 36.56583709960419)	(3, 36.612694417874195)	(4, 36.562203844994116)	(5, 36.5838914691963)	(6, 36.618908014455386)	(7, 36.47899479095311)	(8, 36.418093370964165)	(9, 36.45691422948264)	(10, 36.36325002725276)	(15, 36.34078113154675)	(20, 36.26425338575607)	(25, 36.08757998197042)	(30, 36.080868486533724)	(35, 36.00197522355421)	(40, 35.96327379507454)	(45, 35.91727539649451)	(50, 35.93337508823127)	(55, 35.91156043276594)	(60, 35.91083219566373)	(65, 35.79291227505983)	(70, 35.75918838580195)	(75, 35.70944293195769)	(80, 35.85053867457227)	(85, 36.042870133984025)	(90, 36.07733203245823)	(95, 36.08800582470252)	(100, 36.007115971388416)	(105, 35.89090271847961)	(110, 35.89224115599569)	(115, 35.89982008673296)	(120, 35.71949112228937)	(125, 35.73239996062541)	(130, 35.66865705120081)	(135, 35.63283513693945)	(140, 35.4000705072651)	(145, 35.32172272232687)	(150, 35.016301858179006)
CONTROL_0hr_4_1	(1, 36.421542634769196)	(2, 36.49900002769971)	(3, 36.582148391519745)	(4, 36.6024472233838)	(5, 36.58459019580961)	(6, 36.61600961901893)	(7, 36.58168245756927)	(8, 36.630683278733734)	(9, 36.65301134501943)	(10, 36.659051752060805)	(15, 36.66157825195486)	(20, 36.6492284231095)	(25, 36.60791833934284)	(30, 36.57326962590538)	(35, 36.5624605752171)	(40, 36.46426469780554)	(45, 35.90052109485669)	(50, 36.330416416979695)	(55, 35.95208232341489)	(60, 35.631267739462814)	(65, 35.39581560718769)	(70, 35.44602020501539)	(75, 36.325270834643185)	(80, 36.35687535934492)	(85, 36.3451902663278)	(90, 36.35055952621854)	(95, 36.3335965346548)	(100, 36.28802580913449)	(105, 36.265088361920164)	(110, 36.255212171361286)	(115, 36.2162328577029)	(120, 36.17889600017758)	(125, 36.11612797724591)	(130, 36.024897721757576)	(135, 35.96941936602899)	(140, 35.810245967394295)	(145, 35.71050983338162)	(150, 35.42557861946102)
CONTROL_0hr_4_2	(1, 36.46749467496106)	(2, 36.54023433955795)	(3, 36.56762871803033)	(4, 36.457791825443095)	(5, 36.498091248191926)	(6, 36.54300539196666)	(7, 36.21120584666807)	(8, 35.78886570826938)	(9, 35.83317818632785)	(10, 35.596208383370104)	(15, 35.63788822489087)	(20, 35.55757226627303)	(25, 35.1710182849579)	(30, 35.15828064107245)	(35, 35.096062827906465)	(40, 35.08236827507219)	(45, 35.088917148318856)	(50, 35.02645927310805)	(55, 35.016410027728014)	(60, 35.08748029337269)	(65, 34.890127578001156)	(70, 34.87335763847844)	(75, 34.700336184177445)	(80, 34.969312784154596)	(85, 35.578083574958455)	(90, 35.90920867839907)	(95, 35.94537193954365)	(100, 35.92346481982419)	(105, 35.86465536232224)	(110, 35.870464611933244)	(115, 35.83575844465135)	(120, 35.681484651100185)	(125, 35.67336899186185)	(130, 35.58246335409285)	(135, 35.582028815268714)	(140, 35.35751508592746)	(145, 35.249758088657586)	(150, 34.92576652272676)
CONTROL_0hr_5_1	(1, 36.41603592613324)	(2, 36.51985496419328)	(3, 36.5912964202407)	(4, 36.61462177460979)	(5, 36.60163334622117)	(6, 36.626041741157756)	(7, 36.5911838277513)	(8, 36.64079051198082)	(9, 36.668848075708134)	(10, 36.66491327250746)	(15, 36.67561475471039)	(20, 36.648851052252326)	(25, 36.62018681336826)	(30, 36.611916618893744)	(35, 36.556449968952535)	(40, 36.480247383393944)	(45, 36.346995676797796)	(50, 36.375515731926406)	(55, 36.2692100566169)	(60, 36.209884831633374)	(65, 36.21965037608878)	(70, 36.22250944765382)	(75, 36.371602528676284)	(80, 36.37343624782768)	(85, 36.373370168772084)	(90, 36.385750513189016)	(95, 36.3704194171665)	(100, 36.30720174359445)	(105, 36.29707292212055)	(110, 36.272916699421614)	(115, 36.24268513138411)	(120, 36.19610539310698)	(125, 36.106060862721066)	(130, 36.010387260120375)	(135, 35.89186568854336)	(140, 35.60545237301069)	(145, 35.46317056280071)	(150, 35.1356988575807)
CONTROL_0hr_5_2	(1, 36.47928064331674)	(2, 36.58006596747745)	(3, 36.624800321615545)	(4, 36.56802274120334)	(5, 36.593055579270604)	(6, 36.6174366713738)	(7, 36.498089675127844)	(8, 36.46350157795725)	(9, 36.50504228952488)	(10, 36.45098701855933)	(15, 36.42453320466909)	(20, 36.377867156753936)	(25, 36.31971934603262)	(30, 36.319351707323094)	(35, 36.25858692706525)	(40, 36.227988334561545)	(45, 36.183569690214554)	(50, 36.18725759578068)	(55, 36.149444146433126)	(60, 36.132004122079785)	(65, 36.06560512461503)	(70, 36.04734609978884)	(75, 36.00802866160721)	(80, 36.049463035823734)	(85, 36.126637917825626)	(90, 36.15415081115901)	(95, 36.117097242774484)	(100, 36.0482211034729)	(105, 35.95752289986408)	(110, 35.95724385870803)	(115, 35.943855062021385)	(120, 35.76268009797012)	(125, 35.77682791342506)	(130, 35.68742956700186)	(135, 35.667018960563944)	(140, 35.42514144642804)	(145, 35.33399322788297)	(150, 34.989748039648106)
