Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
CONTROL_0hr_1_1	(14.0, 4.0)	(15.0, 45.0)	(16.0, 323.0)	(17.0, 1157.0)	(18.0, 2264.0)	(19.0, 3382.0)	(20.0, 5812.0)	(21.0, 12046.0)	(22.0, 20256.0)	(23.0, 19167.0)	(24.0, 17510.0)	(25.0, 24371.0)	(26.0, 35407.0)	(27.0, 52770.0)	(28.0, 75631.0)	(29.0, 105613.0)	(30.0, 138840.0)	(31.0, 184463.0)	(32.0, 238187.0)	(33.0, 335065.0)	(34.0, 660278.0)	(35.0, 2438111.0)	(36.0, 14782036.0)	(37.0, 4718287.0)			
CONTROL_0hr_1_2	(11.0, 24.0)	(12.0, 527.0)	(13.0, 2157.0)	(14.0, 3017.0)	(15.0, 3479.0)	(16.0, 4615.0)	(17.0, 6782.0)	(18.0, 9757.0)	(19.0, 14525.0)	(20.0, 22246.0)	(21.0, 36816.0)	(22.0, 78393.0)	(23.0, 282032.0)	(24.0, 452486.0)	(25.0, 228704.0)	(26.0, 92636.0)	(27.0, 81549.0)	(28.0, 96636.0)	(29.0, 123521.0)	(30.0, 156653.0)	(31.0, 199963.0)	(32.0, 262920.0)	(33.0, 406549.0)	(34.0, 799711.0)	(35.0, 2680558.0)	(36.0, 16000774.0)	(37.0, 1823995.0)
CONTROL_0hr_2_1	(13.0, 1.0)	(14.0, 4.0)	(15.0, 123.0)	(16.0, 597.0)	(17.0, 1349.0)	(18.0, 2362.0)	(19.0, 3520.0)	(20.0, 5831.0)	(21.0, 13138.0)	(22.0, 15517.0)	(23.0, 14827.0)	(24.0, 15906.0)	(25.0, 23291.0)	(26.0, 34831.0)	(27.0, 53338.0)	(28.0, 77717.0)	(29.0, 110806.0)	(30.0, 146344.0)	(31.0, 194980.0)	(32.0, 259883.0)	(33.0, 567388.0)	(34.0, 1290975.0)	(35.0, 1537459.0)	(36.0, 16347201.0)	(37.0, 6476971.0)		
CONTROL_0hr_2_2	(11.0, 21.0)	(12.0, 538.0)	(13.0, 2097.0)	(14.0, 2861.0)	(15.0, 3340.0)	(16.0, 4348.0)	(17.0, 6126.0)	(18.0, 8318.0)	(19.0, 12029.0)	(20.0, 17580.0)	(21.0, 27735.0)	(22.0, 49475.0)	(23.0, 122870.0)	(24.0, 262540.0)	(25.0, 262080.0)	(26.0, 147214.0)	(27.0, 104420.0)	(28.0, 111707.0)	(29.0, 140347.0)	(30.0, 177012.0)	(31.0, 226802.0)	(32.0, 302665.0)	(33.0, 473536.0)	(34.0, 962321.0)	(35.0, 3464125.0)	(36.0, 18865984.0)	(37.0, 1436268.0)
CONTROL_0hr_3_1	(14.0, 3.0)	(15.0, 126.0)	(16.0, 976.0)	(17.0, 2954.0)	(18.0, 4693.0)	(19.0, 7165.0)	(20.0, 11383.0)	(21.0, 26996.0)	(22.0, 32830.0)	(23.0, 27951.0)	(24.0, 26650.0)	(25.0, 35267.0)	(26.0, 49542.0)	(27.0, 73841.0)	(28.0, 103070.0)	(29.0, 142864.0)	(30.0, 186916.0)	(31.0, 248397.0)	(32.0, 321954.0)	(33.0, 464131.0)	(34.0, 984650.0)	(35.0, 2095405.0)	(36.0, 20857445.0)	(37.0, 6447506.0)			
CONTROL_0hr_3_2	(11.0, 25.0)	(12.0, 513.0)	(13.0, 2209.0)	(14.0, 2962.0)	(15.0, 3325.0)	(16.0, 4360.0)	(17.0, 6151.0)	(18.0, 8396.0)	(19.0, 11766.0)	(20.0, 16029.0)	(21.0, 24060.0)	(22.0, 37749.0)	(23.0, 72185.0)	(24.0, 173459.0)	(25.0, 289219.0)	(26.0, 198525.0)	(27.0, 117769.0)	(28.0, 119067.0)	(29.0, 152947.0)	(30.0, 194551.0)	(31.0, 248726.0)	(32.0, 323608.0)	(33.0, 488140.0)	(34.0, 891800.0)	(35.0, 2982849.0)	(36.0, 23097968.0)	(37.0, 2684357.0)
CONTROL_0hr_4_1	(14.0, 6.0)	(15.0, 46.0)	(16.0, 292.0)	(17.0, 889.0)	(18.0, 1370.0)	(19.0, 2045.0)	(20.0, 3880.0)	(21.0, 9262.0)	(22.0, 14920.0)	(23.0, 17383.0)	(24.0, 21754.0)	(25.0, 31881.0)	(26.0, 47832.0)	(27.0, 71253.0)	(28.0, 102966.0)	(29.0, 146742.0)	(30.0, 195247.0)	(31.0, 261990.0)	(32.0, 350543.0)	(33.0, 568021.0)	(34.0, 1723769.0)	(35.0, 2884451.0)	(36.0, 19866112.0)	(37.0, 5121717.0)			
CONTROL_0hr_4_2	(11.0, 19.0)	(12.0, 491.0)	(13.0, 1707.0)	(14.0, 2491.0)	(15.0, 3059.0)	(16.0, 4175.0)	(17.0, 6882.0)	(18.0, 11392.0)	(19.0, 18145.0)	(20.0, 27495.0)	(21.0, 46608.0)	(22.0, 95545.0)	(23.0, 322088.0)	(24.0, 725683.0)	(25.0, 508839.0)	(26.0, 169451.0)	(27.0, 105813.0)	(28.0, 119210.0)	(29.0, 148911.0)	(30.0, 185867.0)	(31.0, 246439.0)	(32.0, 336483.0)	(33.0, 526853.0)	(34.0, 988714.0)	(35.0, 3293519.0)	(36.0, 21369037.0)	(37.0, 2179455.0)
CONTROL_0hr_5_1	(13.0, 1.0)	(14.0, 6.0)	(15.0, 80.0)	(16.0, 753.0)	(17.0, 2722.0)	(18.0, 4651.0)	(19.0, 7420.0)	(20.0, 11676.0)	(21.0, 26756.0)	(22.0, 39801.0)	(23.0, 29800.0)	(24.0, 23534.0)	(25.0, 31090.0)	(26.0, 48075.0)	(27.0, 74732.0)	(28.0, 109557.0)	(29.0, 155989.0)	(30.0, 208355.0)	(31.0, 275348.0)	(32.0, 383108.0)	(33.0, 838316.0)	(34.0, 1110476.0)	(35.0, 1959980.0)	(36.0, 22594875.0)	(37.0, 7553721.0)		
CONTROL_0hr_5_2	(11.0, 27.0)	(12.0, 663.0)	(13.0, 2374.0)	(14.0, 3014.0)	(15.0, 3421.0)	(16.0, 4527.0)	(17.0, 6327.0)	(18.0, 8601.0)	(19.0, 11431.0)	(20.0, 15958.0)	(21.0, 24026.0)	(22.0, 40262.0)	(23.0, 104577.0)	(24.0, 175293.0)	(25.0, 130157.0)	(26.0, 89507.0)	(27.0, 99247.0)	(28.0, 119945.0)	(29.0, 155205.0)	(30.0, 197700.0)	(31.0, 257410.0)	(32.0, 340477.0)	(33.0, 514780.0)	(34.0, 951970.0)	(35.0, 3220821.0)	(36.0, 25807206.0)	(37.0, 3205896.0)
