Sample	Unique Reads	Duplicate Reads
CONTROL_0hr_1_1	1666198.0	22204827.0
CONTROL_0hr_1_2	2458113.0	21412912.0
CONTROL_0hr_2_1	715232.0	26479127.0
CONTROL_0hr_2_2	1296603.0	25897756.0
CONTROL_0hr_3_1	1666338.0	30486377.0
CONTROL_0hr_3_2	2289834.0	29862881.0
CONTROL_0hr_4_1	3469126.0	27975245.0
CONTROL_0hr_4_2	4499376.0	26944995.0
CONTROL_0hr_5_1	3174611.0	32316211.0
CONTROL_0hr_5_2	3533235.0	31957587.0
CONTROL_1hr_1_1	6369725.0	29573663.0
CONTROL_1hr_1_2	7015154.0	28928234.0
CONTROL_1hr_2_1	1509854.0	21260304.0
CONTROL_1hr_2_2	2094344.0	20675814.0
CONTROL_1hr_4_1	17479501.0	25028564.0
CONTROL_1hr_4_2	18125253.0	24382812.0
CONTROL_1hr_5_1	6243105.0	32932127.0
CONTROL_1hr_5_2	6701290.0	32473942.0
CONTROL_24hr_1_1	2013312.0	29846279.0
CONTROL_24hr_1_2	3201053.0	28658538.0
CONTROL_24hr_2_1	2468762.0	32691913.0
CONTROL_24hr_2_2	3068834.0	32091841.0
CONTROL_24hr_3_1	2347714.0	32528852.0
CONTROL_24hr_3_2	2978175.0	31898391.0
CONTROL_24hr_4_1	6696599.0	36849873.0
CONTROL_24hr_4_2	7338532.0	36207940.0
CONTROL_24hr_5_1	1561515.0	24582496.0
CONTROL_24hr_5_2	2050688.0	24093323.0
LIF_1hr_1_1	5617862.0	34589509.0
LIF_1hr_1_2	6160669.0	34046702.0
LIF_1hr_2_1	1274717.0	29289546.0
LIF_1hr_2_2	2874850.0	27689413.0
LIF_1hr_3_1	3414947.0	31501251.0
LIF_1hr_3_2	3729656.0	31186542.0
LIF_1hr_4_1	5691072.0	32875870.0
LIF_1hr_4_2	6336561.0	32230381.0
LIF_1hr_5_1	3649512.0	48495796.0
LIF_1hr_5_2	4439117.0	47706191.0
LIF_24hr_1_1	2792413.0	29900451.0
LIF_24hr_1_2	3456108.0	29236756.0
LIF_24hr_2_1	2246255.0	25046604.0
LIF_24hr_2_2	3077692.0	24215167.0
LIF_24hr_3_1	1424516.0	32135906.0
LIF_24hr_3_2	2396593.0	31163829.0
LIF_24hr_4_1	14433133.0	29468061.0
LIF_24hr_4_2	15171798.0	28729396.0
LIF_24hr_5_1	1339339.0	22086997.0
LIF_24hr_5_2	2223750.0	21202586.0
control_1hr_3_1	4867341.0	30132622.0
control_1hr_3_2	5500207.0	29499756.0
