Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
CONTROL_0hr_1_1	(1.0, 2.077790846073427)	(2.0, 1.7438142818045967)	(3.0, 2.3895447283469045)	(4.0, 2.7983709299010133)	(5.0, 2.926557867473022)	(6.0, 2.7614145096506637)	(7.0, 2.404760119015509)	(8.0, 2.041922926761601)	(9.0, 1.714598400673178)	('>10', 9.858498509123873)	('>50', 1.8555733791854438)	('>100', 5.001349698400959)	('>500', 2.705814084563501)	('>1k', 8.16180725102341)	('>5k', 4.868808039095543)	('>10k+', 46.68937442890731)
CONTROL_0hr_1_2	(1.0, 5.104482870513678)	(2.0, 2.068521626563903)	(3.0, 2.5522794656054506)	(4.0, 2.9334146100318805)	(5.0, 3.013866647343759)	(6.0, 2.825974964408377)	(7.0, 2.487081473658489)	(8.0, 2.084364127606212)	(9.0, 1.7075927936872188)	('>10', 9.853110598410325)	('>50', 1.8141199556608256)	('>100', 4.626228982957185)	('>500', 2.364590399836295)	('>1k', 6.498224174802562)	('>5k', 4.630677497032959)	('>10k+', 45.435469811880814)
CONTROL_0hr_2_1	(1.0, 1.0466314613704886)	(2.0, 0.716808683595312)	(3.0, 0.8463833032591175)	(4.0, 0.8730812563374195)	(5.0, 0.8484266908329983)	(6.0, 0.7457663728939883)	(7.0, 0.6376621981107171)	(8.0, 0.5009522153577193)	(9.0, 0.4154778811341819)	('>10', 3.2758064295207987)	('>50', 1.4315221319133549)	('>100', 4.214370375860177)	('>500', 2.0891560103165734)	('>1k', 7.433192945910669)	('>5k', 5.125528587676496)	('>10k+', 69.79923345591)
CONTROL_0hr_2_2	(1.0, 3.036080465358332)	(2.0, 0.9099416455138071)	(3.0, 0.9348415311829521)	(4.0, 0.9254486592289702)	(5.0, 0.870185348613941)	(6.0, 0.764036288770726)	(7.0, 0.6232431357194084)	(8.0, 0.5198415777144815)	(9.0, 0.41280544323851676)	('>10', 3.3441963205454743)	('>50', 1.438051210199967)	('>100', 3.7517290853974092)	('>500', 1.8207886718592283)	('>1k', 6.468771665083698)	('>5k', 4.267059047897498)	('>10k+', 69.91297990367558)
CONTROL_0hr_3_1	(1.0, 2.5443296214941538)	(2.0, 2.057881664973205)	(3.0, 1.7812688097003198)	(4.0, 1.3519214239044044)	(5.0, 1.0028991257697564)	(6.0, 0.7288206312153498)	(7.0, 0.5017460303530125)	(8.0, 0.3836578727436636)	(9.0, 0.28983792870020164)	('>10', 2.971013223091954)	('>50', 1.3524018900133363)	('>100', 4.103763999834891)	('>500', 2.3668008461189416)	('>1k', 7.996376109321962)	('>5k', 5.6737395430446895)	('>10k+', 64.89354127972014)
CONTROL_0hr_3_2	(1.0, 4.476251887514935)	(2.0, 2.1272677705737473)	(3.0, 1.7487170281023374)	(4.0, 1.3767145832485599)	(5.0, 0.9939831108881235)	(6.0, 0.7048474998488807)	(7.0, 0.5074671827497079)	(8.0, 0.37010082929873556)	(9.0, 0.27304668517727515)	('>10', 2.765708804872243)	('>50', 1.195088309281623)	('>100', 3.4977686467783284)	('>500', 1.9743043570544925)	('>1k', 7.314146522065025)	('>5k', 4.361400799282213)	('>10k+', 66.31318598326376)
CONTROL_0hr_4_1	(1.0, 4.085542418191395)	(2.0, 4.322421972515405)	(3.0, 4.632924908302503)	(4.0, 4.310531951843874)	(5.0, 3.4773719457355434)	(6.0, 2.692111671902084)	(7.0, 1.9566582268582606)	(8.0, 1.5099115629141768)	(9.0, 1.0446074879457)	('>10', 5.971650101375247)	('>50', 1.862725010971717)	('>100', 6.6270625318061365)	('>500', 4.957327578931361)	('>1k', 14.687376077923334)	('>5k', 7.132111141390528)	('>10k+', 30.729665411392727)
CONTROL_0hr_4_2	(1.0, 6.948970630154401)	(2.0, 4.736923304085743)	(3.0, 4.887631835409702)	(4.0, 4.45202501058451)	(5.0, 3.6486476057238426)	(6.0, 2.8043225703266152)	(7.0, 2.0093768586829746)	(8.0, 1.513914200435426)	(9.0, 1.0987211905069418)	('>10', 6.265306200923948)	('>50', 1.7258353497503987)	('>100', 6.506237064377116)	('>500', 5.528633154730094)	('>1k', 16.46324211072903)	('>5k', 6.67050102587658)	('>10k+', 24.739711887702725)
CONTROL_0hr_5_1	(1.0, 4.044674204106161)	(2.0, 3.60256443135158)	(3.0, 3.3117054288839465)	(4.0, 2.7204648107814258)	(5.0, 2.0572274684665723)	(6.0, 1.530737526763485)	(7.0, 1.0845643430099852)	(8.0, 0.8261357702069727)	(9.0, 0.6337544006780813)	('>10', 4.571627605679759)	('>50', 1.5860388459721806)	('>100', 5.095119779940383)	('>500', 3.326249230961438)	('>1k', 10.156829358417973)	('>5k', 5.094755097516938)	('>10k+', 50.35755169726317)
CONTROL_0hr_5_2	(1.0, 5.009198155366259)	(2.0, 3.6839968999032586)	(3.0, 3.382608832795468)	(4.0, 2.7636616538095677)	(5.0, 2.0605350309928148)	(6.0, 1.535091442093094)	(7.0, 1.1058469442695409)	(8.0, 0.7618106804040342)	(9.0, 0.6096714815896841)	('>10', 4.17161288941413)	('>50', 1.3690315632695433)	('>100', 4.971648534734649)	('>500', 3.5040563383715586)	('>1k', 9.900803655532686)	('>5k', 3.978009485566251)	('>10k+', 51.19241641188748)
