Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
CONTROL_0hr_1_1	(20, 9341.0)	(25, 17680.0)	(30, 8217.0)	(35, 10440.0)	(40, 11965.0)	(45, 14949.0)	(50, 29332.0)	(55, 20544.0)	(60, 29573.0)	(65, 41397.0)	(70, 65377.0)	(75, 110352.0)	(80, 170437.0)	(85, 212680.0)	(90, 319501.0)	(95, 463589.0)	(100, 553478.0)	(105, 580894.0)	(110, 695490.0)	(115, 816271.0)	(120, 813539.0)	(125, 837742.0)	(130, 690557.0)	(135, 685031.0)	(140, 734335.0)	(145, 1857203.0)	(150, 12359039.0)
CONTROL_0hr_1_2	(20, 10608.0)	(25, 17834.0)	(30, 8424.0)	(35, 9401.0)	(40, 11210.0)	(45, 13207.0)	(50, 17832.0)	(55, 20673.0)	(60, 30823.0)	(65, 42650.0)	(70, 66537.0)	(75, 111150.0)	(80, 171143.0)	(85, 212683.0)	(90, 319300.0)	(95, 463397.0)	(100, 552970.0)	(105, 578139.0)	(110, 691707.0)	(115, 810953.0)	(120, 809992.0)	(125, 837743.0)	(130, 690270.0)	(135, 696865.0)	(140, 740501.0)	(145, 2032393.0)	(150, 12190548.0)
CONTROL_0hr_2_1	(20, 5682.0)	(25, 10976.0)	(30, 6034.0)	(35, 7737.0)	(40, 9340.0)	(45, 12097.0)	(50, 24259.0)	(55, 19019.0)	(60, 29730.0)	(65, 41354.0)	(70, 66501.0)	(75, 122729.0)	(80, 194750.0)	(85, 225439.0)	(90, 353990.0)	(95, 538243.0)	(100, 633264.0)	(105, 617681.0)	(110, 770511.0)	(115, 971031.0)	(120, 957785.0)	(125, 1020868.0)	(130, 804528.0)	(135, 797339.0)	(140, 921258.0)	(145, 1930136.0)	(150, 14828834.0)
CONTROL_0hr_2_2	(20, 6394.0)	(25, 10820.0)	(30, 6052.0)	(35, 7248.0)	(40, 9181.0)	(45, 10882.0)	(50, 15201.0)	(55, 18736.0)	(60, 30830.0)	(65, 42482.0)	(70, 67488.0)	(75, 123087.0)	(80, 194623.0)	(85, 224900.0)	(90, 352429.0)	(95, 536217.0)	(100, 630232.0)	(105, 612386.0)	(110, 764069.0)	(115, 963589.0)	(120, 951435.0)	(125, 1018124.0)	(130, 801625.0)	(135, 802077.0)	(140, 921664.0)	(145, 2213607.0)	(150, 14585737.0)
CONTROL_0hr_3_1	(20, 4737.0)	(25, 10536.0)	(30, 7369.0)	(35, 9881.0)	(40, 11794.0)	(45, 16586.0)	(50, 39285.0)	(55, 23963.0)	(60, 37159.0)	(65, 52344.0)	(70, 84850.0)	(75, 153885.0)	(80, 244980.0)	(85, 277366.0)	(90, 427973.0)	(95, 642990.0)	(100, 744281.0)	(105, 734168.0)	(110, 935607.0)	(115, 1132900.0)	(120, 1186471.0)	(125, 1207959.0)	(130, 1009787.0)	(135, 1025021.0)	(140, 1181467.0)	(145, 2487352.0)	(150, 17651109.0)
CONTROL_0hr_3_2	(20, 5401.0)	(25, 8994.0)	(30, 6375.0)	(35, 8043.0)	(40, 10069.0)	(45, 12545.0)	(50, 17284.0)	(55, 22700.0)	(60, 38375.0)	(65, 53839.0)	(70, 85699.0)	(75, 153763.0)	(80, 244122.0)	(85, 276743.0)	(90, 426781.0)	(95, 641920.0)	(100, 742974.0)	(105, 728650.0)	(110, 928578.0)	(115, 1125991.0)	(120, 1182205.0)	(125, 1209917.0)	(130, 1010752.0)	(135, 1045098.0)	(140, 1185323.0)	(145, 2743888.0)	(150, 17425791.0)
CONTROL_0hr_4_1	(20, 9773.0)	(25, 18976.0)	(30, 11820.0)	(35, 13361.0)	(40, 16579.0)	(45, 20742.0)	(50, 34298.0)	(55, 29513.0)	(60, 45338.0)	(65, 60257.0)	(70, 93459.0)	(75, 153268.0)	(80, 239131.0)	(85, 292868.0)	(90, 409768.0)	(95, 562697.0)	(100, 666691.0)	(105, 723665.0)	(110, 827530.0)	(115, 936624.0)	(120, 969472.0)	(125, 1011910.0)	(130, 961790.0)	(135, 950205.0)	(140, 974385.0)	(145, 2683704.0)	(150, 16474253.0)
CONTROL_0hr_4_2	(20, 10876.0)	(25, 19747.0)	(30, 12867.0)	(35, 15304.0)	(40, 18239.0)	(45, 20609.0)	(50, 28124.0)	(55, 30437.0)	(60, 46754.0)	(65, 62316.0)	(70, 94840.0)	(75, 154214.0)	(80, 239770.0)	(85, 293885.0)	(90, 410971.0)	(95, 563135.0)	(100, 665691.0)	(105, 721757.0)	(110, 823394.0)	(115, 932722.0)	(120, 965461.0)	(125, 1008825.0)	(130, 958542.0)	(135, 950578.0)	(140, 974353.0)	(145, 2624823.0)	(150, 16543843.0)
CONTROL_0hr_5_1	(20, 3400.0)	(25, 8405.0)	(30, 6387.0)	(35, 10091.0)	(40, 11280.0)	(45, 15494.0)	(50, 40597.0)	(55, 20552.0)	(60, 30978.0)	(65, 45136.0)	(70, 75059.0)	(75, 140201.0)	(80, 234547.0)	(85, 276308.0)	(90, 442956.0)	(95, 660773.0)	(100, 780156.0)	(105, 813275.0)	(110, 1009422.0)	(115, 1220018.0)	(120, 1291748.0)	(125, 1323408.0)	(130, 1170043.0)	(135, 1185468.0)	(140, 1330850.0)	(145, 2975857.0)	(150, 19908869.0)
CONTROL_0hr_5_2	(20, 4092.0)	(25, 6228.0)	(30, 4917.0)	(35, 6107.0)	(40, 8128.0)	(45, 9835.0)	(50, 14247.0)	(55, 18706.0)	(60, 32184.0)	(65, 46586.0)	(70, 76244.0)	(75, 140797.0)	(80, 235211.0)	(85, 276643.0)	(90, 443053.0)	(95, 660824.0)	(100, 779476.0)	(105, 810196.0)	(110, 1005166.0)	(115, 1216549.0)	(120, 1291663.0)	(125, 1328899.0)	(130, 1173975.0)	(135, 1211526.0)	(140, 1339259.0)	(145, 3314093.0)	(150, 19576674.0)
