.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
CONTROL_0hr_1_1	1	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
CONTROL_0hr_1_2	1	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
CONTROL_0hr_2_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
CONTROL_0hr_2_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
CONTROL_0hr_3_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
CONTROL_0hr_3_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
CONTROL_0hr_4_1	1	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
CONTROL_0hr_4_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
CONTROL_0hr_5_1	1	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
CONTROL_0hr_5_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
CONTROL_1hr_1_1	1	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
CONTROL_1hr_1_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
CONTROL_1hr_2_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
CONTROL_1hr_2_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
CONTROL_1hr_4_1	1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
CONTROL_1hr_4_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
CONTROL_1hr_5_1	1	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
CONTROL_1hr_5_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
CONTROL_24hr_1_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
CONTROL_24hr_1_2	1	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
CONTROL_24hr_2_1	1	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
CONTROL_24hr_2_2	1	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
CONTROL_24hr_3_1	1	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
CONTROL_24hr_3_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
CONTROL_24hr_4_1	1	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
CONTROL_24hr_4_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
CONTROL_24hr_5_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
CONTROL_24hr_5_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
LIF_1hr_1_1	1	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
LIF_1hr_1_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
LIF_1hr_2_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
LIF_1hr_2_2	1	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
LIF_1hr_3_1	1	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
LIF_1hr_3_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
LIF_1hr_4_1	1	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
LIF_1hr_4_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
LIF_1hr_5_1	1	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
LIF_1hr_5_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
LIF_24hr_1_1	1	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
LIF_24hr_1_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
LIF_24hr_2_1	1	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
LIF_24hr_2_2	1	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
LIF_24hr_3_1	1	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
LIF_24hr_3_2	1	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
LIF_24hr_4_1	1	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
LIF_24hr_4_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
LIF_24hr_5_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
LIF_24hr_5_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
control_1hr_3_1	1	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
control_1hr_3_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
