Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
CONTROL_0hr_1_1	3.684808573762488	29.78388464473028
CONTROL_0hr_1_2	2.5683478817794323	31.56231253344867
CONTROL_0hr_2_1	5.8862244158864305	53.42171816297254
CONTROL_0hr_2_2	4.663233043794605	55.86103838511576
CONTROL_0hr_3_1	5.530935982658313	46.280101155580624
CONTROL_0hr_3_2	3.702768377841491	49.914044557718725
CONTROL_0hr_4_1	2.0858707655505295	13.409097269783167
CONTROL_0hr_4_2	1.696645291802978	14.281820372013954
CONTROL_0hr_5_1	4.4171126157601215	33.796760141037396
CONTROL_0hr_5_2	3.0592603558454248	35.58755692555664
CONTROL_1hr_1_1	1.9291947283168198	13.880571482322797
CONTROL_1hr_1_2	1.4718681708404977	14.151997605041878
CONTROL_1hr_2_1	3.884739501353444	33.56856478451142
CONTROL_1hr_2_2	2.6446110148253257	34.810222297160514
CONTROL_1hr_4_1	0.5510042267405635	1.8960773243046272
CONTROL_1hr_4_2	0.38494334485693427	2.0342110179007333
CONTROL_1hr_5_1	2.4655296373078324	17.74995987844316
CONTROL_1hr_5_2	1.818913552089491	17.797945827876536
CONTROL_24hr_1_1	3.71435253051148	28.32354919151921
CONTROL_24hr_1_2	2.3633163583726313	29.793771184169085
CONTROL_24hr_2_1	4.361675848983997	33.80396924273342
CONTROL_24hr_2_2	2.7131866364684067	36.13139373022511
CONTROL_24hr_3_1	2.982589021189098	24.65032734691847
CONTROL_24hr_3_2	2.1034537173597703	24.394732792731617
CONTROL_24hr_4_1	2.8646456052738225	21.866073918200488
CONTROL_24hr_4_2	1.8972481693010887	22.516578116112957
CONTROL_24hr_5_1	4.600391338530537	38.043952061823994
CONTROL_24hr_5_2	3.2024367032475984	39.56576413516709
LIF_1hr_1_1	2.3846064480035594	17.185582548942985
LIF_1hr_1_2	1.617693156962732	17.113065042371797
LIF_1hr_2_1	5.328698769381719	43.765706326308006
LIF_1hr_2_2	3.966326896125611	46.967705107798785
LIF_1hr_3_1	3.8446577448778747	29.104487591826558
LIF_1hr_3_2	2.708824663870785	30.85476549134708
LIF_1hr_4_1	2.462521270271257	19.18056141486795
LIF_1hr_4_2	2.0373031438109868	19.917608101939443
LIF_1hr_5_1	2.4907630118709476	20.15867106113533
LIF_1hr_5_2	2.0041868324146033	20.126978937866333
LIF_24hr_1_1	3.2721097738501697	25.95430008943879
LIF_24hr_1_2	2.2719654238368894	27.570330446354163
LIF_24hr_2_1	4.257900274117207	32.711227668985046
LIF_24hr_2_2	3.038918307952103	33.50160547093415
LIF_24hr_3_1	4.061099694169655	36.002408572519286
LIF_24hr_3_2	3.2653342652532995	37.12404081717899
LIF_24hr_4_1	1.0248367054343548	6.2418026534344015
LIF_24hr_4_2	0.9023567682537349	5.77129364455067
LIF_24hr_5_1	3.174420587682759	30.27932468824263
LIF_24hr_5_2	2.7695821697146403	31.093889252461345
control_1hr_3_1	2.8884662702172212	22.67198593377613
control_1hr_3_2	2.1530672785379688	23.637772509033322
