Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
CONTROL_0hr_1_1	(1, 0.033977237101409985)	(2, 0.0)	(3, 0.01908032387631311)	(4, 0.00021210388415012207)	(5, 0.018462063618258497)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0004332334654981217)	(10, 0.00013448288824837527)	(15, 5.415418318726521e-06)	(20, 0.0)	(25, 4.516249723932945e-06)	(30, 8.586173549162622e-05)	(35, 0.00010759498535035503)	(40, 0.0)	(45, 3.620548717510678e-06)	(50, 0.00010600607594210047)	(55, 0.00020681124114881904)	(60, 2.0884360408925945e-05)	(65, 0.0)	(70, 0.0)	(75, 3.567991896010858e-05)	(80, 5.52483623832906e-06)	(85, 9.192570223042116e-05)	(90, 0.0)	(95, 0.0)	(100, 1.1761479547081105e-05)	(105, 0.0004041346950099262)	(110, 1.0409109544708984e-06)	(115, 1.0827079053073194e-06)	(120, 3.3972366378926013e-06)	(125, 7.129453685054791e-06)	(130, 0.0003303394523335877)	(135, 3.256497999826364e-05)	(140, 0.0)	(145, 0.0)	(150, 0.0)
CONTROL_0hr_1_2	(1, 0.0011959048787187733)	(2, 0.0033304822660168106)	(3, 0.0011959048787187733)	(4, 0.0010153909347612228)	(5, 0.00017600109535861194)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 1.7148824675967318e-05)	(20, 0.0005669530011038701)	(25, 0.0004326833267512474)	(30, 0.0)	(35, 1.3563290913357343e-05)	(40, 7.2371076106970564e-06)	(45, 0.00038377164747022477)	(50, 0.0001240860395207877)	(55, 0.0)	(60, 0.0)	(65, 1.0908029458660678e-05)	(70, 0.0005667008184389796)	(75, 0.00020941708963431862)	(80, 4.602216272722476e-06)	(85, 5.569166030103254e-06)	(90, 2.9110771207903468e-05)	(95, 0.0007904260311243775)	(100, 0.0003115413490610379)	(105, 1.9138849289378555e-05)	(110, 2.0803679421957285e-06)	(115, 9.73535013154297e-05)	(120, 0.0008832600007000486)	(125, 0.0004319022099356327)	(130, 3.360580463355092e-05)	(135, 1.170762013871969e-05)	(140, 7.492973532188132e-05)	(145, 0.0010811657467760167)	(150, 0.00020644333095376114)
CONTROL_0hr_2_1	(1, 0.03315443799389031)	(2, 3.85785873794395e-06)	(3, 0.018629599845531336)	(4, 0.0001697457844695338)	(5, 0.018155083220764232)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00043979589612561034)	(10, 0.0001489133472846365)	(15, 4.629430485532741e-06)	(20, 7.716562272125093e-07)	(25, 3.859371123502917e-06)	(30, 9.265687186756071e-05)	(35, 0.00010503705425373153)	(40, 1.5451729973756397e-06)	(45, 3.8643977272765915e-06)	(50, 0.00010905044188515174)	(55, 0.00019738409108840783)	(60, 2.0142762448631985e-05)	(65, 0.0)	(70, 0.0)	(75, 3.275354208891766e-05)	(80, 7.063519856013444e-06)	(85, 9.017176986547566e-05)	(90, 0.0)	(95, 8.131045986618558e-07)	(100, 1.1667300589998723e-05)	(105, 0.00037293510387752346)	(110, 1.7623510962022083e-06)	(115, 0.0)	(120, 6.700570789079892e-06)	(125, 9.044834884730213e-06)	(130, 0.0003060689084595916)	(135, 1.8733334976724326e-05)	(140, 2.306569842092921e-06)	(145, 0.0)	(150, 0.0)
CONTROL_0hr_2_2	(1, 0.0012152255024523444)	(2, 0.0032598906335626378)	(3, 0.0011149211752658017)	(4, 0.0009876118369136512)	(5, 0.00016588792573158986)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 1.3888291456598222e-05)	(20, 0.0005440252889499651)	(25, 0.0004206829733267389)	(30, 0.0)	(35, 1.6991633458707388e-05)	(40, 6.9532818188376045e-06)	(45, 0.00038102741019216787)	(50, 0.000144597480128324)	(55, 1.5474683278883595e-06)	(60, 1.548830433997621e-06)	(65, 1.163309452529122e-05)	(70, 0.000542381289306374)	(75, 0.0002182956227774923)	(80, 7.0615527780219245e-06)	(85, 6.3259915667573815e-06)	(90, 3.4365608548513854e-05)	(95, 0.0007534391632784187)	(100, 0.00031401930264159203)	(105, 2.649755505350002e-05)	(110, 6.162196512481995e-06)	(115, 8.500976551966616e-05)	(120, 0.0008265487773045492)	(125, 0.00044429579312360297)	(130, 2.84302697250238e-05)	(135, 1.2092167600740808e-05)	(140, 8.514510319178041e-05)	(145, 0.001091622434391376)	(150, 0.00019835438203917406)
CONTROL_0hr_3_1	(1, 0.03244227680460165)	(2, 3.190625177478526e-06)	(3, 0.01865558541271694)	(4, 0.00015315000851896923)	(5, 0.017535675975421976)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00042116252342716537)	(10, 0.00012953938220562812)	(15, 1.2762500709914102e-06)	(20, 1.2763371940682766e-06)	(25, 8.936285300712607e-06)	(30, 9.385926583333345e-05)	(35, 0.00010026919660794288)	(40, 0.0)	(45, 3.1956711489746725e-06)	(50, 0.00012218384313273132)	(55, 0.00019915129785363952)	(60, 2.3713930878800913e-05)	(65, 0.0)	(70, 0.0)	(75, 3.162288810171991e-05)	(80, 1.3642851609613517e-05)	(85, 8.514018209821442e-05)	(90, 0.0)	(95, 2.019830303418437e-06)	(100, 1.5864047595177646e-05)	(105, 0.0003841461239221014)	(110, 3.6427240710244933e-06)	(115, 7.564631778953048e-07)	(120, 7.906400738989138e-07)	(125, 8.30560279436358e-06)	(130, 0.00030596936556258304)	(135, 4.3785590501504283e-05)	(140, 0.0)	(145, 0.0)	(150, 0.0)
CONTROL_0hr_3_2	(1, 0.001263487570281496)	(2, 0.0032416751803181817)	(3, 0.001049715683390435)	(4, 0.000867850048274159)	(5, 0.00018186563511627594)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 1.5953125887392627e-05)	(20, 0.0005532991720340569)	(25, 0.00040915507523742677)	(30, 0.0)	(35, 1.4688039765504807e-05)	(40, 7.02670650562256e-06)	(45, 0.0003840468767745594)	(50, 0.0001310573349692954)	(55, 0.0)	(60, 1.2805120327122676e-06)	(65, 1.6030599310559832e-05)	(70, 0.000568008174537192)	(75, 0.00021986359237186813)	(80, 3.89419728194246e-06)	(85, 3.2713578299979102e-06)	(90, 3.57126831312497e-05)	(95, 0.0007485428332552038)	(100, 0.0002996871348983974)	(105, 1.2717744657206581e-05)	(110, 2.9096369897611475e-06)	(115, 0.00010495378307307953)	(120, 0.0008748619134206673)	(125, 0.0004151206976685819)	(130, 3.3914350212919944e-05)	(135, 6.371471709932889e-06)	(140, 9.375862244474269e-05)	(145, 0.0010999200605495772)	(150, 0.00020117702838685746)
CONTROL_0hr_4_1	(1, 0.03505060636829644)	(2, 3.4255870180117708e-06)	(3, 0.019669720657423586)	(4, 0.00025691902635088283)	(5, 0.01826180439302075)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.000417921616197436)	(10, 0.00012743183707003786)	(15, 3.4255870180117708e-06)	(20, 0.0)	(25, 1.0282900132117444e-05)	(30, 9.053925675171815e-05)	(35, 0.00011528023056101007)	(40, 0.0)	(45, 2.060856614973628e-06)	(50, 0.00011826671737008376)	(55, 0.00020512515243104761)	(60, 1.860749745278866e-05)	(65, 0.0)	(70, 0.0)	(75, 2.9183608359311086e-05)	(80, 1.4691335050587164e-05)	(85, 9.811442359600783e-05)	(90, 0.0)	(95, 7.263726802053624e-07)	(100, 1.6347413690169833e-05)	(105, 0.00038043382050260174)	(110, 3.92713777082622e-06)	(115, 1.6264120336469844e-06)	(120, 1.6916121092158234e-06)	(125, 9.712157777993918e-06)	(130, 0.00032322109360804243)	(135, 4.0583060698103046e-05)	(140, 0.0)	(145, 0.0)	(150, 0.0)
CONTROL_0hr_4_2	(1, 0.001120166954889849)	(2, 0.003240605319039135)	(3, 0.0011167413678718372)	(4, 0.0009488876039892604)	(5, 0.00017470493791860032)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 2.0553522108070626e-05)	(20, 0.0005756024803752445)	(25, 0.00040516464400044023)	(30, 0.0)	(35, 2.127470438403647e-05)	(40, 6.866685996845527e-06)	(45, 0.0003889056834456703)	(50, 0.00013478342418320644)	(55, 6.883495442289673e-07)	(60, 1.3784136439738268e-06)	(65, 1.9333682449002528e-05)	(70, 0.0005883967021237058)	(75, 0.00022726664755819815)	(80, 3.4988147205323842e-06)	(85, 6.354523258388274e-06)	(90, 3.92993842958317e-05)	(95, 0.0007789595978725712)	(100, 0.0003092279469425202)	(105, 1.601552254951256e-05)	(110, 2.356819799435735e-06)	(115, 9.515170508033171e-05)	(120, 0.0008913970316800221)	(125, 0.00041221166919157347)	(130, 4.7078442044748555e-05)	(135, 1.2554715138631966e-05)	(140, 7.794979644372377e-05)	(145, 0.0011274465227839848)	(150, 0.00020748563922729025)
CONTROL_0hr_5_1	(1, 0.03338159686894666)	(2, 0.0)	(3, 0.01931416832694485)	(4, 0.00016271173435351117)	(5, 0.017130405576410886)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0005223903050296937)	(10, 0.00012617295891974024)	(15, 2.8545918307633537e-06)	(20, 0.0)	(25, 6.281283432487961e-06)	(30, 9.024245823928866e-05)	(35, 9.711609028352773e-05)	(40, 0.0)	(45, 4.001479815832692e-06)	(50, 0.00010126182358367618)	(55, 0.0001992693263345976)	(60, 2.291954938492782e-05)	(65, 0.0)	(70, 0.0)	(75, 2.8229268927553424e-05)	(80, 8.689202820904512e-06)	(85, 7.992054054846795e-05)	(90, 0.0)	(95, 2.393007483765972e-06)	(100, 1.3456098292736732e-05)	(105, 0.000409834799414974)	(110, 1.934110851913036e-06)	(115, 1.3364296805315633e-06)	(120, 2.0916228996898933e-06)	(125, 8.038413326531765e-06)	(130, 0.00032110972824453047)	(135, 3.130303431307791e-05)	(140, 0.0)	(145, 0.0)	(150, 0.0)
CONTROL_0hr_5_2	(1, 0.0011189999976592348)	(2, 0.0033056173400239637)	(3, 0.001073326528367021)	(4, 0.0009505790796441968)	(5, 0.00015414795886122112)	(6, 2.8545918307633537e-06)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 1.4843877519969439e-05)	(20, 0.0005149955308151145)	(25, 0.00040885365275934786)	(30, 5.711178539442504e-07)	(35, 1.1995302296897612e-05)	(40, 9.712390521648381e-06)	(45, 0.0003771635795875299)	(50, 0.0001377662913084007)	(55, 1.1437990450307392e-06)	(60, 0.0)	(65, 1.6041998685908217e-05)	(70, 0.000534832056708725)	(75, 0.00020255773915547727)	(80, 6.3648457579732225e-06)	(85, 6.409747253701543e-06)	(90, 4.471854164598066e-05)	(95, 0.0007326164137938931)	(100, 0.0002907956623843788)	(105, 1.564680685692395e-05)	(110, 3.2189532378671632e-06)	(115, 8.739768658056758e-05)	(120, 0.0008261218590431075)	(125, 0.0004121616937607539)	(130, 4.2846576257483317e-05)	(135, 1.0421236729687332e-05)	(140, 6.49401262999432e-05)	(145, 0.0010645552135659423)	(150, 0.00022136597861693194)
