Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
CONTROL_0hr_1_1	(1, 36.4179877993333)	(2, 36.5327366775858)	(3, 36.5962839038469)	(4, 36.61705785467391)	(5, 36.60045977804096)	(6, 36.63312508492617)	(7, 36.59136625272864)	(8, 36.64489874589291)	(9, 36.67915117650189)	(10, 36.67772276063765)	(15, 36.68408487530977)	(20, 36.65547240847258)	(25, 36.62998491949083)	(30, 36.62268855907817)	(35, 36.57447713823694)	(40, 36.510697382756504)	(45, 36.5073127144116)	(50, 36.546650285044365)	(55, 36.52275992414441)	(60, 36.46689154169856)	(65, 36.44399202631872)	(70, 36.4457616713655)	(75, 36.433966046336714)	(80, 36.42294716773125)	(85, 36.41420503510546)	(90, 36.42154411000097)	(95, 36.396073662908414)	(100, 36.34317431365657)	(105, 36.341408243150035)	(110, 36.33327236309684)	(115, 36.29788189834677)	(120, 36.273961824928975)	(125, 36.22374853495511)	(130, 36.1854996342597)	(135, 36.17566967005886)	(140, 36.01053145437952)	(145, 36.09139708520988)	(150, 36.36748600642516)
CONTROL_0hr_1_2	(1, 36.424057490441896)	(2, 36.54242549275681)	(3, 36.60919547958787)	(4, 36.57203921141942)	(5, 36.58941006824646)	(6, 36.609739774257385)	(7, 36.53889373744328)	(8, 36.575864347020364)	(9, 36.6168375825338)	(10, 36.59679336835093)	(15, 36.55473104708513)	(20, 36.5183592063447)	(25, 36.50462379562356)	(30, 36.50137204850085)	(35, 36.43375409174941)	(40, 36.40393597477161)	(45, 36.3491691744439)	(50, 36.353525985983765)	(55, 36.32009198538612)	(60, 36.28160671621457)	(65, 36.23446655550556)	(70, 36.21928612022251)	(75, 36.2078075353198)	(80, 36.16720207236054)	(85, 36.136333233303176)	(90, 36.100295266790496)	(95, 36.03966105720611)	(100, 35.970976526917966)	(105, 35.87970440450037)	(110, 35.86296244127384)	(115, 35.85065488314129)	(120, 35.66780343328894)	(125, 35.656730606172125)	(130, 35.57436029913795)	(135, 35.572647070845264)	(140, 35.345140427784564)	(145, 35.32813940508445)	(150, 35.76135463114099)
CONTROL_0hr_2_1	(1, 36.43061168472112)	(2, 36.55446334002222)	(3, 36.61299245807906)	(4, 36.64036215263116)	(5, 36.62031679578598)	(6, 36.64823257024244)	(7, 36.61573203930464)	(8, 36.66163500296959)	(9, 36.700555705261905)	(10, 36.69444350677045)	(15, 36.70380897580988)	(20, 36.6691067040213)	(25, 36.64214830688722)	(30, 36.64612870725963)	(35, 36.578131661817956)	(40, 36.47538876263957)	(45, 36.52041616381998)	(50, 36.59302423396285)	(55, 36.5660683743897)	(60, 36.54263349966182)	(65, 36.533287504391794)	(70, 36.49636672223156)	(75, 36.50626759447467)	(80, 36.511883505203556)	(85, 36.507009583989884)	(90, 36.52206252887034)	(95, 36.51013234351353)	(100, 36.46732755711001)	(105, 36.471105168258035)	(110, 36.45654322497942)	(115, 36.43359830312644)	(120, 36.420506886319615)	(125, 36.36545851951164)	(130, 36.370287084043774)	(135, 36.34336465849614)	(140, 36.06157229060379)	(145, 36.248059639069346)	(150, 36.52249517564485)
CONTROL_0hr_2_2	(1, 36.333065919425145)	(2, 36.45728140938382)	(3, 36.528921537518734)	(4, 36.48198987582131)	(5, 36.51605866491469)	(6, 36.54554246605518)	(7, 36.400270320161766)	(8, 36.46761696015005)	(9, 36.52119945457593)	(10, 36.50236248710752)	(15, 36.45499546605152)	(20, 36.40562997142531)	(25, 36.41170223980299)	(30, 36.425504024415)	(35, 36.345950308392325)	(40, 36.303349304498866)	(45, 36.255520564285916)	(50, 36.28686044014547)	(55, 36.21299206084475)	(60, 36.18010171797888)	(65, 36.125395957609214)	(70, 36.11977438364854)	(75, 36.11381552416775)	(80, 36.13333318860069)	(85, 36.10153191288208)	(90, 36.07841127788621)	(95, 36.05681002501744)	(100, 35.961139448447135)	(105, 35.82183860224791)	(110, 35.83164228384689)	(115, 35.88542537712747)	(120, 35.66933346763616)	(125, 35.7400589041651)	(130, 35.67816396235293)	(135, 35.67544471591701)	(140, 35.431980507584484)	(145, 35.46916070247424)	(150, 35.84094887021151)
CONTROL_0hr_3_1	(1, 36.36484403266945)	(2, 36.498622064704605)	(3, 36.563699013012005)	(4, 36.59256124883622)	(5, 36.57272257960769)	(6, 36.61191379441271)	(7, 36.563033480506235)	(8, 36.62577393399617)	(9, 36.66752052050583)	(10, 36.661358383144304)	(15, 36.66496297917606)	(20, 36.62563424806639)	(25, 36.588076080884825)	(30, 36.59688371462163)	(35, 36.525749115718575)	(40, 36.38991578191746)	(45, 36.47379655149556)	(50, 36.524992423948646)	(55, 36.48312027804859)	(60, 36.44890428296498)	(65, 36.46406560979097)	(70, 36.43902367352809)	(75, 36.423749908766446)	(80, 36.42387531628094)	(85, 36.42122637123215)	(90, 36.43110272337729)	(95, 36.412722485587516)	(100, 36.346083174894346)	(105, 36.358941467700255)	(110, 36.339621437628445)	(115, 36.313461214609006)	(120, 36.297839841416696)	(125, 36.24682255052285)	(130, 36.2402975349461)	(135, 36.19996563674664)	(140, 35.94067782740005)	(145, 36.11564441967262)	(150, 36.43145910841114)
CONTROL_0hr_3_2	(1, 36.50833282815101)	(2, 36.565606592086866)	(3, 36.621867428247626)	(4, 36.58190813424364)	(5, 36.59792414735328)	(6, 36.62772468222968)	(7, 36.53000227810638)	(8, 36.57527846181237)	(9, 36.6162102264642)	(10, 36.59637178696068)	(15, 36.55780568582169)	(20, 36.51148017356668)	(25, 36.50730557942562)	(30, 36.51927425969365)	(35, 36.45208091596342)	(40, 36.41002090360769)	(45, 36.36727231884799)	(50, 36.384778893742435)	(55, 36.33586875312763)	(60, 36.291171341712236)	(65, 36.235716087063054)	(70, 36.222798830865074)	(75, 36.23052557181124)	(80, 36.23414294877317)	(85, 36.21410418385099)	(90, 36.175889908695275)	(95, 36.14976502048239)	(100, 36.06668107014056)	(105, 35.94962478520743)	(110, 35.95230884649355)	(115, 35.97926413958023)	(120, 35.7928071127107)	(125, 35.82543500910025)	(130, 35.77288375921254)	(135, 35.756575565302654)	(140, 35.543161063422)	(145, 35.552579835668965)	(150, 35.92483696306889)
CONTROL_0hr_4_1	(1, 36.41642432636773)	(2, 36.497760334079686)	(3, 36.57364842522168)	(4, 36.59516607879597)	(5, 36.579831095951135)	(6, 36.61183899316242)	(7, 36.5608642029822)	(8, 36.6218671251107)	(9, 36.65136643069282)	(10, 36.64965354126738)	(15, 36.65564710589109)	(20, 36.63852912268054)	(25, 36.60835087756216)	(30, 36.59996723656518)	(35, 36.55848873457943)	(40, 36.521434025191766)	(45, 36.506318277372465)	(50, 36.514222094043404)	(55, 36.495885331022464)	(60, 36.43118065873465)	(65, 36.41274062846429)	(70, 36.42345669192563)	(75, 36.403887409362426)	(80, 36.39372474487355)	(85, 36.37153643610988)	(90, 36.369407411679205)	(95, 36.348124919314145)	(100, 36.293492083921095)	(105, 36.27087948017249)	(110, 36.26266431216791)	(115, 36.22670859775069)	(120, 36.19937115752931)	(125, 36.15374728752841)	(130, 36.085727944179)	(135, 36.073522600712806)	(140, 35.94914814743517)	(145, 35.98455354222763)	(150, 36.26696114022278)
CONTROL_0hr_4_2	(1, 36.45717439016073)	(2, 36.551065311317174)	(3, 36.61267305508957)	(4, 36.575671337123424)	(5, 36.58570262061175)	(6, 36.59899030137527)	(7, 36.54504689748523)	(8, 36.58272253118543)	(9, 36.618875080385685)	(10, 36.59670003610911)	(15, 36.55679711313449)	(20, 36.520230734326546)	(25, 36.49031900752351)	(30, 36.48263811419655)	(35, 36.41237845374114)	(40, 36.385488474777915)	(45, 36.33478345519693)	(50, 36.32875395711538)	(55, 36.29917444629363)	(60, 36.26200793324627)	(65, 36.21399196627207)	(70, 36.18193009622594)	(75, 36.1697987920167)	(80, 36.13880107181961)	(85, 36.11440302325912)	(90, 36.07666414899811)	(95, 35.99647274195026)	(100, 35.9464413993888)	(105, 35.868210041368826)	(110, 35.868115160591785)	(115, 35.83677864520896)	(120, 35.67014729312387)	(125, 35.66964330018114)	(130, 35.570322270332284)	(135, 35.58114624829573)	(140, 35.36020581363544)	(145, 35.310623061501)	(150, 35.72886736575454)
CONTROL_0hr_5_1	(1, 36.4152160820396)	(2, 36.52010783049365)	(3, 36.59014489851041)	(4, 36.613675384609145)	(5, 36.60117763902305)	(6, 36.62547640996711)	(7, 36.58818801871858)	(8, 36.639588084682494)	(9, 36.66898675520773)	(10, 36.66361585209652)	(15, 36.67439390021683)	(20, 36.647232552693175)	(25, 36.62036953305341)	(30, 36.61621468256861)	(35, 36.563681782849464)	(40, 36.49989386125594)	(45, 36.51035696752219)	(50, 36.54342261980795)	(55, 36.52213145587841)	(60, 36.47628159190436)	(65, 36.479364364416824)	(70, 36.464299742759835)	(75, 36.432887471745445)	(80, 36.423256554048976)	(85, 36.41848877979915)	(90, 36.428862398425665)	(95, 36.409927062488045)	(100, 36.34947297581819)	(105, 36.350264876189456)	(110, 36.333015477620265)	(115, 36.31564389665293)	(120, 36.29112561288048)	(125, 36.24111371834222)	(130, 36.212964138987154)	(135, 36.192706731977225)	(140, 35.99551536788292)	(145, 36.113714232610484)	(150, 36.37579597311526)
CONTROL_0hr_5_2	(1, 36.478513687111274)	(2, 36.58303696485181)	(3, 36.63587494581271)	(4, 36.59246148541883)	(5, 36.61187513627108)	(6, 36.63026296100302)	(7, 36.55566422669479)	(8, 36.59683971563926)	(9, 36.63724589208535)	(10, 36.623551433093596)	(15, 36.588756219513314)	(20, 36.55288608660282)	(25, 36.54494886493423)	(30, 36.548226281794065)	(35, 36.48485487278918)	(40, 36.45868098430758)	(45, 36.413209632924946)	(50, 36.41981020753876)	(55, 36.37967929610929)	(60, 36.3488839030121)	(65, 36.30705347227817)	(70, 36.29007798716378)	(75, 36.28146516655224)	(80, 36.26400125611478)	(85, 36.23705804186133)	(90, 36.2058068062705)	(95, 36.155127977817415)	(100, 36.083841088358724)	(105, 35.99256482204208)	(110, 35.993862471518526)	(115, 35.9948107703234)	(120, 35.811420961436625)	(125, 35.84463131198642)	(130, 35.76241517015082)	(135, 35.76503528934219)	(140, 35.542241671920095)	(145, 35.52545411441336)	(150, 35.87385045366911)
