Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
CONTROL_0hr_1_1	(15.0, 10.0)	(16.0, 42.0)	(17.0, 251.0)	(18.0, 595.0)	(19.0, 700.0)	(20.0, 1354.0)	(21.0, 3297.0)	(22.0, 7857.0)	(23.0, 12502.0)	(24.0, 12394.0)	(25.0, 16142.0)	(26.0, 26031.0)	(27.0, 42921.0)	(28.0, 64978.0)	(29.0, 92113.0)	(30.0, 122898.0)	(31.0, 162607.0)	(32.0, 209508.0)	(33.0, 281318.0)	(34.0, 424004.0)	(35.0, 929071.0)	(36.0, 13506901.0)	(37.0, 6241459.0)				
CONTROL_0hr_1_2	(11.0, 3.0)	(12.0, 75.0)	(13.0, 373.0)	(14.0, 710.0)	(15.0, 985.0)	(16.0, 1528.0)	(17.0, 2419.0)	(18.0, 3691.0)	(19.0, 5411.0)	(20.0, 8148.0)	(21.0, 11934.0)	(22.0, 16644.0)	(23.0, 24647.0)	(24.0, 35246.0)	(25.0, 45099.0)	(26.0, 53668.0)	(27.0, 66701.0)	(28.0, 83392.0)	(29.0, 106428.0)	(30.0, 134953.0)	(31.0, 173526.0)	(32.0, 234141.0)	(33.0, 349885.0)	(34.0, 589926.0)	(35.0, 1733249.0)	(36.0, 14869534.0)	(37.0, 3606637.0)
CONTROL_0hr_2_1	(14.0, 1.0)	(15.0, 15.0)	(16.0, 66.0)	(17.0, 176.0)	(18.0, 352.0)	(19.0, 718.0)	(20.0, 1451.0)	(21.0, 4051.0)	(22.0, 8333.0)	(23.0, 10516.0)	(24.0, 10794.0)	(25.0, 16038.0)	(26.0, 26248.0)	(27.0, 43348.0)	(28.0, 67266.0)	(29.0, 96690.0)	(30.0, 130103.0)	(31.0, 170439.0)	(32.0, 217798.0)	(33.0, 295540.0)	(34.0, 437550.0)	(35.0, 863906.0)	(36.0, 15097863.0)	(37.0, 8421853.0)			
CONTROL_0hr_2_2	(12.0, 48.0)	(13.0, 396.0)	(14.0, 702.0)	(15.0, 1003.0)	(16.0, 1473.0)	(17.0, 2367.0)	(18.0, 3426.0)	(19.0, 5242.0)	(20.0, 8130.0)	(21.0, 12743.0)	(22.0, 19181.0)	(23.0, 28796.0)	(24.0, 40894.0)	(25.0, 54261.0)	(26.0, 65342.0)	(27.0, 82079.0)	(28.0, 100362.0)	(29.0, 126424.0)	(30.0, 159497.0)	(31.0, 203205.0)	(32.0, 273800.0)	(33.0, 407990.0)	(34.0, 730920.0)	(35.0, 2353185.0)	(36.0, 18051564.0)	(37.0, 3188085.0)	
CONTROL_0hr_3_1	(15.0, 21.0)	(16.0, 232.0)	(17.0, 695.0)	(18.0, 859.0)	(19.0, 1293.0)	(20.0, 2639.0)	(21.0, 7746.0)	(22.0, 17488.0)	(23.0, 22462.0)	(24.0, 19952.0)	(25.0, 26370.0)	(26.0, 40816.0)	(27.0, 65373.0)	(28.0, 95808.0)	(29.0, 132054.0)	(30.0, 174434.0)	(31.0, 230141.0)	(32.0, 295106.0)	(33.0, 398734.0)	(34.0, 590589.0)	(35.0, 1239280.0)	(36.0, 19560579.0)	(37.0, 8419149.0)				
CONTROL_0hr_3_2	(11.0, 2.0)	(12.0, 50.0)	(13.0, 401.0)	(14.0, 679.0)	(15.0, 1027.0)	(16.0, 1543.0)	(17.0, 2420.0)	(18.0, 3732.0)	(19.0, 5678.0)	(20.0, 8369.0)	(21.0, 13463.0)	(22.0, 20335.0)	(23.0, 31253.0)	(24.0, 44966.0)	(25.0, 59715.0)	(26.0, 71963.0)	(27.0, 87745.0)	(28.0, 106819.0)	(29.0, 135715.0)	(30.0, 172704.0)	(31.0, 222805.0)	(32.0, 303053.0)	(33.0, 448372.0)	(34.0, 749784.0)	(35.0, 2245337.0)	(36.0, 21710204.0)	(37.0, 4893686.0)
CONTROL_0hr_4_1	(15.0, 8.0)	(16.0, 42.0)	(17.0, 153.0)	(18.0, 265.0)	(19.0, 525.0)	(20.0, 1187.0)	(21.0, 2891.0)	(22.0, 6311.0)	(23.0, 10311.0)	(24.0, 13520.0)	(25.0, 21205.0)	(26.0, 34883.0)	(27.0, 56938.0)	(28.0, 86741.0)	(29.0, 125642.0)	(30.0, 169678.0)	(31.0, 226069.0)	(32.0, 295498.0)	(33.0, 408350.0)	(34.0, 639164.0)	(35.0, 1408927.0)	(36.0, 18687063.0)	(37.0, 6996706.0)				
CONTROL_0hr_4_2	(12.0, 55.0)	(13.0, 291.0)	(14.0, 535.0)	(15.0, 795.0)	(16.0, 1229.0)	(17.0, 2101.0)	(18.0, 3580.0)	(19.0, 5717.0)	(20.0, 8636.0)	(21.0, 13052.0)	(22.0, 19230.0)	(23.0, 28321.0)	(24.0, 40581.0)	(25.0, 53914.0)	(26.0, 65613.0)	(27.0, 83286.0)	(28.0, 104399.0)	(29.0, 134135.0)	(30.0, 170801.0)	(31.0, 225874.0)	(32.0, 310891.0)	(33.0, 473550.0)	(34.0, 852428.0)	(35.0, 2611133.0)	(36.0, 19898526.0)	(37.0, 4083404.0)	
CONTROL_0hr_5_1	(15.0, 6.0)	(16.0, 45.0)	(17.0, 235.0)	(18.0, 542.0)	(19.0, 1048.0)	(20.0, 2472.0)	(21.0, 6862.0)	(22.0, 17372.0)	(23.0, 23294.0)	(24.0, 18873.0)	(25.0, 23766.0)	(26.0, 39717.0)	(27.0, 66134.0)	(28.0, 100999.0)	(29.0, 144081.0)	(30.0, 193778.0)	(31.0, 253551.0)	(32.0, 327748.0)	(33.0, 445656.0)	(34.0, 652645.0)	(35.0, 1414960.0)	(36.0, 21531798.0)	(37.0, 9765696.0)				
CONTROL_0hr_5_2	(11.0, 2.0)	(12.0, 65.0)	(13.0, 418.0)	(14.0, 742.0)	(15.0, 1078.0)	(16.0, 1718.0)	(17.0, 2788.0)	(18.0, 4130.0)	(19.0, 5948.0)	(20.0, 9005.0)	(21.0, 13824.0)	(22.0, 20018.0)	(23.0, 29748.0)	(24.0, 42070.0)	(25.0, 55739.0)	(26.0, 69483.0)	(27.0, 89468.0)	(28.0, 110661.0)	(29.0, 141763.0)	(30.0, 180526.0)	(31.0, 235949.0)	(32.0, 320992.0)	(33.0, 477794.0)	(34.0, 831403.0)	(35.0, 2581591.0)	(36.0, 24206633.0)	(37.0, 5597722.0)
CONTROL_1hr_1_1	(14.0, 1.0)	(15.0, 8.0)	(16.0, 31.0)	(17.0, 118.0)	(18.0, 250.0)	(19.0, 546.0)	(20.0, 1231.0)	(21.0, 2995.0)	(22.0, 6554.0)	(23.0, 10795.0)	(24.0, 16059.0)	(25.0, 26603.0)	(26.0, 44408.0)	(27.0, 72178.0)	(28.0, 107753.0)	(29.0, 154153.0)	(30.0, 207439.0)	(31.0, 275410.0)	(32.0, 366774.0)	(33.0, 502910.0)	(34.0, 755136.0)	(35.0, 1736882.0)	(36.0, 23392244.0)	(37.0, 7486734.0)			
CONTROL_1hr_1_2	(11.0, 4.0)	(12.0, 70.0)	(13.0, 341.0)	(14.0, 744.0)	(15.0, 1131.0)	(16.0, 1973.0)	(17.0, 3205.0)	(18.0, 5091.0)	(19.0, 7997.0)	(20.0, 12360.0)	(21.0, 18751.0)	(22.0, 27579.0)	(23.0, 39959.0)	(24.0, 55033.0)	(25.0, 72195.0)	(26.0, 88746.0)	(27.0, 113656.0)	(28.0, 140793.0)	(29.0, 180835.0)	(30.0, 230169.0)	(31.0, 303263.0)	(32.0, 416120.0)	(33.0, 639572.0)	(34.0, 1134433.0)	(35.0, 3298485.0)	(36.0, 23598631.0)	(37.0, 4776076.0)
