Sample	Unique Reads	Duplicate Reads
CONTROL_0hr_1_1	1674548.0	20484405.0
CONTROL_0hr_1_2	1822461.0	20336492.0
CONTROL_0hr_2_1	719717.0	25201398.0
CONTROL_0hr_2_2	928175.0	24992940.0
CONTROL_0hr_3_1	1681037.0	29660783.0
CONTROL_0hr_3_2	1805735.0	29536085.0
CONTROL_0hr_4_1	3508476.0	25683601.0
CONTROL_0hr_4_2	3649964.0	25542113.0
CONTROL_0hr_5_1	3192394.0	31838884.0
CONTROL_0hr_5_2	3348698.0	31682580.0
CONTROL_1hr_1_1	6413868.0	28753344.0
CONTROL_1hr_1_2	6678991.0	28488221.0
CONTROL_1hr_2_1	1524148.0	19992816.0
CONTROL_1hr_2_2	1624250.0	19892714.0
CONTROL_1hr_4_1	17530498.0	24872625.0
CONTROL_1hr_4_2	18118966.0	24284157.0
CONTROL_1hr_5_1	6286266.0	32483416.0
CONTROL_1hr_5_2	6585794.0	32183888.0
CONTROL_24hr_1_1	2020062.0	26818100.0
CONTROL_24hr_1_2	2190666.0	26647496.0
CONTROL_24hr_2_1	2485758.0	31572275.0
CONTROL_24hr_2_2	2654823.0	31403210.0
CONTROL_24hr_3_1	2366335.0	31245101.0
CONTROL_24hr_3_2	2483600.0	31127836.0
CONTROL_24hr_4_1	6766303.0	36140261.0
CONTROL_24hr_4_2	7059628.0	35846936.0
CONTROL_24hr_5_1	1571635.0	23617809.0
CONTROL_24hr_5_2	1702394.0	23487050.0
LIF_1hr_1_1	5664442.0	33810164.0
LIF_1hr_1_2	5933220.0	33541386.0
LIF_1hr_2_1	1271403.0	25559744.0
LIF_1hr_2_2	1409784.0	25421363.0
LIF_1hr_3_1	3448528.0	30799462.0
LIF_1hr_3_2	3583281.0	30664709.0
LIF_1hr_4_1	5735654.0	32171714.0
LIF_1hr_4_2	5968989.0	31938379.0
LIF_1hr_5_1	3692147.0	47342616.0
LIF_1hr_5_2	3975475.0	47059288.0
LIF_24hr_1_1	2815018.0	28788720.0
LIF_24hr_1_2	3003367.0	28600371.0
LIF_24hr_2_1	2266576.0	24061213.0
LIF_24hr_2_2	2411360.0	23916429.0
LIF_24hr_3_1	1436079.0	30021558.0
LIF_24hr_3_2	1552491.0	29905146.0
LIF_24hr_4_1	14516365.0	29170790.0
LIF_24hr_4_2	15147253.0	28539902.0
LIF_24hr_5_1	1344919.0	20362507.0
LIF_24hr_5_2	1439731.0	20267695.0
control_1hr_3_1	4909603.0	29284080.0
control_1hr_3_2	5086217.0	29107466.0
