Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
CONTROL_0hr_1_1	(1.0, 2.216189699508031)	(2.0, 1.898368761737303)	(3.0, 2.607767503066205)	(4.0, 3.061171695797095)	(5.0, 3.1855576531061685)	(6.0, 3.0182392430327605)	(7.0, 2.615637749471081)	(8.0, 2.228214872261833)	(9.0, 1.8611929783991474)	('>10', 10.69640735501598)	('>50', 1.9844045356973417)	('>100', 5.2589766083866705)	('>500', 2.8371874161115005)	('>1k', 8.703997311055565)	('>5k', 5.242502230343233)	('>10k+', 42.58418438701001)
CONTROL_0hr_1_2	(1.0, 2.921342803904824)	(2.0, 1.9078603164901797)	(3.0, 2.591602026968465)	(4.0, 3.078095752441597)	(5.0, 3.191392823084052)	(6.0, 3.019334339214553)	(7.0, 2.6276193305637094)	(8.0, 2.2258120466441325)	(9.0, 1.8123034100341324)	('>10', 10.121771823051267)	('>50', 1.813130835375621)	('>100', 4.699409674329657)	('>500', 2.489369931497234)	('>1k', 6.9210429830947575)	('>5k', 4.899990915782369)	('>10k+', 45.67992098752347)
CONTROL_0hr_2_1	(1.0, 1.09117047145096)	(2.0, 0.763525849349548)	(3.0, 0.9050415277562439)	(4.0, 0.9320119016594025)	(5.0, 0.9039806783610564)	(6.0, 0.7899602900847016)	(7.0, 0.6757833841684245)	(8.0, 0.5307518797069466)	(9.0, 0.4401158357237346)	('>10', 3.483494321669257)	('>50', 1.5154936606182194)	('>100', 4.397882163269788)	('>500', 2.1747623809758276)	('>1k', 7.655021879805628)	('>5k', 5.254434025257511)	('>10k+', 68.48656975014275)
CONTROL_0hr_2_2	(1.0, 1.911371907336173)	(2.0, 0.7991283930677946)	(3.0, 0.9076770837475626)	(4.0, 0.9200484544521443)	(5.0, 0.878040951853826)	(6.0, 0.7737032366711927)	(7.0, 0.6370621802308587)	(8.0, 0.5236873019205772)	(9.0, 0.4101974598329599)	('>10', 3.3050354752166333)	('>50', 1.455029314485672)	('>100', 3.7641627635792014)	('>500', 1.8151974915378055)	('>1k', 6.6408811027612575)	('>5k', 4.517273107662295)	('>10k+', 70.74150377564405)
CONTROL_0hr_3_1	(1.0, 2.623930322665125)	(2.0, 2.141235861518878)	(3.0, 1.8497757130678847)	(4.0, 1.401781483039035)	(5.0, 1.037389237015251)	(6.0, 0.7519530121335309)	(7.0, 0.5171348845716972)	(8.0, 0.4005785563887919)	(9.0, 0.3007246540791275)	('>10', 3.094305025279809)	('>50', 1.4051388626824388)	('>100', 4.259099482502782)	('>500', 2.4418602239575984)	('>1k', 8.22496537455032)	('>5k', 5.818020339307335)	('>10k+', 63.73210696724038)
CONTROL_0hr_3_2	(1.0, 3.077676163864047)	(2.0, 2.1258212474547884)	(3.0, 1.7903450361265747)	(4.0, 1.4121027277588387)	(5.0, 1.0155501035614347)	(6.0, 0.725811388479743)	(7.0, 0.5143415528085536)	(8.0, 0.37795313754848037)	(9.0, 0.2831379339284565)	('>10', 2.8449202515188197)	('>50', 1.2575804727220932)	('>100', 3.6462903354392395)	('>500', 2.0175073324409984)	('>1k', 7.5580638477525035)	('>5k', 4.434009692057391)	('>10k+', 66.91888877653803)
CONTROL_0hr_4_1	(1.0, 4.445662402424733)	(2.0, 4.725762693158102)	(3.0, 5.0471103735532425)	(4.0, 4.699480859809554)	(5.0, 3.785919485418788)	(6.0, 2.9324736887163367)	(7.0, 2.1282821840259265)	(8.0, 1.6412861089735047)	(9.0, 1.1407056231300172)	('>10', 6.475901414318061)	('>50', 1.9686782649553993)	('>100', 7.0880859844338655)	('>500', 5.251280539181372)	('>1k', 15.803723912414359)	('>5k', 7.509314658541761)	('>10k+', 25.356331806945004)
CONTROL_0hr_4_2	(1.0, 5.0143339300454866)	(2.0, 4.6997350634913815)	(3.0, 5.027474382387755)	(4.0, 4.667942794182394)	(5.0, 3.8021016956612113)	(6.0, 2.9005925972312294)	(7.0, 2.079585549249887)	(8.0, 1.5774620177032195)	(9.0, 1.096291078424421)	('>10', 5.889837239159526)	('>50', 1.606057792864895)	('>100', 6.637284786823989)	('>500', 5.866610497391642)	('>1k', 17.50254623913603)	('>5k', 7.115692396242647)	('>10k+', 24.51645194000421)
CONTROL_0hr_5_1	(1.0, 4.122131408817702)	(2.0, 3.675357819817002)	(3.0, 3.375132919917588)	(4.0, 2.7647275724861706)	(5.0, 2.0912391297701474)	(6.0, 1.5551569693936678)	(7.0, 1.104157652635864)	(8.0, 0.8390037239148498)	(9.0, 0.6435014132191964)	('>10', 4.663581786316893)	('>50', 1.6221186456812986)	('>100', 5.226417245576212)	('>500', 3.389248978705611)	('>1k', 10.254041926095187)	('>5k', 5.098375358904969)	('>10k+', 49.57580744874763)
CONTROL_0hr_5_2	(1.0, 4.589238065747407)	(2.0, 3.6951762844225593)	(3.0, 3.4108198041972737)	(4.0, 2.7744784231444863)	(5.0, 2.073637858897637)	(6.0, 1.546155562814551)	(7.0, 1.113374135156966)	(8.0, 0.7653512735299681)	(9.0, 0.609800002054276)	('>10', 4.164293095119358)	('>50', 1.3795422827889805)	('>100', 5.0428693382259295)	('>500', 3.5394828056103047)	('>1k', 10.008757204609202)	('>5k', 4.063257864480004)	('>10k+', 51.223765999201134)
CONTROL_1hr_1_1	(1.0, 8.467115243781638)	(2.0, 8.106231935411707)	(3.0, 6.8882816349544544)	(4.0, 5.17946174277889)	(5.0, 3.861889075817416)	(6.0, 2.5390269138643164)	(7.0, 1.7835837138553752)	(8.0, 1.2389897460513393)	(9.0, 0.9114119309699945)	('>10', 6.018172509252545)	('>50', 1.8419221328895925)	('>100', 5.527525646575217)	('>500', 3.6570939262040274)	('>1k', 11.675855344044672)	('>5k', 5.958569802953048)	('>10k+', 26.344868700595864)
CONTROL_1hr_1_2	(1.0, 9.228899380944908)	(2.0, 8.1967133370991)	(3.0, 6.984325951786925)	(4.0, 5.215532575219377)	(5.0, 3.766351467279587)	(6.0, 2.5137430118198814)	(7.0, 1.7152838631759446)	(8.0, 1.1656372707039118)	(9.0, 0.8455369334365229)	('>10', 5.347118516895393)	('>50', 1.5112062303165363)	('>100', 5.2331783550708435)	('>500', 3.944467088156985)	('>1k', 12.94922938129244)	('>5k', 5.761010864182446)	('>10k+', 25.62176577261905)
CONTROL_1hr_2_1	(1.0, 2.777584064450732)	(2.0, 2.6692228388417405)	(3.0, 2.7550810977671953)	(4.0, 2.5112729763265014)	(5.0, 2.0374245880853374)	(6.0, 1.5842387077895124)	(7.0, 1.1991631379468939)	(8.0, 0.9246086160936631)	(9.0, 0.7193468662631309)	('>10', 5.46416000328446)	('>50', 2.2577986860665056)	('>100', 7.3274701753297995)	('>500', 4.1949433871810085)	('>1k', 12.281852690781502)	('>5k', 6.056653508819202)	('>10k+', 45.239178654972804)
CONTROL_1hr_2_2	(1.0, 3.2880204701918414)	(2.0, 2.685044814033839)	(3.0, 2.7779610078166472)	(4.0, 2.489128372284409)	(5.0, 2.0036338478438327)	(6.0, 1.5676989700378487)	(7.0, 1.1653627494971996)	(8.0, 0.8855749660267457)	(9.0, 0.6760393131469536)	('>10', 4.979005672860377)	('>50', 2.025700435599844)	('>100', 7.318781572786054)	('>500', 4.08292984491)	('>1k', 10.585582536867582)	('>5k', 5.210658103674549)	('>10k+', 48.25887732242226)
CONTROL_1hr_4_1	(1.0, 27.847007609600123)	(2.0, 15.041115612112693)	(3.0, 8.696136136241368)	(4.0, 5.132634666254123)	(5.0, 2.893161550144103)	(6.0, 1.9904672521226827)	(7.0, 1.3979788654947887)	(8.0, 1.0674253916425638)	(9.0, 0.7944646141667997)	('>10', 6.963189655991917)	('>50', 1.8550421941039241)	('>100', 4.419721655344759)	('>500', 2.868289595176278)	('>1k', 7.964981480869884)	('>5k', 3.7018293656654717)	('>10k+', 7.366554355068591)
CONTROL_1hr_4_2	(1.0, 29.292365321729758)	(2.0, 15.319754138215364)	(3.0, 8.658815372834214)	(4.0, 4.802441767653091)	(5.0, 2.9601733816071123)	(6.0, 1.8977868697455986)	(7.0, 1.2465670824925346)	(8.0, 0.9697899441341205)	(9.0, 0.7421841330413691)	('>10', 6.008703037162177)	('>50', 1.5918474514559484)	('>100', 4.608425960115444)	('>500', 3.0337138141615103)	('>1k', 9.228451153440243)	('>5k', 2.863605621125707)	('>10k+', 6.77537495108569)
CONTROL_1hr_5_1	(1.0, 8.117870631047204)	(2.0, 7.177543530123966)	(3.0, 5.814197419855812)	(4.0, 4.065955390504102)	(5.0, 2.736559533442791)	(6.0, 1.80082736611884)	(7.0, 1.2411270748466774)	(8.0, 0.8855694822950511)	(9.0, 0.615767642911202)	('>10', 5.037792401688238)	('>50', 1.7711452520025877)	('>100', 5.771807606271693)	('>500', 3.5733342056580026)	('>1k', 12.206988928425856)	('>5k', 6.262872361465825)	('>10k+', 32.920641173342155)
CONTROL_1hr_5_2	(1.0, 8.932063401394114)	(2.0, 7.236195176771952)	(3.0, 5.7866614397431535)	(4.0, 4.069507017350854)	(5.0, 2.707947209043062)	(6.0, 1.7348399970974089)	(7.0, 1.2176556243496004)	(8.0, 0.8150076598356302)	(9.0, 0.6044192441695556)	('>10', 4.477500273009735)	('>50', 1.5776209059011166)	('>100', 5.360659992870054)	('>500', 4.0167859641862)	('>1k', 12.704940411693475)	('>5k', 6.387170391823931)	('>10k+', 32.3710252907602)
CONTROL_24hr_1_1	(1.0, 2.151795169665753)	(2.0, 1.5777269367873912)	(3.0, 2.2975460229913187)	(4.0, 2.7215769325377215)	(5.0, 2.8826654152270694)	(6.0, 2.720037912802932)	(7.0, 2.427648759865034)	(8.0, 2.0887520990626496)	(9.0, 1.7624199825562097)	('>10', 11.258128517786242)	('>50', 2.670979363528961)	('>100', 6.921945093643529)	('>500', 3.6168040155332157)	('>1k', 9.489192332029521)	('>5k', 4.280892488872221)	('>10k+', 41.13188895711022)
CONTROL_24hr_1_2	(1.0, 2.8127503869731707)	(2.0, 1.5614919454283251)	(3.0, 2.2764131788094057)	(4.0, 2.6885882026361902)	(5.0, 2.8547374300487096)	(6.0, 2.683292948465013)	(7.0, 2.4166496748593636)	(8.0, 2.0790194562993656)	(9.0, 1.709355138159738)	('>10', 10.823381669442096)	('>50', 2.5397262122438002)	('>100', 6.6968575559120005)	('>500', 3.688459084889966)	('>1k', 8.751166451903183)	('>5k', 3.568098706589995)	('>10k+', 42.85001195733972)
CONTROL_24hr_2_1	(1.0, 2.894831874422356)	(2.0, 2.7347296355356985)	(3.0, 2.8069355474245676)	(4.0, 2.522912944396724)	(5.0, 2.047633985746305)	(6.0, 1.6550635572387475)	(7.0, 1.2387592606815987)	(8.0, 0.9931496522183921)	(9.0, 0.7298778537933858)	('>10', 5.877764018286916)	('>50', 2.10549462919696)	('>100', 6.336029875084681)	('>500', 3.3480903084058906)	('>1k', 9.402164846403597)	('>5k', 5.303447958143001)	('>10k+', 50.0031140530212)
CONTROL_24hr_2_2	(1.0, 3.442309294029072)	(2.0, 2.719013345232141)	(3.0, 2.8076735497790954)	(4.0, 2.506481302218735)	(5.0, 2.009725192726866)	(6.0, 1.620486075402313)	(7.0, 1.2151714914058132)	(8.0, 0.9285398622555039)	(9.0, 0.7468232178307331)	('>10', 5.618654545275158)	('>50', 2.0294741480645855)	('>100', 6.0296210135954915)	('>500', 3.3462465963233794)	('>1k', 8.419451699979152)	('>5k', 3.9078548052857056)	('>10k+', 52.65247386059622)
