Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
CONTROL_0hr_1_1	3.4	23871025	14066275	23871025	3604524775	5625447	3057183816	15.184829989134977
CONTROL_0hr_1_2	3.4	23871025	13160220	23871025	3604524775	7712732	3209561744	10.95742311828055
CONTROL_0hr_2_1	3.4	27194359	15106693	27194359	4106348209	5499695	3590213238	12.569196393739146
CONTROL_0hr_2_2	3.4	27194359	14751931	27194359	4106348209	6926273	3692833222	10.070139353834813
CONTROL_0hr_3_1	3.4	32152715	17838287	32152715	4855059965	9342125	4338817824	10.633074456784799
CONTROL_0hr_3_2	3.4	32152715	17432109	32152715	4855059965	8604099	4426789338	8.821119205270207
CONTROL_0hr_4_1	3.4	31444371	18750324	31444371	4748100021	5641275	4042400688	14.862773106691469
CONTROL_0hr_4_2	3.4	31444371	16613253	31444371	4748100021	8348409	4297756247	9.484715402123161
CONTROL_0hr_5_1	3.4	35490822	19779786	35490822	5359114122	12051717	4872018535	9.089106443925061
CONTROL_0hr_5_2	3.4	35490822	20075219	35490822	5359114122	8259745	4921877565	8.15874689447414
CONTROL_1hr_1_1	3.4	35943388	19467467	35943388	5427451588	11904776	4943214431	8.921998642431742
CONTROL_1hr_1_2	3.4	35943388	18267323	35943388	5427451588	10611993	5010556493	7.681231020498602
CONTROL_1hr_2_1	3.4	22770158	13406126	22770158	3438293858	6525187	2955653632	14.037201179795144
CONTROL_1hr_2_2	3.4	22770158	12914609	22770158	3438293858	5683760	3080896837	10.394603712199633
CONTROL_1hr_4_1	3.4	42508065	23042091	42508065	6418717815	5376447	6024804836	6.136941837191514
CONTROL_1hr_4_2	3.4	42508065	21972835	42508065	6418717815	14911954	6028952958	6.072316438170136
CONTROL_1hr_5_1	3.4	39175232	21330346	39175232	5915460032	7496877	5432270762	8.168245028893132
CONTROL_1hr_5_2	3.4	39175232	20276953	39175232	5915460032	12229041	5470731861	7.518065688792063
CONTROL_24hr_1_1	3.4	31859591	19010525	31859591	4810798241	9203581	3963551592	17.61135276427403
CONTROL_24hr_1_2	3.4	31859591	17729144	31859591	4810798241	7631765	4259036694	11.469230663169688
CONTROL_24hr_2_1	3.4	35160675	20075029	35160675	5309261925	14549260	4704316240	11.394157861217217
CONTROL_24hr_2_2	3.4	35160675	20072908	35160675	5309261925	7541499	4830969655	9.008639557747944
CONTROL_24hr_3_1	3.4	34876566	20123479	34876566	5266361466	18643810	4661634040	11.48283174074098
CONTROL_24hr_3_2	3.4	34876566	19901949	34876566	5266361466	6951343	4798514131	8.883692052291801
CONTROL_24hr_4_1	3.4	43546472	25495292	43546472	6575517272	8512189	5917511533	10.006904579232623
CONTROL_24hr_4_2	3.4	43546472	24901665	43546472	6575517272	12805848	5990079858	8.903290642896208
CONTROL_24hr_5_1	3.4	26144011	15787408	26144011	3947745661	6429906	3429106346	13.13760711901141
CONTROL_24hr_5_2	3.4	26144011	15851470	26144011	3947745661	4934301	3522144542	10.780864714881135
LIF_1hr_1_1	3.4	40207371	22529149	40207371	6071313021	8077114	5485910622	9.642105372843696
LIF_1hr_1_2	3.4	40207371	20986642	40207371	6071313021	14482401	5549330876	8.597516602990515
LIF_1hr_2_1	3.4	30564263	18970798	30564263	4615203713	6227476	3663192120	20.627726362725777
LIF_1hr_2_2	3.4	30564263	16428718	30564263	4615203713	6937169	4089241726	11.39628973513092
LIF_1hr_3_1	3.4	34916198	19497988	34916198	5272345898	8605694	4756888820	9.776617239690824
LIF_1hr_3_2	3.4	34916198	18594301	34916198	5272345898	9285783	4833306399	8.327213492698654
LIF_1hr_4_1	3.4	38566942	21975487	38566942	5823608242	9992442	5270590111	9.49614239178419
LIF_1hr_4_2	3.4	38566942	21248533	38566942	5823608242	11695147	5336259721	8.368497686455468
LIF_1hr_5_1	3.4	52145308	29673735	52145308	7873941508	12732884	7081491824	10.064205877004085
LIF_1hr_5_2	3.4	52145308	29232362	52145308	7873941508	12500761	7191758742	8.663802814726218
LIF_24hr_1_1	3.4	32692864	18518308	32692864	4936622464	8569345	4388365501	11.105912331723328
LIF_24hr_1_2	3.4	32692864	18146729	32692864	4936622464	7413914	4486390918	9.12023451830243
LIF_24hr_2_1	3.4	27292859	15850141	27292859	4121221709	7467367	3632639375	11.85527905312701
LIF_24hr_2_2	3.4	27292859	15561084	27292859	4121221709	6063178	3740732621	9.232434332981429
LIF_24hr_3_1	3.4	33560422	19903420	33560422	5067623722	14150130	4322333643	14.706894589755809
LIF_24hr_3_2	3.4	33560422	18680948	33560422	5067623722	7427768	4562209365	9.973399461484327
LIF_24hr_4_1	3.4	43901194	25401631	43901194	6629080294	5752505	6112662302	7.790190631231477
LIF_24hr_4_2	3.4	43901194	24867219	43901194	6629080294	13723070	6129352703	7.538415116985457
LIF_24hr_5_1	3.4	23426336	14682709	23426336	3537376736	14675642	2955858630	16.439247199255625
LIF_24hr_5_2	3.4	23426336	13904943	23426336	3537376736	4597804	3132987489	11.431896492237236
control_1hr_3_1	3.4	34999963	19781192	34999963	5284994413	9343978	4753573668	10.055275435917475
control_1hr_3_2	3.4	34999963	18521153	34999963	5284994413	10217778	4845204457	8.321483839570524
