Sample	Strand inference method	Status	Provided strandedness	Inferred strandedness	Sense (%)	Antisense (%)	Unstranded (%)
CONTROL_0hr_1	RSeQC	pass	auto	reverse	1.4801480081039315	92.46924699338194	6.050604998514135
CONTROL_0hr_1 	Salmon	pass	auto	reverse	0.25382332127693036	99.74617667872306	0.0
CONTROL_0hr_2	RSeQC	pass	auto	reverse	18.84000034920872	78.50999963765963	2.6500000131316486
CONTROL_0hr_2 	Salmon	pass	auto	reverse	0.22337948945675723	99.77662051054324	0.0
CONTROL_0hr_3	RSeQC	pass	auto	reverse	5.8400001159310335	89.61999979011715	4.540000093951821
CONTROL_0hr_3 	Salmon	pass	auto	reverse	0.2442434841022683	99.75575651589773	0.0
CONTROL_0hr_4	RSeQC	pass	auto	reverse	1.2299999228119873	86.26000028073787	12.509999796450144
CONTROL_0hr_4 	Salmon	pass	auto	reverse	0.3381593414208236	99.66184065857918	0.0
CONTROL_0hr_5	RSeQC	pass	auto	reverse	0.889999999795109	89.75000002747402	9.359999972730874
CONTROL_0hr_5 	Salmon	pass	auto	reverse	0.2754972928436912	99.7245027071563	0.0
CONTROL_1hr_1	RSeQC	pass	auto	reverse	0.6699999900441616	98.40999997497536	0.9200000349804764
CONTROL_1hr_1 	Salmon	pass	auto	reverse	0.3970122421025597	99.60298775789744	0.0
CONTROL_1hr_2	RSeQC	pass	auto	reverse	1.3099999878741801	93.76000008761882	4.929999924506993
CONTROL_1hr_2 	Salmon	pass	auto	reverse	0.252249538797485	99.74775046120251	0.0
CONTROL_1hr_4	RSeQC	pass	auto	reverse	0.4400439972278219	99.36993699973554	0.19001900303663083
CONTROL_1hr_4 	Salmon	pass	auto	reverse	0.4419430384528217	99.55805696154718	0.0
CONTROL_1hr_5	RSeQC	pass	auto	reverse	0.7999200640070521	98.18018186602433	1.019898069968623
CONTROL_1hr_5 	Salmon	pass	auto	reverse	0.3228471485741406	99.67715285142586	0.0
CONTROL_24hr_1	RSeQC	pass	auto	reverse	0.6899999801395464	92.42999990474898	6.880000115111468
CONTROL_24hr_1 	Salmon	pass	auto	reverse	0.27631942525559544	99.7236805747444	0.0
CONTROL_24hr_2	RSeQC	pass	auto	reverse	0.8100000172387809	91.06000023400411	8.129999748757111
CONTROL_24hr_2 	Salmon	pass	auto	reverse	0.24598328939967878	99.75401671060033	0.0
CONTROL_24hr_3	RSeQC	pass	auto	reverse	0.6199380417175767	91.10088954834525	8.279172409937171
CONTROL_24hr_3 	Salmon	pass	auto	reverse	0.23595440156914532	99.76404559843085	0.0
CONTROL_24hr_4	RSeQC	pass	auto	reverse	0.8400839845635281	98.2098210295679	0.9500949858685699
CONTROL_24hr_4 	Salmon	pass	auto	reverse	0.30720609906102714	99.69279390093897	0.0
CONTROL_24hr_5	RSeQC	pass	auto	reverse	6.800000268220898	88.00999987110497	5.1899998606741455
CONTROL_24hr_5 	Salmon	pass	auto	reverse	0.3230714899220007	99.676928510078	0.0
LIF_1hr_1	RSeQC	pass	auto	reverse	0.899999952036888	97.60000009685754	1.4999999511055653
LIF_1hr_1 	Salmon	pass	auto	reverse	0.3669106497688088	99.6330893502312	0.0
LIF_1hr_2	RSeQC	pass	auto	reverse	5.239999941736461	90.78000018782913	3.9799998704344057
LIF_1hr_2 	Salmon	pass	auto	reverse	0.24749025167174907	99.75250974832825	0.0
LIF_1hr_3	RSeQC	pass	auto	reverse	0.910000061979519	89.88999967166221	9.200000266358263
LIF_1hr_3 	Salmon	pass	auto	reverse	0.24462886389266403	99.75537113610734	0.0
LIF_1hr_4	RSeQC	pass	auto	reverse	0.8299999847169967	97.98999997417442	1.1800000411085783
LIF_1hr_4 	Salmon	pass	auto	reverse	0.29373530632001105	99.70626469368	0.0
LIF_1hr_5	RSeQC	pass	auto	reverse	0.800000044703484	93.95999987203628	5.240000083260239
LIF_1hr_5 	Salmon	pass	auto	reverse	0.2832548451104403	99.71674515488957	0.0
LIF_24hr_1	RSeQC	pass	auto	reverse	0.5999999990686775	90.26999977140687	9.130000229524446
LIF_24hr_1 	Salmon	pass	auto	reverse	0.29282088161843467	99.70717911838156	0.0
LIF_24hr_2	RSeQC	pass	auto	reverse	0.7400000212434685	91.64999983769376	7.610000141062779
LIF_24hr_2 	Salmon	pass	auto	reverse	0.2544444296037078	99.74555557039629	0.0
LIF_24hr_3	RSeQC	pass	auto	reverse	0.9200920543138957	94.38943873056023	4.690469215125882
LIF_24hr_3 	Salmon	pass	auto	reverse	0.2646574867931064	99.73534251320689	0.0
LIF_24hr_4	RSeQC	pass	auto	reverse	0.5499999927378668	99.43000000792308	0.019999999339052013
LIF_24hr_4 	Salmon	pass	auto	reverse	0.39120744795755463	99.60879255204244	0.0
LIF_24hr_5	RSeQC	pass	auto	reverse	3.62963705104557	92.01079881991771	4.359564129036712
LIF_24hr_5 	Salmon	pass	auto	reverse	0.29072609820805817	99.70927390179195	0.0
control_1hr_3	RSeQC	pass	auto	reverse	0.8500000461935997	97.08999991416931	2.0600000396370888
control_1hr_3 	Salmon	pass	auto	reverse	0.27007262876231947	99.72992737123768	0.0
