Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
CONTROL_0hr_1_1	CONTROL_0hr_1_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	23871025.0	3.6 Gbp	0.0	151.0	59.0	6.979998565102876	151.0	151	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
CONTROL_0hr_1_2	CONTROL_0hr_1_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	23871025.0	3.6 Gbp	0.0	151.0	59.0	10.297472149769634	151.0	151	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
CONTROL_0hr_2_1	CONTROL_0hr_2_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	27194359.0	4.1 Gbp	0.0	151.0	62.0	2.6300725870100874	151.0	151	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
CONTROL_0hr_2_2	CONTROL_0hr_2_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	27194359.0	4.1 Gbp	0.0	151.0	63.0	4.767909576464451	151.0	151	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
CONTROL_0hr_3_1	CONTROL_0hr_3_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	32152715.0	4.8 Gbp	0.0	151.0	62.0	5.182570937613644	151.0	151	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
CONTROL_0hr_3_2	CONTROL_0hr_3_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	32152715.0	4.8 Gbp	0.0	151.0	62.0	7.121741603850184	151.0	151	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
CONTROL_0hr_4_1	CONTROL_0hr_4_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	31444371.0	4.7 Gbp	0.0	151.0	56.0	11.032578817877967	151.0	151	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
CONTROL_0hr_4_2	CONTROL_0hr_4_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	31444371.0	4.7 Gbp	0.0	151.0	56.0	14.309000213745596	151.0	151	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
CONTROL_0hr_5_1	CONTROL_0hr_5_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	35490822.0	5.3 Gbp	0.0	151.0	56.0	8.944878075856403	151.0	151	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
CONTROL_0hr_5_2	CONTROL_0hr_5_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	35490822.0	5.3 Gbp	0.0	151.0	57.0	9.955346505367478	151.0	151	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
CONTROL_1hr_1_1	CONTROL_1hr_1_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	35943388.0	5.4 Gbp	0.0	151.0	56.0	17.721546939242188	151.0	151	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
CONTROL_1hr_1_2	CONTROL_1hr_1_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	35943388.0	5.4 Gbp	0.0	151.0	56.0	19.51722958262446	151.0	151	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
CONTROL_1hr_2_1	CONTROL_1hr_2_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	22770158.0	3.4 Gbp	0.0	151.0	57.0	6.6308453713006354	151.0	151	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
CONTROL_1hr_2_2	CONTROL_1hr_2_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	22770158.0	3.4 Gbp	0.0	151.0	58.0	9.197755463307152	151.0	151	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
