Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
CONTROL_0hr_1_1	CONTROL_0hr_1_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22158953.0	0.0	20-151	58.0	7.556978333865599	137.91455521386774	151	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
CONTROL_0hr_1_2	CONTROL_0hr_1_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22158953.0	0.0	20-151	58.0	8.224487724759278	137.94019094674735	151	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
CONTROL_0hr_2_1	CONTROL_0hr_2_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25921115.0	0.0	20-151	62.0	2.776563381544346	138.48351010363558	151	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
CONTROL_0hr_2_2	CONTROL_0hr_2_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25921115.0	0.0	20-151	63.0	3.580765012909541	138.5214284956492	151	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
CONTROL_0hr_3_1	CONTROL_0hr_3_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31341820.0	0.0	20-151	62.0	5.363556404443905	138.40364554451529	151	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
CONTROL_0hr_3_2	CONTROL_0hr_3_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31341820.0	0.0	20-151	63.0	5.761421679595631	138.4931792091206	151	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
CONTROL_0hr_4_1	CONTROL_0hr_4_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29192077.0	0.0	20-151	54.0	12.01858948536926	138.44815327802814	151	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
CONTROL_0hr_4_2	CONTROL_0hr_4_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29192077.0	0.0	20-151	55.0	12.503267024260278	138.4481865062222	151	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
CONTROL_0hr_5_1	CONTROL_0hr_5_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35031278.0	0.0	20-151	56.0	9.112979552536475	139.0817799167932	151	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
CONTROL_0hr_5_2	CONTROL_0hr_5_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35031278.0	0.0	20-151	57.0	9.559165834753694	139.1541934896009	151	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
