Sample	custom_content_dupradar-dupRadar_intercept	picard_mark_duplicates-PERCENT_DUPLICATION	qualimap_rnaseq-5_3_bias	qualimap_rnaseq-reads_aligned	rseqc_bam_stat-proper_pairs_percent	samtools_stats-error_rate	samtools_stats-non_primary_alignments	samtools_stats-reads_mapped	samtools_stats-reads_mapped_percent	samtools_stats-reads_properly_paired_percent	samtools_stats-reads_MQ0_percent	samtools_stats-raw_total_sequences	samtools_flagstat-flagstat_total	samtools_flagstat-mapped_passed	samtools_flagstat-mapped_passed_pct	star-total_reads	star-mapped	star-mapped_percent	star-uniquely_mapped	star-uniquely_mapped_percent	star-multimapped	fastqc_raw-percent_duplicates	fastqc_raw-percent_gc	fastqc_raw-avg_sequence_length	fastqc_raw-median_sequence_length	fastqc_raw-percent_fails	fastqc_raw-total_sequences	cutadapt-percent_trimmed	fastqc_trimmed-percent_duplicates	fastqc_trimmed-percent_gc	fastqc_trimmed-avg_sequence_length	fastqc_trimmed-median_sequence_length	fastqc_trimmed-percent_fails	fastqc_trimmed-total_sequences
CONTROL_0hr_1	2.02105421464037	90.2458	1.44	20.221577999999997	5.670430321059667	0.3621163	23.174446	40.448026999999996	100.0	99.98795738541216	0.3084995962843874	40.448026999999996	63.622473	63.622473	100.0	22.158953	20.226449	91.28	10.815381	48.81	9.411068													
CONTROL_0hr_1_1																						93.02000143489713	59.0	151.0	151	36.36363636363637	23.871025	15.184829989134977	92.4430216661344	58.0	137.91455521386774	151	27.27272727272727	22.158953
CONTROL_0hr_1_2																						89.70252785023037	59.0	151.0	151	45.45454545454545	23.871025	10.95742311828055	91.77551227524071	58.0	137.94019094674735	151	27.27272727272727	22.158953
CONTROL_0hr_2	1.5176001880615	96.3359	1.65	23.837752	1.4180084759444318	0.3814047	50.033156999999996	47.679376	100.0	99.99187908835049	2.0809919995597257	47.679376	97.712533	97.712533	100.0	25.921115	23.841624	91.97999999999999	6.7285639999999995	25.96	17.11306													
CONTROL_0hr_2_1																						97.36992741298991	62.0	151.0	151	45.45454545454545	27.194359	12.569196393739146	97.22343661845565	62.0	138.48351010363558	151	36.36363636363637	25.921115
CONTROL_0hr_2_2																						95.23209042353555	63.0	151.0	151	45.45454545454545	27.194359	10.070139353834813	96.41923498709046	63.0	138.5214284956492	151	36.36363636363637	25.921115
CONTROL_0hr_3	0.759862570014251	92.4413	1.55	28.506655	3.459552416824869	0.39473959999999997	52.093539	57.017801	100.0	99.99212351244482	1.7015475570515253	57.017801	109.11134	109.11134	100.0	31.34182	28.511146	90.97	10.132786999999999	32.33	18.378359													
CONTROL_0hr_3_1																						94.81742906238635	62.0	151.0	151	36.36363636363637	32.152715	10.633074456784799	94.6364435955561	62.0	138.40364554451529	151	36.36363636363637	31.34182
CONTROL_0hr_3_2																						92.87825839614982	62.0	151.0	151	36.36363636363637	32.152715	8.821119205270207	94.23857832040437	63.0	138.4931792091206	151	36.36363636363637	31.34182
CONTROL_0hr_4	1.17847549916245	82.99119999999999	1.51	25.974777	10.983727533032386	0.3171936	21.579779	51.953509	100.0	99.9923874246877	0.4875070132413963	51.953509	73.533288	73.533288	100.0	29.192076999999998	25.978731999999997	88.99000000000001	17.292998	59.24	8.685734													
