Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
CONTROL_0hr_1	Unknown Library	4871.0	20221578.0	23174446.0	0.0	3861.0	18249401.0	518992.0	0.902458	1972267.0
CONTROL_0hr_2	Unknown Library	3872.0	23837752.0	50033157.0	0.0	3013.0	22964672.0	605891.0	0.963359	873080.0
CONTROL_0hr_3	Unknown Library	4491.0	28506655.0	52093539.0	0.0	3262.0	26352372.0	634928.0	0.924413	2154288.0
CONTROL_0hr_4	Unknown Library	3955.0	25974777.0	21579779.0	0.0	3234.0	21556798.0	621842.0	0.829912	4432519.0
CONTROL_0hr_5	Unknown Library	4562.0	32566603.0	48808189.0	0.0	3211.0	28135907.0	781847.0	0.863938	4434113.0
CONTROL_1hr_1	Unknown Library	6936.0	31959304.0	24182093.0	0.0	4575.0	23768320.0	766388.0	0.743697	8395354.0
CONTROL_1hr_2	Unknown Library	3126.0	19979154.0	30673101.0	0.0	2347.0	17725003.0	457828.0	0.887164	2254542.0
CONTROL_1hr_4	Unknown Library	9086.0	39603747.0	11355401.0	0.0	4925.0	17426886.0	980350.0	0.440043	31269501.0
CONTROL_1hr_5	Unknown Library	7489.0	34902156.0	30709294.0	0.0	5053.0	26580461.0	780714.0	0.761561	8472711.0
CONTROL_24hr_1	Unknown Library	4857.0	27105071.0	33657994.0	0.0	4006.0	24477815.0	637951.0	0.903064	2627366.0
CONTROL_24hr_2	Unknown Library	3986.0	31475467.0	54211984.0	0.0	3145.0	27824109.0	790166.0	0.883988	3652177.0
CONTROL_24hr_3	Unknown Library	3966.0	31403143.0	39514207.0	0.0	3173.0	27971018.0	770609.0	0.890702	3432582.0
CONTROL_24hr_4	Unknown Library	7506.0	39935338.0	49943592.0	0.0	4996.0	30356721.0	1002912.0	0.760138	9759293.0
CONTROL_24hr_5	Unknown Library	2186.0	24220489.0	40133900.0	0.0	1798.0	22025271.0	563923.0	0.909361	2195263.0
LIF_1hr_1	Unknown Library	9426.0	34628435.0	31119178.0	0.0	6707.0	27502812.0	907578.0	0.794215	7191770.0
LIF_1hr_2	Unknown Library	3188.0	24415153.0	43458155.0	0.0	2563.0	23065281.0	593690.0	0.944703	1349872.0
LIF_1hr_3	Unknown Library	5436.0	30952324.0	41286945.0	0.0	3679.0	26233778.0	711957.0	0.847539	4726413.0
LIF_1hr_4	Unknown Library	6402.0	34166274.0	36510964.0	0.0	4191.0	26108398.0	849176.0	0.764147	8198779.0
LIF_1hr_5	Unknown Library	6659.0	47122434.0	59234476.0	0.0	5410.0	42139652.0	1113369.0	0.894253	4983269.0
LIF_24hr_1	Unknown Library	3957.0	29631469.0	34245220.0	0.0	3036.0	25726659.0	782837.0	0.868214	3907238.0
LIF_24hr_2	Unknown Library	3186.0	24621223.0	33776775.0	0.0	2444.0	21387254.0	536344.0	0.868645	3235863.0
LIF_24hr_3	Unknown Library	3502.0	28392838.0	52441802.0	0.0	2907.0	26710307.0	696955.0	0.940734	1682531.0
LIF_24hr_4	Unknown Library	8040.0	42269574.0	20623876.0	0.0	4959.0	22389677.0	1020291.0	0.529696	24359787.0
LIF_24hr_5	Unknown Library	2383.0	20033538.0	27109175.0	0.0	2125.0	18488872.0	459398.0	0.922894	1544670.0
control_1hr_3	Unknown Library	5712.0	29749302.0	29043298.0	0.0	3727.0	23056816.0	698812.0	0.775025	6786359.0
