Sample	total_records	qc_failed	optical_pcr_duplicate	non_primary_hits	unmapped_reads	mapq_lt_mapq_cut_non-unique	mapq_gte_mapq_cut_unique	read_1	read_2	reads_map_to_sense	reads_map_to_antisense	non-splice_reads	splice_reads	reads_mapped_in_proper_pairs	proper-paired_reads_map_to_different_chrom	unique_percent	proper_pairs_percent
CONTROL_0hr_1	63622473	0	36502663	23174446	0	336798	3608566	1804680	1803886	1804278	1804288	2397281	1211285	3607668	0	5.67184177201034	5.670430321059667
CONTROL_0hr_2	97712533	0	45932357	50033157	0	360700	1386319	693512	692807	693166	693153	1090860	295459	1385572	0	1.4187729633413555	1.4180084759444318
CONTROL_0hr_3	109111340	0	52708006	52093539	0	533941	3775854	1888427	1887427	1887933	1887921	2773916	1001938	3774764	0	3.4605513963993113	3.459552416824869
CONTROL_0hr_4	73533288	0	43116830	21579779	0	759298	8077381	4038967	4038414	4038675	4038706	6352314	1725067	8076696	0	10.984659083924004	10.983727533032386
CONTROL_0hr_5	113945957	0	56275025	48808189	0	865797	7996946	3999036	3997910	3998503	3998443	5634380	2362566	7995712	0	7.018191966214299	7.017108996679891
CONTROL_1hr_1	88107637	0	47541215	24182093	0	981218	15403111	7702548	7700563	7701511	7701600	12343052	3060059	15400872	0	17.482151972819338	17.47961076291264
CONTROL_1hr_2	70634535	0	35452353	30673101	0	727791	3781290	1890955	1890335	1890631	1890659	2566926	1214364	3780594	0	5.353316192992564	5.352330839298369
CONTROL_1hr_4	90571981	0	34858697	11355401	0	1340349	43017534	21510545	21506989	21508752	21508782	35221289	7796245	43013496	0	47.49541030796268	47.490951975534244
CONTROL_1hr_5	100521095	0	53165975	30709294	0	1148089	15497737	7749924	7747813	7748853	7748884	12512258	2985479	15495424	0	15.417397711395802	15.415096701841538
CONTROL_24hr_1	87872993	0	48959636	33657994	0	559269	4696094	2348394	2347700	2348037	2348057	2992283	1703811	4695320	0	5.344183508122911	5.343302691419649
CONTROL_24hr_2	117166904	0	55651363	54211984	0	959471	6344086	3172390	3171696	3172055	3172031	4054544	2289542	6343320	0	5.414571678022661	5.413917909787904
CONTROL_24hr_3	102324459	0	55945209	39514207	0	942917	5922126	2961381	2960745	2961065	2961061	3746498	2175628	5921418	0	5.7875957106208595	5.786903793940411
CONTROL_24hr_4	129821774	0	60718438	49943592	0	1579452	17580292	8791200	8789092	8790168	8790124	13460199	4120093	17577936	0	13.541867021475149	13.54005222575375
CONTROL_24hr_5	88577064	0	44052340	40133900	0	599848	3790976	1895639	1895337	1895490	1895486	2605391	1185585	3790622	0	4.279861883884523	4.279462231893349
LIF_1hr_1	100385474	0	55012331	31119178	0	823293	13430672	6716480	6714192	6715332	6715340	10974784	2455888	13428086	0	13.379099051721369	13.37652298180113
LIF_1hr_2	92291649	0	46133125	43458155	0	304150	2396219	1198352	1197867	1198113	1198106	1577234	818985	2395678	0	2.596355169686046	2.595768984472257
LIF_1hr_3	103197029	0	52471235	41286945	0	960434	8478415	4239954	4238461	4239222	4239193	6256209	2222206	8476782	0	8.21575493224713	8.214172522350426
LIF_1hr_4	104849914	0	52220987	36510964	0	1219810	14898153	7449998	7448155	7449101	7449052	10945791	3952362	14896094	0	14.209027391286178	14.207063631926298
LIF_1hr_5	153486003	0	84284714	59234476	0	1069612	8897201	4449111	4448090	4448603	4448598	6148234	2748967	8896054	0	5.796750730423281	5.796003431009927
LIF_24hr_1	93512115	0	51456354	34245220	0	708996	7101545	3551150	3550395	3550767	3550778	5161039	1940506	7100694	0	7.5942512903274615	7.593341247815857
LIF_24hr_2	83022407	0	42776952	33776775	0	756807	5711873	2856248	2855625	2855946	2855927	3722151	1989722	5711188	0	6.879917369777052	6.879092291313597
LIF_24hr_3	109230980	0	53423521	52441802	0	493010	2872647	1436574	1436073	1436327	1436320	2026481	846166	2872108	0	2.629883024028531	2.629389574276455
LIF_24hr_4	105171064	0	44784313	20623876	0	1423160	38339715	19171116	19168599	19169830	19169885	31288287	7051428	38336722	0	36.45462310812031	36.451777268317834
LIF_24hr_5	67178634	0	36979869	27109175	0	430539	2659051	1329625	1329426	1329527	1329524	1719804	939247	2658818	0	3.958179620026212	3.957832783560321
control_1hr_3	88547614	0	46117359	29043298	0	923630	12463327	6232506	6230821	6231676	6231651	9384430	3078897	12461454	0	14.075282706093017	14.07316745993856
