Sample	pe_sense	pe_antisense	failed
CONTROL_0hr_1	0.0148	0.9246	0.0605
CONTROL_0hr_2	0.1884	0.7851	0.0265
CONTROL_0hr_3	0.0584	0.8962	0.0454
CONTROL_0hr_4	0.0123	0.8626	0.1251
CONTROL_0hr_5	0.0089	0.8975	0.0936
CONTROL_1hr_1	0.0067	0.9841	0.0092
CONTROL_1hr_2	0.0131	0.9376	0.0493
CONTROL_1hr_4	0.0044	0.9936	0.0019
CONTROL_1hr_5	0.008	0.9819	0.0102
CONTROL_24hr_1	0.0069	0.9243	0.0688
CONTROL_24hr_2	0.0081	0.9106	0.0813
CONTROL_24hr_3	0.0062	0.9111	0.0828
CONTROL_24hr_4	0.0084	0.982	0.0095
CONTROL_24hr_5	0.068	0.8801	0.0519
LIF_1hr_1	0.009	0.976	0.015
LIF_1hr_2	0.0524	0.9078	0.0398
LIF_1hr_3	0.0091	0.8989	0.092
LIF_1hr_4	0.0083	0.9799	0.0118
LIF_1hr_5	0.008	0.9396	0.0524
LIF_24hr_1	0.006	0.9027	0.0913
LIF_24hr_2	0.0074	0.9165	0.0761
LIF_24hr_3	0.0092	0.9438	0.0469
LIF_24hr_4	0.0055	0.9943	0.0002
LIF_24hr_5	0.0363	0.9202	0.0436
control_1hr_3	0.0085	0.9709	0.0206
