Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_tags_kb	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_tags_kb	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct	tss_up_5kb-10kb_total_bases	tss_up_1kb-5kb_total_bases	tss_up_5kb-10kb_tag_count	tss_up_1kb-5kb_tag_count	tes_down_5kb-10kb_total_bases	tes_down_1kb-5kb_total_bases	tes_down_5kb-10kb_tag_count	tes_down_1kb-5kb_tag_count
CONTROL_0hr_1	3945364	5560084	5078063	39370283	3441620	87.42	4062337	155708	38.33	22348648	873996	39.11	934912110	394147	0.42	19381046	63488	3.28	1.21	0.76	19609343	30196	1.54	0.87	0.61	482021	61.8987051274765	2.8004612879949295	15.71911503495271	7.088867722142328	1.1418532525767597	1.9193954623707123	2.186963362424021	0.5430853202937223	1.3232174190174104	1.6365759941756275	8.669311470833895	72157369	68801830	14877	43232	65239476	64573301	17423	43376
CONTROL_0hr_2	1747019	2217310	1848980	39370283	1134666	28.82	4062337	39301	9.67	22348648	185655	8.31	934912110	293008	0.31	19381046	61832	3.19	1.37	0.89	19609343	6726	0.34	0.28	0.36	368330	51.17308811126996	1.7724630295267692	8.372983479982501	13.214570808772791	2.7886042096053325	5.457513834330788	6.450338473194997	0.30334053425096175	1.076935566068795	2.404986222043828	16.61156987520915	72157369	68801830	22014	59178	65239476	64573301	29447	17153
CONTROL_0hr_3	4309795	5757722	5135605	39370283	3272201	83.11	4062337	129212	31.81	22348648	645877	28.9	934912110	788021	0.84	19381046	81428	4.2	1.7	1.12	19609343	23419	1.19	0.84	0.81	622117	56.83152121620322	2.2441514196065735	11.217578757710081	13.686332893460296	1.4142398677810426	2.6092958291490977	3.1102578415560878	0.406740721417255	1.235175994950781	2.10524231631885	10.804915555144898	72157369	68801830	28844	68808	65239476	64573301	50096	47699
CONTROL_0hr_4	8836679	11246353	9801482	39370283	5383121	136.73	4062337	189997	46.77	22348648	1125191	50.35	934912110	2755406	2.95	19381046	73967	3.82	1.49	1.01	19609343	51910	2.65	1.68	1.24	1444871	47.86548136982718	1.6894098913665612	10.004941157368972	24.50044027606105	0.6576976554088245	1.1713663976224113	1.439115418127103	0.4615718535599941	1.2605686483431562	1.6531492475827498	12.847462639666388	72157369	68801830	30112	57769	65239476	64573301	44151	89858
CONTROL_0hr_5	8862743	12027007	10596616	39370283	6727362	170.87	4062337	266208	65.53	22348648	1586511	70.99	934912110	1640257	1.75	19381046	88775	4.58	1.79	1.18	19609343	56138	2.86	1.72	1.26	1430391	55.935462580174764	2.2134185171755534	13.19123702181266	13.63811461987176	0.738130442594737	1.3117727461204602	1.5692432872118558	0.46676617050276936	1.201861776583318	1.5593655179547166	11.893158455798687	72157369	68801830	30966	68992	65239476	64573301	42997	88410
CONTROL_1hr_1	16384329	20678340	19140343	39370283	9511169	241.58	4062337	342052	84.2	22348648	1796532	80.39	934912110	7003030	7.49	19381046	91045	4.7	1.95	1.37	19609343	81417	4.15	2.48	1.79	1537997	45.99580527257024	1.6541559912449453	8.68798946143646	33.866499922140754	0.44029162882513784	0.8301391697786187	1.0626288183674317	0.3937308313916881	1.0104824661940948	1.2952006785844512	7.437719855655725	72157369	68801830	48075	80614	65239476	64573301	58875	127534
CONTROL_1hr_2	4509081	6152395	5037582	39370283	3474831	88.26	4062337	127784	31.46	22348648	730777	32.7	934912110	457726	0.49	19381046	64591	3.33	1.38	0.91	19609343	24090	1.23	0.75	0.67	1114813	56.479322280185194	2.0769797777938512	11.877927213711082	7.43980189828514	1.0498513180639408	1.9766286137349764	2.3719868441476857	0.3915548335241804	1.0256331071070697	1.6339978171102474	18.1199841687668	72157369	68801830	24324	57019	65239476	64573301	37429	39011
CONTROL_1hr_4	44357883	55232497	52687123	39370283	23120186	587.25	4062337	845223	208.06	22348648	4775945	213.7	934912110	22735965	24.32	19381046	142184	7.34	3.28	2.55	19609343	247826	12.64	7.51	5.36	2545374	41.85975151548915	1.5303001781722816	8.646983677018984	41.16410851387001	0.2574281586436333	0.5229747262739181	0.7394831343583832	0.4486959914196891	1.1450867412349652	1.4509012692292367	4.60847171186195	72157369	68801830	119583	146668	65239476	64573301	168909	384634
CONTROL_1hr_5	16645826	20902868	19020468	39370283	9341081	237.26	4062337	360205	88.67	22348648	1776263	79.48	934912110	6925297	7.41	19381046	97801	5.05	2.34	1.71	19609343	81492	4.16	2.67	2.3	1882400	44.68803515383631	1.7232324291575685	8.49769993285132	33.13084596812265	0.467883163209948	0.9887303503040826	1.3134943970368085	0.38986037705447885	1.075838014190206	1.641229327956336	9.00546279103901	72157369	68801830	67885	108872	65239476	64573301	118183	143389
CONTROL_24hr_1	5255363	7495450	6622530	39370283	4727799	120.09	4062337	209738	51.63	22348648	853181	38.18	934912110	593562	0.63	19381046	70902	3.66	1.39	0.91	19609343	26432	1.35	0.77	0.62	872920	63.07558585541896	2.798204243907971	11.382652142299662	7.918964171597436	0.9459338665457044	1.635632283585375	1.9404572107078293	0.3526406019651922	0.8689938562728055	1.2381378036008512	11.645998572467295	72157369	68801830	22848	51696	65239476	64573301	27669	38703
