Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
CONTROL_0hr_1	40448027.0	0.0	40448027.0	1.0	20226261.0	20221766.0	40448027.0	40443156.0	0.0	40443156.0	40448027.0	36502663.0	124782.0	0.0	23174446.0	0.0	5615520949.0	2809151410.0	2806369539.0	5615520949.0	5593998912.0	0.0	5065319997.0	20256779.0	0.003621163	139.0	139.0	139.0	151.0	151.0	151.0	36.4	645.9	1560.6	14075965.0	6145613.0	0.0	0.0	100.0	100.0	99.98795738541216	0.0	99.98795738541216	100.0	90.24584314087805	0.3084995962843874	0.0
CONTROL_0hr_2	47679376.0	0.0	47679376.0	1.0	23841502.0	23837874.0	47679376.0	47675504.0	0.0	47675504.0	47679376.0	45932357.0	992204.0	0.0	50033157.0	0.0	6632013866.0	3317017799.0	3314996067.0	6632013866.0	6611806650.0	0.0	6392871294.0	25217745.0	0.003814047	139.0	139.0	139.0	151.0	151.0	151.0	36.4	648.6	1810.9	15662264.0	8175488.0	0.0	0.0	100.0	100.0	99.99187908835049	0.0	99.99187908835049	100.0	96.33590213093393	2.0809919995597257	0.0
CONTROL_0hr_3	57017801.0	0.0	57017801.0	1.0	28511003.0	28506798.0	57017801.0	57013310.0	0.0	57013310.0	57017801.0	0.0	970185.0	0.0	52093539.0	0.0	7917358860.0	3959996696.0	3957362164.0	7917358860.0	7891698494.0	0.0	0.0	31151660.0	0.003947396	139.0	139.0	139.0	151.0	151.0	151.0	36.4	818.3	2020.8	19024524.0	9482131.0	0.0	0.0	100.0	100.0	99.99212351244482	0.0	99.99212351244482	100.0	0.0	1.7015475570515253	0.0
CONTROL_0hr_4	51953509.0	0.0	51953509.0	1.0	25978409.0	25975100.0	51953509.0	51949554.0	0.0	51949554.0	51953509.0	0.0	253277.0	0.0	21579779.0	0.0	7206423169.0	3604306203.0	3602116966.0	7206423169.0	7184570743.0	0.0	0.0	22789001.0	0.003171936	139.0	139.0	139.0	151.0	151.0	151.0	36.4	538.4	1387.3	19116587.0	6858190.0	0.0	0.0	100.0	100.0	99.9923874246877	0.0	99.9923874246877	100.0	0.0	0.4875070132413963	0.0
CONTROL_0hr_5	65137768.0	0.0	65137768.0	1.0	32570990.0	32566778.0	65137768.0	65133206.0	0.0	65133206.0	65137768.0	56275025.0	469432.0	0.0	48808189.0	0.0	9082705381.0	4543026324.0	4539679057.0	9082705381.0	9057660365.0	0.0	7848897086.0	22159486.0	0.002446491	139.0	139.0	139.0	151.0	151.0	151.0	36.4	797.8	1903.6	22849458.0	9717145.0	0.0	0.0	100.0	100.0	99.99299638268232	0.0	99.99299638268232	100.0	86.39384911070334	0.7206755994463919	0.0
CONTROL_1hr_1	63925544.0	0.0	63925544.0	1.0	31965832.0	31959712.0	63925544.0	63918608.0	0.0	63918608.0	63925544.0	0.0	374321.0	0.0	24182093.0	0.0	8999404036.0	4501220777.0	4498183259.0	8999404036.0	8967215324.0	0.0	0.0	33145941.0	0.003696347	141.0	141.0	141.0	151.0	151.0	151.0	36.3	662.9	1609.6	24976014.0	6983290.0	0.0	0.0	100.0	100.0	99.98914987723843	0.0	99.98914987723843	100.0	0.0	0.5855577857890424	0.0
CONTROL_1hr_2	39961434.0	0.0	39961434.0	1.0	19982133.0	19979301.0	39961434.0	39958308.0	0.0	39958308.0	39961434.0	0.0	355795.0	0.0	30673101.0	0.0	5511385900.0	2756588231.0	2754797669.0	5511385900.0	5494408411.0	0.0	0.0	18332742.0	0.003336618	138.0	138.0	138.0	151.0	151.0	151.0	36.4	775.9	1913.9	13687697.0	6291457.0	0.0	0.0	100.0	100.0	99.99217745789602	0.0	99.99217745789602	100.0	0.0	0.8903459270255416	0.0
CONTROL_1hr_4	79216580.0	0.0	79216580.0	1.0	39612313.0	39604267.0	79216580.0	79207494.0	0.0	79207494.0	79216580.0	34858697.0	289806.0	0.0	11355401.0	0.0	11249794325.0	5627443157.0	5622351168.0	11249794325.0	11210596560.0	0.0	4957523641.0	33822415.0	0.003017004	142.0	142.0	142.0	151.0	151.0	151.0	36.3	630.2	1448.5	32425418.0	7178329.0	0.0	0.0	100.0	100.0	99.98853017890951	0.0	99.98853017890951	100.0	44.004294303036055	0.36584008044780525	0.0
CONTROL_1hr_5	69811801.0	0.0	69811801.0	1.0	34909330.0	34902471.0	69811801.0	69804312.0	0.0	69804312.0	69811801.0	53165975.0	377758.0	0.0	30709294.0	0.0	9790523845.0	4896942692.0	4893581153.0	9790523845.0	9756279518.0	0.0	7467755433.0	35189421.0	0.003606848	140.0	140.0	140.0	151.0	151.0	151.0	36.3	497.2	1285.1	26122354.0	8779802.0	0.0	0.0	100.0	100.0	99.98927258730942	0.0	99.98927258730942	100.0	76.15614299937627	0.5411090884190196	0.0
CONTROL_24hr_1	54214999.0	0.0	54214999.0	1.0	27109663.0	27105336.0	54214999.0	54210142.0	0.0	54210142.0	54214999.0	0.0	411384.0	0.0	33657994.0	0.0	7479383534.0	3741112685.0	3738270849.0	7479383534.0	7457301946.0	0.0	0.0	17190273.0	0.00230516	138.0	138.0	138.0	151.0	151.0	151.0	36.4	763.9	1774.4	18966494.0	8138577.0	0.0	0.0	100.0	100.0	99.99104122458805	0.0	99.99104122458805	100.0	0.0	0.7588010838107734	0.0
