Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other	mapped_percent	mapped
CONTROL_0hr_1	22158953.0	275.0	10815381.0	48.81	278.12	7276561.0	7269533.0	7054915.0	206991.0	5359.0	9296.0	0.39	0.03	1.39	0.02	3.32	9411068.0	42.47	11879.0	0.05	0.0	8.46	0.21	0	1874105	46520	91.28	20226449.0
CONTROL_0hr_2	25921115.0	276.0	6728564.0	25.96	275.25	2338709.0	2334956.0	2073776.0	260436.0	1431.0	3066.0	0.79	0.05	1.44	0.03	2.63	17113060.0	66.02	81604.0	0.31	0.0	7.55	0.16	0	1956426	41461	91.97999999999999	23841624.0
CONTROL_0hr_3	31341820.0	276.0	10132787.0	32.33	275.4	4338679.0	4332223.0	3967901.0	363719.0	1691.0	5368.0	0.67	0.05	1.47	0.03	2.33	18378359.0	58.64	46118.0	0.15	0.0	8.64	0.24	0	2709298	75258	90.97	28511146.0
CONTROL_0hr_4	29192077.0	276.0	17292998.0	59.24	277.62	6877506.0	6869392.0	6662347.0	202429.0	4565.0	8165.0	0.31	0.03	2.02	0.02	1.83	8685734.0	29.75	19237.0	0.07	0.0	10.45	0.49	0	3051045	143063	88.99000000000001	25978732.0
CONTROL_0hr_5	35031278.0	278.0	14665720.0	41.86	277.8	8401045.0	8391794.0	8066656.0	318680.0	5994.0	9715.0	0.31	0.02	1.52	0.01	1.92	17905445.0	51.11	24999.0	0.07	0.0	6.75	0.2	0	2365039	70075	92.97	32571165.0
CONTROL_1hr_1	35167212.0	281.0	23023324.0	65.47	281.58	9640337.0	9630488.0	9463881.0	160368.0	6828.0	9260.0	0.35	0.05	2.32	0.03	2.09	8942916.0	25.43	32888.0	0.09	0.0	8.54	0.47	0	3002823	165261	90.9	31966240.0
CONTROL_1hr_2	21516964.0	274.0	9188322.0	42.7	275.7	5216878.0	5210987.0	5104834.0	102768.0	2983.0	6293.0	0.4	0.03	1.31	0.01	2.22	10793958.0	50.16	41385.0	0.19	0.0	6.75	0.19	0	1452416	40883	92.86	19982280.0
CONTROL_1hr_4	42403123.0	283.0	35637041.0	84.04	283.33	15111245.0	15092965.0	14845285.0	237013.0	11995.0	16952.0	0.24	0.04	2.52	0.02	2.14	3975792.0	9.38	33314.0	0.08	0.0	5.97	0.53	0	2532176	224800	93.42	39612833.0
CONTROL_1hr_5	38769682.0	280.0	23071917.0	59.51	279.87	8932249.0	8919762.0	8640863.0	275206.0	5451.0	10729.0	0.38	0.04	1.82	0.02	1.65	11837728.0	30.53	77849.0	0.2	0.0	9.32	0.43	0	3615384	166804	90.03999999999999	34909645.0
CONTROL_24hr_1	28838162.0	274.0	14194004.0	49.22	277.84	10550404.0	10539621.0	10285011.0	245664.0	6002.0	13727.0	0.29	0.02	1.43	0.01	1.98	12915924.0	44.79	36067.0	0.13	0.0	5.67	0.2	0	1634512	57655	94.00999999999999	27109928.0
