Sample	Unique Pairs	Unique Unpaired	Duplicate Pairs Optical	Duplicate Pairs Nonoptical	Duplicate Unpaired
CONTROL_0hr_1	3944354.0	1010.0	1037984.0	35460818.0	3861.0
CONTROL_0hr_2	1746160.0	859.0	1211782.0	44717562.0	3013.0
CONTROL_0hr_3	4308566.0	1229.0	1269856.0	51434888.0	3262.0
CONTROL_0hr_4	8835958.0	721.0	1243684.0	41869912.0	3234.0
CONTROL_0hr_5	8861392.0	1351.0	1563694.0	54708120.0	3211.0
CONTROL_1hr_1	16381968.0	2361.0	1532776.0	46003864.0	4575.0
CONTROL_1hr_2	4508302.0	779.0	915656.0	34534350.0	2347.0
CONTROL_1hr_4	44353722.0	4161.0	1960700.0	32893072.0	4925.0
CONTROL_1hr_5	16643390.0	2436.0	1561428.0	51599494.0	5053.0
CONTROL_24hr_1	5254512.0	851.0	1275902.0	47679728.0	4006.0
CONTROL_24hr_2	7302716.0	841.0	1580332.0	54067886.0	3145.0
CONTROL_24hr_3	6864250.0	793.0	1541218.0	54400818.0	3173.0
CONTROL_24hr_4	19157234.0	2510.0	2005824.0	58707618.0	4996.0
CONTROL_24hr_5	4390436.0	388.0	1127846.0	42922696.0	1798.0
LIF_1hr_1	14251246.0	2719.0	1815156.0	53190468.0	6707.0
LIF_1hr_2	2699744.0	625.0	1187380.0	44943182.0	2563.0
LIF_1hr_3	9437092.0	1757.0	1423914.0	51043642.0	3679.0
LIF_1hr_4	16115752.0	2211.0	1698352.0	50518444.0	4191.0
LIF_1hr_5	9965564.0	1249.0	2226738.0	82052566.0	5410.0
LIF_24hr_1	7809620.0	921.0	1565674.0	49887644.0	3036.0
LIF_24hr_2	6467938.0	742.0	1072688.0	41701820.0	2444.0
LIF_24hr_3	3365062.0	595.0	1393910.0	52026704.0	2907.0
LIF_24hr_4	39759794.0	3081.0	2040582.0	42738772.0	4959.0
LIF_24hr_5	3089332.0	258.0	918796.0	36058948.0	2125.0
control_1hr_3	13384972.0	1985.0	1397624.0	44716008.0	3727.0
