Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
CONTROL_0hr_1	(0, 4690.603633998675)	(1, 5137.519691646317)	(2, 5823.746344204317)	(3, 6595.9798065904615)	(4, 7354.410641606896)	(5, 8129.851415825091)	(6, 8647.479458310574)	(7, 9167.06358114899)	(8, 9562.02899081627)	(9, 10066.432541977347)	(10, 10527.14945014581)	(11, 10860.809302182404)	(12, 11076.686130615464)	(13, 11314.645702389806)	(14, 11481.615499877184)	(15, 11672.632919566686)	(16, 11860.868106455026)	(17, 11991.062376485603)	(18, 12244.83003402255)	(19, 12828.422744128846)	(20, 17361.35144944083)	(21, 28709.366503094607)	(22, 31930.951150848756)	(23, 24317.62250696857)	(24, 15211.932021329472)	(25, 13597.873726446005)	(26, 13293.34851778274)	(27, 13887.284001843062)	(28, 14136.144794563588)	(29, 16016.116902833597)	(30, 25753.528125491524)	(31, 26751.088933621533)	(32, 17825.98440539852)	(33, 13258.572721547886)	(34, 13138.701828862899)	(35, 13285.727039921905)	(36, 13137.561346364051)	(37, 13106.576684096144)	(38, 13040.148757594932)	(39, 12958.525275368305)	(40, 13041.783562173114)	(41, 13135.639455225968)	(42, 14335.352500414267)	(43, 15724.456898936669)	(44, 15376.039168786607)	(45, 13485.032065678231)	(46, 12917.501123406768)	(47, 12848.388689371586)	(48, 12855.767637388675)	(49, 12848.561502113906)	(50, 12867.81357107121)	(51, 12812.50622480731)	(52, 12647.48445803733)	(53, 12218.406083858565)	(54, 11936.68672227001)	(55, 11774.5346267284)	(56, 11691.609237707074)	(57, 11663.819345423264)	(58, 11650.25775802421)	(59, 11581.620670726055)	(60, 11508.866136016642)	(61, 11464.491453271921)	(62, 11328.392242800193)	(63, 11256.401606065165)	(64, 11236.878610468952)	(65, 11099.58367235236)	(66, 11029.84781554486)	(67, 10988.876057980293)	(68, 10936.070196267208)	(69, 10860.939295202874)	(70, 10796.014677058827)	(71, 10615.479305085475)	(72, 10480.482682204738)	(73, 10351.593697680286)	(74, 10282.946202619538)	(75, 10191.186146276206)	(76, 10139.46100884334)	(77, 9882.470593131799)	(78, 9659.86430434127)	(79, 9587.742311609365)	(80, 9591.417772235332)	(81, 9534.415045121952)	(82, 9419.298325621252)	(83, 9284.801383981076)	(84, 9182.19103051598)	(85, 9117.393428419296)	(86, 8934.532907795156)	(87, 8771.028032076634)	(88, 8683.936823459257)	(89, 8525.754144236038)	(90, 8333.531750499626)	(91, 8171.237970234857)	(92, 7824.508961466231)	(93, 7261.908586766882)	(94, 6830.225700295367)	(95, 6289.694043836619)	(96, 5341.442009675097)	(97, 4094.5916312600534)	(98, 2638.923714391284)	(99, 838.9024271034978)
CONTROL_0hr_2	(0, 945.062125476812)	(1, 1104.1446838785148)	(2, 1304.9306253361744)	(3, 1476.6554386419152)	(4, 1625.894606820909)	(5, 1756.2763312833413)	(6, 1879.3632578275162)	(7, 2067.0722804763727)	(8, 2131.930004017029)	(9, 2162.2185552954807)	(10, 2244.5681497159185)	(11, 2331.0001384078305)	(12, 2385.4488204084337)	(13, 2468.193719875993)	(14, 2589.1983164603193)	(15, 2670.8863680096515)	(16, 2660.765527081638)	(17, 2597.8215105443733)	(18, 3037.518557654623)	(19, 4529.3957523508325)	(20, 12631.552397700289)	(21, 30761.048671203767)	(22, 36943.280446302604)	(23, 24889.16548069978)	(24, 8777.785081904305)	(25, 5269.213830874792)	(26, 4378.011731029126)	(27, 5103.158416173555)	(28, 5479.8379851623195)	(29, 7479.52995725322)	(30, 17008.83571624881)	(31, 17457.703244198896)	(32, 7903.067597473897)	(33, 3020.2747357051003)	(34, 2821.1718006440465)	(35, 2956.675172986669)	(36, 2787.7540577970685)	(37, 2733.7128922583115)	(38, 2757.6820769138603)	(39, 2766.4749118973828)	(40, 2804.3157930268826)	(41, 2945.6107109059503)	(42, 5281.305153794532)	(43, 8509.692948922759)	(44, 8731.24369309581)	(45, 5513.765120059892)	(46, 4719.404126150806)	(47, 4652.221648808667)	(48, 4601.258097899271)	(49, 5144.889652537835)	(50, 5717.156556582102)	(51, 5414.3336566679045)	(52, 4644.756458144466)	(53, 3408.707178814588)	(54, 2864.225550715034)	(55, 2692.150602555967)	(56, 2587.724107936656)	(57, 2508.392622012616)	(58, 2500.504437419247)	(59, 2464.6278106776067)	(60, 2432.002712352177)	(61, 2421.5670280716927)	(62, 2386.31232041186)	(63, 2365.742612944053)	(64, 2371.0358861697155)	(65, 2334.4960837520916)	(66, 2292.6370256562495)	(67, 2255.3537238487675)	(68, 2226.9338124829105)	(69, 2199.076587662328)	(70, 2183.744777341949)	(71, 2136.078189315274)	(72, 2129.541218700237)	(73, 2102.9084435609)	(74, 2093.1645100466258)	(75, 2067.598907407413)	(76, 2060.4300038400675)	(77, 2047.7497377506666)	(78, 2009.7768486640614)	(79, 1953.546813066888)	(80, 1951.2586996530224)	(81, 1939.4537620159488)	(82, 1910.443838259601)	(83, 1874.1713417209082)	(84, 1838.0701096883456)	(85, 1813.3750600055369)	(86, 1751.5158708426777)	(87, 1725.394020794626)	(88, 1732.0158945235805)	(89, 1720.1560526038213)	(90, 1700.3785065208024)	(91, 1743.2776931397439)	(92, 1728.892754864969)	(93, 1649.470954724697)	(94, 1811.6977380694357)	(95, 1769.9032019670572)	(96, 1367.5291505093924)	(97, 761.8727532580467)	(98, 515.7219966229194)	(99, 154.3779312908489)
CONTROL_0hr_3	(0, 2009.716769788731)	(1, 2419.4400973061124)	(2, 2911.090751364328)	(3, 3313.375018178199)	(4, 3593.113134816248)	(5, 3754.962614285691)	(6, 3889.638475825662)	(7, 4176.629590628545)	(8, 4315.780782445736)	(9, 4484.512256019946)	(10, 4679.412395069006)	(11, 4887.610986765111)	(12, 5089.256742491617)	(13, 5297.9081010774025)	(14, 5491.4794313258935)	(15, 5621.837405881857)	(16, 5643.3843331107)	(17, 5554.2505221401)	(18, 6152.118837759193)	(19, 7886.954313162538)	(20, 17093.272539865233)	(21, 37685.47696583631)	(22, 42491.13759786136)	(23, 28200.94577997406)	(24, 12146.861793547365)	(25, 9483.81927395346)	(26, 8502.466403685761)	(27, 9071.906737088071)	(28, 9324.426926196287)	(29, 12106.340546659132)	(30, 25031.999426860435)	(31, 25569.936878391287)	(32, 12820.260633951752)	(33, 6276.313560695206)	(34, 6078.856068010872)	(35, 6379.89662772704)	(36, 6117.962312270823)	(37, 6062.875622095464)	(38, 6294.88946862647)	(39, 6548.7871511737285)	(40, 6550.945271336039)	(41, 6498.445467182871)	(42, 10228.892780702026)	(43, 15222.77613685391)	(44, 15138.10987084289)	(45, 9759.415186099293)	(46, 8137.2564927588355)	(47, 8221.56551160763)	(48, 8632.946611037965)	(49, 9528.623814903276)	(50, 10295.553398758297)	(51, 9996.704653506897)	(52, 8887.872631781358)	(53, 6930.216744330929)	(54, 5955.935957703895)	(55, 5574.3684474216425)	(56, 5400.55077277305)	(57, 5261.218172423433)	(58, 5244.766948886601)	(59, 5171.322674265035)	(60, 5111.934570475185)	(61, 5067.998375819896)	(62, 4989.0304630107685)	(63, 4951.709605824219)	(64, 4959.154978012825)	(65, 4865.953691707608)	(66, 4768.884834675318)	(67, 4716.654433365594)	(68, 4698.451999821706)	(69, 4659.467695060224)	(70, 4639.856835258194)	(71, 4498.386608681683)	(72, 4457.094972548908)	(73, 4390.493219286394)	(74, 4367.305543441934)	(75, 4300.220117181356)	(76, 4273.978892615538)	(77, 4202.850462730688)	(78, 4112.370068982619)	(79, 4031.064101842702)	(80, 4015.68558119611)	(81, 3992.3634710162532)	(82, 3948.0235867248107)	(83, 3850.5472631273446)	(84, 3767.063261686747)	(85, 3717.3769270393823)	(86, 3583.7100436059004)	(87, 3513.8712848856953)	(88, 3530.0118148988504)	(89, 3576.73933750298)	(90, 3831.8178934657944)	(91, 4378.199031440752)	(92, 4343.643148244152)	(93, 3586.9167335849443)	(94, 3593.5491674450504)	(95, 3339.691077597984)	(96, 2595.9447102721024)	(97, 1579.128214399279)	(98, 1071.2756756606875)	(99, 320.03477379400056)
CONTROL_0hr_4	(0, 3937.601090411766)	(1, 4819.24329801297)	(2, 5802.2790707521735)	(3, 6538.97428688491)	(4, 7134.39248183485)	(5, 7508.108544992168)	(6, 7933.739096824904)	(7, 8703.845706645021)	(8, 9292.395927866026)	(9, 9907.402567811934)	(10, 10411.936158582615)	(11, 10815.570081338925)	(12, 11096.266240977671)	(13, 11238.296274045113)	(14, 11391.279744143936)	(15, 11590.323279016404)	(16, 11785.000131405504)	(17, 11813.112828740654)	(18, 12491.604501379381)	(19, 13414.94031481207)	(20, 15360.414814475977)	(21, 18550.90456022747)	(22, 18725.212236092448)	(23, 16353.562450392928)	(24, 14189.320722854683)	(25, 14288.625667796898)	(26, 14740.478346556341)	(27, 16190.359301765511)	(28, 16899.97344598198)	(29, 19072.9649748283)	(30, 21535.750057392113)	(31, 19177.486119948495)	(32, 13495.225863191823)	(33, 12306.36734025035)	(34, 12431.403534494537)	(35, 12818.366814904906)	(36, 12900.012120033545)	(37, 12969.836660763136)	(38, 13557.845499575273)	(39, 14444.213065505393)	(40, 14651.095952794145)	(41, 14030.376351585212)	(42, 15002.982566644827)	(43, 17087.03161710647)	(44, 17703.122233524417)	(45, 15653.49510269007)	(46, 14974.586591792955)	(47, 15041.346816894946)	(48, 15348.48478220764)	(49, 15241.62148700493)	(50, 15552.361104737989)	(51, 15375.657749682638)	(52, 15211.796207277404)	(53, 13978.891065660813)	(54, 12996.443178462188)	(55, 11916.5761186256)	(56, 11426.845591328472)	(57, 11105.809431412797)	(58, 10995.380319801981)	(59, 10741.490695339042)	(60, 10496.933696429269)	(61, 10411.175178880289)	(62, 10318.504682982772)	(63, 10246.272629412553)	(64, 10228.380313922582)	(65, 10101.969957359323)	(66, 10096.341464235576)	(67, 10175.73733899087)	(68, 10203.711610840473)	(69, 10174.92184341015)	(70, 10148.10559378972)	(71, 10009.709452824227)	(72, 9833.01950502214)	(73, 9637.033718935641)	(74, 9511.654258048937)	(75, 9416.762300666522)	(76, 9296.558760287682)	(77, 9093.151591861206)	(78, 8829.850868245336)	(79, 8618.136861619529)	(80, 8603.682398983658)	(81, 8602.272217008811)	(82, 8552.936106120205)	(83, 8432.685227215625)	(84, 8220.667446833118)	(85, 8058.668801363497)	(86, 7743.955376631852)	(87, 7583.597653957077)	(88, 7712.524441008905)	(89, 8005.898590623701)	(90, 8621.433911692)	(91, 10321.821812461054)	(92, 10684.297470756326)	(93, 9043.183628720528)	(94, 8558.33503255324)	(95, 7634.36139313596)	(96, 5824.947227366671)	(97, 3465.1772165330963)	(98, 2196.623206960252)	(99, 653.8356690653452)
CONTROL_0hr_5	(0, 4642.92974924715)	(1, 5144.155519660953)	(2, 5973.497357368426)	(3, 6799.634472753078)	(4, 7686.106418816028)	(5, 8475.780726006988)	(6, 9032.619942345682)	(7, 9726.676675034434)	(8, 10226.952223631244)	(9, 10747.23811475988)	(10, 11258.252287990972)	(11, 11682.429761550116)	(12, 11994.438631616114)	(13, 12296.794276874603)	(14, 12638.912751102165)	(15, 12942.583751232154)	(16, 13178.104638306)	(17, 13339.64243460573)	(18, 13867.652057636182)	(19, 14927.796183039934)	(20, 18441.770933114472)	(21, 26382.947596119044)	(22, 28118.646797447473)	(23, 22324.145246927044)	(24, 16321.986113660927)	(25, 15811.177115181756)	(26, 15668.622116724453)	(27, 16462.744822927565)	(28, 16784.82584827372)	(29, 18757.028602162165)	(30, 27301.14381149628)	(31, 27352.535704248738)	(32, 18524.2027632077)	(33, 14529.689248805207)	(34, 14438.240727444028)	(35, 14570.056781892872)	(36, 14440.740871465012)	(37, 14400.251242484343)	(38, 14324.275394170845)	(39, 14226.00776923123)	(40, 14311.649609157588)	(41, 14543.850259125295)	(42, 16600.786640510338)	(43, 18709.76129865509)	(44, 18265.92815012686)	(45, 15554.420887038812)	(46, 14780.307052280174)	(47, 14834.879719879484)	(48, 15074.518234565203)	(49, 15463.624720412798)	(50, 15806.22553518747)	(51, 15532.018004026455)	(52, 14976.999692780968)	(53, 14001.508099784114)	(54, 13434.515789846373)	(55, 13031.034615311522)	(56, 12832.087276825088)	(57, 12766.586048618945)	(58, 12693.151037971667)	(59, 12549.212211617241)	(60, 12373.107445035535)	(61, 12246.50499541525)	(62, 12122.581145706796)	(63, 12051.349082494387)	(64, 12024.860690041573)	(65, 11844.111444161328)	(66, 11664.085675097114)	(67, 11530.091476961907)	(68, 11430.559596856043)	(69, 11340.238204006106)	(70, 11268.160636436873)	(71, 11044.94378733022)	(72, 10925.022974149166)	(73, 10752.630522680282)	(74, 10667.583196149611)	(75, 10553.655460518448)	(76, 10439.976553223927)	(77, 10249.02906673224)	(78, 9991.365852910825)	(79, 9866.11741278407)	(80, 9821.969992405691)	(81, 9729.756371532998)	(82, 9590.310824436523)	(83, 9451.315239469086)	(84, 9350.29182192187)	(85, 9319.836612040936)	(86, 9050.86393653341)	(87, 8847.176138030934)	(88, 8727.446506352171)	(89, 8612.41775171663)	(90, 8663.15153911598)	(91, 8801.60563205613)	(92, 8452.360118171071)	(93, 7740.928208911319)	(94, 7558.373764496945)	(95, 7007.362995872766)	(96, 5801.174594827797)	(97, 4294.040301376313)	(98, 2778.179396608654)	(99, 874.9633986314988)
CONTROL_1hr_1	(0, 5617.231040829608)	(1, 6860.636245866868)	(2, 8248.85722190467)	(3, 9481.649082491856)	(4, 10370.021018074958)	(5, 10756.070682564903)	(6, 11088.922710837987)	(7, 12183.469735462533)	(8, 13194.27522893573)	(9, 14146.931737369896)	(10, 14904.745401193813)	(11, 15525.229297742877)	(12, 16338.427534998196)	(13, 16409.488023673002)	(14, 16106.399904334814)	(15, 16460.93652403477)	(16, 16986.3380990974)	(17, 16752.251458936695)	(18, 17310.966781935476)	(19, 18327.43885434005)	(20, 21843.82158032475)	(21, 28015.242220532913)	(22, 28121.77591349998)	(23, 23460.053066848297)	(24, 19428.454245649955)	(25, 19473.062022947848)	(26, 19676.706932788722)	(27, 20917.293307177304)	(28, 21450.98934877135)	(29, 23932.77805127171)	(30, 29317.255078291335)	(31, 27645.14357548073)	(32, 19578.249215052463)	(33, 16610.971049530217)	(34, 16768.54457957071)	(35, 17602.31827347983)	(36, 17672.53794280363)	(37, 17727.65830681794)	(38, 18503.936422053735)	(39, 19692.41546298947)	(40, 20076.490866067055)	(41, 19595.689286393066)	(42, 20946.235442828838)	(43, 23814.87838751597)	(44, 24177.231171667998)	(45, 20764.972559497903)	(46, 19838.694786773143)	(47, 20047.787847414882)	(48, 20762.61742276834)	(49, 20976.855804411272)	(50, 21332.528936236937)	(51, 20807.91632826072)	(52, 20408.552453450033)	(53, 18498.6605070241)	(54, 17175.199445729202)	(55, 15860.20301641849)	(56, 15150.169724399231)	(57, 14445.121819845826)	(58, 14248.771010635654)	(59, 14034.79168994149)	(60, 13879.237885213584)	(61, 13751.897619681842)	(62, 13590.683339952035)	(63, 13541.117765130606)	(64, 13501.798512554626)	(65, 13268.773575475621)	(66, 13065.242487573645)	(67, 12856.409395379917)	(68, 12783.538325375828)	(69, 12692.098535607262)	(70, 12587.531966654029)	(71, 12343.090337675214)	(72, 12222.731873716251)	(73, 12011.203876518497)	(74, 11926.975602635786)	(75, 11803.210760157956)	(76, 11703.586360267775)	(77, 11559.165140107856)	(78, 11300.374639889074)	(79, 11150.707693400536)	(80, 11093.596090693487)	(81, 11002.779213427011)	(82, 10854.775358566003)	(83, 10677.292098080485)	(84, 10555.051877399623)	(85, 10508.153108582788)	(86, 10138.5442542871)	(87, 9909.083508291038)	(88, 10035.722524098373)	(89, 10307.28143515609)	(90, 10863.936943109356)	(91, 12761.109118379114)	(92, 13102.007213342367)	(93, 11499.436473465803)	(94, 11433.329595171159)	(95, 10538.187756591877)	(96, 8118.73519090581)	(97, 4824.311199464204)	(98, 3089.48373407599)	(99, 953.6462202618627)
CONTROL_1hr_2	(0, 2831.609199636554)	(1, 3045.2934117491886)	(2, 3427.6470664639664)	(3, 3853.147531828026)	(4, 4355.965748722072)	(5, 4848.030917048138)	(6, 5198.609073358508)	(7, 5642.654883840505)	(8, 5960.060659399922)	(9, 6315.020799789668)	(10, 6646.756898544352)	(11, 6951.258838385654)	(12, 7128.4224394852645)	(13, 7364.861663023767)	(14, 7633.8600184400575)	(15, 7859.260984445824)	(16, 8017.975359758725)	(17, 8142.837965072999)	(18, 8404.752377131452)	(19, 8994.606608636594)	(20, 13278.797004973898)	(21, 23273.32112339243)	(22, 26147.546505677048)	(23, 19438.716071660412)	(24, 11650.97317049195)	(25, 10252.667952933198)	(26, 9669.604933602299)	(27, 10180.970625771697)	(28, 10398.698062837695)	(29, 11847.17980433854)	(30, 19001.157026255198)	(31, 19508.287911079835)	(32, 12595.724548749804)	(33, 9031.004395249513)	(34, 8884.070109825672)	(35, 8959.584660617018)	(36, 8830.388702263448)	(37, 8807.070819128206)	(38, 8732.901555102624)	(39, 8625.879176315098)	(40, 8679.69721134817)	(41, 8821.38203550942)	(42, 10353.281164977692)	(43, 12069.410766813846)	(44, 11627.892899531302)	(45, 9469.61953792987)	(46, 8832.544249614162)	(47, 8845.035019759014)	(48, 8936.372114642852)	(49, 9170.537141494953)	(50, 9299.201406278218)	(51, 9179.06969358796)	(52, 8930.089491150764)	(53, 8331.037188930452)	(54, 7987.376740352289)	(55, 7837.062029756855)	(56, 7795.864428889031)	(57, 7778.131169143755)	(58, 7726.321072012575)	(59, 7654.996391106197)	(60, 7564.488387124503)	(61, 7503.519949324433)	(62, 7419.336315514221)	(63, 7347.091048093615)	(64, 7316.117356247435)	(65, 7217.309071172867)	(66, 7088.269791339703)	(67, 6990.883812408836)	(68, 6920.494066813522)	(69, 6854.470544218039)	(70, 6792.844228570867)	(71, 6595.826356931099)	(72, 6501.0471240042)	(73, 6418.74811084929)	(74, 6377.888030685906)	(75, 6319.264081634922)	(76, 6271.4780518777225)	(77, 6118.770148874238)	(78, 5963.070800119039)	(79, 5865.561835762231)	(80, 5848.430009951377)	(81, 5793.371624680142)	(82, 5692.665642241212)	(83, 5573.409556138742)	(84, 5479.937350529576)	(85, 5452.703852509186)	(86, 5302.327279246132)	(87, 5178.928310125072)	(88, 5111.863498082282)	(89, 4991.23606327315)	(90, 4916.299397401031)	(91, 4903.6966280002125)	(92, 4683.103574475406)	(93, 4281.893783313906)	(94, 4069.2151370044076)	(95, 3791.5005860538763)	(96, 3200.347301500978)	(97, 2405.2921673556675)	(98, 1609.9118978903919)	(99, 497.7475616947528)
CONTROL_1hr_4	(0, 8828.712664389974)	(1, 10636.597496840306)	(2, 12790.148712269507)	(3, 14393.461115774644)	(4, 15765.076980005828)	(5, 16664.826668240054)	(6, 17241.05305080345)	(7, 18728.329209616546)	(8, 20196.280142823874)	(9, 21791.19086643201)	(10, 22923.93398244005)	(11, 23835.742684039054)	(12, 24425.8284709311)	(13, 24269.44386983342)	(14, 24315.150824424025)	(15, 24915.94166480674)	(16, 25565.968390957576)	(17, 25334.113696520046)	(18, 25637.864084129174)	(19, 26323.434761248234)	(20, 27956.802442317497)	(21, 30011.598560090937)	(22, 29917.809206835824)	(23, 28473.624847445022)	(24, 27392.17645325293)	(25, 27717.74156549768)	(26, 28103.29519647052)	(27, 28385.811176193696)	(28, 28123.00584359592)	(29, 29880.744787016753)	(30, 32725.12131334187)	(31, 31503.975311511756)	(32, 26730.147505458866)	(33, 25778.20748305595)	(34, 26135.43089934031)	(35, 26952.31504123083)	(36, 27047.175249782274)	(37, 26842.342062973355)	(38, 27257.035535646617)	(39, 28227.96304443106)	(40, 28856.57731106995)	(41, 28430.03205294604)	(42, 28620.601353579368)	(43, 29480.200218070906)	(44, 29380.007579531062)	(45, 27527.360111256665)	(46, 26993.35348968569)	(47, 26954.368958518506)	(48, 27402.43375688144)	(49, 27420.048629478282)	(50, 27474.259880543228)	(51, 26884.006945775483)	(52, 27116.275405415618)	(53, 26635.722504780824)	(54, 26049.959588818263)	(55, 24319.347434703173)	(56, 23310.457062525915)	(57, 22452.387226066017)	(58, 22237.34377001184)	(59, 21960.27284210013)	(60, 21696.659800474165)	(61, 21482.905964898866)	(62, 21308.72291116464)	(63, 21363.512086177976)	(64, 21289.269903366272)	(65, 20914.401827616286)	(66, 20670.921435175504)	(67, 20523.64266126154)	(68, 20419.270917191025)	(69, 20359.30570644068)	(70, 20273.601091402164)	(71, 19894.471924391124)	(72, 19703.871397708248)	(73, 19361.71027799159)	(74, 19164.472450483183)	(75, 18910.253528398716)	(76, 18721.53155746324)	(77, 18421.029540893032)	(78, 17922.247731141284)	(79, 17752.585954537437)	(80, 17725.405307828227)	(81, 17588.845339086103)	(82, 17391.495871595263)	(83, 17185.86364690255)	(84, 17056.727461369363)	(85, 17073.56273087181)	(86, 16647.43619072815)	(87, 16273.781193924997)	(88, 16317.5310017428)	(89, 16424.72451554544)	(90, 16469.1428404168)	(91, 17140.44266473782)	(92, 17310.496231077334)	(93, 16257.021041107353)	(94, 15813.141528842309)	(95, 14412.147564798544)	(96, 11613.535914869746)	(97, 8203.818814501697)	(98, 5265.386873734469)	(99, 1672.7102972269317)
CONTROL_1hr_5	(0, 5030.813690064227)	(1, 5961.409084427153)	(2, 7202.583357038118)	(3, 8332.968048940997)	(4, 9090.456113788368)	(5, 9548.416020419643)	(6, 9867.278010382117)	(7, 10674.65622989018)	(8, 11208.409328464846)	(9, 11782.31775200891)	(10, 12471.771467056835)	(11, 13062.517167292941)	(12, 13652.167203091152)	(13, 13949.362473303172)	(14, 14106.981796171747)	(15, 14530.052385425728)	(16, 14926.668030221956)	(17, 14771.205835877061)	(18, 15570.440337610762)	(19, 17116.199424627295)	(20, 21437.062586599)	(21, 28493.56211753031)	(22, 29073.717052645366)	(23, 23610.35093553705)	(24, 18353.356087538334)	(25, 17937.06909699276)	(26, 18178.5769958304)	(27, 20886.61893601495)	(28, 22465.6454622796)	(29, 26113.481079874015)	(30, 33028.68274397316)	(31, 30502.692025531014)	(32, 19199.446169518997)	(33, 14684.791272656461)	(34, 14468.21257197557)	(35, 14856.270485602843)	(36, 14786.497933019704)	(37, 14827.10922561971)	(38, 15260.046656975586)	(39, 15885.92501024822)	(40, 16249.575827884586)	(41, 16480.105732464075)	(42, 19283.406293195818)	(43, 23013.161481489304)	(44, 23397.992886820022)	(45, 19414.018304906636)	(46, 18424.859192570373)	(47, 18622.71631057413)	(48, 19601.251363353924)	(49, 20348.562519619125)	(50, 21031.789449765158)	(51, 20244.568073609837)	(52, 19535.941616389748)	(53, 17487.59521295446)	(54, 15941.413056205834)	(55, 14154.035470553741)	(56, 13240.64470490678)	(57, 12723.403104739325)	(58, 12561.913409763509)	(59, 12328.96681083489)	(60, 12156.624688409216)	(61, 12014.389992060584)	(62, 11894.281698541226)	(63, 11923.492943515628)	(64, 11893.498288549858)	(65, 11641.741102124328)	(66, 11448.911368309531)	(67, 11321.311856902465)	(68, 11299.450201592956)	(69, 11184.949788228625)	(70, 11087.995344097339)	(71, 10878.500661468957)	(72, 10803.086158947794)	(73, 10696.046179351437)	(74, 10583.543677095176)	(75, 10358.687422720788)	(76, 10249.060593382996)	(77, 10166.487003987495)	(78, 9926.741931357705)	(79, 9743.913752367907)	(80, 9735.501687075834)	(81, 9699.153238568148)	(82, 9627.015288824106)	(83, 9464.24541206319)	(84, 9388.806875947268)	(85, 9382.68774964647)	(86, 9029.637323405608)	(87, 8838.794293492334)	(88, 9013.626019865656)	(89, 9341.471398460444)	(90, 9990.553170686524)	(91, 12129.59778808336)	(92, 12732.757863569248)	(93, 11343.102359993922)	(94, 12041.229792913808)	(95, 11168.038645985063)	(96, 8279.262133533686)	(97, 4435.547413150781)	(98, 2903.430388443514)	(99, 879.0760877701615)
CONTROL_24hr_1	(0, 7044.280316565187)	(1, 7693.0130568732)	(2, 8655.406538414134)	(3, 9725.334028071433)	(4, 10924.21846804804)	(5, 12070.482017195816)	(6, 12912.966488312173)	(7, 13910.223454111601)	(8, 14598.185224115725)	(9, 15454.892997364008)	(10, 16232.045390352889)	(11, 16861.91749512725)	(12, 17160.65053917596)	(13, 17635.0251562704)	(14, 18091.330523094846)	(15, 18540.38748423173)	(16, 18927.53772694548)	(17, 19253.577838165762)	(18, 19663.042354241974)	(19, 20319.75022290241)	(20, 23451.72845199542)	(21, 30718.728374743514)	(22, 33037.69778024376)	(23, 28362.039036942504)	(24, 22523.46068681607)	(25, 21413.960177903464)	(26, 21065.57839715368)	(27, 21142.885750282796)	(28, 20868.60329508807)	(29, 22463.029136517296)	(30, 28223.70662768897)	(31, 28247.10721767529)	(32, 22362.674889321468)	(33, 20550.801012719956)	(34, 20487.210068638597)	(35, 20550.828022979444)	(36, 20455.800908796835)	(37, 20494.591054747943)	(38, 20334.22848704641)	(39, 20047.56713971712)	(40, 20223.436062746943)	(41, 20397.95234341209)	(42, 21135.04568570855)	(43, 21960.983104947536)	(44, 21766.69607757506)	(45, 20449.17462826457)	(46, 19918.480172501317)	(47, 19745.108777463913)	(48, 19701.55742611555)	(49, 19764.22547224916)	(50, 19682.48818451829)	(51, 19362.164015160633)	(52, 19221.413409541532)	(53, 18670.33235347876)	(54, 18188.189915183593)	(55, 17788.474466386822)	(56, 17671.23852752083)	(57, 17572.781532658173)	(58, 17317.16774106728)	(59, 17013.26427834485)	(60, 16779.87096707703)	(61, 16597.505622418656)	(62, 16344.346718353736)	(63, 16161.346614947362)	(64, 16036.080537035323)	(65, 15780.272935073577)	(66, 15516.794757301679)	(67, 15216.542806717907)	(68, 15021.024230145975)	(69, 14864.423460492317)	(70, 14680.38029601283)	(71, 14159.74425927109)	(72, 13979.621923962019)	(73, 13785.739255622666)	(74, 13681.932202789078)	(75, 13536.863985364524)	(76, 13359.41615813338)	(77, 12995.996926920921)	(78, 12639.291223752154)	(79, 12425.707008038615)	(80, 12356.576399182808)	(81, 12202.27204754913)	(82, 12010.181401099928)	(83, 11728.653091753544)	(84, 11521.411564159682)	(85, 11494.685286016093)	(86, 11182.264400815813)	(87, 10880.852806095949)	(88, 10727.416536946113)	(89, 10447.803437613662)	(90, 10125.589534124389)	(91, 9875.695030121113)	(92, 9525.668878256789)	(93, 8993.287645804912)	(94, 8715.84035268946)	(95, 8142.768884024232)	(96, 6866.5000597952485)	(97, 5118.871297790618)	(98, 3432.512828414156)	(99, 1071.484484768375)
