Sample	Exonic	Intronic	Intergenic
CONTROL_0hr_1	16599339.0	1981238.0	1183830.0
CONTROL_0hr_2	10452694.0	947618.0	1386748.0
CONTROL_0hr_3	15455611.0	1817785.0	2138667.0
CONTROL_0hr_4	17752844.0	8580730.0	1656246.0
CONTROL_0hr_5	17499792.0	4163399.0	2054192.0
CONTROL_1hr_1	24400233.0	16142455.0	2555487.0
CONTROL_1hr_2	11564014.0	1327705.0	1354818.0
CONTROL_1hr_4	31541364.0	33808942.0	3865383.0
CONTROL_1hr_5	24738223.0	14498793.0	2633577.0
CONTROL_24hr_1	19098005.0	3105373.0	1484510.0
CONTROL_24hr_2	18452260.0	2448481.0	2252919.0
CONTROL_24hr_3	18984111.0	2503303.0	1383234.0
CONTROL_24hr_4	25938263.0	13579901.0	3367685.0
CONTROL_24hr_5	10609591.0	2988944.0	1399494.0
LIF_1hr_1	27457824.0	16142546.0	2685605.0
LIF_1hr_2	14084830.0	1657699.0	2091978.0
LIF_1hr_3	21588734.0	5351254.0	1897696.0
LIF_1hr_4	25413302.0	10650911.0	2543608.0
LIF_1hr_5	32358450.0	8083355.0	2841271.0
LIF_24hr_1	19191594.0	7113490.0	1483268.0
LIF_24hr_2	14573455.0	2088724.0	1414823.0
LIF_24hr_3	16357310.0	2533615.0	1665808.0
LIF_24hr_4	30893807.0	32798826.0	3526508.0
LIF_24hr_5	12284341.0	1494289.0	996107.0
control_1hr_3	22675028.0	8566630.0	1805911.0
