Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
CONTROL_0hr_1	4690.603633998675	5137.519691646317	5823.746344204317	6595.9798065904615	7354.410641606896	8129.851415825091	8647.479458310574	9167.06358114899	9562.02899081627	10066.432541977347	10527.14945014581	10860.809302182404	11076.686130615464	11314.645702389806	11481.615499877184	11672.632919566686	11860.868106455026	11991.062376485603	12244.83003402255	12828.422744128846	17361.35144944083	28709.366503094607	31930.951150848756	24317.62250696857	15211.932021329472	13597.873726446005	13293.34851778274	13887.284001843062	14136.144794563588	16016.116902833597	25753.528125491524	26751.088933621533	17825.98440539852	13258.572721547886	13138.701828862899	13285.727039921905	13137.561346364051	13106.576684096144	13040.148757594932	12958.525275368305	13041.783562173114	13135.639455225968	14335.352500414267	15724.456898936669	15376.039168786607	13485.032065678231	12917.501123406768	12848.388689371586	12855.767637388675	12848.561502113906	12867.81357107121	12812.50622480731	12647.48445803733	12218.406083858565	11936.68672227001	11774.5346267284	11691.609237707074	11663.819345423264	11650.25775802421	11581.620670726055	11508.866136016642	11464.491453271921	11328.392242800193	11256.401606065165	11236.878610468952	11099.58367235236	11029.84781554486	10988.876057980293	10936.070196267208	10860.939295202874	10796.014677058827	10615.479305085475	10480.482682204738	10351.593697680286	10282.946202619538	10191.186146276206	10139.46100884334	9882.470593131799	9659.86430434127	9587.742311609365	9591.417772235332	9534.415045121952	9419.298325621252	9284.801383981076	9182.19103051598	9117.393428419296	8934.532907795156	8771.028032076634	8683.936823459257	8525.754144236038	8333.531750499626	8171.237970234857	7824.508961466231	7261.908586766882	6830.225700295367	6289.694043836619	5341.442009675097	4094.5916312600534	2638.923714391284	838.9024271034978
CONTROL_0hr_2	945.062125476812	1104.1446838785148	1304.9306253361744	1476.6554386419152	1625.894606820909	1756.2763312833413	1879.3632578275162	2067.0722804763727	2131.930004017029	2162.2185552954807	2244.5681497159185	2331.0001384078305	2385.4488204084337	2468.193719875993	2589.1983164603193	2670.8863680096515	2660.765527081638	2597.8215105443733	3037.518557654623	4529.3957523508325	12631.552397700289	30761.048671203767	36943.280446302604	24889.16548069978	8777.785081904305	5269.213830874792	4378.011731029126	5103.158416173555	5479.8379851623195	7479.52995725322	17008.83571624881	17457.703244198896	7903.067597473897	3020.2747357051003	2821.1718006440465	2956.675172986669	2787.7540577970685	2733.7128922583115	2757.6820769138603	2766.4749118973828	2804.3157930268826	2945.6107109059503	5281.305153794532	8509.692948922759	8731.24369309581	5513.765120059892	4719.404126150806	4652.221648808667	4601.258097899271	5144.889652537835	5717.156556582102	5414.3336566679045	4644.756458144466	3408.707178814588	2864.225550715034	2692.150602555967	2587.724107936656	2508.392622012616	2500.504437419247	2464.6278106776067	2432.002712352177	2421.5670280716927	2386.31232041186	2365.742612944053	2371.0358861697155	2334.4960837520916	2292.6370256562495	2255.3537238487675	2226.9338124829105	2199.076587662328	2183.744777341949	2136.078189315274	2129.541218700237	2102.9084435609	2093.1645100466258	2067.598907407413	2060.4300038400675	2047.7497377506666	2009.7768486640614	1953.546813066888	1951.2586996530224	1939.4537620159488	1910.443838259601	1874.1713417209082	1838.0701096883456	1813.3750600055369	1751.5158708426777	1725.394020794626	1732.0158945235805	1720.1560526038213	1700.3785065208024	1743.2776931397439	1728.892754864969	1649.470954724697	1811.6977380694357	1769.9032019670572	1367.5291505093924	761.8727532580467	515.7219966229194	154.3779312908489
CONTROL_0hr_3	2009.716769788731	2419.4400973061124	2911.090751364328	3313.375018178199	3593.113134816248	3754.962614285691	3889.638475825662	4176.629590628545	4315.780782445736	4484.512256019946	4679.412395069006	4887.610986765111	5089.256742491617	5297.9081010774025	5491.4794313258935	5621.837405881857	5643.3843331107	5554.2505221401	6152.118837759193	7886.954313162538	17093.272539865233	37685.47696583631	42491.13759786136	28200.94577997406	12146.861793547365	9483.81927395346	8502.466403685761	9071.906737088071	9324.426926196287	12106.340546659132	25031.999426860435	25569.936878391287	12820.260633951752	6276.313560695206	6078.856068010872	6379.89662772704	6117.962312270823	6062.875622095464	6294.88946862647	6548.7871511737285	6550.945271336039	6498.445467182871	10228.892780702026	15222.77613685391	15138.10987084289	9759.415186099293	8137.2564927588355	8221.56551160763	8632.946611037965	9528.623814903276	10295.553398758297	9996.704653506897	8887.872631781358	6930.216744330929	5955.935957703895	5574.3684474216425	5400.55077277305	5261.218172423433	5244.766948886601	5171.322674265035	5111.934570475185	5067.998375819896	4989.0304630107685	4951.709605824219	4959.154978012825	4865.953691707608	4768.884834675318	4716.654433365594	4698.451999821706	4659.467695060224	4639.856835258194	4498.386608681683	4457.094972548908	4390.493219286394	4367.305543441934	4300.220117181356	4273.978892615538	4202.850462730688	4112.370068982619	4031.064101842702	4015.68558119611	3992.3634710162532	3948.0235867248107	3850.5472631273446	3767.063261686747	3717.3769270393823	3583.7100436059004	3513.8712848856953	3530.0118148988504	3576.73933750298	3831.8178934657944	4378.199031440752	4343.643148244152	3586.9167335849443	3593.5491674450504	3339.691077597984	2595.9447102721024	1579.128214399279	1071.2756756606875	320.03477379400056
CONTROL_0hr_4	3937.601090411766	4819.24329801297	5802.2790707521735	6538.97428688491	7134.39248183485	7508.108544992168	7933.739096824904	8703.845706645021	9292.395927866026	9907.402567811934	10411.936158582615	10815.570081338925	11096.266240977671	11238.296274045113	11391.279744143936	11590.323279016404	11785.000131405504	11813.112828740654	12491.604501379381	13414.94031481207	15360.414814475977	18550.90456022747	18725.212236092448	16353.562450392928	14189.320722854683	14288.625667796898	14740.478346556341	16190.359301765511	16899.97344598198	19072.9649748283	21535.750057392113	19177.486119948495	13495.225863191823	12306.36734025035	12431.403534494537	12818.366814904906	12900.012120033545	12969.836660763136	13557.845499575273	14444.213065505393	14651.095952794145	14030.376351585212	15002.982566644827	17087.03161710647	17703.122233524417	15653.49510269007	14974.586591792955	15041.346816894946	15348.48478220764	15241.62148700493	15552.361104737989	15375.657749682638	15211.796207277404	13978.891065660813	12996.443178462188	11916.5761186256	11426.845591328472	11105.809431412797	10995.380319801981	10741.490695339042	10496.933696429269	10411.175178880289	10318.504682982772	10246.272629412553	10228.380313922582	10101.969957359323	10096.341464235576	10175.73733899087	10203.711610840473	10174.92184341015	10148.10559378972	10009.709452824227	9833.01950502214	9637.033718935641	9511.654258048937	9416.762300666522	9296.558760287682	9093.151591861206	8829.850868245336	8618.136861619529	8603.682398983658	8602.272217008811	8552.936106120205	8432.685227215625	8220.667446833118	8058.668801363497	7743.955376631852	7583.597653957077	7712.524441008905	8005.898590623701	8621.433911692	10321.821812461054	10684.297470756326	9043.183628720528	8558.33503255324	7634.36139313596	5824.947227366671	3465.1772165330963	2196.623206960252	653.8356690653452
CONTROL_0hr_5	4642.92974924715	5144.155519660953	5973.497357368426	6799.634472753078	7686.106418816028	8475.780726006988	9032.619942345682	9726.676675034434	10226.952223631244	10747.23811475988	11258.252287990972	11682.429761550116	11994.438631616114	12296.794276874603	12638.912751102165	12942.583751232154	13178.104638306	13339.64243460573	13867.652057636182	14927.796183039934	18441.770933114472	26382.947596119044	28118.646797447473	22324.145246927044	16321.986113660927	15811.177115181756	15668.622116724453	16462.744822927565	16784.82584827372	18757.028602162165	27301.14381149628	27352.535704248738	18524.2027632077	14529.689248805207	14438.240727444028	14570.056781892872	14440.740871465012	14400.251242484343	14324.275394170845	14226.00776923123	14311.649609157588	14543.850259125295	16600.786640510338	18709.76129865509	18265.92815012686	15554.420887038812	14780.307052280174	14834.879719879484	15074.518234565203	15463.624720412798	15806.22553518747	15532.018004026455	14976.999692780968	14001.508099784114	13434.515789846373	13031.034615311522	12832.087276825088	12766.586048618945	12693.151037971667	12549.212211617241	12373.107445035535	12246.50499541525	12122.581145706796	12051.349082494387	12024.860690041573	11844.111444161328	11664.085675097114	11530.091476961907	11430.559596856043	11340.238204006106	11268.160636436873	11044.94378733022	10925.022974149166	10752.630522680282	10667.583196149611	10553.655460518448	10439.976553223927	10249.02906673224	9991.365852910825	9866.11741278407	9821.969992405691	9729.756371532998	9590.310824436523	9451.315239469086	9350.29182192187	9319.836612040936	9050.86393653341	8847.176138030934	8727.446506352171	8612.41775171663	8663.15153911598	8801.60563205613	8452.360118171071	7740.928208911319	7558.373764496945	7007.362995872766	5801.174594827797	4294.040301376313	2778.179396608654	874.9633986314988
CONTROL_1hr_1	5617.231040829608	6860.636245866868	8248.85722190467	9481.649082491856	10370.021018074958	10756.070682564903	11088.922710837987	12183.469735462533	13194.27522893573	14146.931737369896	14904.745401193813	15525.229297742877	16338.427534998196	16409.488023673002	16106.399904334814	16460.93652403477	16986.3380990974	16752.251458936695	17310.966781935476	18327.43885434005	21843.82158032475	28015.242220532913	28121.77591349998	23460.053066848297	19428.454245649955	19473.062022947848	19676.706932788722	20917.293307177304	21450.98934877135	23932.77805127171	29317.255078291335	27645.14357548073	19578.249215052463	16610.971049530217	16768.54457957071	17602.31827347983	17672.53794280363	17727.65830681794	18503.936422053735	19692.41546298947	20076.490866067055	19595.689286393066	20946.235442828838	23814.87838751597	24177.231171667998	20764.972559497903	19838.694786773143	20047.787847414882	20762.61742276834	20976.855804411272	21332.528936236937	20807.91632826072	20408.552453450033	18498.6605070241	17175.199445729202	15860.20301641849	15150.169724399231	14445.121819845826	14248.771010635654	14034.79168994149	13879.237885213584	13751.897619681842	13590.683339952035	13541.117765130606	13501.798512554626	13268.773575475621	13065.242487573645	12856.409395379917	12783.538325375828	12692.098535607262	12587.531966654029	12343.090337675214	12222.731873716251	12011.203876518497	11926.975602635786	11803.210760157956	11703.586360267775	11559.165140107856	11300.374639889074	11150.707693400536	11093.596090693487	11002.779213427011	10854.775358566003	10677.292098080485	10555.051877399623	10508.153108582788	10138.5442542871	9909.083508291038	10035.722524098373	10307.28143515609	10863.936943109356	12761.109118379114	13102.007213342367	11499.436473465803	11433.329595171159	10538.187756591877	8118.73519090581	4824.311199464204	3089.48373407599	953.6462202618627
CONTROL_1hr_2	2831.609199636554	3045.2934117491886	3427.6470664639664	3853.147531828026	4355.965748722072	4848.030917048138	5198.609073358508	5642.654883840505	5960.060659399922	6315.020799789668	6646.756898544352	6951.258838385654	7128.4224394852645	7364.861663023767	7633.8600184400575	7859.260984445824	8017.975359758725	8142.837965072999	8404.752377131452	8994.606608636594	13278.797004973898	23273.32112339243	26147.546505677048	19438.716071660412	11650.97317049195	10252.667952933198	9669.604933602299	10180.970625771697	10398.698062837695	11847.17980433854	19001.157026255198	19508.287911079835	12595.724548749804	9031.004395249513	8884.070109825672	8959.584660617018	8830.388702263448	8807.070819128206	8732.901555102624	8625.879176315098	8679.69721134817	8821.38203550942	10353.281164977692	12069.410766813846	11627.892899531302	9469.61953792987	8832.544249614162	8845.035019759014	8936.372114642852	9170.537141494953	9299.201406278218	9179.06969358796	8930.089491150764	8331.037188930452	7987.376740352289	7837.062029756855	7795.864428889031	7778.131169143755	7726.321072012575	7654.996391106197	7564.488387124503	7503.519949324433	7419.336315514221	7347.091048093615	7316.117356247435	7217.309071172867	7088.269791339703	6990.883812408836	6920.494066813522	6854.470544218039	6792.844228570867	6595.826356931099	6501.0471240042	6418.74811084929	6377.888030685906	6319.264081634922	6271.4780518777225	6118.770148874238	5963.070800119039	5865.561835762231	5848.430009951377	5793.371624680142	5692.665642241212	5573.409556138742	5479.937350529576	5452.703852509186	5302.327279246132	5178.928310125072	5111.863498082282	4991.23606327315	4916.299397401031	4903.6966280002125	4683.103574475406	4281.893783313906	4069.2151370044076	3791.5005860538763	3200.347301500978	2405.2921673556675	1609.9118978903919	497.7475616947528
CONTROL_1hr_4	8828.712664389974	10636.597496840306	12790.148712269507	14393.461115774644	15765.076980005828	16664.826668240054	17241.05305080345	18728.329209616546	20196.280142823874	21791.19086643201	22923.93398244005	23835.742684039054	24425.8284709311	24269.44386983342	24315.150824424025	24915.94166480674	25565.968390957576	25334.113696520046	25637.864084129174	26323.434761248234	27956.802442317497	30011.598560090937	29917.809206835824	28473.624847445022	27392.17645325293	27717.74156549768	28103.29519647052	28385.811176193696	28123.00584359592	29880.744787016753	32725.12131334187	31503.975311511756	26730.147505458866	25778.20748305595	26135.43089934031	26952.31504123083	27047.175249782274	26842.342062973355	27257.035535646617	28227.96304443106	28856.57731106995	28430.03205294604	28620.601353579368	29480.200218070906	29380.007579531062	27527.360111256665	26993.35348968569	26954.368958518506	27402.43375688144	27420.048629478282	27474.259880543228	26884.006945775483	27116.275405415618	26635.722504780824	26049.959588818263	24319.347434703173	23310.457062525915	22452.387226066017	22237.34377001184	21960.27284210013	21696.659800474165	21482.905964898866	21308.72291116464	21363.512086177976	21289.269903366272	20914.401827616286	20670.921435175504	20523.64266126154	20419.270917191025	20359.30570644068	20273.601091402164	19894.471924391124	19703.871397708248	19361.71027799159	19164.472450483183	18910.253528398716	18721.53155746324	18421.029540893032	17922.247731141284	17752.585954537437	17725.405307828227	17588.845339086103	17391.495871595263	17185.86364690255	17056.727461369363	17073.56273087181	16647.43619072815	16273.781193924997	16317.5310017428	16424.72451554544	16469.1428404168	17140.44266473782	17310.496231077334	16257.021041107353	15813.141528842309	14412.147564798544	11613.535914869746	8203.818814501697	5265.386873734469	1672.7102972269317
CONTROL_1hr_5	5030.813690064227	5961.409084427153	7202.583357038118	8332.968048940997	9090.456113788368	9548.416020419643	9867.278010382117	10674.65622989018	11208.409328464846	11782.31775200891	12471.771467056835	13062.517167292941	13652.167203091152	13949.362473303172	14106.981796171747	14530.052385425728	14926.668030221956	14771.205835877061	15570.440337610762	17116.199424627295	21437.062586599	28493.56211753031	29073.717052645366	23610.35093553705	18353.356087538334	17937.06909699276	18178.5769958304	20886.61893601495	22465.6454622796	26113.481079874015	33028.68274397316	30502.692025531014	19199.446169518997	14684.791272656461	14468.21257197557	14856.270485602843	14786.497933019704	14827.10922561971	15260.046656975586	15885.92501024822	16249.575827884586	16480.105732464075	19283.406293195818	23013.161481489304	23397.992886820022	19414.018304906636	18424.859192570373	18622.71631057413	19601.251363353924	20348.562519619125	21031.789449765158	20244.568073609837	19535.941616389748	17487.59521295446	15941.413056205834	14154.035470553741	13240.64470490678	12723.403104739325	12561.913409763509	12328.96681083489	12156.624688409216	12014.389992060584	11894.281698541226	11923.492943515628	11893.498288549858	11641.741102124328	11448.911368309531	11321.311856902465	11299.450201592956	11184.949788228625	11087.995344097339	10878.500661468957	10803.086158947794	10696.046179351437	10583.543677095176	10358.687422720788	10249.060593382996	10166.487003987495	9926.741931357705	9743.913752367907	9735.501687075834	9699.153238568148	9627.015288824106	9464.24541206319	9388.806875947268	9382.68774964647	9029.637323405608	8838.794293492334	9013.626019865656	9341.471398460444	9990.553170686524	12129.59778808336	12732.757863569248	11343.102359993922	12041.229792913808	11168.038645985063	8279.262133533686	4435.547413150781	2903.430388443514	879.0760877701615
CONTROL_24hr_1	7044.280316565187	7693.0130568732	8655.406538414134	9725.334028071433	10924.21846804804	12070.482017195816	12912.966488312173	13910.223454111601	14598.185224115725	15454.892997364008	16232.045390352889	16861.91749512725	17160.65053917596	17635.0251562704	18091.330523094846	18540.38748423173	18927.53772694548	19253.577838165762	19663.042354241974	20319.75022290241	23451.72845199542	30718.728374743514	33037.69778024376	28362.039036942504	22523.46068681607	21413.960177903464	21065.57839715368	21142.885750282796	20868.60329508807	22463.029136517296	28223.70662768897	28247.10721767529	22362.674889321468	20550.801012719956	20487.210068638597	20550.828022979444	20455.800908796835	20494.591054747943	20334.22848704641	20047.56713971712	20223.436062746943	20397.95234341209	21135.04568570855	21960.983104947536	21766.69607757506	20449.17462826457	19918.480172501317	19745.108777463913	19701.55742611555	19764.22547224916	19682.48818451829	19362.164015160633	19221.413409541532	18670.33235347876	18188.189915183593	17788.474466386822	17671.23852752083	17572.781532658173	17317.16774106728	17013.26427834485	16779.87096707703	16597.505622418656	16344.346718353736	16161.346614947362	16036.080537035323	15780.272935073577	15516.794757301679	15216.542806717907	15021.024230145975	14864.423460492317	14680.38029601283	14159.74425927109	13979.621923962019	13785.739255622666	13681.932202789078	13536.863985364524	13359.41615813338	12995.996926920921	12639.291223752154	12425.707008038615	12356.576399182808	12202.27204754913	12010.181401099928	11728.653091753544	11521.411564159682	11494.685286016093	11182.264400815813	10880.852806095949	10727.416536946113	10447.803437613662	10125.589534124389	9875.695030121113	9525.668878256789	8993.287645804912	8715.84035268946	8142.768884024232	6866.5000597952485	5118.871297790618	3432.512828414156	1071.484484768375
