Sample	Total records	QC failed	Duplicates	Non primary hit	Unmapped	Unique	Read-1	Read-2	+ve strand	-ve strand	Non-splice reads	Splice reads	Proper pairs	Different chrom
CONTROL_0hr_1	63.622473	0.0	36.502663	23.174446	0.0	3.6085659999999997	1.8046799999999998	1.8038859999999999	1.8042779999999998	1.804288	2.397281	1.211285	3.607668	0.0
CONTROL_0hr_2	97.712533	0.0	45.932356999999996	50.033156999999996	0.0	1.3863189999999999	0.693512	0.692807	0.693166	0.693153	1.09086	0.29545899999999997	1.385572	0.0
CONTROL_0hr_3	109.11134	0.0	52.708006	52.093539	0.0	3.775854	1.8884269999999999	1.887427	1.8879329999999999	1.887921	2.773916	1.001938	3.774764	0.0
CONTROL_0hr_4	73.533288	0.0	43.11683	21.579779	0.0	8.077380999999999	4.0389669999999995	4.0384139999999995	4.038675	4.0387059999999995	6.352314	1.725067	8.076696	0.0
CONTROL_0hr_5	113.94595699999999	0.0	56.275025	48.808189	0.0	7.996945999999999	3.999036	3.9979099999999996	3.998503	3.998443	5.63438	2.3625659999999997	7.995711999999999	0.0
CONTROL_1hr_1	88.107637	0.0	47.541215	24.182093	0.0	15.403110999999999	7.702547999999999	7.700563	7.701511	7.7016	12.343052	3.060059	15.400872	0.0
CONTROL_1hr_2	70.634535	0.0	35.452352999999995	30.673101	0.0	3.78129	1.890955	1.8903349999999999	1.890631	1.8906589999999999	2.566926	1.214364	3.780594	0.0
CONTROL_1hr_4	90.571981	0.0	34.858697	11.355400999999999	0.0	43.017534	21.510545	21.506989	21.508751999999998	21.508782	35.221289	7.796245	43.013495999999996	0.0
CONTROL_1hr_5	100.521095	0.0	53.165974999999996	30.709294	0.0	15.497736999999999	7.749924	7.747813	7.7488529999999995	7.748883999999999	12.512258	2.9854789999999998	15.495424	0.0
CONTROL_24hr_1	87.872993	0.0	48.959635999999996	33.657993999999995	0.0	4.6960939999999995	2.348394	2.3476999999999997	2.3480369999999997	2.348057	2.992283	1.703811	4.69532	0.0
CONTROL_24hr_2	117.16690399999999	0.0	55.651362999999996	54.211984	0.0	6.344086	3.17239	3.171696	3.172055	3.172031	4.054544	2.289542	6.343319999999999	0.0
CONTROL_24hr_3	102.32445899999999	0.0	55.945209	39.514207	0.0	5.922126	2.961381	2.9607449999999997	2.961065	2.961061	3.746498	2.175628	5.921418	0.0
CONTROL_24hr_4	129.821774	0.0	60.718438	49.943591999999995	0.0	17.580292	8.7912	8.789092	8.790168	8.790123999999999	13.460199	4.120093	17.577935999999998	0.0
CONTROL_24hr_5	88.577064	0.0	44.05234	40.1339	0.0	3.7909759999999997	1.8956389999999999	1.8953369999999998	1.89549	1.895486	2.605391	1.1855849999999999	3.790622	0.0
LIF_1hr_1	100.385474	0.0	55.012330999999996	31.119177999999998	0.0	13.430672	6.71648	6.714192	6.715332	6.715339999999999	10.974784	2.455888	13.428085999999999	0.0
LIF_1hr_2	92.29164899999999	0.0	46.133125	43.458155	0.0	2.396219	1.1983519999999999	1.197867	1.198113	1.198106	1.577234	0.818985	2.3956779999999998	0.0
LIF_1hr_3	103.197029	0.0	52.471235	41.286944999999996	0.0	8.478415	4.239954	4.238461	4.239222	4.239193	6.256209	2.222206	8.476782	0.0
LIF_1hr_4	104.849914	0.0	52.220987	36.510964	0.0	14.898152999999999	7.449998	7.448155	7.449101	7.449052	10.945791	3.952362	14.896094	0.0
LIF_1hr_5	153.48600299999998	0.0	84.284714	59.234476	0.0	8.897200999999999	4.449110999999999	4.44809	4.448602999999999	4.448598	6.1482339999999995	2.748967	8.896054	0.0
LIF_24hr_1	93.512115	0.0	51.456354	34.245219999999996	0.0	7.101545	3.55115	3.550395	3.550767	3.5507779999999998	5.161039	1.9405059999999998	7.100694	0.0
LIF_24hr_2	83.022407	0.0	42.776952	33.776775	0.0	5.711873	2.856248	2.855625	2.855946	2.855927	3.7221509999999998	1.989722	5.711188	0.0
LIF_24hr_3	109.23097999999999	0.0	53.423521	52.441801999999996	0.0	2.8726469999999997	1.436574	1.436073	1.436327	1.43632	2.026481	0.846166	2.872108	0.0
LIF_24hr_4	105.171064	0.0	44.784313	20.623876	0.0	38.339715	19.171115999999998	19.168599	19.169829999999997	19.169885	31.288286999999997	7.051428	38.336722	0.0
LIF_24hr_5	67.178634	0.0	36.979869	27.109175	0.0	2.659051	1.3296249999999998	1.329426	1.329527	1.329524	1.7198039999999999	0.9392469999999999	2.6588179999999997	0.0
control_1hr_3	88.547614	0.0	46.117359	29.043298	0.0	12.463327	6.232506	6.230821	6.231675999999999	6.231650999999999	9.38443	3.078897	12.461454	0.0
