Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
CONTROL_0hr_1	(-247.5, 0.0)	(-242.5, 0.0)	(-237.5, 0.0)	(-232.5, 0.0)	(-227.5, 0.0)	(-222.5, 0.0)	(-217.5, 0.0)	(-212.5, 0.0)	(-207.5, 0.0)	(-202.5, 0.0)	(-197.5, 0.0)	(-192.5, 0.0)	(-187.5, 0.0)	(-182.5, 0.0)	(-177.5, 0.0)	(-172.5, 0.0)	(-167.5, 0.0)	(-162.5, 0.0)	(-157.5, 0.0)	(-152.5, 8564.0)	(-147.5, 50808.0)	(-142.5, 52469.0)	(-137.5, 52890.0)	(-132.5, 52287.0)	(-127.5, 52075.0)	(-122.5, 51215.0)	(-117.5, 50358.0)	(-112.5, 48283.0)	(-107.5, 45311.0)	(-102.5, 42480.0)	(-97.5, 38496.0)	(-92.5, 33970.0)	(-87.5, 30657.0)	(-82.5, 26910.0)	(-77.5, 24688.0)	(-72.5, 22473.0)	(-67.5, 20619.0)	(-62.5, 18728.0)	(-57.5, 17625.0)	(-52.5, 16488.0)	(-47.5, 15604.0)	(-42.5, 14721.0)	(-37.5, 13712.0)	(-32.5, 12869.0)	(-27.5, 12247.0)	(-22.5, 11520.0)	(-17.5, 10831.0)	(-12.5, 9962.0)	(-7.5, 9281.0)	(-2.5, 9235.0)	(2.5, 8177.0)	(7.5, 7755.0)	(12.5, 7146.0)	(17.5, 6864.0)	(22.5, 6244.0)	(27.5, 5932.0)	(32.5, 5533.0)	(37.5, 5061.0)	(42.5, 4671.0)	(47.5, 4497.0)	(52.5, 4141.0)	(57.5, 3917.0)	(62.5, 3527.0)	(67.5, 3278.0)	(72.5, 3080.0)	(77.5, 2841.0)	(82.5, 2632.0)	(87.5, 2548.0)	(92.5, 2301.0)	(97.5, 2142.0)	(102.5, 2010.0)	(107.5, 1831.0)	(112.5, 1758.0)	(117.5, 1634.0)	(122.5, 1470.0)	(127.5, 1352.0)	(132.5, 1262.0)	(137.5, 1216.0)	(142.5, 1160.0)	(147.5, 1040.0)	(152.5, 992.0)	(157.5, 902.0)	(162.5, 817.0)	(167.5, 738.0)	(172.5, 732.0)	(177.5, 670.0)	(182.5, 626.0)	(187.5, 530.0)	(192.5, 541.0)	(197.5, 484.0)	(202.5, 469.0)	(207.5, 473.0)	(212.5, 407.0)	(217.5, 370.0)	(222.5, 364.0)	(227.5, 326.0)	(232.5, 358.0)	(237.5, 281.0)	(242.5, 246.0)	(247.5, 292.0)
CONTROL_0hr_2	(-247.5, 0.0)	(-242.5, 0.0)	(-237.5, 0.0)	(-232.5, 0.0)	(-227.5, 0.0)	(-222.5, 0.0)	(-217.5, 0.0)	(-212.5, 0.0)	(-207.5, 0.0)	(-202.5, 0.0)	(-197.5, 0.0)	(-192.5, 0.0)	(-187.5, 0.0)	(-182.5, 0.0)	(-177.5, 0.0)	(-172.5, 0.0)	(-167.5, 0.0)	(-162.5, 0.0)	(-157.5, 0.0)	(-152.5, 5606.0)	(-147.5, 33612.0)	(-142.5, 34832.0)	(-137.5, 34745.0)	(-132.5, 35451.0)	(-127.5, 35549.0)	(-122.5, 35451.0)	(-117.5, 35167.0)	(-112.5, 34215.0)	(-107.5, 32738.0)	(-102.5, 30385.0)	(-97.5, 27975.0)	(-92.5, 24781.0)	(-87.5, 22535.0)	(-82.5, 20124.0)	(-77.5, 17487.0)	(-72.5, 16047.0)	(-67.5, 14478.0)	(-62.5, 12911.0)	(-57.5, 12095.0)	(-52.5, 11170.0)	(-47.5, 10129.0)	(-42.5, 9697.0)	(-37.5, 8903.0)	(-32.5, 8421.0)	(-27.5, 8040.0)	(-22.5, 7453.0)	(-17.5, 7050.0)	(-12.5, 6613.0)	(-7.5, 6166.0)	(-2.5, 6314.0)	(2.5, 5475.0)	(7.5, 5185.0)	(12.5, 4883.0)	(17.5, 4605.0)	(22.5, 4330.0)	(27.5, 4079.0)	(32.5, 3832.0)	(37.5, 3585.0)	(42.5, 3387.0)	(47.5, 3154.0)	(52.5, 2919.0)	(57.5, 2702.0)	(62.5, 2545.0)	(67.5, 2382.0)	(72.5, 2146.0)	(77.5, 2017.0)	(82.5, 1762.0)	(87.5, 1800.0)	(92.5, 1700.0)	(97.5, 1539.0)	(102.5, 1438.0)	(107.5, 1349.0)	(112.5, 1308.0)	(117.5, 1154.0)	(122.5, 1113.0)	(127.5, 996.0)	(132.5, 877.0)	(137.5, 843.0)	(142.5, 820.0)	(147.5, 741.0)	(152.5, 693.0)	(157.5, 642.0)	(162.5, 588.0)	(167.5, 566.0)	(172.5, 519.0)	(177.5, 472.0)	(182.5, 468.0)	(187.5, 419.0)	(192.5, 361.0)	(197.5, 361.0)	(202.5, 353.0)	(207.5, 351.0)	(212.5, 306.0)	(217.5, 263.0)	(222.5, 250.0)	(227.5, 209.0)	(232.5, 234.0)	(237.5, 208.0)	(242.5, 203.0)	(247.5, 182.0)
CONTROL_0hr_3	(-247.5, 0.0)	(-242.5, 0.0)	(-237.5, 0.0)	(-232.5, 0.0)	(-227.5, 0.0)	(-222.5, 0.0)	(-217.5, 0.0)	(-212.5, 0.0)	(-207.5, 0.0)	(-202.5, 0.0)	(-197.5, 0.0)	(-192.5, 0.0)	(-187.5, 0.0)	(-182.5, 0.0)	(-177.5, 0.0)	(-172.5, 0.0)	(-167.5, 0.0)	(-162.5, 0.0)	(-157.5, 0.0)	(-152.5, 10092.0)	(-147.5, 58853.0)	(-142.5, 60706.0)	(-137.5, 60260.0)	(-132.5, 59807.0)	(-127.5, 59121.0)	(-122.5, 58370.0)	(-117.5, 56568.0)	(-112.5, 53066.0)	(-107.5, 49678.0)	(-102.5, 45429.0)	(-97.5, 40542.0)	(-92.5, 35929.0)	(-87.5, 31609.0)	(-82.5, 27628.0)	(-77.5, 24632.0)	(-72.5, 21554.0)	(-67.5, 18715.0)	(-62.5, 17059.0)	(-57.5, 15428.0)	(-52.5, 14018.0)	(-47.5, 12841.0)	(-42.5, 11579.0)	(-37.5, 10732.0)	(-32.5, 9943.0)	(-27.5, 9250.0)	(-22.5, 8642.0)	(-17.5, 7909.0)	(-12.5, 7137.0)	(-7.5, 6961.0)	(-2.5, 6939.0)	(2.5, 5969.0)	(7.5, 5604.0)	(12.5, 5417.0)	(17.5, 4816.0)	(22.5, 4448.0)	(27.5, 4315.0)	(32.5, 3976.0)	(37.5, 3721.0)	(42.5, 3423.0)	(47.5, 3236.0)	(52.5, 3008.0)	(57.5, 2807.0)	(62.5, 2660.0)	(67.5, 2508.0)	(72.5, 2255.0)	(77.5, 2138.0)	(82.5, 1947.0)	(87.5, 1775.0)	(92.5, 1644.0)	(97.5, 1509.0)	(102.5, 1463.0)	(107.5, 1364.0)	(112.5, 1283.0)	(117.5, 1182.0)	(122.5, 1057.0)	(127.5, 1048.0)	(132.5, 908.0)	(137.5, 848.0)	(142.5, 834.0)	(147.5, 752.0)	(152.5, 777.0)	(157.5, 677.0)	(162.5, 628.0)	(167.5, 541.0)	(172.5, 536.0)	(177.5, 496.0)	(182.5, 493.0)	(187.5, 389.0)	(192.5, 381.0)	(197.5, 347.0)	(202.5, 360.0)	(207.5, 337.0)	(212.5, 297.0)	(217.5, 308.0)	(222.5, 243.0)	(227.5, 258.0)	(232.5, 242.0)	(237.5, 188.0)	(242.5, 183.0)	(247.5, 155.0)
CONTROL_0hr_4	(-247.5, 0.0)	(-242.5, 0.0)	(-237.5, 0.0)	(-232.5, 0.0)	(-227.5, 0.0)	(-222.5, 0.0)	(-217.5, 0.0)	(-212.5, 0.0)	(-207.5, 0.0)	(-202.5, 0.0)	(-197.5, 0.0)	(-192.5, 0.0)	(-187.5, 0.0)	(-182.5, 0.0)	(-177.5, 0.0)	(-172.5, 0.0)	(-167.5, 0.0)	(-162.5, 0.0)	(-157.5, 0.0)	(-152.5, 10821.0)	(-147.5, 61886.0)	(-142.5, 63933.0)	(-137.5, 61880.0)	(-132.5, 61639.0)	(-127.5, 60761.0)	(-122.5, 59047.0)	(-117.5, 57245.0)	(-112.5, 53506.0)	(-107.5, 49957.0)	(-102.5, 44584.0)	(-97.5, 39681.0)	(-92.5, 34225.0)	(-87.5, 30013.0)	(-82.5, 25845.0)	(-77.5, 22252.0)	(-72.5, 19618.0)	(-67.5, 17968.0)	(-62.5, 16082.0)	(-57.5, 14765.0)	(-52.5, 13662.0)	(-47.5, 12213.0)	(-42.5, 11680.0)	(-37.5, 10880.0)	(-32.5, 10130.0)	(-27.5, 9485.0)	(-22.5, 8657.0)	(-17.5, 8147.0)	(-12.5, 7488.0)	(-7.5, 6990.0)	(-2.5, 6706.0)	(2.5, 6008.0)	(7.5, 5798.0)	(12.5, 5186.0)	(17.5, 4831.0)	(22.5, 4448.0)	(27.5, 4082.0)	(32.5, 3864.0)	(37.5, 3633.0)	(42.5, 3358.0)	(47.5, 3155.0)	(52.5, 2852.0)	(57.5, 2699.0)	(62.5, 2551.0)	(67.5, 2298.0)	(72.5, 2166.0)	(77.5, 2026.0)	(82.5, 1825.0)	(87.5, 1795.0)	(92.5, 1641.0)	(97.5, 1553.0)	(102.5, 1372.0)	(107.5, 1335.0)	(112.5, 1203.0)	(117.5, 1182.0)	(122.5, 1066.0)	(127.5, 988.0)	(132.5, 917.0)	(137.5, 892.0)	(142.5, 847.0)	(147.5, 750.0)	(152.5, 728.0)	(157.5, 662.0)	(162.5, 629.0)	(167.5, 546.0)	(172.5, 562.0)	(177.5, 495.0)	(182.5, 502.0)	(187.5, 478.0)	(192.5, 413.0)	(197.5, 438.0)	(202.5, 328.0)	(207.5, 333.0)	(212.5, 317.0)	(217.5, 294.0)	(222.5, 269.0)	(227.5, 251.0)	(232.5, 272.0)	(237.5, 239.0)	(242.5, 227.0)	(247.5, 221.0)
CONTROL_0hr_5	(-247.5, 0.0)	(-242.5, 0.0)	(-237.5, 0.0)	(-232.5, 0.0)	(-227.5, 0.0)	(-222.5, 0.0)	(-217.5, 0.0)	(-212.5, 0.0)	(-207.5, 0.0)	(-202.5, 0.0)	(-197.5, 0.0)	(-192.5, 0.0)	(-187.5, 0.0)	(-182.5, 0.0)	(-177.5, 0.0)	(-172.5, 0.0)	(-167.5, 0.0)	(-162.5, 0.0)	(-157.5, 0.0)	(-152.5, 10589.0)	(-147.5, 60335.0)	(-142.5, 61945.0)	(-137.5, 61545.0)	(-132.5, 60628.0)	(-127.5, 59597.0)	(-122.5, 58092.0)	(-117.5, 56242.0)	(-112.5, 52326.0)	(-107.5, 48179.0)	(-102.5, 43690.0)	(-97.5, 38302.0)	(-92.5, 33285.0)	(-87.5, 29330.0)	(-82.5, 24961.0)	(-77.5, 22330.0)	(-72.5, 19870.0)	(-67.5, 18341.0)	(-62.5, 16717.0)	(-57.5, 15528.0)	(-52.5, 14552.0)	(-47.5, 13372.0)	(-42.5, 12343.0)	(-37.5, 11794.0)	(-32.5, 10846.0)	(-27.5, 10249.0)	(-22.5, 9586.0)	(-17.5, 8726.0)	(-12.5, 8207.0)	(-7.5, 7437.0)	(-2.5, 7230.0)	(2.5, 6436.0)	(7.5, 6192.0)	(12.5, 5701.0)	(17.5, 5206.0)	(22.5, 5041.0)	(27.5, 4505.0)	(32.5, 4259.0)	(37.5, 3849.0)	(42.5, 3701.0)	(47.5, 3388.0)	(52.5, 3223.0)	(57.5, 2950.0)	(62.5, 2818.0)	(67.5, 2530.0)	(72.5, 2370.0)	(77.5, 2161.0)	(82.5, 2055.0)	(87.5, 1903.0)	(92.5, 1672.0)	(97.5, 1669.0)	(102.5, 1473.0)	(107.5, 1391.0)	(112.5, 1273.0)	(117.5, 1195.0)	(122.5, 1150.0)	(127.5, 988.0)	(132.5, 958.0)	(137.5, 880.0)	(142.5, 878.0)	(147.5, 811.0)	(152.5, 717.0)	(157.5, 655.0)	(162.5, 631.0)	(167.5, 599.0)	(172.5, 520.0)	(177.5, 500.0)	(182.5, 475.0)	(187.5, 444.0)	(192.5, 390.0)	(197.5, 370.0)	(202.5, 346.0)	(207.5, 324.0)	(212.5, 339.0)	(217.5, 252.0)	(222.5, 266.0)	(227.5, 204.0)	(232.5, 249.0)	(237.5, 226.0)	(242.5, 211.0)	(247.5, 183.0)
CONTROL_1hr_1	(-247.5, 0.0)	(-242.5, 0.0)	(-237.5, 0.0)	(-232.5, 0.0)	(-227.5, 0.0)	(-222.5, 0.0)	(-217.5, 0.0)	(-212.5, 0.0)	(-207.5, 0.0)	(-202.5, 0.0)	(-197.5, 0.0)	(-192.5, 0.0)	(-187.5, 0.0)	(-182.5, 0.0)	(-177.5, 0.0)	(-172.5, 0.0)	(-167.5, 0.0)	(-162.5, 0.0)	(-157.5, 0.0)	(-152.5, 7959.0)	(-147.5, 50342.0)	(-142.5, 50917.0)	(-137.5, 50217.0)	(-132.5, 50445.0)	(-127.5, 49806.0)	(-122.5, 48511.0)	(-117.5, 47630.0)	(-112.5, 45402.0)	(-107.5, 42820.0)	(-102.5, 39169.0)	(-97.5, 35587.0)	(-92.5, 31604.0)	(-87.5, 28215.0)	(-82.5, 25335.0)	(-77.5, 22991.0)	(-72.5, 21199.0)	(-67.5, 19821.0)	(-62.5, 18527.0)	(-57.5, 17615.0)	(-52.5, 16854.0)	(-47.5, 16064.0)	(-42.5, 15155.0)	(-37.5, 14517.0)	(-32.5, 13876.0)	(-27.5, 13026.0)	(-22.5, 12155.0)	(-17.5, 11643.0)	(-12.5, 11099.0)	(-7.5, 10281.0)	(-2.5, 10254.0)	(2.5, 9404.0)	(7.5, 8926.0)	(12.5, 8380.0)	(17.5, 8018.0)	(22.5, 7311.0)	(27.5, 6976.0)	(32.5, 6521.0)	(37.5, 6063.0)	(42.5, 5599.0)	(47.5, 5503.0)	(52.5, 5059.0)	(57.5, 4799.0)	(62.5, 4365.0)	(67.5, 4008.0)	(72.5, 3873.0)	(77.5, 3625.0)	(82.5, 3367.0)	(87.5, 3023.0)	(92.5, 2963.0)	(97.5, 2738.0)	(102.5, 2581.0)	(107.5, 2411.0)	(112.5, 2267.0)	(117.5, 2120.0)	(122.5, 2008.0)	(127.5, 1840.0)	(132.5, 1750.0)	(137.5, 1562.0)	(142.5, 1487.0)	(147.5, 1455.0)	(152.5, 1316.0)	(157.5, 1207.0)	(162.5, 1118.0)	(167.5, 1059.0)	(172.5, 1033.0)	(177.5, 909.0)	(182.5, 921.0)	(187.5, 802.0)	(192.5, 762.0)	(197.5, 700.0)	(202.5, 712.0)	(207.5, 613.0)	(212.5, 604.0)	(217.5, 560.0)	(222.5, 474.0)	(227.5, 517.0)	(232.5, 413.0)	(237.5, 418.0)	(242.5, 402.0)	(247.5, 376.0)
CONTROL_1hr_2	(-247.5, 0.0)	(-242.5, 0.0)	(-237.5, 0.0)	(-232.5, 0.0)	(-227.5, 0.0)	(-222.5, 0.0)	(-217.5, 0.0)	(-212.5, 0.0)	(-207.5, 0.0)	(-202.5, 0.0)	(-197.5, 0.0)	(-192.5, 0.0)	(-187.5, 0.0)	(-182.5, 0.0)	(-177.5, 0.0)	(-172.5, 0.0)	(-167.5, 0.0)	(-162.5, 0.0)	(-157.5, 0.0)	(-152.5, 8156.0)	(-147.5, 49772.0)	(-142.5, 51371.0)	(-137.5, 51015.0)	(-132.5, 51519.0)	(-127.5, 51270.0)	(-122.5, 50860.0)	(-117.5, 50076.0)	(-112.5, 47993.0)	(-107.5, 45652.0)	(-102.5, 42452.0)	(-97.5, 38614.0)	(-92.5, 34344.0)	(-87.5, 30709.0)	(-82.5, 27174.0)	(-77.5, 23985.0)	(-72.5, 21479.0)	(-67.5, 19613.0)	(-62.5, 18174.0)	(-57.5, 16933.0)	(-52.5, 15885.0)	(-47.5, 14471.0)	(-42.5, 13984.0)	(-37.5, 13082.0)	(-32.5, 12463.0)	(-27.5, 11873.0)	(-22.5, 11294.0)	(-17.5, 10489.0)	(-12.5, 10079.0)	(-7.5, 9551.0)	(-2.5, 9379.0)	(2.5, 8354.0)	(7.5, 8011.0)	(12.5, 7640.0)	(17.5, 7143.0)	(22.5, 6709.0)	(27.5, 6226.0)	(32.5, 6088.0)	(37.5, 5721.0)	(42.5, 5271.0)	(47.5, 4861.0)	(52.5, 4619.0)	(57.5, 4271.0)	(62.5, 3968.0)	(67.5, 3669.0)	(72.5, 3392.0)	(77.5, 3172.0)	(82.5, 3044.0)	(87.5, 2782.0)	(92.5, 2650.0)	(97.5, 2437.0)	(102.5, 2280.0)	(107.5, 2103.0)	(112.5, 1950.0)	(117.5, 1883.0)	(122.5, 1751.0)	(127.5, 1700.0)	(132.5, 1495.0)	(137.5, 1392.0)	(142.5, 1383.0)	(147.5, 1259.0)	(152.5, 1237.0)	(157.5, 1100.0)	(162.5, 1021.0)	(167.5, 938.0)	(172.5, 906.0)	(177.5, 798.0)	(182.5, 741.0)	(187.5, 706.0)	(192.5, 694.0)	(197.5, 592.0)	(202.5, 584.0)	(207.5, 544.0)	(212.5, 462.0)	(217.5, 451.0)	(222.5, 449.0)	(227.5, 402.0)	(232.5, 386.0)	(237.5, 360.0)	(242.5, 339.0)	(247.5, 344.0)
CONTROL_1hr_4	(-247.5, 0.0)	(-242.5, 0.0)	(-237.5, 0.0)	(-232.5, 0.0)	(-227.5, 0.0)	(-222.5, 0.0)	(-217.5, 0.0)	(-212.5, 0.0)	(-207.5, 0.0)	(-202.5, 0.0)	(-197.5, 0.0)	(-192.5, 0.0)	(-187.5, 0.0)	(-182.5, 0.0)	(-177.5, 0.0)	(-172.5, 0.0)	(-167.5, 0.0)	(-162.5, 0.0)	(-157.5, 0.0)	(-152.5, 10402.0)	(-147.5, 63061.0)	(-142.5, 63537.0)	(-137.5, 62257.0)	(-132.5, 61081.0)	(-127.5, 59443.0)	(-122.5, 56945.0)	(-117.5, 54157.0)	(-112.5, 49828.0)	(-107.5, 45076.0)	(-102.5, 40432.0)	(-97.5, 35315.0)	(-92.5, 30505.0)	(-87.5, 27010.0)	(-82.5, 23659.0)	(-77.5, 21344.0)	(-72.5, 19685.0)	(-67.5, 17888.0)	(-62.5, 16545.0)	(-57.5, 15696.0)	(-52.5, 14675.0)	(-47.5, 13465.0)	(-42.5, 12598.0)	(-37.5, 11879.0)	(-32.5, 11248.0)	(-27.5, 10654.0)	(-22.5, 10000.0)	(-17.5, 9118.0)	(-12.5, 8660.0)	(-7.5, 7976.0)	(-2.5, 7665.0)	(2.5, 6950.0)	(7.5, 6606.0)	(12.5, 6310.0)	(17.5, 5775.0)	(22.5, 5358.0)	(27.5, 4987.0)	(32.5, 4699.0)	(37.5, 4371.0)	(42.5, 4175.0)	(47.5, 3760.0)	(52.5, 3622.0)	(57.5, 3424.0)	(62.5, 3146.0)	(67.5, 2909.0)	(72.5, 2683.0)	(77.5, 2580.0)	(82.5, 2454.0)	(87.5, 2188.0)	(92.5, 2064.0)	(97.5, 1899.0)	(102.5, 1826.0)	(107.5, 1661.0)	(112.5, 1579.0)	(117.5, 1413.0)	(122.5, 1344.0)	(127.5, 1281.0)	(132.5, 1186.0)	(137.5, 1127.0)	(142.5, 1115.0)	(147.5, 946.0)	(152.5, 901.0)	(157.5, 867.0)	(162.5, 768.0)	(167.5, 736.0)	(172.5, 694.0)	(177.5, 690.0)	(182.5, 623.0)	(187.5, 537.0)	(192.5, 598.0)	(197.5, 519.0)	(202.5, 467.0)	(207.5, 464.0)	(212.5, 388.0)	(217.5, 385.0)	(222.5, 359.0)	(227.5, 377.0)	(232.5, 319.0)	(237.5, 322.0)	(242.5, 260.0)	(247.5, 255.0)
CONTROL_1hr_5	(-247.5, 0.0)	(-242.5, 0.0)	(-237.5, 0.0)	(-232.5, 0.0)	(-227.5, 0.0)	(-222.5, 0.0)	(-217.5, 0.0)	(-212.5, 0.0)	(-207.5, 0.0)	(-202.5, 0.0)	(-197.5, 0.0)	(-192.5, 0.0)	(-187.5, 0.0)	(-182.5, 0.0)	(-177.5, 0.0)	(-172.5, 0.0)	(-167.5, 0.0)	(-162.5, 0.0)	(-157.5, 0.0)	(-152.5, 9187.0)	(-147.5, 57410.0)	(-142.5, 58724.0)	(-137.5, 57809.0)	(-132.5, 57751.0)	(-127.5, 56560.0)	(-122.5, 56117.0)	(-117.5, 54277.0)	(-112.5, 51365.0)	(-107.5, 48016.0)	(-102.5, 43897.0)	(-97.5, 38711.0)	(-92.5, 34203.0)	(-87.5, 29777.0)	(-82.5, 25587.0)	(-77.5, 22829.0)	(-72.5, 20351.0)	(-67.5, 18443.0)	(-62.5, 17122.0)	(-57.5, 15564.0)	(-52.5, 14902.0)	(-47.5, 14111.0)	(-42.5, 12645.0)	(-37.5, 11996.0)	(-32.5, 11422.0)	(-27.5, 10688.0)	(-22.5, 9830.0)	(-17.5, 9513.0)	(-12.5, 8678.0)	(-7.5, 8191.0)	(-2.5, 7842.0)	(2.5, 7194.0)	(7.5, 6764.0)	(12.5, 6314.0)	(17.5, 5876.0)	(22.5, 5454.0)	(27.5, 5044.0)	(32.5, 4856.0)	(37.5, 4395.0)	(42.5, 4051.0)	(47.5, 3705.0)	(52.5, 3611.0)	(57.5, 3282.0)	(62.5, 3068.0)	(67.5, 2892.0)	(72.5, 2699.0)	(77.5, 2463.0)	(82.5, 2250.0)	(87.5, 2187.0)	(92.5, 2054.0)	(97.5, 1865.0)	(102.5, 1736.0)	(107.5, 1617.0)	(112.5, 1545.0)	(117.5, 1365.0)	(122.5, 1295.0)	(127.5, 1219.0)	(132.5, 1130.0)	(137.5, 1077.0)	(142.5, 1060.0)	(147.5, 961.0)	(152.5, 907.0)	(157.5, 852.0)	(162.5, 729.0)	(167.5, 737.0)	(172.5, 640.0)	(177.5, 564.0)	(182.5, 585.0)	(187.5, 546.0)	(192.5, 482.0)	(197.5, 451.0)	(202.5, 423.0)	(207.5, 402.0)	(212.5, 349.0)	(217.5, 364.0)	(222.5, 308.0)	(227.5, 301.0)	(232.5, 284.0)	(237.5, 264.0)	(242.5, 251.0)	(247.5, 227.0)
CONTROL_24hr_1	(-247.5, 0.0)	(-242.5, 0.0)	(-237.5, 0.0)	(-232.5, 0.0)	(-227.5, 0.0)	(-222.5, 0.0)	(-217.5, 0.0)	(-212.5, 0.0)	(-207.5, 0.0)	(-202.5, 0.0)	(-197.5, 0.0)	(-192.5, 0.0)	(-187.5, 0.0)	(-182.5, 0.0)	(-177.5, 0.0)	(-172.5, 0.0)	(-167.5, 0.0)	(-162.5, 0.0)	(-157.5, 0.0)	(-152.5, 8058.0)	(-147.5, 48884.0)	(-142.5, 49952.0)	(-137.5, 49703.0)	(-132.5, 49431.0)	(-127.5, 49252.0)	(-122.5, 48769.0)	(-117.5, 47996.0)	(-112.5, 45778.0)	(-107.5, 44247.0)	(-102.5, 40746.0)	(-97.5, 37504.0)	(-92.5, 33112.0)	(-87.5, 30123.0)	(-82.5, 26816.0)	(-77.5, 24002.0)	(-72.5, 22126.0)	(-67.5, 19938.0)	(-62.5, 18963.0)	(-57.5, 17742.0)	(-52.5, 16799.0)	(-47.5, 15519.0)	(-42.5, 14874.0)	(-37.5, 13944.0)	(-32.5, 13161.0)	(-27.5, 12685.0)	(-22.5, 12075.0)	(-17.5, 11358.0)	(-12.5, 10830.0)	(-7.5, 10019.0)	(-2.5, 9929.0)	(2.5, 9058.0)	(7.5, 8605.0)	(12.5, 7979.0)	(17.5, 7529.0)	(22.5, 7000.0)	(27.5, 6624.0)	(32.5, 6224.0)	(37.5, 5844.0)	(42.5, 5552.0)	(47.5, 5191.0)	(52.5, 4867.0)	(57.5, 4554.0)	(62.5, 4174.0)	(67.5, 4064.0)	(72.5, 3731.0)	(77.5, 3408.0)	(82.5, 3283.0)	(87.5, 3073.0)	(92.5, 2849.0)	(97.5, 2717.0)	(102.5, 2436.0)	(107.5, 2316.0)	(112.5, 2124.0)	(117.5, 2046.0)	(122.5, 1884.0)	(127.5, 1756.0)	(132.5, 1647.0)	(137.5, 1534.0)	(142.5, 1466.0)	(147.5, 1345.0)	(152.5, 1236.0)	(157.5, 1213.0)	(162.5, 1067.0)	(167.5, 1023.0)	(172.5, 936.0)	(177.5, 908.0)	(182.5, 838.0)	(187.5, 769.0)	(192.5, 777.0)	(197.5, 731.0)	(202.5, 655.0)	(207.5, 563.0)	(212.5, 566.0)	(217.5, 546.0)	(222.5, 483.0)	(227.5, 425.0)	(232.5, 412.0)	(237.5, 383.0)	(242.5, 387.0)	(247.5, 353.0)
