Sample	Known Splicing Events	Partial Novel Splicing Events	Novel Splicing Events
CONTROL_0hr_1	1447414.0	19353.0	21001.0
CONTROL_0hr_2	336905.0	4163.0	19144.0
CONTROL_0hr_3	1182078.0	13498.0	32722.0
CONTROL_0hr_4	2027587.0	30069.0	39600.0
CONTROL_0hr_5	2825099.0	38040.0	40873.0
CONTROL_1hr_1	3623789.0	49266.0	62035.0
CONTROL_1hr_2	1451085.0	16931.0	25351.0
CONTROL_1hr_4	9412614.0	138691.0	120049.0
CONTROL_1hr_5	3548472.0	54420.0	79025.0
CONTROL_24hr_1	2024777.0	27061.0	30735.0
CONTROL_24hr_2	2712598.0	33896.0	47394.0
CONTROL_24hr_3	2636534.0	28707.0	39420.0
CONTROL_24hr_4	4868302.0	74022.0	79559.0
CONTROL_24hr_5	1407212.0	16059.0	29611.0
LIF_1hr_1	2951520.0	39788.0	68822.0
LIF_1hr_2	967916.0	12367.0	20132.0
LIF_1hr_3	2614050.0	36099.0	54089.0
LIF_1hr_4	4827808.0	61014.0	76102.0
LIF_1hr_5	3344971.0	38527.0	49076.0
LIF_24hr_1	2325790.0	29777.0	32376.0
LIF_24hr_2	2352818.0	29918.0	38023.0
LIF_24hr_3	1003909.0	11814.0	25216.0
LIF_24hr_4	8264228.0	158338.0	120154.0
LIF_24hr_5	1127159.0	12971.0	17518.0
control_1hr_3	3678121.0	49273.0	71151.0
