Sample	Known Splicing Junctions	Partial Novel Splicing Junctions	Novel Splicing Junctions
CONTROL_0hr_1	112043.0	6841.0	4129.0
CONTROL_0hr_2	66660.0	2117.0	2200.0
CONTROL_0hr_3	103506.0	4903.0	4270.0
CONTROL_0hr_4	125999.0	10179.0	6117.0
CONTROL_0hr_5	129178.0	11472.0	6912.0
CONTROL_1hr_1	133210.0	14262.0	8729.0
CONTROL_1hr_2	112677.0	6344.0	4405.0
CONTROL_1hr_4	155014.0	30493.0	18561.0
CONTROL_1hr_5	136515.0	15983.0	10878.0
CONTROL_24hr_1	118601.0	8864.0	5405.0
CONTROL_24hr_2	129201.0	10179.0	6582.0
CONTROL_24hr_3	123936.0	8787.0	6048.0
CONTROL_24hr_4	138019.0	18603.0	11416.0
CONTROL_24hr_5	107262.0	6065.0	3921.0
LIF_1hr_1	130641.0	11968.0	8689.0
LIF_1hr_2	98410.0	4662.0	3498.0
LIF_1hr_3	129460.0	11035.0	7937.0
LIF_1hr_4	137916.0	15684.0	10354.0
LIF_1hr_5	129923.0	11397.0	7867.0
LIF_24hr_1	120159.0	9826.0	5705.0
LIF_24hr_2	125612.0	9351.0	6117.0
LIF_24hr_3	92924.0	4431.0	3478.0
LIF_24hr_4	151328.0	29438.0	16538.0
LIF_24hr_5	100172.0	5001.0	3207.0
control_1hr_3	132123.0	13858.0	8735.0
