Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
CONTROL_0hr_1	(5.0, 37458.0)	(10.0, 56341.0)	(15.0, 69055.0)	(20.0, 78431.0)	(25.0, 85583.0)	(30.0, 91251.0)	(35.0, 96032.0)	(40.0, 100037.0)	(45.0, 103561.0)	(50.0, 106469.0)	(55.0, 109050.0)	(60.0, 111375.0)	(65.0, 113509.0)	(70.0, 115284.0)	(75.0, 116916.0)	(80.0, 118420.0)	(85.0, 119765.0)	(90.0, 120966.0)	(95.0, 122056.0)	(100.0, 123009.0)
CONTROL_0hr_2	(5.0, 11672.0)	(10.0, 19968.0)	(15.0, 26797.0)	(20.0, 32500.0)	(25.0, 37254.0)	(30.0, 41565.0)	(35.0, 45321.0)	(40.0, 48744.0)	(45.0, 51728.0)	(50.0, 54394.0)	(55.0, 56909.0)	(60.0, 59079.0)	(65.0, 61136.0)	(70.0, 62946.0)	(75.0, 64615.0)	(80.0, 66151.0)	(85.0, 67481.0)	(90.0, 68790.0)	(95.0, 69935.0)	(100.0, 70971.0)
CONTROL_0hr_3	(5.0, 29561.0)	(10.0, 46286.0)	(15.0, 58150.0)	(20.0, 67276.0)	(25.0, 74396.0)	(30.0, 80237.0)	(35.0, 85220.0)	(40.0, 89473.0)	(45.0, 93052.0)	(50.0, 96276.0)	(55.0, 98984.0)	(60.0, 101357.0)	(65.0, 103410.0)	(70.0, 105203.0)	(75.0, 106872.0)	(80.0, 108305.0)	(85.0, 109629.0)	(90.0, 110728.0)	(95.0, 111738.0)	(100.0, 112674.0)
CONTROL_0hr_4	(5.0, 47938.0)	(10.0, 70719.0)	(15.0, 85332.0)	(20.0, 95556.0)	(25.0, 103445.0)	(30.0, 109575.0)	(35.0, 114734.0)	(40.0, 119127.0)	(45.0, 122707.0)	(50.0, 125823.0)	(55.0, 128568.0)	(60.0, 130883.0)	(65.0, 133015.0)	(70.0, 134866.0)	(75.0, 136599.0)	(80.0, 138103.0)	(85.0, 139361.0)	(90.0, 140476.0)	(95.0, 141410.0)	(100.0, 142286.0)
CONTROL_0hr_5	(5.0, 57969.0)	(10.0, 81497.0)	(15.0, 95431.0)	(20.0, 105232.0)	(25.0, 112251.0)	(30.0, 117911.0)	(35.0, 122469.0)	(40.0, 126253.0)	(45.0, 129567.0)	(50.0, 132416.0)	(55.0, 134824.0)	(60.0, 136867.0)	(65.0, 138848.0)	(70.0, 140625.0)	(75.0, 142127.0)	(80.0, 143455.0)	(85.0, 144665.0)	(90.0, 145733.0)	(95.0, 146701.0)	(100.0, 147545.0)
CONTROL_1hr_1	(5.0, 67479.0)	(10.0, 91487.0)	(15.0, 105023.0)	(20.0, 114228.0)	(25.0, 121049.0)	(30.0, 126338.0)	(35.0, 130717.0)	(40.0, 134385.0)	(45.0, 137515.0)	(50.0, 140187.0)	(55.0, 142624.0)	(60.0, 144758.0)	(65.0, 146678.0)	(70.0, 148414.0)	(75.0, 150021.0)	(80.0, 151562.0)	(85.0, 152865.0)	(90.0, 154117.0)	(95.0, 155188.0)	(100.0, 156192.0)
CONTROL_1hr_2	(5.0, 35170.0)	(10.0, 53790.0)	(15.0, 66572.0)	(20.0, 76358.0)	(25.0, 83886.0)	(30.0, 90006.0)	(35.0, 95047.0)	(40.0, 99177.0)	(45.0, 102797.0)	(50.0, 105894.0)	(55.0, 108716.0)	(60.0, 111198.0)	(65.0, 113347.0)	(70.0, 115308.0)	(75.0, 117091.0)	(80.0, 118650.0)	(85.0, 120046.0)	(90.0, 121296.0)	(95.0, 122361.0)	(100.0, 123412.0)
CONTROL_1hr_4	(5.0, 106336.0)	(10.0, 130404.0)	(15.0, 143922.0)	(20.0, 153116.0)	(25.0, 160454.0)	(30.0, 166294.0)	(35.0, 171414.0)	(40.0, 175748.0)	(45.0, 179679.0)	(50.0, 183194.0)	(55.0, 186371.0)	(60.0, 189237.0)	(65.0, 191817.0)	(70.0, 194146.0)	(75.0, 196245.0)	(80.0, 198097.0)	(85.0, 199836.0)	(90.0, 201399.0)	(95.0, 202773.0)	(100.0, 204055.0)
CONTROL_1hr_5	(5.0, 66051.0)	(10.0, 91292.0)	(15.0, 106402.0)	(20.0, 116528.0)	(25.0, 124199.0)	(30.0, 130266.0)	(35.0, 135308.0)	(40.0, 139387.0)	(45.0, 142983.0)	(50.0, 146051.0)	(55.0, 148774.0)	(60.0, 151169.0)	(65.0, 153370.0)	(70.0, 155235.0)	(75.0, 156974.0)	(80.0, 158611.0)	(85.0, 160027.0)	(90.0, 161230.0)	(95.0, 162376.0)	(100.0, 163363.0)
CONTROL_24hr_1	(5.0, 42974.0)	(10.0, 63420.0)	(15.0, 76750.0)	(20.0, 86340.0)	(25.0, 93940.0)	(30.0, 99856.0)	(35.0, 104775.0)	(40.0, 108860.0)	(45.0, 112403.0)	(50.0, 115540.0)	(55.0, 118230.0)	(60.0, 120578.0)	(65.0, 122862.0)	(70.0, 124800.0)	(75.0, 126580.0)	(80.0, 128105.0)	(85.0, 129433.0)	(90.0, 130695.0)	(95.0, 131809.0)	(100.0, 132857.0)
CONTROL_24hr_2	(5.0, 52996.0)	(10.0, 75947.0)	(15.0, 90234.0)	(20.0, 100399.0)	(25.0, 107928.0)	(30.0, 114064.0)	(35.0, 118896.0)	(40.0, 123063.0)	(45.0, 126583.0)	(50.0, 129528.0)	(55.0, 132157.0)	(60.0, 134524.0)	(65.0, 136591.0)	(70.0, 138374.0)	(75.0, 140009.0)	(80.0, 141442.0)	(85.0, 142769.0)	(90.0, 143952.0)	(95.0, 144989.0)	(100.0, 145946.0)
CONTROL_24hr_3	(5.0, 48084.0)	(10.0, 69594.0)	(15.0, 83237.0)	(20.0, 92994.0)	(25.0, 100526.0)	(30.0, 106509.0)	(35.0, 111463.0)	(40.0, 115597.0)	(45.0, 119183.0)	(50.0, 122242.0)	(55.0, 124942.0)	(60.0, 127289.0)	(65.0, 129321.0)	(70.0, 131235.0)	(75.0, 132912.0)	(80.0, 134386.0)	(85.0, 135661.0)	(90.0, 136813.0)	(95.0, 137855.0)	(100.0, 138725.0)
CONTROL_24hr_4	(5.0, 75113.0)	(10.0, 99279.0)	(15.0, 113249.0)	(20.0, 122801.0)	(25.0, 129888.0)	(30.0, 135690.0)	(35.0, 140466.0)	(40.0, 144523.0)	(45.0, 147906.0)	(50.0, 151002.0)	(55.0, 153790.0)	(60.0, 156184.0)	(65.0, 158314.0)	(70.0, 160246.0)	(75.0, 161907.0)	(80.0, 163418.0)	(85.0, 164792.0)	(90.0, 165963.0)	(95.0, 167074.0)	(100.0, 168015.0)
CONTROL_24hr_5	(5.0, 32908.0)	(10.0, 50396.0)	(15.0, 62287.0)	(20.0, 71349.0)	(25.0, 78630.0)	(30.0, 84373.0)	(35.0, 89188.0)	(40.0, 93315.0)	(45.0, 96924.0)	(50.0, 99957.0)	(55.0, 102719.0)	(60.0, 105187.0)	(65.0, 107360.0)	(70.0, 109196.0)	(75.0, 110934.0)	(80.0, 112493.0)	(85.0, 113870.0)	(90.0, 115104.0)	(95.0, 116227.0)	(100.0, 117228.0)
LIF_1hr_1	(5.0, 56754.0)	(10.0, 80861.0)	(15.0, 95372.0)	(20.0, 105498.0)	(25.0, 113145.0)	(30.0, 119172.0)	(35.0, 124004.0)	(40.0, 128138.0)	(45.0, 131604.0)	(50.0, 134623.0)	(55.0, 137226.0)	(60.0, 139566.0)	(65.0, 141586.0)	(70.0, 143428.0)	(75.0, 145123.0)	(80.0, 146621.0)	(85.0, 147976.0)	(90.0, 149204.0)	(95.0, 150298.0)	(100.0, 151290.0)
LIF_1hr_2	(5.0, 27420.0)	(10.0, 43171.0)	(15.0, 54394.0)	(20.0, 62900.0)	(25.0, 69631.0)	(30.0, 75158.0)	(35.0, 79913.0)	(40.0, 83862.0)	(45.0, 87223.0)	(50.0, 90294.0)	(55.0, 92948.0)	(60.0, 95318.0)	(65.0, 97338.0)	(70.0, 99150.0)	(75.0, 100749.0)	(80.0, 102215.0)	(85.0, 103510.0)	(90.0, 104673.0)	(95.0, 105635.0)	(100.0, 106565.0)
