Sample	CDS_Exons	5'UTR_Exons	3'UTR_Exons	Introns	TSS_up_1kb	TSS_up_1kb-5kb	TSS_up_5kb-10kb	TES_down_1kb	TES_down_1kb-5kb	TES_down_5kb-10kb	Other_intergenic
CONTROL_0hr_1	3441620.0	155708.0	873996.0	394147.0	63488.0	43232.0	14877.0	30196.0	43376.0	17423.0	482021.0
CONTROL_0hr_2	1134666.0	39301.0	185655.0	293008.0	61832.0	59178.0	22014.0	6726.0	17153.0	29447.0	368330.0
CONTROL_0hr_3	3272201.0	129212.0	645877.0	788021.0	81428.0	68808.0	28844.0	23419.0	47699.0	50096.0	622117.0
CONTROL_0hr_4	5383121.0	189997.0	1125191.0	2755406.0	73967.0	57769.0	30112.0	51910.0	89858.0	44151.0	1444871.0
CONTROL_0hr_5	6727362.0	266208.0	1586511.0	1640257.0	88775.0	68992.0	30966.0	56138.0	88410.0	42997.0	1430391.0
CONTROL_1hr_1	9511169.0	342052.0	1796532.0	7003030.0	91045.0	80614.0	48075.0	81417.0	127534.0	58875.0	1537997.0
CONTROL_1hr_2	3474831.0	127784.0	730777.0	457726.0	64591.0	57019.0	24324.0	24090.0	39011.0	37429.0	1114813.0
CONTROL_1hr_4	23120186.0	845223.0	4775945.0	22735965.0	142184.0	146668.0	119583.0	247826.0	384634.0	168909.0	2545374.0
CONTROL_1hr_5	9341081.0	360205.0	1776263.0	6925297.0	97801.0	108872.0	67885.0	81492.0	143389.0	118183.0	1882400.0
CONTROL_24hr_1	4727799.0	209738.0	853181.0	593562.0	70902.0	51696.0	22848.0	26432.0	38703.0	27669.0	872920.0
CONTROL_24hr_2	6256074.0	254441.0	1207434.0	811708.0	82354.0	84846.0	50356.0	37054.0	61769.0	58303.0	1441682.0
CONTROL_24hr_3	5974916.0	229484.0	1088230.0	641971.0	72785.0	54345.0	22883.0	31234.0	43140.0	27320.0	1598867.0
CONTROL_24hr_4	12118048.0	511306.0	2160046.0	6813632.0	112165.0	157389.0	138266.0	94090.0	180097.0	171188.0	2347390.0
CONTROL_24hr_5	3256576.0	126601.0	614549.0	713462.0	64145.0	57967.0	23700.0	18295.0	32023.0	38180.0	1032221.0
LIF_1hr_1	7958882.0	297428.0	1548176.0	6276243.0	91635.0	92644.0	52819.0	70088.0	116743.0	85714.0	1222823.0
LIF_1hr_2	2339352.0	104399.0	527247.0	263790.0	64406.0	49199.0	16288.0	17893.0	28002.0	17566.0	370066.0
LIF_1hr_3	6739148.0	269382.0	1299531.0	2381359.0	89090.0	83303.0	44598.0	49702.0	86871.0	72769.0	1388655.0
LIF_1hr_4	11431882.0	441010.0	2206811.0	4962207.0	97762.0	104725.0	71218.0	84424.0	130750.0	92462.0	1935808.0
LIF_1hr_5	7758004.0	283142.0	1624916.0	1844349.0	83470.0	78982.0	37790.0	53586.0	83996.0	63339.0	1785708.0
LIF_24hr_1	5831934.0	225998.0	993930.0	2049128.0	74902.0	57390.0	27873.0	29319.0	43798.0	34505.0	1111436.0
LIF_24hr_2	5536546.0	220848.0	1053930.0	742580.0	75294.0	65332.0	38804.0	33109.0	53054.0	42687.0	1245647.0
LIF_24hr_3	2670979.0	120774.0	364995.0	469891.0	72273.0	49004.0	14465.0	9997.0	14144.0	16930.0	758731.0
LIF_24hr_4	21344829.0	863189.0	3937719.0	19930240.0	140206.0	143471.0	114691.0	159963.0	260325.0	149740.0	2304605.0
LIF_24hr_5	2630894.0	109131.0	476221.0	240027.0	58805.0	40394.0	11867.0	13369.0	21952.0	21332.0	718071.0
control_1hr_3	9345842.0	368632.0	1690380.0	4386090.0	95625.0	74512.0	40169.0	67837.0	101658.0	47395.0	1442617.0
