Sample	Chromosome X	Chromosome Y
CONTROL_0hr_1	465671.0	32880.0
CONTROL_0hr_2	219705.0	63912.0
CONTROL_0hr_3	299812.0	74658.0
CONTROL_0hr_4	557775.0	52321.0
CONTROL_0hr_5	594779.0	68060.0
CONTROL_1hr_1	969136.0	139081.0
CONTROL_1hr_2	345123.0	112404.0
CONTROL_1hr_4	2064486.0	234759.0
CONTROL_1hr_5	1019582.0	156558.0
CONTROL_24hr_1	642725.0	68356.0
CONTROL_24hr_2	587221.0	182198.0
CONTROL_24hr_3	674472.0	153623.0
CONTROL_24hr_4	1270649.0	220725.0
CONTROL_24hr_5	436484.0	55854.0
LIF_1hr_1	1155266.0	134894.0
LIF_1hr_2	389810.0	41041.0
LIF_1hr_3	545214.0	119177.0
LIF_1hr_4	1189305.0	123785.0
LIF_1hr_5	1232482.0	167728.0
LIF_24hr_1	736858.0	74366.0
LIF_24hr_2	480119.0	77471.0
LIF_24hr_3	399325.0	70702.0
LIF_24hr_4	1992894.0	118435.0
LIF_24hr_5	431300.0	50021.0
control_1hr_3	675125.0	102077.0
