Sample	Mapped (with MQ>0)	MQ0
CONTROL_0hr_1	40323245.0	124782.0
CONTROL_0hr_2	46687172.0	992204.0
CONTROL_0hr_3	56047616.0	970185.0
CONTROL_0hr_4	51700232.0	253277.0
CONTROL_0hr_5	64668336.0	469432.0
CONTROL_1hr_1	63551223.0	374321.0
CONTROL_1hr_2	39605639.0	355795.0
CONTROL_1hr_4	78926774.0	289806.0
CONTROL_1hr_5	69434043.0	377758.0
CONTROL_24hr_1	53803615.0	411384.0
CONTROL_24hr_2	62090983.0	863937.0
CONTROL_24hr_3	62335024.0	475228.0
CONTROL_24hr_4	78862566.0	1015616.0
CONTROL_24hr_5	47756234.0	686930.0
LIF_1hr_1	68796832.0	469464.0
LIF_1hr_2	48415599.0	417895.0
LIF_1hr_3	61399770.0	510314.0
LIF_1hr_4	67758513.0	580437.0
LIF_1hr_5	93082514.0	1169013.0
LIF_24hr_1	58863627.0	403268.0
LIF_24hr_2	48800031.0	445601.0
LIF_24hr_3	55641887.0	1147291.0
LIF_24hr_4	84107259.0	439929.0
LIF_24hr_5	39751435.0	318024.0
control_1hr_3	59264364.0	239952.0
