Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
CONTROL_0hr_1	10815381.0	9411068.0	11879.0	1874105.0	46520.0
CONTROL_0hr_2	6728564.0	17113060.0	81604.0	1956426.0	41461.0
CONTROL_0hr_3	10132787.0	18378359.0	46118.0	2709298.0	75258.0
CONTROL_0hr_4	17292998.0	8685734.0	19237.0	3051045.0	143063.0
CONTROL_0hr_5	14665720.0	17905445.0	24999.0	2365039.0	70075.0
CONTROL_1hr_1	23023324.0	8942916.0	32888.0	3002823.0	165261.0
CONTROL_1hr_2	9188322.0	10793958.0	41385.0	1452416.0	40883.0
CONTROL_1hr_4	35637041.0	3975792.0	33314.0	2532176.0	224800.0
CONTROL_1hr_5	23071917.0	11837728.0	77849.0	3615384.0	166804.0
CONTROL_24hr_1	14194004.0	12915924.0	36067.0	1634512.0	57655.0
CONTROL_24hr_2	14275261.0	17204192.0	59447.0	2468069.0	51064.0
CONTROL_24hr_3	16804749.0	14602360.0	31457.0	2105598.0	67272.0
CONTROL_24hr_4	24057665.0	15885179.0	180610.0	2658749.0	124361.0
CONTROL_24hr_5	10055228.0	14167447.0	38392.0	900627.0	27750.0
LIF_1hr_1	23902671.0	10735190.0	71332.0	4544317.0	221096.0
LIF_1hr_2	9585760.0	14832581.0	39825.0	2316673.0	56308.0
LIF_1hr_3	16034136.0	14923624.0	58285.0	3142930.0	89015.0
LIF_1hr_4	21775802.0	12396874.0	125684.0	3476463.0	132545.0
LIF_1hr_5	28113877.0	19015216.0	95041.0	3693143.0	117486.0
LIF_24hr_1	16288294.0	13347132.0	24248.0	1871359.0	72705.0
LIF_24hr_2	11466467.0	13157942.0	27793.0	1636068.0	39519.0
LIF_24hr_3	12545057.0	15851283.0	19138.0	2969802.0	72357.0
LIF_24hr_4	35408221.0	6869393.0	45889.0	1215049.0	148603.0
LIF_24hr_5	9675809.0	10360112.0	33519.0	1611917.0	26069.0
control_1hr_3	18049788.0	11705226.0	19698.0	4272014.0	146957.0
